age_gp,sex_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,Female,HIS,added_sugar,CED,MJ,-0.136249212620479,-0.156031646608508,-0.163738415931814
20-34,Female,HIS,added_sugar,Food_price,USD,-0.311422182933213,-0.356638508648391,-0.374253721829198
20-34,Female,HIS,added_sugar,FL,mrh-eq,-0.00590593301550749,-0.00676343323712297,-0.00709749508242845
20-34,Female,HIS,oil,CED,MJ,-0.00422746223638477,0.000415593000271038,-0.00314279996668593
20-34,Female,HIS,oil,Food_price,USD,-0.000982209830753498,9.65590010350129e-05,-0.000730199077073371
20-34,Female,HIS,oil,FL,mrh-eq,-0.000218210701586688,2.14518392105646e-05,-0.000162223231652953
20-34,Female,HIS,sat_fat,CED,MJ,-0.325293128772329,-0.318523382673685,-0.322639921156245
20-34,Female,HIS,sat_fat,Food_price,USD,-0.0155175342959015,-0.0151945955124827,-0.0153909677116884
20-34,Female,HIS,sat_fat,FL,mrh-eq,-0.00890497555967251,-0.00871965217524958,-0.00883234337999772
20-34,Female,NHB,added_sugar,CED,MJ,-0.20173408723888,-0.165103819909214,-0.212175959000496
20-34,Female,NHB,added_sugar,Food_price,USD,-0.545077062610594,-0.446103612996932,-0.573290563193855
20-34,Female,NHB,added_sugar,FL,mrh-eq,-0.00792974365025398,-0.00648988470653182,-0.00834019171796396
20-34,Female,NHB,oil,CED,MJ,-0.0298739022610542,-0.0371042459927119,-0.0357807286818698
20-34,Female,NHB,oil,Food_price,USD,-0.0103218362042953,-0.0128200174946658,-0.0123627244106661
20-34,Female,NHB,oil,FL,mrh-eq,-0.0015389642132034,-0.00191143782428189,-0.00184325638085537
20-34,Female,NHB,sat_fat,CED,MJ,-0.419532459954054,-0.370705592154139,-0.369881949682488
20-34,Female,NHB,sat_fat,Food_price,USD,-0.0196956053019237,-0.0174033518814812,-0.0173646847017514
20-34,Female,NHB,sat_fat,FL,mrh-eq,-0.0109921903697496,-0.00971287523386225,-0.00969129493743896
20-34,Female,NHW,added_sugar,CED,MJ,-0.153962907605079,-0.132405234120817,-0.147014480554995
20-34,Female,NHW,added_sugar,Food_price,USD,-0.479579581275378,-0.412429511276878,-0.457935902372216
20-34,Female,NHW,added_sugar,FL,mrh-eq,-0.00708421745710111,-0.0060922951219928,-0.00676450299487585
20-34,Female,NHW,oil,CED,MJ,-0.0162951239379403,-0.0095958278971839,-0.0124919397007014
20-34,Female,NHW,oil,Food_price,USD,-0.00219245182529901,-0.0012910850183503,-0.00168074671310477
20-34,Female,NHW,oil,FL,mrh-eq,-0.000868708116919447,-0.000511562453565445,-0.000665956850368041
20-34,Female,NHW,sat_fat,CED,MJ,-0.319164916693289,-0.358492260943819,-0.316908452306139
20-34,Female,NHW,sat_fat,Food_price,USD,-0.0144639885950185,-0.0162462341645047,-0.0143617296265236
20-34,Female,NHW,sat_fat,FL,mrh-eq,-0.00831880708003219,-0.00934384640195919,-0.00825999393692692
20-34,Female,OTH,added_sugar,CED,MJ,-0.101606924365856,-0.115375622421632,-0.120022076684688
20-34,Female,OTH,added_sugar,Food_price,USD,-0.300178115122495,-0.3408550852785,-0.354582140706976
20-34,Female,OTH,added_sugar,FL,mrh-eq,-0.00461932471384205,-0.00524528684785429,-0.00545652718548903
20-34,Female,OTH,oil,CED,MJ,-0.0228694491620254,-0.0183887278332729,-0.00891094908186744
20-34,Female,OTH,oil,Food_price,USD,-0.00762324543904544,-0.00612965290907035,-0.00297035365673389
