age_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,HIS,added_sugar,CED,MJ,0,0,0
20-34,HIS,added_sugar,Food_price,USD,0,0,0
20-34,HIS,added_sugar,FL,mrh-eq,0,0,0
20-34,HIS,oil,CED,MJ,0,0,0
20-34,HIS,oil,Food_price,USD,0,0,0
20-34,HIS,oil,FL,mrh-eq,0,0,0
20-34,HIS,sat_fat,CED,MJ,0,0,0
20-34,HIS,sat_fat,Food_price,USD,0,0,0
20-34,HIS,sat_fat,FL,mrh-eq,0,0,0
20-34,NHB,added_sugar,CED,MJ,0,0,0
20-34,NHB,added_sugar,Food_price,USD,0,0,0
20-34,NHB,added_sugar,FL,mrh-eq,0,0,0
20-34,NHB,oil,CED,MJ,0,0,0
20-34,NHB,oil,Food_price,USD,0,0,0
20-34,NHB,oil,FL,mrh-eq,0,0,0
20-34,NHB,sat_fat,CED,MJ,0,0,0
20-34,NHB,sat_fat,Food_price,USD,0,0,0
20-34,NHB,sat_fat,FL,mrh-eq,0,0,0
20-34,NHW,added_sugar,CED,MJ,0,0,0
20-34,NHW,added_sugar,Food_price,USD,0,0,0
20-34,NHW,added_sugar,FL,mrh-eq,0,0,0
20-34,NHW,oil,CED,MJ,0,0,0
20-34,NHW,oil,Food_price,USD,0,0,0
20-34,NHW,oil,FL,mrh-eq,0,0,0
20-34,NHW,sat_fat,CED,MJ,0,0,0
20-34,NHW,sat_fat,Food_price,USD,0,0,0
20-34,NHW,sat_fat,FL,mrh-eq,0,0,0
20-34,OTH,added_sugar,CED,MJ,0,0,0
20-34,OTH,added_sugar,Food_price,USD,0,0,0
20-34,OTH,added_sugar,FL,mrh-eq,0,0,0
20-34,OTH,oil,CED,MJ,0,0,0
20-34,OTH,oil,Food_price,USD,0,0,0
20-34,OTH,oil,FL,mrh-eq,0,0,0
20-34,OTH,sat_fat,CED,MJ,0,0,0
20-34,OTH,sat_fat,Food_price,USD,0,0,0
20-34,OTH,sat_fat,FL,mrh-eq,0,0,0
35-44,HIS,added_sugar,CED,MJ,0,0,0
35-44,HIS,added_sugar,Food_price,USD,0,0,0
35-44,HIS,added_sugar,FL,mrh-eq,0,0,0
35-44,HIS,oil,CED,MJ,0,0,0
35-44,HIS,oil,Food_price,USD,0,0,0
35-44,HIS,oil,FL,mrh-eq,0,0,0
35-44,HIS,sat_fat,CED,MJ,0,0,0
35-44,HIS,sat_fat,Food_price,USD,0,0,0
35-44,HIS,sat_fat,FL,mrh-eq,0,0,0
35-44,NHB,added_sugar,CED,MJ,0,0,0
35-44,NHB,added_sugar,Food_price,USD,0,0,0
35-44,NHB,added_sugar,FL,mrh-eq,0,0,0
35-44,NHB,oil,CED,MJ,0,0,0
35-44,NHB,oil,Food_price,USD,0,0,0
35-44,NHB,oil,FL,mrh-eq,0,0,0
35-44,NHB,sat_fat,CED,MJ,0,0,0
35-44,NHB,sat_fat,Food_price,USD,0,0,0
35-44,NHB,sat_fat,FL,mrh-eq,0,0,0
