age_gp,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound  (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound  (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_impact_upper_bound  (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_impact_upper_bound  (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound  (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_impact_upper_bound  (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound  (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_impact_upper_bound  (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound  (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,combined_inedible_impact_lower_bound (2.5th percentile),combined_inedible_impact_median,combined_inedible_impact_upper_bound  (97.5th percentile),combined_inedible_impact_mean,combined_inedible_impact_SD,combined_wasted_impact_lower_bound (2.5th percentile),combined_wasted_impact_median,combined_wasted_impact_upper_bound  (97.5th percentile),combined_wasted_impact_mean,combined_wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_impact_upper_bound  (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound  (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_impact_upper_bound  (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_wasted_impact_upper_bound  (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
20-34,CED,MJ,-0.49432441550623724,-0.48494925860815075,-0.48481502233536344,-0.4881916868977294,0.005738855991583917,0,0,0,0,0,-0.49432441550623724,-0.48494925860815075,-0.48481502233536344,-0.4881916868977294,0.005738855991583917,-12.68928890014906,-12.215201151719885,-12.058852636463886,-12.326688601956088,0.34557055581956175,-0.3656848437794766,-0.3589867191858946,-0.3575128996627524,-0.3608198086842945,0.0045846443226341,-0.12871007610835816,-0.12737262705420857,-0.1260330438038538,-0.12737187821343485,0.0014089645200403484,1.1889017268264912,1.1890359630992793,1.1984111199973657,1.1922783913888575,0.005738855991584066,0.7040867044911283,0.7040867044911283,0.7040867044911283,0.7040867044911283,0,0.8941751194172732,0.8956489389404155,0.9023470635339977,0.8974820284388155,0.004584644322634278,0.5366622197545211,0.5366622197545211,0.5366622197545211,0.5366622197545211,0,0.29345752854046114,0.2947971117908159,0.29613456084496537,0.29479636295004213,0.0014089645200403207,0.1674244847366073,0.1674244847366073,0.1674244847366073,0.1674244847366073,0,-0.3656848437794766,-0.3589867191858946,-0.3575128996627524,-0.3608198086842945,0.0045846443226341,-0.12871007610835816,-0.12737262705420857,-0.1260330438038538,-0.12737187821343485,0.0014089645200403484,0,0,0,0,0,0,0,0,0,0,0.29345752854046114,0.2947971117908159,0.29613456084496537,0.29479636295004213,0.0014089645200403207,0.1674244847366073,0.1674244847366073,0.1674244847366073,0.1674244847366073,0
20-34,FL,mrh-eq,-0.015524598440420305,-0.015237989040173339,-0.015076348567278365,-0.015281837786612634,2.3895762384646647e-4,0,0,0,0,0,-0.015524598440420305,-0.015237989040173339,-0.015076348567278365,-0.015281837786612634,2.3895762384646647e-4,-12.68928890014906,-12.215201151719885,-12.058852636463886,-12.326688601956088,0.34557055581956175,-0.01131940646060171,-0.011060422065274012,-0.0109916846329092,-0.011127175385611867,1.8191519742454925e-4,-0.004205191979818598,-0.004177566974899331,-0.0040846639343691685,-0.004154662401000771,6.646478052412219e-5,0.0398889399779476,0.04005058045084258,0.04033718985108955,0.04009442919728187,2.3895762384646975e-4,0.02481259141066923,0.02481259141066923,0.02481259141066923,0.02481259141066923,0,0.02996013216142093,0.030028869593785742,0.030287853989113444,0.0300956229141236,1.8191519742455253e-4,0.018968447528511734,0.018968447528511734,0.018968447528511734,0.018968447528511734,0,0.009928807816526672,0.010021710857056831,0.010049335861976101,0.009998806283158274,6.646478052412242e-5,0.005844143882157504,0.005844143882157504,0.005844143882157504,0.005844143882157504,0,-0.01131940646060171,-0.011060422065274012,-0.0109916846329092,-0.011127175385611867,1.8191519742454925e-4,-0.004205191979818598,-0.004177566974899331,-0.0040846639343691685,-0.004154662401000771,6.646478052412219e-5,0,0,0,0,0,0,0,0,0,0,0.009928807816526672,0.010021710857056831,0.010049335861976101,0.009998806283158274,6.646478052412242e-5,0.005844143882157504,0.005844143882157504,0.005844143882157504,0.005844143882157504,0
20-34,Food_price,USD,-0.4191308827791343,-0.4077372387512719,-0.38830322536395756,-0.40491605651988527,0.016408004612974775,0,0,0,0,0,-0.4191308827791343,-0.4077372387512719,-0.38830322536395756,-0.40491605651988527,0.016408004612974775,-12.68928890014906,-12.215201151719885,-12.058852636463886,-12.326688601956088,0.34557055581956175,-0.2792407659979993,-0.27194684614712783,-0.2589031114364346,-0.26992936724894473,0.010845685621229126,-0.13989011678113508,-0.1357903926041439,-0.12940011392752282,-0.13498668927094046,0.00556475453462862,0.8260330799743446,0.845467093361659,0.8568607373895216,0.8426459111302725,0.01640800461297491,0.43772985461038716,0.43772985461038716,0.43772985461038716,0.43772985461038716,0,0.5560538184147884,0.5690975531254816,0.5763914729763532,0.5670800742272986,0.010845685621229145,0.29715070697835383,0.29715070697835383,0.29715070697835383,0.29715070697835383,0,0.2699792615595562,0.2763695402361773,0.28046926441316855,0.27556583690297387,0.00556475453462866,0.1405791476320334,0.1405791476320334,0.1405791476320334,0.1405791476320334,0,-0.2792407659979993,-0.27194684614712783,-0.2589031114364346,-0.26992936724894473,0.010845685621229126,-0.13989011678113508,-0.1357903926041439,-0.12940011392752282,-0.13498668927094046,0.00556475453462862,0,0,0,0,0,0,0,0,0,0,0.2699792615595562,0.2763695402361773,0.28046926441316855,0.27556583690297387,0.00556475453462866,0.1405791476320334,0.1405791476320334,0.1405791476320334,0.1405791476320334,0
35-44,CED,MJ,-0.4566883837221169,-0.42632695965507694,-0.4216503668129589,-0.43533918113750564,0.020024681081889855,0,0,0,0,0,-0.4566883837221169,-0.42632695965507694,-0.4216503668129589,-0.43533918113750564,0.020024681081889855,-12.111651168188038,-10.836105001920991,-10.635250757018767,-11.213189886610403,0.842885452630246,-0.33726256760741663,-0.31406982825832175,-0.31055308927195224,-0.32097368803471665,0.015276260828079806,-0.11942581611470023,-0.11225713139675518,-0.11109727754100682,-0.1143654931027891,0.004748520814064648,1.0363660837276474,1.0410426765697656,1.0714041006368051,1.050054898052194,0.020024681081889824,0.6147157169146885,0.6147157169146885,0.6147157169146885,0.6147157169146885,0,0.7790889729690706,0.7826057119554403,0.8057984513045353,0.7895095717318351,0.015276260828079941,0.4685358836971185,0.4685358836971185,0.4685358836971185,0.4685358836971185,0,0.2572771107585768,0.2584369646143252,0.26560564933227016,0.26054532632035904,0.004748520814064621,0.14617983321756997,0.14617983321756997,0.14617983321756997,0.14617983321756997,0,-0.33726256760741663,-0.31406982825832175,-0.31055308927195224,-0.32097368803471665,0.015276260828079806,-0.11942581611470023,-0.11225713139675518,-0.11109727754100682,-0.1143654931027891,0.004748520814064648,0,0,0,0,0,0,0,0,0,0,0.2572771107585768,0.2584369646143252,0.26560564933227016,0.26054532632035904,0.004748520814064621,0.14617983321756997,0.14617983321756997,0.14617983321756997,0.14617983321756997,0
35-44,FL,mrh-eq,-0.014804634080669482,-0.01367957417140785,-0.01363283503107086,-0.014057932335942812,6.983766110885345e-4,0,0,0,0,0,-0.014804634080669482,-0.01367957417140785,-0.01363283503107086,-0.014057932335942812,6.983766110885345e-4,-12.111651168188038,-10.836105001920991,-10.635250757018767,-11.213189886610403,0.842885452630246,-0.010771815381622795,-0.009913150751557142,-0.009882822576451867,-0.010203795121718678,5.312979894616909e-4,-0.004032818699046683,-0.0037664234198507064,-0.003750012454618998,-0.0038541372142241338,1.6710844668608947e-4,0.035352983448355746,0.035399722588692735,0.03652478249795437,0.0357780807532277,6.983766110885364e-4,0.02172014841728488,0.02172014841728488,0.02172014841728488,0.02172014841728488,0,0.026452517187983648,0.02648284536308892,0.02734150999315458,0.02677348973325046,5.312979894616943e-4,0.01656969461153178,0.01656969461153178,0.01656969461153178,0.01656969461153178,0,0.008900466260372102,0.008916877225603805,0.009183272504799783,0.009004591019977234,1.6710844668608858e-4,0.005150453805753101,0.005150453805753101,0.005150453805753101,0.005150453805753101,0,-0.010771815381622795,-0.009913150751557142,-0.009882822576451867,-0.010203795121718678,5.312979894616909e-4,-0.004032818699046683,-0.0037664234198507064,-0.003750012454618998,-0.0038541372142241338,1.6710844668608947e-4,0,0,0,0,0,0,0,0,0,0,0.008900466260372102,0.008916877225603805,0.009183272504799783,0.009004591019977234,1.6710844668608858e-4,0.005150453805753101,0.005150453805753101,0.005150453805753101,0.005150453805753101,0
35-44,Food_price,USD,-0.37874597827746004,-0.3574265055932671,-0.3552502106052025,-0.36414341004804895,0.013666028906019864,0,0,0,0,0,-0.37874597827746004,-0.3574265055932671,-0.3552502106052025,-0.36414341004804895,0.013666028906019864,-12.111651168188038,-10.836105001920991,-10.635250757018767,-11.213189886610403,0.842885452630246,-0.2530636329155523,-0.23842644903616475,-0.23695670773016242,-0.24304660432507186,0.009374139102148505,-0.12568234536190775,-0.11900005655710243,-0.11829350287504001,-0.12109680572297714,0.004291915031704725,0.7125587686072938,0.7147350635953584,0.7360545362795513,0.7214519680501402,0.013666028906019864,0.3573085580020912,0.3573085580020912,0.3573085580020912,0.3573085580020912,0,0.47970701564029045,0.4811767569462927,0.49581394082568014,0.4857969122351998,0.009374139102148439,0.242750307910128,0.242750307910128,0.242750307910128,0.242750307910128,0,0.23285175296700322,0.2335583066490657,0.2402405954538711,0.2356550558149404,0.0042919150317047875,0.1145582500919633,0.1145582500919633,0.1145582500919633,0.1145582500919633,0,-0.2530636329155523,-0.23842644903616475,-0.23695670773016242,-0.24304660432507186,0.009374139102148505,-0.12568234536190775,-0.11900005655710243,-0.11829350287504001,-0.12109680572297714,0.004291915031704725,0,0,0,0,0,0,0,0,0,0,0.23285175296700322,0.2335583066490657,0.2402405954538711,0.2356550558149404,0.0042919150317047875,0.1145582500919633,0.1145582500919633,0.1145582500919633,0.1145582500919633,0
45-54,CED,MJ,-0.43334172410556726,-0.40775919364688007,-0.3911757831912124,-0.41091677961285183,0.0223604400218172,0,0,0,0,0,-0.43334172410556726,-0.40775919364688007,-0.3911757831912124,-0.41091677961285183,0.0223604400218172,-10.682444265645147,-10.279935821270533,-9.915812114646224,-10.293404150305728,0.403659158046921,-0.3198106062215366,-0.3023171711992107,-0.28982202584635536,-0.30407095704814774,0.0158563721920525,-0.11353111788403081,-0.10544202244766962,-0.10135375734485694,-0.10684582256470417,0.0065234216309223575,0.9686915535752322,0.9852749640309003,1.0108574944895872,0.9884325499968717,0.022360440021817248,0.57751577038402,0.57751577038402,0.57751577038402,0.57751577038402,0,0.7312041689063349,0.7436993142591901,0.7611927492815161,0.7454531001081272,0.015856372192052506,0.4413821430599794,0.4413821430599794,0.4413821430599794,0.4413821430599794,0,0.2374873846688973,0.24157564977170998,0.24966474520807128,0.24297944988874456,0.00652342163092241,0.1361336273240404,0.1361336273240404,0.1361336273240404,0.1361336273240404,0,-0.3198106062215366,-0.3023171711992107,-0.28982202584635536,-0.30407095704814774,0.0158563721920525,-0.11353111788403081,-0.10544202244766962,-0.10135375734485694,-0.10684582256470417,0.0065234216309223575,0,0,0,0,0,0,0,0,0,0,0.2374873846688973,0.24157564977170998,0.24966474520807128,0.24297944988874456,0.00652342163092241,0.1361336273240404,0.1361336273240404,0.1361336273240404,0.1361336273240404,0
45-54,FL,mrh-eq,-0.013954245543910188,-0.013094769592665355,-0.012597114516638596,-0.013221724285724329,7.226917099279909e-4,0,0,0,0,0,-0.013954245543910188,-0.013094769592665355,-0.012597114516638596,-0.013221724285724329,7.226917099279909e-4,-10.682444265645147,-10.279935821270533,-9.915812114646224,-10.293404150305728,0.403659158046921,-0.010125603542885362,-0.009564413848613649,-0.009196145279790142,-0.009632105471577933,4.926886071684872e-4,-0.003828642001024826,-0.003530355744051706,-0.003400969236848456,-0.003589618814146397,2.3086794863520224e-4,0.03332876733913611,0.033826422415162864,0.03468589836640769,0.033953377108221834,7.226917099279825e-4,0.020731652822497518,0.020731652822497518,0.020731652822497518,0.020731652822497518,0,0.025078864771070762,0.025447133339894283,0.026008323034165982,0.02551482496285856,4.926886071684872e-4,0.015882719491280624,0.015882719491280624,0.015882719491280624,0.015882719491280624,0,0.008249902568065348,0.008379289075268597,0.00867757533224172,0.008438552145363288,2.3086794863520373e-4,0.004848933331216891,0.004848933331216891,0.004848933331216891,0.004848933331216891,0,-0.010125603542885362,-0.009564413848613649,-0.009196145279790142,-0.009632105471577933,4.926886071684872e-4,-0.003828642001024826,-0.003530355744051706,-0.003400969236848456,-0.003589618814146397,2.3086794863520224e-4,0,0,0,0,0,0,0,0,0,0,0.008249902568065348,0.008379289075268597,0.00867757533224172,0.008438552145363288,2.3086794863520373e-4,0.004848933331216891,0.004848933331216891,0.004848933331216891,0.004848933331216891,0
45-54,Food_price,USD,-0.32194186576651646,-0.28047264651946874,-0.2712877183287002,-0.2918004679427246,0.028407734707727398,0,0,0,0,0,-0.32194186576651646,-0.28047264651946874,-0.2712877183287002,-0.2918004679427246,0.028407734707727398,-10.682444265645147,-10.279935821270533,-9.915812114646224,-10.293404150305728,0.403659158046921,-0.2149099818466704,-0.18754744577829288,-0.181482377934335,-0.1950202416465103,0.01874599683391981,-0.10703188391984608,-0.09292520074117601,-0.08980534039436523,-0.09678022629621436,0.009661738235377188,0.5620011888002517,0.5711861169910204,0.6126553362380682,0.5825139384142762,0.02840773470772747,0.2907134704715516,0.2907134704715516,0.2907134704715516,0.2907134704715516,0,0.38137018532062844,0.3874352531645863,0.4147977892329639,0.3949080490328038,0.01874599683391983,0.19988780738629347,0.19988780738629347,0.19988780738629347,0.19988780738629344,0,0.1806310034796234,0.18375086382643419,0.19785754700510427,0.18760588938147257,0.009661738235377214,0.09082566308525816,0.09082566308525816,0.09082566308525816,0.09082566308525815,0,-0.2149099818466704,-0.18754744577829288,-0.181482377934335,-0.1950202416465103,0.01874599683391981,-0.10703188391984608,-0.09292520074117601,-0.08980534039436523,-0.09678022629621436,0.009661738235377188,0,0,0,0,0,0,0,0,0,0,0.1806310034796234,0.18375086382643419,0.19785754700510427,0.18760588938147257,0.009661738235377214,0.09082566308525816,0.09082566308525816,0.09082566308525816,0.09082566308525815,0
55-64,CED,MJ,-0.40280646025458205,-0.3717346632461784,-0.37090115271523405,-0.38234458832598867,0.019141789829569534,0,0,0,0,0,-0.40280646025458205,-0.3717346632461784,-0.37090115271523405,-0.38234458832598867,0.019141789829569534,-10.429748560576389,-9.460567665068147,-9.43252696780435,-9.790792296031112,0.597710126245212,-0.2972581484071998,-0.27448724317500117,-0.27410223890524804,-0.2823419452670873,0.013957186205218542,-0.10554831184738243,-0.09724742007117723,-0.09679891380998594,-0.10000264305890143,0.005186421795095175,0.8834261821105367,0.8842596926414809,0.9153314896498845,0.8948696177212913,0.019141789829569517,0.5125250293953025,0.5125250293953025,0.5125250293953025,0.5125250293953025,0,0.6644369427058651,0.664821946975618,0.6875928522078166,0.6726766490677042,0.013957186205218443,0.3903347038006168,0.3903347038006168,0.3903347038006168,0.3903347038006168,0,0.2189892394046716,0.21943774566586288,0.22773863744206807,0.22219296865358706,0.0051864217950951625,0.12219032559468564,0.12219032559468564,0.12219032559468564,0.12219032559468564,0,-0.2972581484071998,-0.27448724317500117,-0.27410223890524804,-0.2823419452670873,0.013957186205218542,-0.10554831184738243,-0.09724742007117723,-0.09679891380998594,-0.10000264305890143,0.005186421795095175,0,0,0,0,0,0,0,0,0,0,0.2189892394046716,0.21943774566586288,0.22773863744206807,0.22219296865358706,0.0051864217950951625,0.12219032559468564,0.12219032559468564,0.12219032559468564,0.12219032559468564,0
