age_gp,sex_gp,race_gp,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound  (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound  (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_impact_upper_bound  (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_impact_upper_bound  (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound  (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_impact_upper_bound  (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound  (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_impact_upper_bound  (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound  (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,combined_inedible_impact_lower_bound (2.5th percentile),combined_inedible_impact_median,combined_inedible_impact_upper_bound  (97.5th percentile),combined_inedible_impact_mean,combined_inedible_impact_SD,combined_wasted_impact_lower_bound (2.5th percentile),combined_wasted_impact_median,combined_wasted_impact_upper_bound  (97.5th percentile),combined_wasted_impact_mean,combined_wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_impact_upper_bound  (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound  (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_impact_upper_bound  (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_wasted_impact_upper_bound  (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
20-34,Female,HIS,CED,MJ,-0.4887520520161037,-0.47413943628192196,-0.4661882852618292,-0.4764767923219531,0.012046945040811786,0,0,0,0,0,-0.4887520520161037,-0.47413943628192196,-0.4661882852618292,-0.4764767923219531,0.012046945040811786,-12.856884832311609,-12.137502739386427,-11.992327773694187,-12.338978924380442,0.4873364534039284,-0.3576631605294242,-0.34699784511826853,-0.3431519639019999,-0.3493906290462991,0.007913598319225734,-0.13108889148667943,-0.12714159116365345,-0.12303632135982931,-0.1270861632756541,0.004238466630915391,1.1455728599769017,1.1535240109969946,1.1681366267311761,1.155861367037026,0.0120469450408117,0.6793845747150726,0.6793845747150726,0.6793845747150726,0.6793845747150726,0,0.860834645294195,0.8646805265104635,0.8753458419216193,0.867073310438494,0.007913598319225813,0.517682681392195,0.517682681392195,0.517682681392195,0.517682681392195,0,0.284738214682707,0.28884348448653113,0.2927907848095571,0.28878805659853174,0.004238466630915384,0.1617018933228777,0.1617018933228777,0.1617018933228777,0.1617018933228777,0,-0.3576631605294242,-0.34699784511826853,-0.3431519639019999,-0.3493906290462991,0.007913598319225734,-0.13108889148667943,-0.12714159116365345,-0.12303632135982931,-0.1270861632756541,0.004238466630915391,0,0,0,0,0,0,0,0,0,0,0.284738214682707,0.28884348448653113,0.2927907848095571,0.28878805659853174,0.004238466630915384,0.1617018933228777,0.1617018933228777,0.1617018933228777,0.1617018933228777,0
20-34,Female,HIS,FL,mrh-eq,-0.016060540288033262,-0.01546163357316199,-0.015050744991586448,-0.015527604848002597,5.345332566441232e-4,0,0,0,0,0,-0.016060540288033262,-0.01546163357316199,-0.015050744991586448,-0.015527604848002597,5.345332566441232e-4,-12.856884832311609,-12.137502739386427,-11.992327773694187,-12.338978924380442,0.4873364534039284,-0.011579516316785459,-0.011141733212864744,-0.010926779741832867,-0.01121991904896609,3.5015471506409185e-4,-0.004481023971247801,-0.004319900360297247,-0.00412396524975358,-0.004307685799036506,1.882231226134323e-4,0.039220003566534815,0.03963089214811036,0.04022979886298163,0.039696863422950965,5.345332566441214e-4,0.024169258574948373,0.024169258574948373,0.024169258574948373,0.024169258574948376,0,0.029406078471789002,0.029621031942820876,0.030058815046741596,0.029699217778922222,3.501547150640932e-4,0.018479298729956135,0.018479298729956135,0.018479298729956135,0.018479298729956135,0,0.009813925094745818,0.010009860205289484,0.010170983816240039,0.009997645644028743,1.8822312261343227e-4,0.005689959844992236,0.005689959844992236,0.005689959844992236,0.005689959844992236,0,-0.011579516316785459,-0.011141733212864744,-0.010926779741832867,-0.01121991904896609,3.5015471506409185e-4,-0.004481023971247801,-0.004319900360297247,-0.00412396524975358,-0.004307685799036506,1.882231226134323e-4,0,0,0,0,0,0,0,0,0,0,0.009813925094745818,0.010009860205289484,0.010170983816240039,0.009997645644028743,1.8822312261343227e-4,0.005689959844992236,0.005689959844992236,0.005689959844992236,0.005689959844992236,0
20-34,Female,HIS,Food_price,USD,-0.38944297144505335,-0.3717365451598387,-0.3301126579648668,-0.36334445361255546,0.03206109015999909,0,0,0,0,0,-0.38944297144505335,-0.3717365451598387,-0.3301126579648668,-0.36334445361255546,0.03206109015999909,-12.856884832311609,-12.137502739386427,-11.992327773694187,-12.338978924380442,0.4873364534039284,-0.2597180594620535,-0.24783340671006168,-0.22046478594974878,-0.24240043547907184,0.02118862155139429,-0.12972491198299985,-0.12390313844977709,-0.10964787201511803,-0.12094401813348366,0.010873173015506906,0.6666255005154725,0.7082493877104445,0.725955813995659,0.6998572961631612,0.032061090159998966,0.33651284255060565,0.33651284255060565,0.33651284255060565,0.33651284255060565,0,0.4513290132973669,0.4786976340576798,0.4905822868096715,0.4732646628266899,0.021188621551394223,0.23086422734761808,0.23086422734761808,0.23086422734761808,0.2308642273476181,0,0.21529648721810565,0.22955175365276467,0.23537352718598747,0.22659263333647126,0.010873173015506908,0.1056486152029876,0.1056486152029876,0.1056486152029876,0.10564861520298759,0,-0.2597180594620535,-0.24783340671006168,-0.22046478594974878,-0.24240043547907184,0.02118862155139429,-0.12972491198299985,-0.12390313844977709,-0.10964787201511803,-0.12094401813348366,0.010873173015506906,0,0,0,0,0,0,0,0,0,0,0.21529648721810565,0.22955175365276467,0.23537352718598747,0.22659263333647126,0.010873173015506908,0.1056486152029876,0.1056486152029876,0.1056486152029876,0.10564861520298759,0
20-34,Female,NHB,CED,MJ,-0.6494753588495318,-0.6178386373648529,-0.575159907021504,-0.6139642482916353,0.039257048935466096,0,0,0,0,0,-0.6494753588495318,-0.6178386373648529,-0.575159907021504,-0.6139642482916353,0.039257048935466096,-19.785129656191575,-19.77707100388046,-18.20499584524956,-19.228293282364746,0.9578665994270722,-0.4818039869792132,-0.45653483591097294,-0.42862230043754923,-0.4556073326109085,0.02800188430435946,-0.16767137187031864,-0.16130380145387999,-0.14653760658395473,-0.15835691568072677,0.011412054820295406,1.3378612907469687,1.3805400210903176,1.4121767425749965,1.3766656320171,0.03925704893546609,0.7627013837254647,0.7627013837254647,0.7627013837254647,0.7627013837254647,0,1.013726606115842,1.0416391415892658,1.066908292657506,1.0407116382892012,0.02800188430435943,0.585104305678293,0.585104305678293,0.585104305678293,0.585104305678293,0,0.3241346846311265,0.3389008795010518,0.3452684499174904,0.3359539937278986,0.01141205482029541,0.17759707804717184,0.17759707804717184,0.17759707804717184,0.17759707804717184,0,-0.4818039869792132,-0.45653483591097294,-0.42862230043754923,-0.4556073326109085,0.02800188430435946,-0.16767137187031864,-0.16130380145387999,-0.14653760658395473,-0.15835691568072677,0.011412054820295406,0,0,0,0,0,0,0,0,0,0,0.3241346846311265,0.3389008795010518,0.3452684499174904,0.3359539937278986,0.01141205482029541,0.17759707804717184,0.17759707804717184,0.17759707804717184,0.17759707804717184,0
20-34,Female,NHB,FL,mrh-eq,-0.020431590473359528,-0.0198747430362583,-0.018202225028255078,-0.019483279678047073,0.0012213449319776167,0,0,0,0,0,-0.020431590473359528,-0.0198747430362583,-0.018202225028255078,-0.019483279678047073,0.0012213449319776167,-19.785129656191575,-19.77707100388046,-18.20499584524956,-19.228293282364746,0.9578665994270722,-0.015014596555209437,-0.014557152184127044,-0.013464851411362385,-0.014334395551957826,8.38158111398773e-4,-0.00541699391815009,-0.005317590852131255,-0.0047373736168926945,-0.005148884126089246,3.863833688878135e-4,0.04469578711527375,0.046368305123276964,0.046925152560378186,0.045976841765065744,0.0012213449319776139,0.02649356208701867,0.02649356208701867,0.02649356208701867,0.02649356208701867,0,0.033900554735022875,0.03499285550778754,0.03545029987886993,0.03477009887561832,8.381581113987738e-4,0.020435703323660483,0.020435703323660483,0.020435703323660483,0.020435703323660483,0,0.010795232380250876,0.011375449615489436,0.01147485268150827,0.01120674288944743,3.863833688878135e-4,0.006057858763358181,0.006057858763358181,0.006057858763358181,0.006057858763358181,0,-0.015014596555209437,-0.014557152184127044,-0.013464851411362385,-0.014334395551957826,8.38158111398773e-4,-0.00541699391815009,-0.005317590852131255,-0.0047373736168926945,-0.005148884126089246,3.863833688878135e-4,0,0,0,0,0,0,0,0,0,0,0.010795232380250876,0.011375449615489436,0.01147485268150827,0.01120674288944743,3.863833688878135e-4,0.006057858763358181,0.006057858763358181,0.006057858763358181,0.006057858763358181,0
20-34,Female,NHB,Food_price,USD,-0.6016217988967997,-0.5750945041168131,-0.4812653584602659,-0.5514798195987217,0.066564943673302,0,0,0,0,0,-0.6016217988967997,-0.5750945041168131,-0.4812653584602659,-0.5514798195987217,0.066564943673302,-19.785129656191575,-19.77707100388046,-18.20499584524956,-19.228293282364746,0.9578665994270722,-0.4019119842197392,-0.3842841650837449,-0.3224101236568824,-0.36875917480624726,0.043950116192994555,-0.19970981467706034,-0.19081033903306818,-0.15885523480338357,-0.18272064479247432,0.022614951254926987,0.9584916962396283,1.0523208418961756,1.0788481366761618,1.0287061573780838,0.06656494367330194,0.47722633777936235,0.47722633777936235,0.47722633777936235,0.47722633777936235,0,0.6511985446871348,0.7130725861139973,0.7307004052499916,0.6975475958364997,0.04395011619299454,0.3287884210302525,0.3287884210302525,0.3287884210302525,0.3287884210302525,0,0.30729315155249354,0.3392482557821781,0.3481477314261703,0.33115856154158424,0.02261495125492701,0.14843791674910992,0.14843791674910992,0.14843791674910992,0.14843791674910992,0,-0.4019119842197392,-0.3842841650837449,-0.3224101236568824,-0.36875917480624726,0.043950116192994555,-0.19970981467706034,-0.19081033903306818,-0.15885523480338357,-0.18272064479247432,0.022614951254926987,0,0,0,0,0,0,0,0,0,0,0.30729315155249354,0.3392482557821781,0.3481477314261703,0.33115856154158424,0.02261495125492701,0.14843791674910992,0.14843791674910992,0.14843791674910992,0.14843791674910992,0
20-34,Female,NHW,CED,MJ,-0.4999398042255444,-0.48942294823630783,-0.4770652763455592,-0.4887770479199878,0.012052212818818601,0,0,0,0,0,-0.4999398042255444,-0.48942294823630783,-0.4770652763455592,-0.4887770479199878,0.012052212818818601,-14.089097074418042,-13.395619899968194,-13.311016170984718,-13.609259705394992,0.44937183502964206,-0.37572661259355467,-0.3653697281420065,-0.3563047991115275,-0.36582304583360975,0.010229543086756285,-0.12421319163198971,-0.12405322009430128,-0.12076047723403163,-0.12295400208637804,0.0020514608965070107,1.0928821052424946,1.1052397771332434,1.11575663312248,1.1045938768169234,0.012052212818818683,0.6158168288969356,0.6158168288969356,0.6158168288969356,0.6158168288969356,0,0.8297204381880154,0.8387853672184945,0.8491422516700428,0.8392386849100978,0.010229543086756342,0.47341563907648804,0.47341563907648804,0.47341563907648804,0.47341563907648804,0,0.26316166705447913,0.2664544099147487,0.2666143814524372,0.26535519190682555,0.00205146089650698,0.1424011898204475,0.1424011898204475,0.1424011898204475,0.1424011898204475,0,-0.37572661259355467,-0.3653697281420065,-0.3563047991115275,-0.36582304583360975,0.010229543086756285,-0.12421319163198971,-0.12405322009430128,-0.12076047723403163,-0.12295400208637804,0.0020514608965070107,0,0,0,0,0,0,0,0,0,0,0.26316166705447913,0.2664544099147487,0.2666143814524372,0.26535519190682555,0.00205146089650698,0.1424011898204475,0.1424011898204475,0.1424011898204475,0.1424011898204475,0
20-34,Female,NHW,FL,mrh-eq,-0.016255531220225976,-0.015947703977517436,-0.015703316291938142,-0.015969963471246993,2.9127803816955585e-4,0,0,0,0,0,-0.016255531220225976,-0.015947703977517436,-0.015703316291938142,-0.015969963471246993,2.9127803816955585e-4,-14.089097074418042,-13.395619899968194,-13.311016170984718,-13.609259705394992,0.44937183502964206,-0.01192095562560004,-0.011775559747433967,-0.011515325832833876,-0.011735265699562382,2.1632248270487192e-4,-0.004335409606679665,-0.004188824471157994,-0.0041729782421371965,-0.004234697771684617,9.427005187717915e-5,0.03776627426334698,0.03801066194892628,0.038318489191634816,0.03803292144265583,2.9127803816955905e-4,0.022062957971408836,0.022062957971408836,0.022062957971408836,0.022062957971408836,0,0.02843839089483127,0.028698624809431358,0.028844020687597435,0.028658330761559773,2.1632248270487346e-4,0.01692306506199739,0.01692306506199739,0.01692306506199739,0.01692306506199739,0,0.009312871151548646,0.00932871738056944,0.009475302516091112,0.009374590681096065,9.427005187717879e-5,0.005139892909411448,0.005139892909411448,0.005139892909411448,0.005139892909411448,0,-0.01192095562560004,-0.011775559747433967,-0.011515325832833876,-0.011735265699562382,2.1632248270487192e-4,-0.004335409606679665,-0.004188824471157994,-0.0041729782421371965,-0.004234697771684617,9.427005187717915e-5,0,0,0,0,0,0,0,0,0,0,0.009312871151548646,0.00932871738056944,0.009475302516091112,0.009374590681096065,9.427005187717879e-5,0.005139892909411448,0.005139892909411448,0.005139892909411448,0.005139892909411448,0
20-34,Female,NHW,Food_price,USD,-0.4951231395465027,-0.4739783787118441,-0.4321674078723382,-0.4667270769557574,0.03372443416331126,0,0,0,0,0,-0.4951231395465027,-0.4739783787118441,-0.4321674078723382,-0.4667270769557574,0.03372443416331126,-14.089097074418042,-13.395619899968194,-13.311016170984718,-13.609259705394992,0.44937183502964206,-0.3302035470457088,-0.3160967884207223,-0.2885414170708057,-0.31137797693829067,0.022304996575661876,-0.1649195925007938,-0.1578815902911218,-0.14362599080153246,-0.1553491000174666,0.011419743358034891,0.8579664910740711,0.8997774619135769,0.9209222227482353,0.8925261601574901,0.03372443416331118,0.4257990832017327,0.4257990832017327,0.4257990832017327,0.4257990832017327,0,0.5756274872349013,0.6031828585848178,0.6172896172098044,0.5984640471023862,0.022304996575661786,0.28708607016409554,0.28708607016409554,0.28708607016409554,0.28708607016409554,0,0.2823390038391696,0.296594603328759,0.303632605538431,0.29406211305510377,0.011419743358034931,0.13871301303763714,0.13871301303763714,0.13871301303763714,0.13871301303763714,0,-0.3302035470457088,-0.3160967884207223,-0.2885414170708057,-0.31137797693829067,0.022304996575661876,-0.1649195925007938,-0.1578815902911218,-0.14362599080153246,-0.1553491000174666,0.011419743358034891,0,0,0,0,0,0,0,0,0,0,0.2823390038391696,0.296594603328759,0.303632605538431,0.29406211305510377,0.011419743358034931,0.13871301303763714,0.13871301303763714,0.13871301303763714,0.13871301303763714,0
20-34,Female,OTH,CED,MJ,-0.404166963708328,-0.4002765994490721,-0.3835676723513232,-0.3957788581022325,0.011520217751147779,0,0,0,0,0,-0.404166963708328,-0.4002765994490721,-0.3835676723513232,-0.3957788581022325,0.011520217751147779,-11.817574372072784,-11.526790112758148,-11.045341963242086,-11.459890502161157,0.4105467155044128,-0.302245438103001,-0.2981999402833173,-0.2879641660020158,-0.2960279134546795,0.007748253436402112,-0.10206849424152176,-0.10191336068109408,-0.09559534142507436,-0.09975094464755302,0.0038876925657629867,1.0289793376239424,1.0456882647216912,1.049578628980947,1.0411905233748515,0.011520217751147683,0.6454116652726191,0.6454116652726191,0.6454116652726191,0.6454116652726191,0,0.7828283136104057,0.7930640878917071,0.7971095857113908,0.7908920610630693,0.00774825343640208,0.4948641476083898,0.4948641476083898,0.4948641476083898,0.49486414760838987,0,0.24614285908930347,0.2524608783453232,0.2526160119057509,0.25029846231178215,0.0038876925657630066,0.15054751766422914,0.15054751766422914,0.15054751766422914,0.15054751766422914,0,-0.302245438103001,-0.2981999402833173,-0.2879641660020158,-0.2960279134546795,0.007748253436402112,-0.10206849424152176,-0.10191336068109408,-0.09559534142507436,-0.09975094464755302,0.0038876925657629867,0,0,0,0,0,0,0,0,0,0,0.24614285908930347,0.2524608783453232,0.2526160119057509,0.25029846231178215,0.0038876925657630066,0.15054751766422914,0.15054751766422914,0.15054751766422914,0.15054751766422914,0
