age_gp,sex_gp,race_gp,Foodgroup,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound  (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound  (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_impact_upper_bound  (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_impact_upper_bound  (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound  (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_impact_upper_bound  (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound  (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_impact_upper_bound  (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound  (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,combined_inedible_impact_lower_bound (2.5th percentile),combined_inedible_impact_median,combined_inedible_impact_upper_bound  (97.5th percentile),combined_inedible_impact_mean,combined_inedible_impact_SD,combined_wasted_impact_lower_bound (2.5th percentile),combined_wasted_impact_median,combined_wasted_impact_upper_bound  (97.5th percentile),combined_wasted_impact_mean,combined_wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_impact_upper_bound  (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound  (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_impact_upper_bound  (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_wasted_impact_upper_bound  (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
20-34,Female,HIS,added_sugar,CED,MJ,-0.16335307746564903,-0.15603164660850802,-0.13723833431988064,-0.1520064250536005,0.01417977013556809,0,0,0,0,0,-0.16335307746564903,-0.15603164660850802,-0.13723833431988064,-0.1520064250536005,0.01417977013556809,-6.391910254404936,-6.105426952720475,-5.370055649065839,-5.947922390625678,0.5548461011008611,-0.10822263145483191,-0.10337212893803036,-0.09092141946146497,-0.1007053896539027,0.009394203410820434,-0.05513044601081711,-0.052659517670477635,-0.04631691485841569,-0.051301035399697825,0.00478556672474764,0.26088312644746925,0.27967643873609654,0.28699786959323753,0.27565121718118907,0.014179770135568058,0.12364479212758855,0.12364479212758855,0.12364479212758855,0.12364479212758855,0,0.17283701589427292,0.1852877253708383,0.19013822788763984,0.18262098608671062,0.009394203410820434,0.08191559643280794,0.08191559643280794,0.08191559643280794,0.08191559643280794,0,0.08804611055319632,0.09438871336525827,0.09685964170559774,0.09303023109447846,0.004785566724747636,0.041729195694780626,0.041729195694780626,0.041729195694780626,0.041729195694780626,0,-0.10822263145483191,-0.10337212893803036,-0.09092141946146497,-0.1007053896539027,0.009394203410820434,-0.05513044601081711,-0.052659517670477635,-0.04631691485841569,-0.051301035399697825,0.00478556672474764,0,0,0,0,0,0,0,0,0,0,0.08804611055319632,0.09438871336525827,0.09685964170559774,0.09303023109447846,0.004785566724747636,0.041729195694780626,0.041729195694780626,0.041729195694780626,0.041729195694780626,0
20-34,Female,HIS,added_sugar,FL,mrh-eq,-0.007080791990163173,-0.006763433237122972,-0.005948808026588259,-0.006588953778352968,6.146440848009061e-4,0,0,0,0,0,-0.007080791990163173,-0.006763433237122972,-0.005948808026588259,-0.006588953778352968,6.146440848009061e-4,-6.391910254404936,-6.105426952720475,-5.370055649065839,-5.947922390625678,0.5548461011008611,-0.004691077473706598,-0.004480824934225318,-0.003941129660029753,-0.004365230992220306,4.072062877376084e-4,-0.002389714516456576,-0.002282608302897654,-0.0020076783665585072,-0.002223722786132663,2.0743779706329786e-4,0.011308382925974692,0.012123008136509404,0.012440366889549602,0.0119485286777394,6.146440848009058e-4,0.0053595748993864305,0.0053595748993864305,0.0053595748993864305,0.00535957489938643,0,0.007491887981144563,0.008031583255340128,0.008241835794821408,0.007915989313335115,4.072062877376083e-4,0.00355075832111481,0.00355075832111481,0.00355075832111481,0.00355075832111481,0,0.0038164949448301275,0.0040914248811692745,0.004198531094728198,0.004032539364404284,2.0743779706329824e-4,0.0018088165782716207,0.0018088165782716207,0.0018088165782716207,0.0018088165782716205,0,-0.004691077473706598,-0.004480824934225318,-0.003941129660029753,-0.004365230992220306,4.072062877376084e-4,-0.002389714516456576,-0.002282608302897654,-0.0020076783665585072,-0.002223722786132663,2.0743779706329786e-4,0,0,0,0,0,0,0,0,0,0,0.0038164949448301275,0.0040914248811692745,0.004198531094728198,0.004032539364404284,2.0743779706329824e-4,0.0018088165782716207,0.0018088165782716207,0.0018088165782716207,0.0018088165782716205,0
20-34,Female,HIS,added_sugar,Food_price,USD,-0.37337296117015734,-0.3566385086483911,-0.31368299921897214,-0.34743813780360067,0.03241042560304713,0,0,0,0,0,-0.37337296117015734,-0.3566385086483911,-0.31368299921897214,-0.34743813780360067,0.03241042560304713,-6.391910254404936,-6.105426952720475,-5.370055649065839,-5.947922390625678,0.5548461011008611,-0.2473623698972818,-0.23627567036300254,-0.20781732517564522,-0.23018035609876464,0.021472148549331164,-0.1260105912728755,-0.12036283828538856,-0.10586567404332689,-0.11725778170483603,0.010938277053715967,0.5962955026758129,0.6392510121052318,0.6559854646269979,0.6300506412604414,0.03241042560304711,0.2826125034568407,0.2826125034568407,0.2826125034568407,0.2826125034568407,0,0.395050215309403,0.4235085604967603,0.43459526003103954,0.41741324623252235,0.021472148549331153,0.1872328901337577,0.1872328901337577,0.1872328901337577,0.18723289013375774,0,0.2012452873664099,0.2157424516084715,0.2213902045959585,0.212637395027919,0.010938277053715957,0.09537961332308298,0.09537961332308298,0.09537961332308298,0.09537961332308298,0,-0.2473623698972818,-0.23627567036300254,-0.20781732517564522,-0.23018035609876464,0.021472148549331164,-0.1260105912728755,-0.12036283828538856,-0.10586567404332689,-0.11725778170483603,0.010938277053715967,0,0,0,0,0,0,0,0,0,0,0.2012452873664099,0.2157424516084715,0.2213902045959585,0.212637395027919,0.010938277053715957,0.09537961332308298,0.09537961332308298,0.09537961332308298,0.09537961332308298,0
20-34,Female,HIS,oil,CED,MJ,-0.004173229122899828,-0.003142799966685931,2.3767335192319053e-4,-0.0023182230675998874,0.0024288754145774948,0,0,0,0,0,-0.004173229122899828,-0.003142799966685931,2.3767335192319053e-4,-0.0023182230675998874,0.0024288754145774948,-0.442323055626286,-0.3331072518541128,0.025191141000798258,-0.24570985217595917,0.2574379607427243,-0.003480592388599388,-0.00262118501543871,1.9822636987204174e-4,-0.0019334643094211408,0.002025751530019098,-6.926367343004392e-4,-5.216149512472211e-4,3.94469820511488e-5,-3.8475875817874685e-4,4.031238845583964e-4,0.14810607581519833,0.15148654913380744,0.15251697829002134,0.15066197223472141,0.002428875414577483,0.1483437491671215,0.1483437491671215,0.1483437491671215,0.1483437491671215,0,0.12352470113826473,0.1263441125235755,0.12720351989673617,0.12565639181755792,0.002025751530019102,0.12372292750813678,0.12372292750813678,0.12372292750813678,0.12372292750813678,0,0.02458137467693359,0.025142436610231956,0.025313458393285172,0.02500558041716348,4.0312388455839503e-4,0.024620821658984736,0.024620821658984736,0.024620821658984736,0.024620821658984732,0,-0.003480592388599388,-0.00262118501543871,1.9822636987204174e-4,-0.0019334643094211408,0.002025751530019098,-6.926367343004392e-4,-5.216149512472211e-4,3.94469820511488e-5,-3.8475875817874685e-4,4.031238845583964e-4,0,0,0,0,0,0,0,0,0,0,0.02458137467693359,0.025142436610231956,0.025313458393285172,0.02500558041716348,4.0312388455839503e-4,0.024620821658984736,0.024620821658984736,0.024620821658984736,0.024620821658984732,0
20-34,Female,HIS,oil,FL,mrh-eq,-2.1541132809000128e-4,-1.622232316529529e-4,1.2268085667388756e-5,-1.1966069800969214e-4,1.2537228688170674e-4,0,0,0,0,0,-2.1541132809000128e-4,-1.622232316529529e-4,1.2268085667388756e-5,-1.1966069800969214e-4,1.2537228688170674e-4,-0.442323055626286,-0.3331072518541128,0.025191141000798258,-0.24570985217595917,0.2574379607427243,-1.7965920559069696e-4,-1.3529881267408577e-4,1.0231934154366651e-5,-9.980044288045728e-5,1.0456407127690805e-4,-3.575212249930432e-5,-2.6924418978867132e-5,2.0361515130221074e-6,-1.9860255129234836e-5,2.0808215604798685e-5,0.007644853793069845,0.007819345110390187,0.007872533206827235,0.007776782576746927,1.2537228688170663e-4,0.007657121878737233,0.007657121878737233,0.007657121878737233,0.007657121878737234,0,0.006376026606855633,0.006521557353684085,0.006565917746600697,0.006486058983890457,1.0456407127690796e-4,0.00638625854101,0.00638625854101,0.00638625854101,0.00638625854101,0,0.0012688271862142115,0.0012977877567061005,0.001306615460226538,0.0012907235928564683,2.080821560479872e-5,0.0012708633377272337,0.0012708633377272337,0.0012708633377272337,0.0012708633377272337,0,-1.7965920559069696e-4,-1.3529881267408577e-4,1.0231934154366651e-5,-9.980044288045728e-5,1.0456407127690805e-4,-3.575212249930432e-5,-2.6924418978867132e-5,2.0361515130221074e-6,-1.9860255129234836e-5,2.0808215604798685e-5,0,0,0,0,0,0,0,0,0,0,0.0012688271862142115,0.0012977877567061005,0.001306615460226538,0.0012907235928564683,2.080821560479872e-5,0.0012708633377272337,0.0012708633377272337,0.0012708633377272337,0.0012708633377272337,0
20-34,Female,HIS,oil,Food_price,USD,-9.696092930694915e-4,-7.301990770733709e-4,5.5221097129593883e-05,-5.386166355972852e-4,5.643256347367541e-4,0,0,0,0,0,-9.696092930694915e-4,-7.301990770733709e-4,5.5221097129593883e-05,-5.386166355972852e-4,5.643256347367541e-4,-0.442323055626286,-0.3331072518541128,0.025191141000798258,-0.24570985217595917,0.2574379607427243,-8.086818686408159e-4,-6.090069044802066e-4,4.6055973611582474e-5,-4.492216715218979e-4,4.7066371174737107e-4,-1.6092742442867558e-4,-1.2119217259316422e-4,9.165123518011402e-6,-8.93949640753873e-5,9.3661922989383e-5,0.03441100961422529,0.035196429788428255,0.03543584000442438,0.035004847346952174,5.643256347367554e-4,0.034466230711354885,0.034466230711354885,0.034466230711354885,0.034466230711354885,0,0.028699765725795738,0.029354828603887526,0.029554503568048136,0.02919504337092922,4.7066371174737107e-4,0.028745821699407318,0.028745821699407318,0.028745821699407318,0.028745821699407318,0,0.005711243888429555,0.005841601184540731,0.005881336436376242,0.005809803976022953,9.366192298938297e-5,0.005720409011947566,0.005720409011947566,0.005720409011947566,0.005720409011947566,0,-8.086818686408159e-4,-6.090069044802066e-4,4.6055973611582474e-5,-4.492216715218979e-4,4.7066371174737107e-4,-1.6092742442867558e-4,-1.2119217259316422e-4,9.165123518011402e-6,-8.93949640753873e-5,9.3661922989383e-5,0,0,0,0,0,0,0,0,0,0,0.005711243888429555,0.005841601184540731,0.005881336436376242,0.005809803976022953,9.366192298938297e-5,0.005720409011947566,0.005720409011947566,0.005720409011947566,0.005720409011947566,0
20-34,Female,HIS,sat_fat,CED,MJ,-0.3251604683915245,-0.3226399211562445,-0.318729209597813,-0.3221521442007527,0.0034111303593907533,0,0,0,0,0,-0.3251604683915245,-0.3226399211562445,-0.318729209597813,-0.3221521442007527,0.0034111303593907533,-6.202733215909468,-6.154651472959968,-6.080051074574158,-6.145346681578807,0.06507043026679854,-0.24905599483584895,-0.24712538684306698,-0.2441299853340236,-0.24675177508297527,0.002612748312780351,-0.07610447355567561,-0.07551453431317753,-0.07459922426378938,-0.0754003691177775,7.983820466103794e-4,0.7261252430181757,0.7300359545766072,0.7325565018118871,0.7295481776211153,0.003411130359390702,0.4073960334203626,0.4073960334203626,0.4073960334203626,0.4073960334203626,0,0.5561741427852739,0.5591695442943173,0.5611001522870993,0.5587959325342257,0.002612748312780382,0.3120441574512503,0.3120441574512503,0.3120441574512503,0.3120441574512503,0,0.16995110023290175,0.17086641028228985,0.17145634952478794,0.17075224508688983,7.983820466103711e-4,0.09535187596911232,0.09535187596911232,0.09535187596911232,0.09535187596911232,0,-0.24905599483584895,-0.24712538684306698,-0.2441299853340236,-0.24675177508297527,0.002612748312780351,-0.07610447355567561,-0.07551453431317753,-0.07459922426378938,-0.0754003691177775,7.983820466103794e-4,0,0,0,0,0,0,0,0,0,0,0.16995110023290175,0.17086641028228985,0.17145634952478794,0.17075224508688983,7.983820466103711e-4,0.09535187596911232,0.09535187596911232,0.09535187596911232,0.09535187596911232,0
20-34,Female,HIS,sat_fat,FL,mrh-eq,-0.00890134395068877,-0.008832343379997717,-0.008725286735486988,-0.008818990371639936,9.338049222211358e-5,0,0,0,0,0,-0.00890134395068877,-0.008832343379997717,-0.008725286735486988,-0.008818990371639936,9.338049222211358e-5,-6.202733215909468,-6.154651472959968,-6.080051074574158,-6.145346681578807,0.06507043026679854,-0.006817966169077651,-0.006765115323270009,-0.006683115505659024,-0.006754887613865328,7.152459677427986e-5,-0.002083377781611118,-0.002067228056727707,-0.002042171229827964,-0.002064102757774608,2.185589544783389e-5,0.019877848532311695,0.019984905176822422,0.020053905747513475,0.01997155216846464,9.338049222211266e-5,0.011152561796824707,0.011152561796824707,0.011152561796824707,0.011152561796824707,0,0.01522539737349035,0.015307397191101333,0.015360248036908976,0.015297169481696649,7.152459677427946e-5,0.008542281867831325,0.008542281867831325,0.008542281867831325,0.008542281867831325,0,0.004652451158821347,0.00467750798572109,0.004693657710604501,0.004674382686767991,2.185589544783366e-5,0.0026102799289933827,0.0026102799289933827,0.0026102799289933827,0.0026102799289933827,0,-0.006817966169077651,-0.006765115323270009,-0.006683115505659024,-0.006754887613865328,7.152459677427986e-5,-0.002083377781611118,-0.002067228056727707,-0.002042171229827964,-0.002064102757774608,2.185589544783389e-5,0,0,0,0,0,0,0,0,0,0,0.004652451158821347,0.00467750798572109,0.004693657710604501,0.004674382686767991,2.185589544783366e-5,0.0026102799289933827,0.0026102799289933827,0.0026102799289933827,0.0026102799289933827,0
20-34,Female,HIS,sat_fat,Food_price,USD,-0.015511205966690889,-0.015390967711688358,-0.01520441412244297,-0.01536769917335753,1.6272195032033447e-4,0,0,0,0,0,-0.015511205966690889,-0.015390967711688358,-0.01520441412244297,-0.01536769917335753,1.6272195032033447e-4,-6.202733215909468,-6.154651472959968,-6.080051074574158,-6.145346681578807,0.06507043026679854,-0.011880776443237064,-0.011788680198065825,-0.01164578985844507,-0.011770857708785292,1.2463654459330553e-4,-0.0036304295234538225,-0.003602287513622533,-0.0035586242639979006,-0.003596841464572237,3.808540572702829e-5,0.034638522504853095,0.03482507609409848,0.03494531434910101,0.03480180755576765,1.6272195032033377e-4,0.019434108382410123,0.019434108382410123,0.019434108382410123,0.019434108382410123,0,0.026531305372898138,0.026674195712518892,0.026766291957690126,0.02665637322323836,1.2463654459330303e-4,0.014885515514453067,0.014885515514453067,0.014885515514453067,0.014885515514453067,0,0.008107217131954957,0.00815088038157959,0.008179022391410879,0.008145434332529294,3.808540572702812e-5,0.004548592867957057,0.004548592867957057,0.004548592867957057,0.004548592867957057,0,-0.011880776443237064,-0.011788680198065825,-0.01164578985844507,-0.011770857708785292,1.2463654459330553e-4,-0.0036304295234538225,-0.003602287513622533,-0.0035586242639979006,-0.003596841464572237,3.808540572702829e-5,0,0,0,0,0,0,0,0,0,0,0.008107217131954957,0.00815088038157959,0.008179022391410879,0.008145434332529294,3.808540572702812e-5,0.004548592867957057,0.004548592867957057,0.004548592867957057,0.004548592867957057,0
20-34,Female,NHB,added_sugar,CED,MJ,-0.21165386541241482,-0.2017340872388803,-0.16693533327569718,-0.19300462204952992,0.024720421548313113,0,0,0,0,0,-0.21165386541241482,-0.2017340872388803,-0.16693533327569718,-0.19300462204952992,0.024720421548313113,-8.198632897118305,-7.81437995892044,-6.466413984071088,-7.4762350337795676,0.9575712729919458,-0.13994903000435277,-0.13338990891039387,-0.11038039829730802,-0.12761784241245458,0.01634555083718397,-0.07170483540806206,-0.06834417832848644,-0.05655493497838917,-0.06538677963707533,0.008374870711129138,0.312766089499563,0.3475648434627461,0.3574846216362806,0.3388353782733957,0.024720421548313082,0.14583075622386577,0.14583075622386577,0.14583075622386577,0.14583075622386577,0,0.20680610183248258,0.2298156124455684,0.23637473353952726,0.22404354594762912,0.016345550837183948,0.09642570353517455,0.09642570353517455,0.09642570353517455,0.09642570353517455,0,0.10595998766708041,0.11774923101717766,0.12110988809675327,0.11479183232576656,0.008374870711129129,0.049405052688691234,0.049405052688691234,0.049405052688691234,0.04940505268869124,0,-0.13994903000435277,-0.13338990891039387,-0.11038039829730802,-0.12761784241245458,0.01634555083718397,-0.07170483540806206,-0.06834417832848644,-0.05655493497838917,-0.06538677963707533,0.008374870711129138,0,0,0,0,0,0,0,0,0,0,0.10595998766708041,0.11774923101717766,0.12110988809675327,0.11479183232576656,0.008374870711129129,0.049405052688691234,0.049405052688691234,0.049405052688691234,0.04940505268869124,0
