race_gp,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound  (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound  (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_impact_upper_bound  (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_impact_upper_bound  (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound  (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_impact_upper_bound  (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound  (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_impact_upper_bound  (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound  (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,combined_inedible_impact_lower_bound (2.5th percentile),combined_inedible_impact_median,combined_inedible_impact_upper_bound  (97.5th percentile),combined_inedible_impact_mean,combined_inedible_impact_SD,combined_wasted_impact_lower_bound (2.5th percentile),combined_wasted_impact_median,combined_wasted_impact_upper_bound  (97.5th percentile),combined_wasted_impact_mean,combined_wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_impact_upper_bound  (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound  (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_impact_upper_bound  (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_wasted_impact_upper_bound  (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
HIS,CED,MJ,-0.38087180094887996,-0.37261713279795183,-0.37064928489843885,-0.37482303464055367,0.0057093629025745385,0,0,0,0,0,-0.38087180094887996,-0.37261713279795183,-0.37064928489843885,-0.37482303464055367,0.0057093629025745385,-9.472821124080316,-8.72559902423246,-8.708032216293349,-8.981618424902194,0.4595456290443973,-0.2782898003367585,-0.27241180509130436,-0.27123394099900133,-0.2740609739169714,0.003978783597291769,-0.10258200061212146,-0.10020532770664749,-0.09941534389943747,-0.10076206072358222,0.001734999727316015,0.9743491401819788,0.9763169880814918,0.9845716562324204,0.9785228899240938,0.005709362902574801,0.6036998552835401,0.6036998552835401,0.6036998552835401,0.6036998552835401,0,0.7298199354797219,0.7309977995720254,0.736875794817479,0.73264696839769206,0.003978783597291697,0.4585859944807204,0.4585859944807204,0.4585859944807204,0.4585859944807204,0,0.2445292047022571,0.24531918850946713,0.24769586141494104,0.24587592152640184,0.001734999727315976,0.14511386080281968,0.14511386080281968,0.14511386080281968,0.14511386080281968,0,-0.2782898003367585,-0.27241180509130436,-0.27123394099900133,-0.2740609739169714,0.003978783597291769,-0.10258200061212146,-0.10020532770664749,-0.09941534389943747,-0.10076206072358222,0.001734999727316015,0,0,0,0,0,0,0,0,0,0,0.2445292047022571,0.24531918850946713,0.24769586141494104,0.24587592152640184,0.001734999727315976,0.14511386080281968,0.14511386080281968,0.14511386080281968,0.14511386080281968,0
HIS,FL,mrh-eq,-0.01236236523916745,-0.01189405789921785,-0.011786498120249341,-0.012020635990790162,3.223023732850901e-4,0,0,0,0,0,-0.01236236523916745,-0.01189405789921785,-0.011786498120249341,-0.012020635990790162,3.223023732850901e-4,-9.472821124080316,-8.72559902423246,-8.708032216293349,-8.981618424902194,0.4595456290443973,-0.008884181338387438,-0.008542823775238715,-0.008478478614296934,-0.008640021109346413,2.2952035015194513e-4,-0.0034781839007800154,-0.003351234123979134,-0.0033080195059524056,-0.003380614881443749,9.310452461503941e-5,0.03316163473046796,0.033269194509436474,0.033737501849386085,0.03339577260100879,3.2230237328509994e-4,0.021375136610218625,0.021375136610218625,0.021375136610218625,0.021375136610218625,0,0.024757963932720634,0.024822309093662422,0.02516366665681114,0.02491950642777012,2.2952035015194727e-4,0.016279485318423707,0.016279485318423707,0.016279485318423707,0.016279485318423707,0,0.008403670797747334,0.008446885415774062,0.008573835192574947,0.008476266173238678,9.310452461504092e-5,0.005095651291794928,0.005095651291794928,0.005095651291794928,0.005095651291794928,0,-0.008884181338387438,-0.008542823775238715,-0.008478478614296934,-0.008640021109346413,2.2952035015194513e-4,-0.0034781839007800154,-0.003351234123979134,-0.0033080195059524056,-0.003380614881443749,9.310452461503941e-5,0,0,0,0,0,0,0,0,0,0,0.008403670797747334,0.008446885415774062,0.008573835192574947,0.008476266173238678,9.310452461504092e-5,0.005095651291794928,0.005095651291794928,0.005095651291794928,0.005095651291794928,0
HIS,Food_price,USD,-0.2984476185375798,-0.2773348129560113,-0.27467577826609735,-0.2838098202864164,0.013710645282846825,0,0,0,0,0,-0.2984476185375798,-0.2773348129560113,-0.27467577826609735,-0.2838098202864164,0.013710645282846825,-9.472821124080316,-8.72559902423246,-8.708032216293349,-8.981618424902194,0.4595456290443973,-0.19890888675777607,-0.18470903073561307,-0.18294801186365514,-0.1890735349988429,0.00921164530449139,-0.09953873177980375,-0.0926257822203982,-0.09172776640244217,-0.09473628528757348,0.004499030041078985,0.5888504801564537,0.5915095148463676,0.6126223204279362,0.5979845221767728,0.01371064528284687,0.31417470189035623,0.31417470189035623,0.31417470189035623,0.31417470189035623,0,0.397655888805626,0.3994169076775839,0.41361676369974704,0.40378141194081385,0.00921164530449145,0.21470787694197094,0.21470787694197094,0.21470787694197094,0.21470787694197094,0,0.1911945913508276,0.1920926071687836,0.19900555672818915,0.1942031102359589,0.0044990300410789755,0.0994668249483854,0.0994668249483854,0.0994668249483854,0.0994668249483854,0,-0.19890888675777607,-0.18470903073561307,-0.18294801186365514,-0.1890735349988429,0.00921164530449139,-0.09953873177980375,-0.0926257822203982,-0.09172776640244217,-0.09473628528757348,0.004499030041078985,0,0,0,0,0,0,0,0,0,0,0.1911945913508276,0.1920926071687836,0.19900555672818915,0.1942031102359589,0.0044990300410789755,0.0994668249483854,0.0994668249483854,0.0994668249483854,0.0994668249483854,0
NHB,CED,MJ,-0.4923774010329798,-0.4846443088590517,-0.4736884617324763,-0.4835135176475965,0.0098849125641354,0,0,0,0,0,-0.4923774010329798,-0.4846443088590517,-0.4736884617324763,-0.4835135176475965,0.0098849125641354,-14.566568113416057,-13.93370339112599,-13.701493088097086,-14.074283889112364,0.4712989027865515,-0.3601972867773176,-0.35438827857372784,-0.34558666539578453,-0.3533382417406214,0.007743382222001965,-0.13218011425566212,-0.13025603028532368,-0.12810179633669183,-0.1301752759069751,0.002147622107415447,1.125690019040021,1.1366458661665964,1.1443789583405242,1.135515074955141,0.009884912564135293,0.6520015573075447,0.6520015573075447,0.6520015573075447,0.6520015573075447,0,0.8423974217732856,0.8511990349512286,0.8570080431548186,0.8501489981181223,0.007743382222001924,0.49681075637750105,0.49681075637750105,0.49681075637750105,0.49681075637750105,0,0.28329259726673545,0.28544683121536735,0.2873709151857057,0.2853660768370187,0.002147622107415407,0.1551908009300437,0.1551908009300437,0.1551908009300437,0.1551908009300437,0,-0.3601972867773176,-0.35438827857372784,-0.34558666539578453,-0.3533382417406214,0.007743382222001965,-0.13218011425566212,-0.13025603028532368,-0.12810179633669183,-0.1301752759069751,0.002147622107415447,0,0,0,0,0,0,0,0,0,0,0.28329259726673545,0.28544683121536735,0.2873709151857057,0.2853660768370187,0.002147622107415407,0.1551908009300437,0.1551908009300437,0.1551908009300437,0.1551908009300437,0
NHB,FL,mrh-eq,-0.016070576688562047,-0.015691191395549215,-0.015405802999485805,-0.01572417276289989,3.5104481825390973e-4,0,0,0,0,0,-0.016070576688562047,-0.015691191395549215,-0.015405802999485805,-0.01572417276289989,3.5104481825390973e-4,-14.566568113416057,-13.93370339112599,-13.701493088097086,-14.074283889112364,0.4712989027865515,-0.011611762348532359,-0.011322587072875213,-0.011089842711706892,-0.011342387393748486,2.752292371206813e-4,-0.004458814340029687,-0.004368604322674004,-0.004315960287778916,-0.004381785369151406,7.604795333855568e-5,0.03806809909271383,0.03835348748877726,0.03873287278179008,0.038386468856127925,3.510448182539117e-4,0.022662296093228045,0.022662296093228045,0.022662296093228045,0.022662296093228045,0,0.028424569401208313,0.02865731376237663,0.028946489038033776,0.0286771140832499,2.752292371206779e-4,0.017334726689501423,0.017334726689501423,0.017334726689501423,0.017334726689501423,0,0.009643529691505533,0.009696173726400617,0.009786383743756299,0.00970935477287802,7.604795333855365e-5,0.005327569403726615,0.005327569403726615,0.005327569403726615,0.005327569403726615,0,-0.011611762348532359,-0.011322587072875213,-0.011089842711706892,-0.011342387393748486,2.752292371206813e-4,-0.004458814340029687,-0.004368604322674004,-0.004315960287778916,-0.004381785369151406,7.604795333855568e-5,0,0,0,0,0,0,0,0,0,0,0.009643529691505533,0.009696173726400617,0.009786383743756299,0.00970935477287802,7.604795333855365e-5,0.005327569403726615,0.005327569403726615,0.005327569403726615,0.005327569403726615,0
NHB,Food_price,USD,-0.4495204409221124,-0.4483945274986351,-0.44069318338762925,-0.44608735883634437,0.005057359953716477,0,0,0,0,0,-0.4495204409221124,-0.4483945274986351,-0.44069318338762925,-0.44608735883634437,0.005057359953716477,-14.566568113416057,-13.93370339112599,-13.701493088097086,-14.074283889112364,0.4712989027865515,-0.2995769843388173,-0.2989553370101643,-0.2937702324344,-0.29735412394100247,0.003356066227727242,-0.14994345658329503,-0.14943919048847087,-0.14692295095322902,-0.14873323489534185,0.0017032476693514475,0.7829117150844377,0.7906130591954436,0.7917389726189208,0.7883058905331528,0.005057359953716471,0.34221853169680855,0.34221853169680855,0.34221853169680855,0.34221853169680855,0,0.5247977421620902,0.5299828467378542,0.5306044940665076,0.5283816336686925,0.0033560662277272077,0.23102750972769015,0.23102750972769015,0.23102750972769015,0.23102750972769015,0,0.2581139729223476,0.2606302124575893,0.26113447855241356,0.25992425686446036,0.0017032476693514143,0.1111910219691185,0.1111910219691185,0.1111910219691185,0.1111910219691185,0,-0.2995769843388173,-0.2989553370101643,-0.2937702324344,-0.29735412394100247,0.003356066227727242,-0.14994345658329503,-0.14943919048847087,-0.14692295095322902,-0.14873323489534185,0.0017032476693514475,0,0,0,0,0,0,0,0,0,0,0.2581139729223476,0.2606302124575893,0.26113447855241356,0.25992425686446036,0.0017032476693514143,0.1111910219691185,0.1111910219691185,0.1111910219691185,0.1111910219691185,0
NHW,CED,MJ,-0.4383684230499103,-0.43620738398319026,-0.42808107342871105,-0.4341143062681871,0.005709763475679447,0,0,0,0,0,-0.4383684230499103,-0.43620738398319026,-0.42808107342871105,-0.4341143062681871,0.005709763475679447,-10.845357635109323,-10.729970693981032,-10.700774214763472,-10.760212961318132,0.08047750615750783,-0.3255962977175533,-0.32458263901275874,-0.31861069488688526,-0.3228428897422047,0.0039733709071375954,-0.11277212533235706,-0.1116247449704315,-0.10947037854182577,-0.11127141652598233,0.0017644958669102567,0.9921969774363704,1.000323287990849,1.0024843270575694,0.998230210275846,0.005709763475679239,0.5641159040076592,0.5641159040076592,0.5641159040076592,0.5641159040076592,0,0.7498914848379623,0.755863428963836,0.7568770876686304,0.754123679693282,0.003973370907137671,0.4312807899510772,0.4312807899510772,0.4312807899510772,0.43128078995107727,0,0.2423054925984078,0.24445985902701353,0.24560723938893908,0.24410653058256435,0.0017644958669102504,0.13283511405658197,0.13283511405658197,0.13283511405658197,0.13283511405658197,0,-0.3255962977175533,-0.32458263901275874,-0.31861069488688526,-0.3228428897422047,0.0039733709071375954,-0.11277212533235706,-0.1116247449704315,-0.10947037854182577,-0.11127141652598233,0.0017644958669102567,0,0,0,0,0,0,0,0,0,0,0.2423054925984078,0.24445985902701353,0.24560723938893908,0.24410653058256435,0.0017644958669102504,0.13283511405658197,0.13283511405658197,0.13283511405658197,0.13283511405658197,0
NHW,FL,mrh-eq,-0.014000410355728727,-0.01392002335960597,-0.013697100432829378,-0.01387001075235901,1.654081438870893e-4,0,0,0,0,0,-0.014000410355728727,-0.01392002335960597,-0.013697100432829378,-0.01387001075235901,1.654081438870893e-4,-10.845357635109323,-10.729970693981032,-10.700774214763472,-10.760212961318132,0.08047750615750783,-0.010228225777295713,-0.010199262590718893,-0.010040290480876835,-0.010153645424660913,1.0651074146289311e-4,-0.003772184578433016,-0.0037207607688870747,-0.003656809951952544,-0.0037163653276980958,6.084268137030627e-5,0.03376828102169873,0.03399120394847532,0.03407159094459808,0.03394119134122836,1.6540814388708684e-4,0.020071180588869347,0.020071180588869347,0.020071180588869347,0.020071180588869347,0,0.025397231496299598,0.025556203606141647,0.02558516679271847,0.025510586440083676,1.0651074146288741e-4,0.01535694101542276,0.01535694101542276,0.01535694101542276,0.01535694101542276,0,0.008371049525399138,0.008435000342333665,0.008486424151879609,0.008430604901144688,6.084268137030573e-5,0.00471423957344659,0.00471423957344659,0.00471423957344659,0.00471423957344659,0,-0.010228225777295713,-0.010199262590718893,-0.010040290480876835,-0.010153645424660913,1.0651074146289311e-4,-0.003772184578433016,-0.0037207607688870747,-0.003656809951952544,-0.0037163653276980958,6.084268137030627e-5,0,0,0,0,0,0,0,0,0,0,0.008371049525399138,0.008435000342333665,0.008486424151879609,0.008430604901144688,6.084268137030573e-5,0.00471423957344659,0.00471423957344659,0.00471423957344659,0.00471423957344659,0
NHW,Food_price,USD,-0.3229538075624661,-0.313683238479045,-0.30835088589925297,-0.31506506883119556,0.0077783557008285695,0,0,0,0,0,-0.3229538075624661,-0.313683238479045,-0.30835088589925297,-0.31506506883119556,0.0077783557008285695,-10.845357635109323,-10.729970693981032,-10.700774214763472,-10.760212961318132,0.08047750615750783,-0.21571970403823626,-0.2097023770647428,-0.20618477602829705,-0.21057947388475953,0.005075543684740401,-0.10723410352422985,-0.10398086141430225,-0.1021661098709559,-0.10448559494643601,0.002702943474700411,0.6356384911450488,0.6409708437248408,0.6502414128082621,0.6423526740769914,0.007778355700828629,0.3272876052457957,0.3272876052457957,0.3272876052457957,0.3272876052457957,0,0.43033231468812605,0.4338499157245716,0.43986724269806515,0.4347270125445884,0.00507554368474037,0.2241475386598288,0.2241475386598288,0.2241475386598288,0.2241475386598288,0,0.20530617645692278,0.20712092800026918,0.21037417011019666,0.2076256615324029,0.002702943474700362,0.10314006658596692,0.10314006658596692,0.10314006658596692,0.10314006658596692,0,-0.21571970403823626,-0.2097023770647428,-0.20618477602829705,-0.21057947388475953,0.005075543684740401,-0.10723410352422985,-0.10398086141430225,-0.1021661098709559,-0.10448559494643601,0.002702943474700411,0,0,0,0,0,0,0,0,0,0,0.20530617645692278,0.20712092800026918,0.21037417011019666,0.2076256615324029,0.002702943474700362,0.10314006658596692,0.10314006658596692,0.10314006658596692,0.10314006658596692,0
OTH,CED,MJ,-0.3086119873219402,-0.3063489058363887,-0.28621510820131424,-0.30007847911725777,0.01297850726594296,0,0,0,0,0,-0.3086119873219402,-0.3063489058363887,-0.28621510820131424,-0.30007847911725777,0.01297850726594296,-7.995184344423918,-7.873832665942493,-7.217515825580437,-7.686125591598412,0.4403990363013135,-0.2298825486951883,-0.22839001428840475,-0.2127567076224106,-0.22342833981148877,0.009985422141786214,-0.07872943862675183,-0.07795889154798387,-0.07345840057890361,-0.07665013930576903,0.0029968282360685245,0.8133740345938293,0.8335078322289036,0.8357709137144553,0.827237405509773,0.012978507265942895,0.5271589263925149,0.5271589263925149,0.5271589263925149,0.5271589263925149,0,0.6152212945674245,0.6308546012334186,0.6323471356402021,0.6258929267565025,0.009985422141786226,0.40246458694501397,0.40246458694501397,0.40246458694501397,0.4024645869450139,0,0.19815274002640468,0.20265323099548502,0.2034237780742529,0.20134447875327013,0.0029968282360685475,0.12469433944750115,0.12469433944750115,0.12469433944750115,0.12469433944750115,0,-0.2298825486951883,-0.22839001428840475,-0.2127567076224106,-0.22342833981148877,0.009985422141786214,-0.07872943862675183,-0.07795889154798387,-0.07345840057890361,-0.07665013930576903,0.0029968282360685245,0,0,0,0,0,0,0,0,0,0,0.19815274002640468,0.20265323099548502,0.2034237780742529,0.20134447875327013,0.0029968282360685475,0.12469433944750115,0.12469433944750115,0.12469433944750115,0.12469433944750115,0
