sex_gp,race_gp,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound  (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound  (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_impact_upper_bound  (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_impact_upper_bound  (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound  (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_impact_upper_bound  (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound  (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_impact_upper_bound  (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound  (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,combined_inedible_impact_lower_bound (2.5th percentile),combined_inedible_impact_median,combined_inedible_impact_upper_bound  (97.5th percentile),combined_inedible_impact_mean,combined_inedible_impact_SD,combined_wasted_impact_lower_bound (2.5th percentile),combined_wasted_impact_median,combined_wasted_impact_upper_bound  (97.5th percentile),combined_wasted_impact_mean,combined_wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_impact_upper_bound  (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound  (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_impact_upper_bound  (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_wasted_impact_upper_bound  (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
Female,HIS,CED,MJ,-0.3782188367958224,-0.3669611921836764,-0.36541258529426396,-0.37036787208638994,0.007357546148313199,0,0,0,0,0,-0.3782188367958224,-0.3669611921836764,-0.36541258529426396,-0.37036787208638994,0.007357546148313199,-10.170019530043918,-9.533000285397174,-9.326895829067045,-9.684198456736338,0.4626652364098246,-0.278209970070763,-0.2707076837476593,-0.26990763716280675,-0.2730593468137123,0.0048209512424467645,-0.10000886672505939,-0.09625350843601711,-0.09550494813145717,-0.09730852527267758,0.0025404698930067437,0.9247257725147975,0.92627437940421,0.9375320240163556,0.9296810593069234,0.007357546148312977,0.5593131872205337,0.5593131872205337,0.5593131872205337,0.5593131872205337,0,0.6974030223945615,0.698203068979414,0.7057053553025177,0.7005547320454671,0.004820951242446791,0.4274953852317547,0.4274953852317547,0.4274953852317547,0.4274953852317547,0,0.22732275012023598,0.228071310424796,0.23182666871383828,0.22912632726145643,0.002540469893006779,0.13181780198877885,0.13181780198877885,0.13181780198877885,0.13181780198877885,0,-0.278209970070763,-0.2707076837476593,-0.26990763716280675,-0.2730593468137123,0.0048209512424467645,-0.10000886672505939,-0.09625350843601711,-0.09550494813145717,-0.09730852527267758,0.0025404698930067437,0,0,0,0,0,0,0,0,0,0,0.22732275012023598,0.228071310424796,0.23182666871383828,0.22912632726145643,0.002540469893006779,0.13181780198877885,0.13181780198877885,0.13181780198877885,0.13181780198877885,0
Female,HIS,FL,mrh-eq,-0.012775792230860672,-0.012175378612697742,-0.01204254952455974,-0.012339443360074911,4.112420539523917e-4,0,0,0,0,0,-0.012775792230860672,-0.012175378612697742,-0.01204254952455974,-0.012339443360074911,4.112420539523917e-4,-10.170019530043918,-9.533000285397174,-9.326895829067045,-9.684198456736338,0.4626652364098246,-0.009226985573391274,-0.008819636802062221,-0.00873397339743347,-0.008932508860553556,2.77281435822199e-4,-0.0035488066574694025,-0.0033557418106355237,-0.0033085761271262697,-0.003406934499521357,1.3398456691823585e-4,0.0321185329024191,0.0322513619905571,0.03285177560872003,0.03241542673793427,4.11242053952393e-4,0.020075983377859357,0.020075983377859357,0.020075983377859357,0.020075983377859357,0,0.02406783352573875,0.024153496930367495,0.024560845701696553,0.024266368988858835,2.772814358221988e-4,0.015333860128305276,0.015333860128305276,0.015333860128305276,0.015333860128305276,0,0.008050699376680352,0.008097865060189606,0.008290929907023481,0.008149057749075437,1.3398456691823355e-4,0.0047421232495540805,0.0047421232495540805,0.0047421232495540805,0.0047421232495540805,0,-0.009226985573391274,-0.008819636802062221,-0.00873397339743347,-0.008932508860553556,2.77281435822199e-4,-0.0035488066574694025,-0.0033557418106355237,-0.0033085761271262697,-0.003406934499521357,1.3398456691823585e-4,0,0,0,0,0,0,0,0,0,0,0.008050699376680352,0.008097865060189606,0.008290929907023481,0.008149057749075437,1.3398456691823355e-4,0.0047421232495540805,0.0047421232495540805,0.0047421232495540805,0.0047421232495540805,0
Female,HIS,Food_price,USD,-0.3139039846216054,-0.2835668242280732,-0.2736348960272336,-0.29072655482200044,0.02208263668547352,0,0,0,0,0,-0.3139039846216054,-0.2835668242280732,-0.2736348960272336,-0.29072655482200044,0.02208263668547352,-10.170019530043918,-9.533000285397174,-9.326895829067045,-9.684198456736338,0.4626652364098246,-0.2096901537077075,-0.18946404269663622,-0.18282839035384815,-0.19423262468550753,0.014728580260073508,-0.10421383091389798,-0.09410278153143703,-0.09080650567338534,-0.09649393013649292,0.007354060244375171,0.5774076865772013,0.587339614778041,0.6176767751715729,0.5944993453719681,0.022082636685473386,0.30377279054996775,0.30377279054996775,0.30377279054996775,0.30377279054996775,0,0.39204605787415203,0.39868171021694004,0.4189078212280111,0.40345029220581125,0.014728580260073404,0.20921766752030382,0.20921766752030382,0.20921766752030382,0.20921766752030382,0,0.18536162870304929,0.18865790456110093,0.1987689539435619,0.19104905316615683,0.007354060244375169,0.09455512302966393,0.09455512302966393,0.09455512302966393,0.09455512302966392,0,-0.2096901537077075,-0.18946404269663622,-0.18282839035384815,-0.19423262468550753,0.014728580260073508,-0.10421383091389798,-0.09410278153143703,-0.09080650567338534,-0.09649393013649292,0.007354060244375171,0,0,0,0,0,0,0,0,0,0,0.18536162870304929,0.18865790456110093,0.1987689539435619,0.19104905316615683,0.007354060244375169,0.09455512302966393,0.09455512302966393,0.09455512302966393,0.09455512302966392,0
Female,NHB,CED,MJ,-0.4961419516733333,-0.489821751345121,-0.4774884434616224,-0.48771188904502055,0.009986221201069453,0,0,0,0,0,-0.4961419516733333,-0.489821751345121,-0.4774884434616224,-0.48771188904502055,0.009986221201069453,-15.760494160222356,-15.670423618851867,-15.137648393313016,-15.515088641950689,0.3543422743767076,-0.3650856480205789,-0.3612702475296977,-0.3508389519495288,-0.35894888083170207,0.007763084237861017,-0.13105630365275434,-0.12855150381542338,-0.12664949151209365,-0.12876300821331854,0.002326596246894543,1.0967999241134798,1.1091332319969784,1.115453432325191,1.107023369696878,0.009986221201069623,0.6193114806518575,0.6193114806518575,0.6193114806518575,0.6193114806518575,0,0.8250868900968145,0.8355181856769832,0.8393335861678644,0.8331968189789875,0.007763084237860956,0.4742479381472857,0.4742479381472857,0.4742479381472857,0.4742479381472857,0,0.2717130340166657,0.27361504631999545,0.2761198461573264,0.2738265507178906,0.0023265962468945406,0.145063542504572,0.145063542504572,0.145063542504572,0.145063542504572,0,-0.3650856480205789,-0.3612702475296977,-0.3508389519495288,-0.35894888083170207,0.007763084237861017,-0.13105630365275434,-0.12855150381542338,-0.12664949151209365,-0.12876300821331854,0.002326596246894543,0,0,0,0,0,0,0,0,0,0,0.2717130340166657,0.27361504631999545,0.2761198461573264,0.2738265507178906,0.0023265962468945406,0.145063542504572,0.145063542504572,0.145063542504572,0.145063542504572,0
Female,NHB,FL,mrh-eq,-0.016511049963548418,-0.016361545768833443,-0.015926098018049353,-0.016261214696528494,3.1989582400634796e-4,0,0,0,0,0,-0.016511049963548418,-0.016361545768833443,-0.015926098018049353,-0.016261214696528494,3.1989582400634796e-4,-15.760494160222356,-15.670423618851867,-15.137648393313016,-15.515088641950689,0.3543422743767076,-0.011994047683530726,-0.011922735046985078,-0.01155230193217973,-0.011817780493209746,2.4963333906490514e-4,-0.004517002280017687,-0.004438810721848366,-0.004373796085869624,-0.004443434203318744,7.547796202950182e-5,0.037470765917639544,0.037906213668423644,0.0380557178631386,0.037805882596118674,3.1989582400634596e-4,0.021544667899590187,0.021544667899590187,0.021544667899590187,0.021544667899590187,0,0.02809080551784533,0.028461238632650668,0.028532551269196314,0.028356284078875336,2.496333390649002e-4,0.016538503585665592,0.016538503585665592,0.016538503585665592,0.016538503585665592,0,0.009379960399794225,0.009444975035772966,0.009523166593942289,0.009449598517243345,7.547796202950187e-5,0.005006164313924601,0.005006164313924601,0.005006164313924601,0.005006164313924601,0,-0.011994047683530726,-0.011922735046985078,-0.01155230193217973,-0.011817780493209746,2.4963333906490514e-4,-0.004517002280017687,-0.004438810721848366,-0.004373796085869624,-0.004443434203318744,7.547796202950182e-5,0,0,0,0,0,0,0,0,0,0,0.009379960399794225,0.009444975035772966,0.009523166593942289,0.009449598517243345,7.547796202950187e-5,0.005006164313924601,0.005006164313924601,0.005006164313924601,0.005006164313924601,0
Female,NHB,Food_price,USD,-0.4693770540810431,-0.4654733003604722,-0.44849624930877474,-0.46088617848990143,0.011685850710391523,0,0,0,0,0,-0.4693770540810431,-0.4654733003604722,-0.44849624930877474,-0.46088617848990143,0.011685850710391523,-15.760494160222356,-15.670423618851867,-15.137648393313016,-15.515088641950689,0.3543422743767076,-0.3131269070462037,-0.3105156820794567,-0.2994540429121175,-0.30755062446521386,0.0076406548636271865,-0.15625014703483925,-0.15495761828101548,-0.1490422063966571,-0.15333555402468757,0.004045382821970371,0.7849900775285306,0.8019671285802281,0.8058708823007987,0.7973800067096573,0.011685850710391535,0.33649382821975576,0.33649382821975576,0.33649382821975576,0.33649382821975576,0,0.5282118696823964,0.5392735088497357,0.5418847338164826,0.5363084512354929,0.007640654863627229,0.22875782677027898,0.22875782677027898,0.22875782677027898,0.22875782677027898,0,0.2567782078461339,0.26269361973049227,0.263986148484316,0.26107155547416433,0.004045382821970382,0.10773600144947676,0.10773600144947676,0.10773600144947676,0.10773600144947676,0,-0.3131269070462037,-0.3105156820794567,-0.2994540429121175,-0.30755062446521386,0.0076406548636271865,-0.15625014703483925,-0.15495761828101548,-0.1490422063966571,-0.15333555402468757,0.004045382821970371,0,0,0,0,0,0,0,0,0,0,0.2567782078461339,0.26269361973049227,0.263986148484316,0.26107155547416433,0.004045382821970382,0.10773600144947676,0.10773600144947676,0.10773600144947676,0.10773600144947676,0
Female,NHW,CED,MJ,-0.44150003319515974,-0.4327574017997255,-0.4172274258476347,-0.4303758773938811,0.012940471877664825,0,0,0,0,0,-0.44150003319515974,-0.4327574017997255,-0.4172274258476347,-0.4303758773938811,0.012940471877664825,-11.681153553072381,-11.581822060869904,-11.146678806134295,-11.463993372261788,0.2992386931764083,-0.33136502596691525,-0.32571574292548855,-0.313535783064831,-0.3234242773748812,0.009591352325762864,-0.1101350072282445,-0.10704165887423685,-0.1036916427828038,-0.10695160001899985,0.0033921411871540136,0.9372342052370053,0.9527641811890963,0.9615068125845305,0.9503826567832517,0.0129404718776649,0.5200067793893707,0.5200067793893707,0.5200067793893707,0.5200067793893707,0,0.7144536793238591,0.7266336391845165,0.7322829222259434,0.7243421736339094,0.009591352325762898,0.40091789625902813,0.40091789625902813,0.40091789625902813,0.40091789625902813,0,0.22278052591314645,0.22613054200457952,0.22922389035858717,0.22604048314934252,0.0033921411871540067,0.11908888313034267,0.11908888313034267,0.11908888313034267,0.11908888313034267,0,-0.33136502596691525,-0.32571574292548855,-0.313535783064831,-0.3234242773748812,0.009591352325762864,-0.1101350072282445,-0.10704165887423685,-0.1036916427828038,-0.10695160001899985,0.0033921411871540136,0,0,0,0,0,0,0,0,0,0,0.22278052591314645,0.22613054200457952,0.22922389035858717,0.22604048314934252,0.0033921411871540067,0.11908888313034267,0.11908888313034267,0.11908888313034267,0.11908888313034267,0
Female,NHW,FL,mrh-eq,-0.014289803328383368,-0.014019700198737307,-0.013556742795552268,-0.01395203203258328,3.902465074592295e-4,0,0,0,0,0,-0.014289803328383368,-0.014019700198737307,-0.013556742795552268,-0.01395203203258328,3.902465074592295e-4,-11.681153553072381,-11.581822060869904,-11.146678806134295,-11.463993372261788,0.2992386931764083,-0.010538140778664455,-0.010383321929248096,-0.010016022732073245,-0.01030876742126266,2.8228222747380874e-4,-0.003751662549718911,-0.0036363782694892144,-0.0035407200634790274,-0.003643264611320621,1.1118242199016553e-4,0.032103642938422744,0.03256660034160777,0.03283670347125384,0.03249893217545375,3.902465074592303e-4,0.018546900142870477,0.018546900142870477,0.018546900142870477,0.018546900142870477,0,0.024291684453879817,0.024658983651054667,0.02481380250047103,0.02458442914306923,2.822822274738085e-4,0.014275661721806573,0.014275661721806573,0.014275661721806573,0.014275661721806573,0,0.007811958484542934,0.007907616690553124,0.00802290097078282,0.00791450303238453,1.1118242199016631e-4,0.004271238421063908,0.004271238421063908,0.004271238421063908,0.004271238421063908,0,-0.010538140778664455,-0.010383321929248096,-0.010016022732073245,-0.01030876742126266,2.8228222747380874e-4,-0.003751662549718911,-0.0036363782694892144,-0.0035407200634790274,-0.003643264611320621,1.1118242199016553e-4,0,0,0,0,0,0,0,0,0,0,0.007811958484542934,0.007907616690553124,0.00802290097078282,0.00791450303238453,1.1118242199016631e-4,0.004271238421063908,0.004271238421063908,0.004271238421063908,0.004271238421063908,0
Female,NHW,Food_price,USD,-0.3303832335892183,-0.3145183939827594,-0.31270689658194195,-0.3194493912478968,0.01023660576614965,0,0,0,0,0,-0.3303832335892183,-0.3145183939827594,-0.31270689658194195,-0.3194493912478968,0.01023660576614965,-11.681153553072381,-11.581822060869904,-11.146678806134295,-11.463993372261788,0.2992386931764083,-0.22111978904906776,-0.21082657099337807,-0.20936972802712578,-0.2139270534809,0.0067420027299495535,-0.10926344454015052,-0.10369182298938127,-0.10333716855481613,-0.10552233776699675,0.0034988322422660734,0.6140955874757947,0.6159070848766122,0.6317719244830711,0.6208380821417495,0.010236605766149619,0.30138869089385273,0.30138869089385273,0.30138869089385273,0.30138869089385273,0,0.41633775107583504,0.4177945940420872,0.428087812097777,0.4208950765296091,0.006742002729949595,0.20696802304870918,0.20696802304870918,0.20696802304870918,0.20696802304870918,0,0.19775783639995967,0.1981124908345248,0.20368411238529402,0.1999430056121403,0.003498832242266053,0.09442066784514351,0.09442066784514351,0.09442066784514351,0.09442066784514351,0,-0.22111978904906776,-0.21082657099337807,-0.20936972802712578,-0.2139270534809,0.0067420027299495535,-0.10926344454015052,-0.10369182298938127,-0.10333716855481613,-0.10552233776699675,0.0034988322422660734,0,0,0,0,0,0,0,0,0,0,0.19775783639995967,0.1981124908345248,0.20368411238529402,0.1999430056121403,0.003498832242266053,0.09442066784514351,0.09442066784514351,0.09442066784514351,0.09442066784514351,0
Female,OTH,CED,MJ,-0.314815680414481,-0.30735009179163225,-0.28670169048058763,-0.30272454347998456,0.015329486370709605,0,0,0,0,0,-0.314815680414481,-0.30735009179163225,-0.28670169048058763,-0.30272454347998456,0.015329486370709605,-8.77534742099507,-8.687710374193719,-7.995704912152739,-8.475651281127183,0.4495600091844346,-0.2367450292705619,-0.23099243016074553,-0.21527403573352988,-0.22749565987393874,0.011699246555398304,-0.07807065114391905,-0.07635766163088673,-0.07142765474705769,-0.07522888360604578,0.0036304015908713945,0.7664122468217043,0.7870606481327491,0.7945262367555976,0.7824350998211013,0.015329486370709607,0.47971055634111665,0.47971055634111665,0.47971055634111665,0.47971055634111665,0,0.5846981592347371,0.6004165536619528,0.6061691527717691,0.596919783375146,0.011699246555398272,0.3694241235012072,0.3694241235012072,0.3694241235012072,0.3694241235012072,0,0.18171408758696714,0.1866440944707962,0.18835708398382847,0.1855153164459552,0.003630401590871399,0.11028643283990944,0.11028643283990944,0.11028643283990944,0.11028643283990942,0,-0.2367450292705619,-0.23099243016074553,-0.21527403573352988,-0.22749565987393874,0.011699246555398304,-0.07807065114391905,-0.07635766163088673,-0.07142765474705769,-0.07522888360604578,0.0036304015908713945,0,0,0,0,0,0,0,0,0,0,0.18171408758696714,0.1866440944707962,0.18835708398382847,0.1855153164459552,0.003630401590871399,0.11028643283990944,0.11028643283990944,0.11028643283990944,0.11028643283990942,0
