sex_gp,race_gp,Foodgroup,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound  (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound  (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_impact_upper_bound  (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_impact_upper_bound  (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound  (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_impact_upper_bound  (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound  (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_impact_upper_bound  (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound  (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,combined_inedible_impact_lower_bound (2.5th percentile),combined_inedible_impact_median,combined_inedible_impact_upper_bound  (97.5th percentile),combined_inedible_impact_mean,combined_inedible_impact_SD,combined_wasted_impact_lower_bound (2.5th percentile),combined_wasted_impact_median,combined_wasted_impact_upper_bound  (97.5th percentile),combined_wasted_impact_mean,combined_wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_impact_upper_bound  (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound  (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_impact_upper_bound  (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_wasted_impact_upper_bound  (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
Female,HIS,added_sugar,CED,MJ,-0.12551389254357878,-0.11367270327209288,-0.10942008891930734,-0.11633536113830352,0.00877868870094421,0,0,0,0,0,-0.12551389254357878,-0.11367270327209288,-0.10942008891930734,-0.11633536113830352,0.00877868870094421,-4.987842173257788,-4.5144673138377955,-4.347348039523084,-4.621925413874737,0.349711751697767,-0.08326855715488636,-0.07540701927823251,-0.0725940343791811,-0.07717844137563688,0.005823854823725519,-0.04224533538869242,-0.03826568399386035,-0.03682605454012624,-0.03915691976266666,0.0029548390004803505,0.2143995324335891,0.21865214678637462,0.23049333605786054,0.22131480465258532,0.008778688700944207,0.10497944351428176,0.10497944351428176,0.10497944351428176,0.10497944351428175,0,0.14224788240297442,0.14506086730202583,0.15292240517867967,0.1468322893994302,0.005823854823725496,0.06965384802379332,0.06965384802379332,0.06965384802379332,0.06965384802379332,0,0.07215165003061468,0.07359127948434879,0.07757093087918086,0.0744825152531551,0.0029548390004803513,0.03532559549048845,0.03532559549048845,0.03532559549048845,0.03532559549048845,0,-0.08326855715488636,-0.07540701927823251,-0.0725940343791811,-0.07717844137563688,0.005823854823725519,-0.04224533538869242,-0.03826568399386035,-0.03682605454012624,-0.03915691976266666,0.0029548390004803505,0,0,0,0,0,0,0,0,0,0,0.07215165003061468,0.07359127948434879,0.07757093087918086,0.0744825152531551,0.0029548390004803513,0.03532559549048845,0.03532559549048845,0.03532559549048845,0.03532559549048845,0
Female,HIS,added_sugar,FL,mrh-eq,-0.005867664353789913,-0.005298279524639701,-0.005114024675820663,-0.005433412851071692,4.1355645033750756e-4,0,0,0,0,0,-0.005867664353789913,-0.005298279524639701,-0.005114024675820663,-0.005433412851071692,4.1355645033750756e-4,-4.987842173257788,-4.5144673138377955,-4.347348039523084,-4.621925413874737,0.349711751697767,-0.0038930426168654964,-0.003514997123742883,-0.003393130048363869,-0.003604884287863444,2.74385927360448e-4,-0.001974621736924416,-0.001783282400896819,-0.0017208946274567946,-0.0018285285632082479,1.3917075468426163e-4,0.010061464134058604,0.01024571898287764,0.01081510381202785,0.010380852309309631,4.1355645033750685e-4,0.004947439458237939,0.004947439458237939,0.004947439458237939,0.004947439458237939,0,0.006676021367092996,0.00679788844247201,0.0071759339355946215,0.00688777560659257,2.743859273604472e-4,0.0032828913187291256,0.0032828913187291256,0.0032828913187291256,0.0032828913187291256,0,0.0033854427669656076,0.0034478305404056315,0.003639169876433229,0.0034930767027170607,1.391707546842616e-4,0.0016645481395088132,0.0016645481395088132,0.0016645481395088132,0.0016645481395088132,0,-0.0038930426168654964,-0.003514997123742883,-0.003393130048363869,-0.003604884287863444,2.74385927360448e-4,-0.001974621736924416,-0.001783282400896819,-0.0017208946274567946,-0.0018285285632082479,1.3917075468426163e-4,0,0,0,0,0,0,0,0,0,0,0.0033854427669656076,0.0034478305404056315,0.003639169876433229,0.0034930767027170607,1.391707546842616e-4,0.0016645481395088132,0.0016645481395088132,0.0016645481395088132,0.0016645481395088132,0
Female,HIS,added_sugar,Food_price,USD,-0.30121803626383475,-0.2713373152259524,-0.26172296787437815,-0.2784483235369377,0.021679924596998624,0,0,0,0,0,-0.30121803626383475,-0.2713373152259524,-0.26172296787437815,-0.2784483235369377,0.021679924596998624,-4.987842173257788,-4.5144673138377955,-4.347348039523084,-4.621925413874737,0.349711751697767,-0.19984618728848413,-0.18000643410369074,-0.17364799248518392,-0.1847367188637913,0.014384195423061267,-0.10137184897535065,-0.09133088112226173,-0.08807497538919426,-0.09371160467314645,0.00729574187066168,0.515068958710887,0.5246833060624614,0.5545640271003436,0.5317943143734466,0.021679924596998617,0.2533459908365088,0.2533459908365088,0.2533459908365088,0.2533459908365088,0,0.341753325574541,0.3481117671930479,0.3679515203778413,0.3528420519531484,0.014384195423061285,0.1681053330893571,0.1681053330893571,0.1681053330893571,0.16810533308935707,0,0.1733156331363459,0.17657153886941337,0.18661250672250232,0.17895226242029807,0.007295741870661681,0.08524065774715164,0.08524065774715164,0.08524065774715164,0.08524065774715166,0,-0.19984618728848413,-0.18000643410369074,-0.17364799248518392,-0.1847367188637913,0.014384195423061267,-0.10137184897535065,-0.09133088112226173,-0.08807497538919426,-0.09371160467314645,0.00729574187066168,0,0,0,0,0,0,0,0,0,0,0.1733156331363459,0.17657153886941337,0.18661250672250232,0.17895226242029807,0.007295741870661681,0.08524065774715164,0.08524065774715164,0.08524065774715164,0.08524065774715166,0
Female,HIS,oil,CED,MJ,-0.003519598397232368,-0.001553544673792211,-5.719204199506131e-4,-0.0018989585227741617,0.001579985557920767,0,0,0,0,0,-0.003519598397232368,-0.001553544673792211,-5.719204199506131e-4,-0.0018989585227741617,0.001579985557920767,-0.3798863675289352,-0.16879587420477213,-0.05927708531509407,-0.20443506874318793,0.17154120418655072,-0.0029416617158799134,-0.0012999095969357982,-4.7620087762251896e-4,-0.0015869423687360918,0.0013212059196249105,-5.779366813524546e-4,-2.536350768564127e-4,-9.571954232809389e-5,-3.120161540380699e-4,2.5878550635556586e-4,0.11985347037313367,0.12083509462697524,0.12280114835041539,0.1211805084759572,0.0015799855579207505,0.11928154995318302,0.11928154995318302,0.11928154995318302,0.11928154995318302,0,0.10009338444390842,0.10091709316322171,0.10255884528216584,0.101204125935022,0.0013212059196249194,0.0996171835662859,0.0996171835662859,0.0996171835662859,0.0996171835662859,0,0.0197600859292252,0.019918001463753523,0.020242303068249562,0.019976382540935176,2.587855063555656e-4,0.019664366386897118,0.019664366386897118,0.019664366386897118,0.019664366386897118,0,-0.0029416617158799134,-0.0012999095969357982,-4.7620087762251896e-4,-0.0015869423687360918,0.0013212059196249105,-5.779366813524546e-4,-2.536350768564127e-4,-9.571954232809389e-5,-3.120161540380699e-4,2.5878550635556586e-4,0,0,0,0,0,0,0,0,0,0,0.0197600859292252,0.019918001463753523,0.020242303068249562,0.019976382540935176,2.587855063555656e-4,0.019664366386897118,0.019664366386897118,0.019664366386897118,0.019664366386897118,0
Female,HIS,oil,FL,mrh-eq,-1.7604847171109674e-4,-7.718273437698274e-5,-2.87371682943006e-5,-9.487402253537988e-5,7.903156563530358e-5,0,0,0,0,0,-1.7604847171109674e-4,-7.718273437698274e-5,-2.87371682943006e-5,-9.487402253537988e-5,7.903156563530358e-5,-0.3798863675289352,-0.16879587420477213,-0.05927708531509407,-0.20443506874318793,0.17154120418655072,-1.471328638953823e-4,-6.457716003130963e-5,-2.39210474786311e-5,-7.927877101776371e-5,6.60863692871633e-5,-2.8915607815714498e-5,-1.2605574345673091e-5,-4.816120815669499e-6,-1.5595251517616185e-5,1.294550016299274e-5,0.006110898562423651,0.006159344128506332,0.006258209865840445,0.006177035416664729,7.903156563530308e-5,0.00608216139412935,0.00608216139412935,0.00608216139412935,0.00608216139412935,0,0.005103277208767443,0.00514393332132012,0.005226489025184192,0.0051586349323065744,6.608636928716293e-5,0.005079356161288809,0.005079356161288809,0.005079356161288809,0.005079356161288809,0,0.001007621353656209,0.0010154108071862122,0.0010317208406562535,0.0010184004843581554,1.2945500162992492e-5,0.0010028052328405392,0.0010028052328405392,0.0010028052328405392,0.0010028052328405392,0,-1.471328638953823e-4,-6.457716003130963e-5,-2.39210474786311e-5,-7.927877101776371e-5,6.60863692871633e-5,-2.8915607815714498e-5,-1.2605574345673091e-5,-4.816120815669499e-6,-1.5595251517616185e-5,1.294550016299274e-5,0,0,0,0,0,0,0,0,0,0,0.001007621353656209,0.0010154108071862122,0.0010317208406562535,0.0010184004843581554,1.2945500162992492e-5,0.0010028052328405392,0.0010028052328405392,0.0010028052328405392,0.0010028052328405392,0
Female,HIS,oil,Food_price,USD,-0.0010938684123911896,-5.32973952149259e-4,-5.140761835431573e-5,-5.608083824815354e-4,5.491928496014214e-4,0,0,0,0,0,-0.0010938684123911896,-5.32973952149259e-4,-5.140761835431573e-5,-5.608083824815354e-4,5.491928496014214e-4,-0.3798863675289352,-0.16879587420477213,-0.05927708531509407,-0.20443506874318793,0.17154120418655072,-9.144444952072316e-4,-4.459384358183603e-4,-4.261093021219213e-5,-4.6880810381229126e-4,4.5928700806107276e-4,-1.794239171839581e-4,-8.703551633089884e-5,-8.796688142123594e-6,-9.20002786692441e-5,8.990667382333017e-5,0.03489565904402241,0.03537722537781735,0.035938119838059286,0.035405059808149626,5.491928496014215e-4,0.0348442514256681,0.0348442514256681,0.0348442514256681,0.0348442514256681,0,0.02914847502122187,0.029551802526828045,0.03002030858621691,0.029574672194821974,4.592870080610733e-4,0.029105864091009688,0.029105864091009688,0.029105864091009688,0.02910586409100969,0,0.0057471840228005364,0.005825422850989311,0.005917811251842371,0.005830387613327656,8.990667382333044e-5,0.005738387334658413,0.005738387334658413,0.005738387334658413,0.005738387334658413,0,-9.144444952072316e-4,-4.459384358183603e-4,-4.261093021219213e-5,-4.6880810381229126e-4,4.5928700806107276e-4,-1.794239171839581e-4,-8.703551633089884e-5,-8.796688142123594e-6,-9.20002786692441e-5,8.990667382333017e-5,0,0,0,0,0,0,0,0,0,0,0.0057471840228005364,0.005825422850989311,0.005917811251842371,0.005830387613327656,8.990667382333044e-5,0.005738387334658413,0.005738387334658413,0.005738387334658413,0.005738387334658413,0
Female,HIS,sat_fat,CED,MJ,-0.25542057595500595,-0.25173494423779136,-0.2491853458550112,-0.2521335524253122,0.0032998062974655,0,0,0,0,0,-0.25542057595500595,-0.25173494423779136,-0.2491853458550112,-0.2521335524253122,0.0032998062974655,-4.920270704228863,-4.849737097354606,-4.802290989257194,-4.857837974118411,0.062489646074343416,-0.19683740190600318,-0.19400075487249102,-0.19199975119999668,-0.19429396306933935,0.0025587626295795213,-0.05858317404900284,-0.05773418936530036,-0.05718559465501451,-0.057839589355972866,7.412100251285218e-4,0.58423753960808,0.5867871379908602,0.5904727697080747,0.587185746178381,0.0032998062974654674,0.33505219375306877,0.33505219375306877,0.33505219375306877,0.33505219375306877,0,0.4502241048416722,0.4522251085141665,0.45506175554767864,0.4525183167110149,0.002558762629579495,0.25822435364167545,0.25822435364167545,0.25822435364167545,0.25822435364167545,0,0.13401343476640779,0.13456202947669368,0.1354110141603961,0.13466742946736615,7.41210025128511e-4,0.07682784011139329,0.07682784011139329,0.07682784011139329,0.07682784011139329,0,-0.19683740190600318,-0.19400075487249102,-0.19199975119999668,-0.19429396306933935,0.0025587626295795213,-0.05858317404900284,-0.05773418936530036,-0.05718559465501451,-0.057839589355972866,7.412100251285218e-4,0,0,0,0,0,0,0,0,0,0,0.13401343476640779,0.13456202947669368,0.1354110141603961,0.13466742946736615,7.41210025128511e-4,0.07682784011139329,0.07682784011139329,0.07682784011139329,0.07682784011139329,0
Female,HIS,sat_fat,FL,mrh-eq,-0.006899787680444778,-0.006799916353681059,-0.0067320794053596636,-0.00681115648646784,8.880264256082521e-5,0,0,0,0,0,-0.006899787680444778,-0.006799916353681059,-0.0067320794053596636,-0.00681115648646784,8.880264256082521e-5,-4.920270704228863,-4.849737097354606,-4.802290989257194,-4.857837974118411,0.062489646074343416,-0.005316922301590973,-0.005240062518288028,-0.005186810092630393,-0.005248345801672347,6.885481138227888e-5,-0.0015828653788538052,-0.0015598538353930327,-0.0015452693127292706,-0.0015628106847954924,1.995240700062516e-5,0.015778461930851733,0.015846298879173125,0.015946170205936843,0.015857539011959906,8.880264256082354e-5,0.009046382525492069,0.009046382525492069,0.009046382525492069,0.009046382525492069,0,0.012158422740917732,0.012211675166575366,0.012288534949878313,0.012219958449959689,6.885481138227986e-5,0.006971612648287339,0.006971612648287339,0.006971612648287339,0.006971612648287339,0,0.0036200391899339993,0.003634623712597761,0.003657635256058533,0.0036375805620002207,1.9952407000624712e-5,0.0020747698772047283,0.0020747698772047283,0.0020747698772047283,0.0020747698772047283,0,-0.005316922301590973,-0.005240062518288028,-0.005186810092630393,-0.005248345801672347,6.885481138227888e-5,-0.0015828653788538052,-0.0015598538353930327,-0.0015452693127292706,-0.0015628106847954924,1.995240700062516e-5,0,0,0,0,0,0,0,0,0,0,0.0036200391899339993,0.003634623712597761,0.003657635256058533,0.0036375805620002207,1.9952407000624712e-5,0.0020747698772047283,0.0020747698772047283,0.0020747698772047283,0.0020747698772047283,0
Female,HIS,sat_fat,Food_price,USD,-0.011860520534501056,-0.011696535049971507,-0.01159207994537952,-0.011717422902581176,1.4243785504004385e-4,0,0,0,0,0,-0.011860520534501056,-0.011696535049971507,-0.01159207994537952,-0.011717422902581176,1.4243785504004385e-4,-4.920270704228863,-4.849737097354606,-4.802290989257194,-4.857837974118411,0.062489646074343416,-0.009137786938452092,-0.009011670157127102,-0.008929521924016151,-0.009027097717903958,1.1042442335349115e-4,-0.0027227335960489625,-0.002684864892844405,-0.002662558021363367,-0.0026903251846772188,3.202242688957337e-5,0.02717462823317037,0.027279083337762362,0.02744306882229191,0.02729997119037203,1.4243785504004555e-4,0.015582548287790852,0.015582548287790852,0.015582548287790852,0.015582548287790854,0,0.020935992263953138,0.021018140497064085,0.021144257278389082,0.021033568057840943,1.1042442335349404e-4,0.012006470339936987,0.012006470339936987,0.012006470339936987,0.012006470339936987,0,0.006238635969217235,0.0062609428406982725,0.00629881154390283,0.006266403132531087,3.202242688957345e-5,0.0035760779478538674,0.0035760779478538674,0.0035760779478538674,0.0035760779478538674,0,-0.009137786938452092,-0.009011670157127102,-0.008929521924016151,-0.009027097717903958,1.1042442335349115e-4,-0.0027227335960489625,-0.002684864892844405,-0.002662558021363367,-0.0026903251846772188,3.202242688957337e-5,0,0,0,0,0,0,0,0,0,0,0.006238635969217235,0.0062609428406982725,0.00629881154390283,0.006266403132531087,3.202242688957345e-5,0.0035760779478538674,0.0035760779478538674,0.0035760779478538674,0.0035760779478538674,0
Female,NHB,added_sugar,CED,MJ,-0.17718643119930236,-0.17512637655245217,-0.16920543243369626,-0.17377167849213437,0.0043612866218132795,0,0,0,0,0,-0.17718643119930236,-0.17512637655245217,-0.16920543243369626,-0.17377167849213437,0.0043612866218132795,-6.931371331761988,-6.8472762651807795,-6.624184618159248,-6.798505535201719,0.16710314418224384,-0.11732503566310783,-0.11594026579039535,-0.11204978701093447,-0.11506106968276435,0.002878957345505794,-0.05986139553619452,-0.059186110762056786,-0.05715564542276178,-0.05871060880937002,0.0014824228811758714,0.284841608451129,0.2907625525698848,0.29282260721673503,0.289407854509567,0.004361286621813275,0.11563617601743266,0.11563617601743266,0.11563617601743266,0.11563617601743266,0,0.1886133703426287,0.19250384912208957,0.1938886189948021,0.1916246530144586,0.0028789573455058164,0.07656358333169423,0.07656358333169423,0.07656358333169423,0.07656358333169423,0,0.09622823810850019,0.0982587034477952,0.09893398822193294,0.09778320149510844,0.0014824228811758725,0.03907259268573843,0.03907259268573843,0.03907259268573843,0.03907259268573843,0,-0.11732503566310783,-0.11594026579039535,-0.11204978701093447,-0.11506106968276435,0.002878957345505794,-0.05986139553619452,-0.059186110762056786,-0.05715564542276178,-0.05871060880937002,0.0014824228811758714,0,0,0,0,0,0,0,0,0,0,0.09622823810850019,0.0982587034477952,0.09893398822193294,0.09778320149510844,0.0014824228811758725,0.03907259268573843,0.03907259268573843,0.03907259268573843,0.03907259268573843,0
