age_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,added_sugar,CED,MJ,19501389.3979215,19501389.3979215,19501389.3979215
20-34,added_sugar,Food_price,USD,37490930.5459051,37490930.5459051,37490930.5459051
20-34,added_sugar,FL,mrh-eq,822881.095637613,822881.095637613,822881.095637613
20-34,oil,CED,MJ,20327974.789372,20327974.789372,20327974.789372
20-34,oil,Food_price,USD,13656749.9325776,13656749.9325776,13656749.9325776
20-34,oil,FL,mrh-eq,1056245.26837522,1056245.26837522,1056245.26837522
20-34,sat_fat,CED,MJ,61835953.6948159,61835953.6948159,61835953.6948159
20-34,sat_fat,Food_price,USD,7372467.81684849,7372467.81684849,7372467.81684849
20-34,sat_fat,FL,mrh-eq,1659458.98720893,1659458.98720893,1659458.98720893
35-44,added_sugar,CED,MJ,11611690.5959195,11611690.5959195,11611690.5959195
35-44,added_sugar,Food_price,USD,20300887.6717254,20300887.6717254,20300887.6717254
35-44,added_sugar,FL,mrh-eq,525999.305521353,525999.305521353,525999.305521353
35-44,oil,CED,MJ,12267087.1636245,12267087.1636245,12267087.1636245
35-44,oil,Food_price,USD,6985533.98001655,6985533.98001655,6985533.98001655
35-44,oil,FL,mrh-eq,611401.337709838,611401.337709838,611401.337709838
35-44,sat_fat,CED,MJ,38105699.9830261,38105699.9830261,38105699.9830261
35-44,sat_fat,Food_price,USD,4218625.20017291,4218625.20017291,4218625.20017291
35-44,sat_fat,FL,mrh-eq,1034761.6343158,1034761.6343158,1034761.6343158
45-54,added_sugar,CED,MJ,11088378.2125868,11088378.2125868,11088378.2125868
45-54,added_sugar,Food_price,USD,18033103.473218,18033103.473218,18033103.473218
45-54,added_sugar,FL,mrh-eq,503137.327384688,503137.327384688,503137.327384688
45-54,oil,CED,MJ,11736146.3404576,11736146.3404576,11736146.3404576
45-54,oil,Food_price,USD,8314729.27246009,8314729.27246009,8314729.27246009
45-54,oil,FL,mrh-eq,619480.188017691,619480.188017691,619480.188017691
45-54,sat_fat,CED,MJ,36684725.5102988,36684725.5102988,36684725.5102988
45-54,sat_fat,Food_price,USD,4229507.88625801,4229507.88625801,4229507.88625801
45-54,sat_fat,FL,mrh-eq,995263.035717413,995263.035717413,995263.035717413
55-64,added_sugar,CED,MJ,13513998.6907078,13513998.6907078,13513998.6907078
55-64,added_sugar,Food_price,USD,21517104.0615781,21517104.0615781,21517104.0615781
55-64,added_sugar,FL,mrh-eq,637906.02542077,637906.02542077,637906.02542077
55-64,oil,CED,MJ,14275509.1504207,14275509.1504207,14275509.1504207
55-64,oil,Food_price,USD,11598925.0396092,11598925.0396092,11598925.0396092
55-64,oil,FL,mrh-eq,737215.725355835,737215.725355835,737215.725355835
55-64,sat_fat,CED,MJ,44957748.4079363,44957748.4079363,44957748.4079363
55-64,sat_fat,Food_price,USD,4903634.67879592,4903634.67879592,4903634.67879592
55-64,sat_fat,FL,mrh-eq,1229593.83285803,1229593.83285803,1229593.83285803
65-74,added_sugar,CED,MJ,8346893.99037889,8346893.99037889,8346893.99037889
65-74,added_sugar,Food_price,USD,13234548.95593,13234548.95593,13234548.95593
65-74,added_sugar,FL,mrh-eq,411162.268317591,411162.268317591,411162.268317591
65-74,oil,CED,MJ,8657866.48838716,8657866.48838716,8657866.48838716
65-74,oil,Food_price,USD,6977276.80798613,6977276.80798613,6977276.80798613
65-74,oil,FL,mrh-eq,417401.844345476,417401.844345476,417401.844345476
65-74,sat_fat,CED,MJ,27557894.0637395,27557894.0637395,27557894.0637395
65-74,sat_fat,Food_price,USD,3179396.84470078,3179396.84470078,3179396.84470078
65-74,sat_fat,FL,mrh-eq,748126.65576439,748126.65576439,748126.65576439
75+,added_sugar,CED,MJ,5703896.46203946,5703896.46203946,5703896.46203946
75+,added_sugar,Food_price,USD,8902168.00851035,8902168.00851035,8902168.00851035
75+,added_sugar,FL,mrh-eq,300461.592528013,300461.592528013,300461.592528013
75+,oil,CED,MJ,6058915.0933022,6058915.0933022,6058915.0933022
75+,oil,Food_price,USD,4873875.70438584,4873875.70438584,4873875.70438584
75+,oil,FL,mrh-eq,289720.108937886,289720.108937886,289720.108937886
75+,sat_fat,CED,MJ,19141830.486729,19141830.486729,19141830.486729
75+,sat_fat,Food_price,USD,2193488.73918244,2193488.73918244,2193488.73918244
75+,sat_fat,FL,mrh-eq,508719.283082283,508719.283082283,508719.283082283
