age_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,NHW,added_sugar,CED,MJ,10795640.2855852,10795640.2855852,10795640.2855852
20-34,NHW,added_sugar,Food_price,USD,22109220.9498859,22109220.9498859,22109220.9498859
20-34,NHW,added_sugar,FL,mrh-eq,468244.888417899,468244.888417899,468244.888417899
20-34,NHW,oil,CED,MJ,11335698.6002971,11335698.6002971,11335698.6002971
20-34,NHW,oil,Food_price,USD,7982194.97314252,7982194.97314252,7982194.97314252
20-34,NHW,oil,FL,mrh-eq,592457.817398797,592457.817398797,592457.817398797
20-34,NHW,sat_fat,CED,MJ,34671688.5969243,34671688.5969243,34671688.5969243
20-34,NHW,sat_fat,Food_price,USD,4046912.19037974,4046912.19037974,4046912.19037974
20-34,NHW,sat_fat,FL,mrh-eq,924468.968994898,924468.968994898,924468.968994898
20-34,NHB,added_sugar,CED,MJ,2574945.95676942,2574945.95676942,2574945.95676942
20-34,NHB,added_sugar,Food_price,USD,4676236.70960703,4676236.70960703,4676236.70960703
20-34,NHB,added_sugar,FL,mrh-eq,100826.410632455,100826.410632455,100826.410632455
20-34,NHB,oil,CED,MJ,2643245.77547133,2643245.77547133,2643245.77547133
20-34,NHB,oil,Food_price,USD,1457252.71787675,1457252.71787675,1457252.71787675
20-34,NHB,oil,FL,mrh-eq,133470.276362315,133470.276362315,133470.276362315
20-34,NHB,sat_fat,CED,MJ,7627138.8334643,7627138.8334643,7627138.8334643
20-34,NHB,sat_fat,Food_price,USD,786031.466121352,786031.466121352,786031.466121352
20-34,NHB,sat_fat,FL,mrh-eq,202438.859339988,202438.859339988,202438.859339988
20-34,HIS,added_sugar,CED,MJ,3896201.24554802,3896201.24554802,3896201.24554802
20-34,HIS,added_sugar,Food_price,USD,6519180.72735248,6519180.72735248,6519180.72735248
20-34,HIS,added_sugar,FL,mrh-eq,155235.395616708,155235.395616708,155235.395616708
20-34,HIS,oil,CED,MJ,4049666.53653166,4049666.53653166,4049666.53653166
20-34,HIS,oil,Food_price,USD,2405956.22097384,2405956.22097384,2405956.22097384
20-34,HIS,oil,FL,mrh-eq,210617.148680966,210617.148680966,210617.148680966
20-34,HIS,sat_fat,CED,MJ,12682798.2070811,12682798.2070811,12682798.2070811
20-34,HIS,sat_fat,Food_price,USD,1609629.96696581,1609629.96696581,1609629.96696581
20-34,HIS,sat_fat,FL,mrh-eq,348448.145647241,348448.145647241,348448.145647241
20-34,OTH,added_sugar,CED,MJ,2234601.91001887,2234601.91001887,2234601.91001887
20-34,OTH,added_sugar,Food_price,USD,4186292.15905961,4186292.15905961,4186292.15905961
20-34,OTH,added_sugar,FL,mrh-eq,98574.4009705511,98574.4009705511,98574.4009705511
20-34,OTH,oil,CED,MJ,2299363.8770719,2299363.8770719,2299363.8770719
20-34,OTH,oil,Food_price,USD,1811346.02058447,1811346.02058447,1811346.02058447
20-34,OTH,oil,FL,mrh-eq,119700.025933137,119700.025933137,119700.025933137
20-34,OTH,sat_fat,CED,MJ,6854328.0573463,6854328.0573463,6854328.0573463
20-34,OTH,sat_fat,Food_price,USD,929894.193381588,929894.193381588,929894.193381588
20-34,OTH,sat_fat,FL,mrh-eq,184103.0132268,184103.0132268,184103.0132268
35-44,NHW,added_sugar,CED,MJ,6113003.22195965,6113003.22195965,6113003.22195965
35-44,NHW,added_sugar,Food_price,USD,11232037.2087336,11232037.2087336,11232037.2087336
35-44,NHW,added_sugar,FL,mrh-eq,274445.60033104,274445.60033104,274445.60033104
35-44,NHW,oil,CED,MJ,6448477.73519583,6448477.73519583,6448477.73519583
35-44,NHW,oil,Food_price,USD,3661085.70049915,3661085.70049915,3661085.70049915
35-44,NHW,oil,FL,mrh-eq,307813.679877886,307813.679877886,307813.679877886
35-44,NHW,sat_fat,CED,MJ,20409048.0601998,20409048.0601998,20409048.0601998
35-44,NHW,sat_fat,Food_price,USD,2260418.72733937,2260418.72733937,2260418.72733937
35-44,NHW,sat_fat,FL,mrh-eq,554420.575798507,554420.575798507,554420.575798507
35-44,NHB,added_sugar,CED,MJ,1520484.24888513,1520484.24888513,1520484.24888513
35-44,NHB,added_sugar,Food_price,USD,2498202.68297683,2498202.68297683,2498202.68297683
35-44,NHB,added_sugar,FL,mrh-eq,61039.8428522279,61039.8428522279,61039.8428522279
35-44,NHB,oil,CED,MJ,1565501.13841378,1565501.13841378,1565501.13841378
35-44,NHB,oil,Food_price,USD,396973.389104947,396973.389104947,396973.389104947
35-44,NHB,oil,FL,mrh-eq,78918.6625435371,78918.6625435371,78918.6625435371
35-44,NHB,sat_fat,CED,MJ,4593705.39923009,4593705.39923009,4593705.39923009
35-44,NHB,sat_fat,Food_price,USD,492228.020408152,492228.020408152,492228.020408152
35-44,NHB,sat_fat,FL,mrh-eq,123510.623218286,123510.623218286,123510.623218286
35-44,HIS,added_sugar,CED,MJ,2586117.86869295,2586117.86869295,2586117.86869295
35-44,HIS,added_sugar,Food_price,USD,4411316.87760919,4411316.87760919,4411316.87760919
35-44,HIS,added_sugar,FL,mrh-eq,119291.741139804,119291.741139804,119291.741139804
35-44,HIS,oil,CED,MJ,2736793.41780685,2736793.41780685,2736793.41780685
