age_gp,sex_gp,race_gp,outcome,outcome_unit,X1,X2,X3
20-34,Female,NHW,CED,MJ,27215542.6627909,27215542.6627909,27215542.6627909
20-34,Female,NHW,Food_price,USD,16733314.8903847,16733314.8903847,16733314.8903847
20-34,Female,NHW,FL,mrh-eq,960729.108921267,960729.108921267,960729.108921267
20-34,Female,NHB,CED,MJ,6670879.18685998,6670879.18685998,6670879.18685998
20-34,Female,NHB,Food_price,USD,3925625.8829484,3925625.8829484,3925625.8829484
20-34,Female,NHB,FL,mrh-eq,227104.881860471,227104.881860471,227104.881860471
20-34,Female,HIS,CED,MJ,10107080.7047345,10107080.7047345,10107080.7047345
20-34,Female,HIS,Food_price,USD,5126588.25634301,5126588.25634301,5126588.25634301
20-34,Female,HIS,FL,mrh-eq,355205.273973416,355205.273973416,355205.273973416
20-34,Female,OTH,CED,MJ,5776940.33266566,5776940.33266566,5776940.33266566
20-34,Female,OTH,Food_price,USD,3553872.60171104,3553872.60171104,3553872.60171104
20-34,Female,OTH,FL,mrh-eq,203344.928920488,203344.928920488,203344.928920488
20-34,Male,NHW,CED,MJ,29587484.8200157,29587484.8200157,29587484.8200157
20-34,Male,NHW,Food_price,USD,17405013.2230235,17405013.2230235,17405013.2230235
20-34,Male,NHW,FL,mrh-eq,1024442.56589033,1024442.56589033,1024442.56589033
20-34,Male,NHB,CED,MJ,6174451.37884506,6174451.37884506,6174451.37884506
20-34,Male,NHB,Food_price,USD,2993895.01065673,2993895.01065673,2993895.01065673
20-34,Male,NHB,FL,mrh-eq,209630.664474287,209630.664474287,209630.664474287
20-34,Male,HIS,CED,MJ,10521585.2844262,10521585.2844262,10521585.2844262
20-34,Male,HIS,Food_price,USD,5408178.65894912,5408178.65894912,5408178.65894912
20-34,Male,HIS,FL,mrh-eq,359095.415971499,359095.415971499,359095.415971499
20-34,Male,OTH,CED,MJ,5611353.51177142,5611353.51177142,5611353.51177142
20-34,Male,OTH,Food_price,USD,3373659.77131463,3373659.77131463,3373659.77131463
20-34,Male,OTH,FL,mrh-eq,199032.511210001,199032.511210001,199032.511210001
35-44,Female,NHW,CED,MJ,16306949.58071,16306949.58071,16306949.58071
35-44,Female,NHW,Food_price,USD,8196790.44783124,8196790.44783124,8196790.44783124
35-44,Female,NHW,FL,mrh-eq,563245.572691106,563245.572691106,563245.572691106
35-44,Female,NHB,CED,MJ,4168261.24980889,4168261.24980889,4168261.24980889
35-44,Female,NHB,Food_price,USD,1620027.85172966,1620027.85172966,1620027.85172966
35-44,Female,NHB,FL,mrh-eq,142959.047167798,142959.047167798,142959.047167798
35-44,Female,HIS,CED,MJ,7023967.12117991,7023967.12117991,7023967.12117991
35-44,Female,HIS,Food_price,USD,3611977.03735809,3611977.03735809,3611977.03735809
35-44,Female,HIS,FL,mrh-eq,252144.464599634,252144.464599634,252144.464599634
35-44,Female,OTH,CED,MJ,4125611.8491282,4125611.8491282,4125611.8491282
35-44,Female,OTH,Food_price,USD,2080047.37097908,2080047.37097908,2080047.37097908
35-44,Female,OTH,FL,mrh-eq,154017.118932715,154017.118932715,154017.118932715
35-44,Male,NHW,CED,MJ,16663579.4366453,16663579.4366453,16663579.4366453
35-44,Male,NHW,Food_price,USD,8956751.18874089,8956751.18874089,8956751.18874089
35-44,Male,NHW,FL,mrh-eq,573434.283316328,573434.283316328,573434.283316328
35-44,Male,NHB,CED,MJ,3511429.53672011,3511429.53672011,3511429.53672011
35-44,Male,NHB,Food_price,USD,1767376.24076027,1767376.24076027,1767376.24076027
35-44,Male,NHB,FL,mrh-eq,120510.081446253,120510.081446253,120510.081446253
35-44,Male,HIS,CED,MJ,6821286.53324689,6821286.53324689,6821286.53324689
35-44,Male,HIS,Food_price,USD,3574761.90646404,3574761.90646404,3574761.90646404
35-44,Male,HIS,FL,mrh-eq,239608.542795527,239608.542795527,239608.542795527
35-44,Male,OTH,CED,MJ,3363392.43513072,3363392.43513072,3363392.43513072
35-44,Male,OTH,Food_price,USD,1697314.80805157,1697314.80805157,1697314.80805157
35-44,Male,OTH,FL,mrh-eq,126243.166597626,126243.166597626,126243.166597626
45-54,Female,NHW,CED,MJ,19846554.7514146,19846554.7514146,19846554.7514146
45-54,Female,NHW,Food_price,USD,10432439.015856,10432439.015856,10432439.015856
45-54,Female,NHW,FL,mrh-eq,710222.168741338,710222.168741338,710222.168741338
45-54,Female,NHB,CED,MJ,3294043.77675509,3294043.77675509,3294043.77675509
45-54,Female,NHB,Food_price,USD,1750455.16619126,1750455.16619126,1750455.16619126
45-54,Female,NHB,FL,mrh-eq,111919.489703509,111919.489703509,111919.489703509
45-54,Female,HIS,CED,MJ,4454736.91500492,4454736.91500492,4454736.91500492
45-54,Female,HIS,Food_price,USD,2311920.53671987,2311920.53671987,2311920.53671987
45-54,Female,HIS,FL,mrh-eq,156352.7255443,156352.7255443,156352.7255443
45-54,Female,OTH,CED,MJ,2822123.21980796,2822123.21980796,2822123.21980796
45-54,Female,OTH,Food_price,USD,1449387.48319922,1449387.48319922,1449387.48319922
45-54,Female,OTH,FL,mrh-eq,101726.42608279,101726.42608279,101726.42608279
45-54,Male,NHW,CED,MJ,16481323.6776163,16481323.6776163,16481323.6776163
45-54,Male,NHW,Food_price,USD,9227697.53644461,9227697.53644461,9227697.53644461
45-54,Male,NHW,FL,mrh-eq,590892.055452486,590892.055452486,590892.055452486
45-54,Male,NHB,CED,MJ,3444408.952026,3444408.952026,3444408.952026
45-54,Male,NHB,Food_price,USD,1557537.80133799,1557537.80133799,1557537.80133799
45-54,Male,NHB,FL,mrh-eq,120378.179137688,120378.179137688,120378.179137688
45-54,Male,HIS,CED,MJ,4892942.52810142,4892942.52810142,4892942.52810142
45-54,Male,HIS,Food_price,USD,2093072.27136282,2093072.27136282,2093072.27136282
45-54,Male,HIS,FL,mrh-eq,172356.456181965,172356.456181965,172356.456181965
45-54,Male,OTH,CED,MJ,4273116.24261681,4273116.24261681,4273116.24261681
45-54,Male,OTH,Food_price,USD,1754830.8208243,1754830.8208243,1754830.8208243
45-54,Male,OTH,FL,mrh-eq,154033.050275717,154033.050275717,154033.050275717
55-64,Female,NHW,CED,MJ,25492083.6806924,25492083.6806924,25492083.6806924
55-64,Female,NHW,Food_price,USD,13952830.3624927,13952830.3624927,13952830.3624927
55-64,Female,NHW,FL,mrh-eq,908516.390729881,908516.390729881,908516.390729881
55-64,Female,NHB,CED,MJ,4399639.6293589,4399639.6293589,4399639.6293589
55-64,Female,NHB,Food_price,USD,2517096.9226458,2517096.9226458,2517096.9226458
55-64,Female,NHB,FL,mrh-eq,154605.558757396,154605.558757396,154605.558757396
55-64,Female,HIS,CED,MJ,4443779.7212331,4443779.7212331,4443779.7212331
55-64,Female,HIS,Food_price,USD,2115180.18712268,2115180.18712268,2115180.18712268
55-64,Female,HIS,FL,mrh-eq,159849.799818847,159849.799818847,159849.799818847
55-64,Female,OTH,CED,MJ,3783053.33510283,3783053.33510283,3783053.33510283
55-64,Female,OTH,Food_price,USD,2472059.1795058,2472059.1795058,2472059.1795058
55-64,Female,OTH,FL,mrh-eq,135854.756573882,135854.756573882,135854.756573882
55-64,Male,NHW,CED,MJ,24059247.9921006,24059247.9921006,24059247.9921006
55-64,Male,NHW,Food_price,USD,12140556.3752214,12140556.3752214,12140556.3752214
55-64,Male,NHW,FL,mrh-eq,866921.621617704,866921.621617704,866921.621617704
55-64,Male,NHB,CED,MJ,3012193.90628635,3012193.90628635,3012193.90628635
55-64,Male,NHB,Food_price,USD,1124148.85716558,1124148.85716558,1124148.85716558
