sex_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
Female,NHW,added_sugar,CED,MJ,22122669.5570997,22122669.5570997,22122669.5570997
Female,NHW,added_sugar,Food_price,USD,39977561.1757396,39977561.1757396,39977561.1757396
Female,NHW,added_sugar,FL,mrh-eq,1055332.506153,1055332.506153,1055332.506153
Female,NHW,oil,CED,MJ,23767595.0326682,23767595.0326682,23767595.0326682
Female,NHW,oil,Food_price,USD,18745209.6501267,18745209.6501267,18745209.6501267
Female,NHW,oil,FL,mrh-eq,1219863.0118165,1219863.0118165,1219863.0118165
Female,NHW,sat_fat,CED,MJ,74499919.5829592,74499919.5829592,74499919.5829592
Female,NHW,sat_fat,Food_price,USD,8285708.26941704,8285708.26941704,8285708.26941704
Female,NHW,sat_fat,FL,mrh-eq,1983064.86512456,1983064.86512456,1983064.86512456
Female,NHB,added_sugar,CED,MJ,4408702.06990854,4408702.06990854,4408702.06990854
Female,NHB,added_sugar,Food_price,USD,7397076.3352095,7397076.3352095,7397076.3352095
Female,NHB,added_sugar,FL,mrh-eq,190496.779840752,190496.779840752,190496.779840752
Female,NHB,oil,CED,MJ,4601785.94692503,4601785.94692503,4601785.94692503
Female,NHB,oil,Food_price,USD,2769071.50178724,2769071.50178724,2769071.50178724
Female,NHB,oil,FL,mrh-eq,228664.561147418,228664.561147418,228664.561147418
Female,NHB,sat_fat,CED,MJ,13269563.5076883,13269563.5076883,13269563.5076883
Female,NHB,sat_fat,Food_price,USD,1568767.80979106,1568767.80979106,1568767.80979106
Female,NHB,sat_fat,FL,mrh-eq,349214.554243465,349214.554243465,349214.554243465
Female,HIS,added_sugar,CED,MJ,5477504.68936555,5477504.68936555,5477504.68936555
Female,HIS,added_sugar,Food_price,USD,8398498.01875213,8398498.01875213,8398498.01875213
Female,HIS,added_sugar,FL,mrh-eq,260936.726817016,260936.726817016,260936.726817016
Female,HIS,oil,CED,MJ,5866673.74601271,5866673.74601271,5866673.74601271
Female,HIS,oil,Food_price,USD,4193036.43811892,4193036.43811892,4193036.43811892
Female,HIS,oil,FL,mrh-eq,298284.02093943,298284.02093943,298284.02093943
Female,HIS,sat_fat,CED,MJ,18204325.4422487,18204325.4422487,18204325.4422487
Female,HIS,sat_fat,Food_price,USD,2244502.79985574,2244502.79985574,2244502.79985574
Female,HIS,sat_fat,FL,mrh-eq,490742.239056887,490742.239056887,490742.239056887
Female,OTH,added_sugar,CED,MJ,3654816.32891128,3654816.32891128,3654816.32891128
Female,OTH,added_sugar,Food_price,USD,6408130.52167246,6408130.52167246,6408130.52167246
Female,OTH,added_sugar,FL,mrh-eq,177330.791767136,177330.791767136,177330.791767136
Female,OTH,oil,CED,MJ,3910058.0640954,3910058.0640954,3910058.0640954
Female,OTH,oil,Food_price,USD,2989259.16091603,2989259.16091603,2989259.16091603
Female,OTH,oil,FL,mrh-eq,209726.279065185,209726.279065185,209726.279065185
Female,OTH,sat_fat,CED,MJ,11616447.6227994,11616447.6227994,11616447.6227994
Female,OTH,sat_fat,Food_price,USD,1593344.93672429,1593344.93672429,1593344.93672429
Female,OTH,sat_fat,FL,mrh-eq,305158.799472318,305158.799472318,305158.799472318
Male,NHW,added_sugar,CED,MJ,21317903.5606547,21317903.5606547,21317903.5606547
Male,NHW,added_sugar,Food_price,USD,37224430.2222027,37224430.2222027,37224430.2222027
Male,NHW,added_sugar,FL,mrh-eq,957187.661294085,957187.661294085,957187.661294085
Male,NHW,oil,CED,MJ,21884962.7235343,21884962.7235343,21884962.7235343
Male,NHW,oil,Food_price,USD,16247922.3932287,16247922.3932287,16247922.3932287
Male,NHW,oil,FL,mrh-eq,1104672.55335055,1104672.55335055,1104672.55335055
Male,NHW,sat_fat,CED,MJ,70035719.181404,70035719.181404,70035719.181404
Male,NHW,sat_fat,Food_price,USD,7769349.33576007,7769349.33576007,7769349.33576007
Male,NHW,sat_fat,FL,mrh-eq,1929248.73579732,1929248.73579732,1929248.73579732
Male,NHB,added_sugar,CED,MJ,3721654.76497296,3721654.76497296,3721654.76497296
Male,NHB,added_sugar,Food_price,USD,5913011.48178868,5913011.48178868,5913011.48178868
Male,NHB,added_sugar,FL,mrh-eq,151733.433530806,151733.433530806,151733.433530806
Male,NHB,oil,CED,MJ,3804299.04005945,3804299.04005945,3804299.04005945
