race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
NHW,added_sugar,CED,MJ,28797256.1939486,28797256.1939486,28797256.1939486
NHW,added_sugar,Food_price,USD,51173320.1060371,51173320.1060371,51173320.1060371
NHW,added_sugar,FL,mrh-eq,1334197.60101772,1334197.60101772,1334197.60101772
NHW,oil,CED,MJ,38111361.4850183,38111361.4850183,38111361.4850183
NHW,oil,Food_price,USD,29213163.8643686,29213163.8643686,29213163.8643686
NHW,oil,FL,mrh-eq,1940502.79530036,1940502.79530036,1940502.79530036
NHW,sat_fat,CED,MJ,111320712.833795,111320712.833795,111320712.833795
NHW,sat_fat,Food_price,USD,12367517.6584481,12367517.6584481,12367517.6584481
NHW,sat_fat,FL,mrh-eq,3012356.37717883,3012356.37717883,3012356.37717883
NHB,added_sugar,CED,MJ,5383375.53506243,5383375.53506243,5383375.53506243
NHB,added_sugar,Food_price,USD,8812794.67121207,8812794.67121207,8812794.67121207
NHB,added_sugar,FL,mrh-eq,226626.210076765,226626.210076765,226626.210076765
NHB,oil,CED,MJ,7021428.86635259,7021428.86635259,7021428.86635259
NHB,oil,Food_price,USD,3484236.680635,3484236.680635,3484236.680635
NHB,oil,FL,mrh-eq,346642.291882146,346642.291882146,346642.291882146
NHB,sat_fat,CED,MJ,18757087.4201988,18757087.4201988,18757087.4201988
NHB,sat_fat,Food_price,USD,2087468.94463285,2087468.94463285,2087468.94463285
NHB,sat_fat,FL,mrh-eq,501516.839579446,501516.839579446,501516.839579446
HIS,added_sugar,CED,MJ,7281545.92028259,7281545.92028259,7281545.92028259
HIS,added_sugar,Food_price,USD,11310015.3645531,11310015.3645531,11310015.3645531
HIS,added_sugar,FL,mrh-eq,326006.927018062,326006.927018062,326006.927018062
HIS,oil,CED,MJ,9659655.35492519,9659655.35492519,9659655.35492519
HIS,oil,Food_price,USD,6608052.64984356,6608052.64984356,6608052.64984356
HIS,oil,FL,mrh-eq,489528.131626267,489528.131626267,489528.131626267
HIS,sat_fat,CED,MJ,27564993.1312904,27564993.1312904,27564993.1312904
HIS,sat_fat,Food_price,USD,3180127.72258163,3180127.72258163,3180127.72258163
HIS,sat_fat,FL,mrh-eq,753420.656889454,753420.656889454,753420.656889454
OTH,added_sugar,CED,MJ,4784176.71400488,4784176.71400488,4784176.71400488
OTH,added_sugar,Food_price,USD,7896859.8860333,7896859.8860333,7896859.8860333
OTH,added_sugar,FL,mrh-eq,235644.688412648,235644.688412648,235644.688412648
OTH,oil,CED,MJ,6434337.54823605,6434337.54823605,6434337.54823605
OTH,oil,Food_price,USD,4453575.85782086,4453575.85782086,4453575.85782086
OTH,oil,FL,mrh-eq,339104.663906994,339104.663906994,339104.663906994
OTH,sat_fat,CED,MJ,17869033.5662495,17869033.5662495,17869033.5662495
OTH,sat_fat,Food_price,USD,2434921.03820613,2434921.03820613,2434921.03820613
OTH,sat_fat,FL,mrh-eq,479568.1709249,479568.1709249,479568.1709249
