sex_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
Female,NHW,added_sugar,CED,MJ,14661194.6148477,14661194.6148477,14661194.6148477
Female,NHW,added_sugar,Food_price,USD,26493766.2689821,26493766.2689821,26493766.2689821
Female,NHW,added_sugar,FL,mrh-eq,699396.629435172,699396.629435172,699396.629435172
Female,NHW,oil,CED,MJ,19818963.1836894,19818963.1836894,19818963.1836894
Female,NHW,oil,Food_price,USD,15632325.4830368,15632325.4830368,15632325.4830368
Female,NHW,oil,FL,mrh-eq,1017200.27553922,1017200.27553922,1017200.27553922
Female,NHW,sat_fat,CED,MJ,58034072.164706,58034072.164706,58034072.164706
Female,NHW,sat_fat,Food_price,USD,6455151.76443702,6455151.76443702,6455151.76443702
Female,NHW,sat_fat,FL,mrh-eq,1544675.62264689,1544675.62264689,1544675.62264689
Female,NHB,added_sugar,CED,MJ,2919998.06445717,2919998.06445717,2919998.06445717
Female,NHB,added_sugar,Food_price,USD,4898934.93178615,4898934.93178615,4898934.93178615
Female,NHB,added_sugar,FL,mrh-eq,126190.965859711,126190.965859711,126190.965859711
Female,NHB,oil,CED,MJ,3842844.26723114,3842844.26723114,3842844.26723114
Female,NHB,oil,Food_price,USD,2312664.48450051,2312664.48450051,2312664.48450051
Female,NHB,oil,FL,mrh-eq,190953.218826314,190953.218826314,190953.218826314
Female,NHB,sat_fat,CED,MJ,10235741.2109043,10235741.2109043,10235741.2109043
Female,NHB,sat_fat,Food_price,USD,1210031.68326854,1210031.68326854,1210031.68326854
Female,NHB,sat_fat,FL,mrh-eq,269339.88261703,269339.88261703,269339.88261703
Female,HIS,added_sugar,CED,MJ,3634745.82734057,3634745.82734057,3634745.82734057
Female,HIS,added_sugar,Food_price,USD,5573137.91947582,5573137.91947582,5573137.91947582
Female,HIS,added_sugar,FL,mrh-eq,173164.892395021,173164.892395021,173164.892395021
Female,HIS,oil,CED,MJ,4900487.68375143,4900487.68375143,4900487.68375143
Female,HIS,oil,Food_price,USD,3502747.76771771,3502747.76771771,3502747.76771771
Female,HIS,oil,FL,mrh-eq,249152.399464386,249152.399464386,249152.399464386
Female,HIS,sat_fat,CED,MJ,14041886.3101366,14041886.3101366,14041886.3101366
Female,HIS,sat_fat,Food_price,USD,1729864.57855169,1729864.57855169,1729864.57855169
Female,HIS,sat_fat,FL,mrh-eq,378511.239094244,378511.239094244,378511.239094244
Female,OTH,added_sugar,CED,MJ,2424481.22039392,2424481.22039392,2424481.22039392
Female,OTH,added_sugar,Food_price,USD,4250590.54290831,4250590.54290831,4250590.54290831
Female,OTH,added_sugar,FL,mrh-eq,117641.000905549,117641.000905549,117641.000905549
Female,OTH,oil,CED,MJ,3260767.05679775,3260767.05679775,3260767.05679775
Female,OTH,oil,Food_price,USD,2492277.87127365,2492277.87127365,2492277.87127365
Female,OTH,oil,FL,mrh-eq,174896.762400236,174896.762400236,174896.762400236
Female,OTH,sat_fat,CED,MJ,9090035.86811387,9090035.86811387,9090035.86811387
Female,OTH,sat_fat,Food_price,USD,1248210.87454743,1248210.87454743,1248210.87454743
Female,OTH,sat_fat,FL,mrh-eq,238752.669330385,238752.669330385,238752.669330385
Male,NHW,added_sugar,CED,MJ,14136061.5791009,14136061.5791009,14136061.5791009
Male,NHW,added_sugar,Food_price,USD,24679553.8370549,24679553.8370549,24679553.8370549
Male,NHW,added_sugar,FL,mrh-eq,634800.971582552,634800.971582552,634800.971582552
Male,NHW,oil,CED,MJ,18292398.3013289,18292398.3013289,18292398.3013289
Male,NHW,oil,Food_price,USD,13580838.3813319,13580838.3813319,13580838.3813319
Male,NHW,oil,FL,mrh-eq,923302.519761138,923302.519761138,923302.519761138
Male,NHW,sat_fat,CED,MJ,53286640.6690894,53286640.6690894,53286640.6690894
Male,NHW,sat_fat,Food_price,USD,5912365.89401112,5912365.89401112,5912365.89401112
Male,NHW,sat_fat,FL,mrh-eq,1467680.75453194,1467680.75453194,1467680.75453194
Male,NHB,added_sugar,CED,MJ,2463377.47060526,2463377.47060526,2463377.47060526
Male,NHB,added_sugar,Food_price,USD,3913859.73942592,3913859.73942592,3913859.73942592
Male,NHB,added_sugar,FL,mrh-eq,100435.244217053,100435.244217053,100435.244217053
Male,NHB,oil,CED,MJ,3178584.59912146,3178584.59912146,3178584.59912146
Male,NHB,oil,Food_price,USD,1171572.19613449,1171572.19613449,1171572.19613449
Male,NHB,oil,FL,mrh-eq,155689.073055831,155689.073055831,155689.073055831
Male,NHB,sat_fat,CED,MJ,8521346.20929451,8521346.20929451,8521346.20929451
Male,NHB,sat_fat,Food_price,USD,877437.261364318,877437.261364318,877437.261364318
Male,NHB,sat_fat,FL,mrh-eq,232176.956962415,232176.956962415,232176.956962415
Male,HIS,added_sugar,CED,MJ,3646800.09294202,3646800.09294202,3646800.09294202
Male,HIS,added_sugar,Food_price,USD,5736877.44507731,5736877.44507731,5736877.44507731
Male,HIS,added_sugar,FL,mrh-eq,152842.034623041,152842.034623041,152842.034623041
Male,HIS,oil,CED,MJ,4759167.67117376,4759167.67117376,4759167.67117376
Male,HIS,oil,Food_price,USD,3105304.88212586,3105304.88212586,3105304.88212586
Male,HIS,oil,FL,mrh-eq,240375.73216188,240375.73216188,240375.73216188
Male,HIS,sat_fat,CED,MJ,13523106.8211538,13523106.8211538,13523106.8211538
Male,HIS,sat_fat,Food_price,USD,1450263.14402994,1450263.14402994,1450263.14402994
