age_gp,race_gp,outcome,outcome_unit,X1,X2,X3
20-34,NHW,CED,MJ,13358565.3579839,13358565.3579839,13358565.3579839
20-34,NHW,Food_price,USD,9696500.62530061,9696500.62530061,9696500.62530061
20-34,NHW,FL,mrh-eq,465151.053879765,465151.053879765,465151.053879765
20-34,NHB,CED,MJ,3069327.68592727,3069327.68592727,3069327.68592727
20-34,NHB,Food_price,USD,2004472.56382603,2004472.56382603,2004472.56382603
20-34,NHB,FL,mrh-eq,102934.020842629,102934.020842629,102934.020842629
20-34,HIS,CED,MJ,4975379.17884529,4975379.17884529,4975379.17884529
20-34,HIS,Food_price,USD,2982755.38000789,2982755.38000789,2982755.38000789
20-34,HIS,FL,mrh-eq,169357.494551107,169357.494551107,169357.494551107
20-34,OTH,CED,MJ,2709564.52758854,2709564.52758854,2709564.52758854
20-34,OTH,Food_price,USD,1923086.73988553,1923086.73988553,1923086.73988553
20-34,OTH,FL,mrh-eq,95309.4520725267,95309.4520725267,95309.4520725267
35-44,NHW,CED,MJ,7855856.14240963,7855856.14240963,7855856.14240963
35-44,NHW,Food_price,USD,4923684.40472833,4923684.40472833,4923684.40472833
35-44,NHW,FL,mrh-eq,272175.434100368,272175.434100368,272175.434100368
35-44,NHB,CED,MJ,1839637.56169111,1839637.56169111,1839637.56169111
35-44,NHB,Food_price,USD,1024794.36999462,1024794.36999462,1024794.36999462
35-44,NHB,FL,mrh-eq,62366.2962519074,62366.2962519074,62366.2962519074
35-44,HIS,CED,MJ,3337292.71655386,3337292.71655386,3337292.71655386
35-44,HIS,Food_price,USD,2002787.57096111,2002787.57096111,2002787.57096111
35-44,HIS,FL,mrh-eq,118218.452046283,118218.452046283,118218.452046283
35-44,OTH,CED,MJ,1761476.32024114,1761476.32024114,1761476.32024114
35-44,OTH,Food_price,USD,1028841.55088272,1028841.55088272,1028841.55088272
35-44,OTH,FL,mrh-eq,66213.1216174751,66213.1216174751,66213.1216174751
45-54,NHW,CED,MJ,8609626.72117212,8609626.72117212,8609626.72117212
45-54,NHW,Food_price,USD,5408967.50836836,5408967.50836836,5408967.50836836
45-54,NHW,FL,mrh-eq,306618.518918769,306618.518918769,306618.518918769
45-54,NHB,CED,MJ,1629107.91779622,1629107.91779622,1629107.91779622
45-54,NHB,Food_price,USD,928568.051015501,928568.051015501,928568.051015501
