age_gp,sex_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,Female,NHW,added_sugar,CED,MJ,1715898.93853613,1715898.93853613,1715898.93853613
20-34,Female,NHW,added_sugar,Food_price,USD,3686343.41645999,3686343.41645999,3686343.41645999
20-34,Female,NHW,added_sugar,FL,mrh-eq,78952.7906694193,78952.7906694193,78952.7906694193
20-34,Female,NHW,oil,CED,MJ,913338.734339302,913338.734339302,913338.734339302
20-34,Female,NHW,oil,Food_price,USD,637076.637435005,637076.637435005,637076.637435005
20-34,Female,NHW,oil,FL,mrh-eq,48690.9320259994,48690.9320259994,48690.9320259994
20-34,Female,NHW,sat_fat,CED,MJ,3615988.5965233,3615988.5965233,3615988.5965233
20-34,Female,NHW,sat_fat,Food_price,USD,427968.584355588,427968.584355588,427968.584355588
20-34,Female,NHW,sat_fat,FL,mrh-eq,94248.1769291099,94248.1769291099,94248.1769291099
20-34,Female,NHB,added_sugar,CED,MJ,452322.516610314,452322.516610314,452322.516610314
20-34,Female,NHB,added_sugar,Food_price,USD,831619.305964233,831619.305964233,831619.305964233
20-34,Female,NHB,added_sugar,FL,mrh-eq,17779.848973715,17779.848973715,17779.848973715
20-34,Female,NHB,oil,CED,MJ,226463.781535598,226463.781535598,226463.781535598
20-34,Female,NHB,oil,Food_price,USD,169386.174443906,169386.174443906,169386.174443906
20-34,Female,NHB,oil,FL,mrh-eq,11666.3585602056,11666.3585602056,11666.3585602056
20-34,Female,NHB,sat_fat,CED,MJ,894337.245314591,894337.245314591,894337.245314591
20-34,Female,NHB,sat_fat,Food_price,USD,99826.0576604338,99826.0576604338,99826.0576604338
20-34,Female,NHB,sat_fat,FL,mrh-eq,23432.5736233426,23432.5736233426,23432.5736233426
20-34,Female,HIS,added_sugar,CED,MJ,634427.475937838,634427.475937838,634427.475937838
20-34,Female,HIS,added_sugar,Food_price,USD,962711.388077336,962711.388077336,962711.388077336
20-34,Female,HIS,added_sugar,FL,mrh-eq,27500.2409483516,27500.2409483516,27500.2409483516
20-34,Female,HIS,oil,CED,MJ,332037.970381612,332037.970381612,332037.970381612
20-34,Female,HIS,oil,Food_price,USD,225118.185961207,225118.185961207,225118.185961207
20-34,Female,HIS,oil,FL,mrh-eq,17138.9439855417,17138.9439855417,17138.9439855417
20-34,Female,HIS,sat_fat,CED,MJ,1457367.39710689,1457367.39710689,1457367.39710689
20-34,Female,HIS,sat_fat,Food_price,USD,214784.845239489,214784.845239489,214784.845239489
20-34,Female,HIS,sat_fat,FL,mrh-eq,39895.7737031805,39895.7737031805,39895.7737031805
20-34,Female,OTH,added_sugar,CED,MJ,377262.043298075,377262.043298075,377262.043298075
20-34,Female,OTH,added_sugar,Food_price,USD,732839.985059935,732839.985059935,732839.985059935
20-34,Female,OTH,added_sugar,FL,mrh-eq,17151.3495864358,17151.3495864358,17151.3495864358
20-34,Female,OTH,oil,CED,MJ,195041.242206907,195041.242206907,195041.242206907
20-34,Female,OTH,oil,Food_price,USD,154682.402688775,154682.402688775,154682.402688775
20-34,Female,OTH,oil,FL,mrh-eq,9982.75400856682,9982.75400856682,9982.75400856682
20-34,Female,OTH,sat_fat,CED,MJ,770764.48582946,770764.48582946,770764.48582946
20-34,Female,OTH,sat_fat,Food_price,USD,98988.0474201795,98988.0474201795,98988.0474201795
20-34,Female,OTH,sat_fat,FL,mrh-eq,20414.0828331375,20414.0828331375,20414.0828331375
20-34,Male,NHW,added_sugar,CED,MJ,1929019.7705052,1929019.7705052,1929019.7705052
20-34,Male,NHW,added_sugar,Food_price,USD,3778085.01442936,3778085.01442936,3778085.01442936
20-34,Male,NHW,added_sugar,FL,mrh-eq,79132.7765615863,79132.7765615863,79132.7765615863
20-34,Male,NHW,oil,CED,MJ,957161.111160675,957161.111160675,957161.111160675
20-34,Male,NHW,oil,Food_price,USD,679992.00724176,679992.00724176,679992.00724176
20-34,Male,NHW,oil,FL,mrh-eq,49081.4726147984,49081.4726147984,49081.4726147984
20-34,Male,NHW,sat_fat,CED,MJ,4227158.20691927,4227158.20691927,4227158.20691927
20-34,Male,NHW,sat_fat,Food_price,USD,487034.965378916,487034.965378916,487034.965378916
20-34,Male,NHW,sat_fat,FL,mrh-eq,115044.905078852,115044.905078852,115044.905078852
20-34,Male,NHB,added_sugar,CED,MJ,419290.030279307,419290.030279307,419290.030279307
20-34,Male,NHB,added_sugar,Food_price,USD,751292.576103026,751292.576103026,751292.576103026
20-34,Male,NHB,added_sugar,FL,mrh-eq,16349.7501988709,16349.7501988709,16349.7501988709
20-34,Male,NHB,oil,CED,MJ,210241.388717061,210241.388717061,210241.388717061
20-34,Male,NHB,oil,Food_price,USD,71046.308355976,71046.308355976,71046.308355976
20-34,Male,NHB,oil,FL,mrh-eq,10383.2963341095,10383.2963341095,10383.2963341095
20-34,Male,NHB,sat_fat,CED,MJ,866672.723470395,866672.723470395,866672.723470395
20-34,Male,NHB,sat_fat,Food_price,USD,81302.1412984539,81302.1412984539,81302.1412984539
20-34,Male,NHB,sat_fat,FL,mrh-eq,23322.1931523855,23322.1931523855,23322.1931523855
20-34,Male,HIS,added_sugar,CED,MJ,684286.86197769,684286.86197769,684286.86197769
20-34,Male,HIS,added_sugar,Food_price,USD,1244328.92930464,1244328.92930464,1244328.92930464
20-34,Male,HIS,added_sugar,FL,mrh-eq,25028.6400700657,25028.6400700657,25028.6400700657
20-34,Male,HIS,oil,CED,MJ,334985.89627592,334985.89627592,334985.89627592
20-34,Male,HIS,oil,Food_price,USD,171586.87307148,171586.87307148,171586.87307148
20-34,Male,HIS,oil,FL,mrh-eq,17550.0284894245,17550.0284894245,17550.0284894245
20-34,Male,HIS,sat_fat,CED,MJ,1532273.57716534,1532273.57716534,1532273.57716534
20-34,Male,HIS,sat_fat,Food_price,USD,164225.158353735,164225.158353735,164225.158353735
20-34,Male,HIS,sat_fat,FL,mrh-eq,42243.8673545427,42243.8673545427,42243.8673545427
20-34,Male,OTH,added_sugar,CED,MJ,375841.711672176,375841.711672176,375841.711672176
20-34,Male,OTH,added_sugar,Food_price,USD,678085.28854741,678085.28854741,678085.28854741
20-34,Male,OTH,added_sugar,FL,mrh-eq,16071.3746288723,16071.3746288723,16071.3746288723
20-34,Male,OTH,oil,CED,MJ,182620.273745509,182620.273745509,182620.273745509
20-34,Male,OTH,oil,Food_price,USD,142838.974458738,142838.974458738,142838.974458738
20-34,Male,OTH,oil,FL,mrh-eq,9675.05644457062,9675.05644457062,9675.05644457062
20-34,Male,OTH,sat_fat,CED,MJ,808034.770836408,808034.770836408,808034.770836408
20-34,Male,OTH,sat_fat,Food_price,USD,115652.041710496,115652.041710496,115652.041710496
20-34,Male,OTH,sat_fat,FL,mrh-eq,22014.8345709438,22014.8345709438,22014.8345709438
35-44,Female,NHW,added_sugar,CED,MJ,1026988.14652442,1026988.14652442,1026988.14652442
35-44,Female,NHW,added_sugar,Food_price,USD,1779016.32285205,1779016.32285205,1779016.32285205
35-44,Female,NHW,added_sugar,FL,mrh-eq,48151.3089063629,48151.3089063629,48151.3089063629
35-44,Female,NHW,oil,CED,MJ,541515.088840091,541515.088840091,541515.088840091
35-44,Female,NHW,oil,Food_price,USD,291650.08199229,291650.08199229,291650.08199229
35-44,Female,NHW,oil,FL,mrh-eq,25887.4081966256,25887.4081966256,25887.4081966256
35-44,Female,NHW,sat_fat,CED,MJ,2212000.12668357,2212000.12668357,2212000.12668357
35-44,Female,NHW,sat_fat,Food_price,USD,261525.321093911,261525.321093911,261525.321093911
35-44,Female,NHW,sat_fat,FL,mrh-eq,58659.0314673724,58659.0314673724,58659.0314673724
35-44,Female,NHB,added_sugar,CED,MJ,277726.389867706,277726.389867706,277726.389867706
35-44,Female,NHB,added_sugar,Food_price,USD,452027.285457445,452027.285457445,452027.285457445
35-44,Female,NHB,added_sugar,FL,mrh-eq,11600.7079758413,11600.7079758413,11600.7079758413
35-44,Female,NHB,oil,CED,MJ,140659.250304261,140659.250304261,140659.250304261
35-44,Female,NHB,oil,Food_price,USD,0,0,0
35-44,Female,NHB,oil,FL,mrh-eq,7030.51698624411,7030.51698624411,7030.51698624411
35-44,Female,NHB,sat_fat,CED,MJ,563729.798009573,563729.798009573,563729.798009573
35-44,Female,NHB,sat_fat,Food_price,USD,64367.3022406795,64367.3022406795,64367.3022406795
35-44,Female,NHB,sat_fat,FL,mrh-eq,14926.5820540224,14926.5820540224,14926.5820540224
35-44,Female,HIS,added_sugar,CED,MJ,438088.785595807,438088.785595807,438088.785595807
35-44,Female,HIS,added_sugar,Food_price,USD,757473.312644677,757473.312644677,757473.312644677
35-44,Female,HIS,added_sugar,FL,mrh-eq,21888.4717944131,21888.4717944131,21888.4717944131
35-44,Female,HIS,oil,CED,MJ,230248.793256686,230248.793256686,230248.793256686
35-44,Female,HIS,oil,Food_price,USD,145428.338882241,145428.338882241,145428.338882241
35-44,Female,HIS,oil,FL,mrh-eq,11716.7688941656,11716.7688941656,11716.7688941656
35-44,Female,HIS,sat_fat,CED,MJ,983474.938542305,983474.938542305,983474.938542305
35-44,Female,HIS,sat_fat,Food_price,USD,106513.361301864,106513.361301864,106513.361301864
35-44,Female,HIS,sat_fat,FL,mrh-eq,26319.9856861027,26319.9856861027,26319.9856861027
35-44,Female,OTH,added_sugar,CED,MJ,253116.186394931,253116.186394931,253116.186394931
35-44,Female,OTH,added_sugar,Food_price,USD,367565.161997904,367565.161997904,367565.161997904
35-44,Female,OTH,added_sugar,FL,mrh-eq,12809.3209527639,12809.3209527639,12809.3209527639
35-44,Female,OTH,oil,CED,MJ,139268.298275359,139268.298275359,139268.298275359
35-44,Female,OTH,oil,Food_price,USD,111327.835538965,111327.835538965,111327.835538965
35-44,Female,OTH,oil,FL,mrh-eq,7944.57087754366,7944.57087754366,7944.57087754366
35-44,Female,OTH,sat_fat,CED,MJ,564845.3590175,564845.3590175,564845.3590175
35-44,Female,OTH,sat_fat,Food_price,USD,70596.3381697891,70596.3381697891,70596.3381697891
35-44,Female,OTH,sat_fat,FL,mrh-eq,15187.0276571817,15187.0276571817,15187.0276571817
35-44,Male,NHW,added_sugar,CED,MJ,1038444.41669417,1038444.41669417,1038444.41669417
35-44,Male,NHW,added_sugar,Food_price,USD,2016144.87783854,2016144.87783854,2016144.87783854
35-44,Male,NHW,added_sugar,FL,mrh-eq,44574.5389214535,44574.5389214535,44574.5389214535
35-44,Male,NHW,oil,CED,MJ,528661.330956191,528661.330956191,528661.330956191
35-44,Male,NHW,oil,Food_price,USD,315664.491698495,315664.491698495,315664.491698495
35-44,Male,NHW,oil,FL,mrh-eq,25197.3959212604,25197.3959212604,25197.3959212604
35-44,Male,NHW,sat_fat,CED,MJ,2508247.0327112,2508247.0327112,2508247.0327112
35-44,Male,NHW,sat_fat,Food_price,USD,259683.309253048,259683.309253048,259683.309253048
35-44,Male,NHW,sat_fat,FL,mrh-eq,69705.7506872934,69705.7506872934,69705.7506872934
35-44,Male,NHB,added_sugar,CED,MJ,236782.480095696,236782.480095696,236782.480095696
35-44,Male,NHB,added_sugar,Food_price,USD,393321.842505233,393321.842505233,393321.842505233
35-44,Male,NHB,added_sugar,FL,mrh-eq,9054.76447941886,9054.76447941886,9054.76447941886
35-44,Male,NHB,oil,CED,MJ,117291.23318936,117291.23318936,117291.23318936
35-44,Male,NHB,oil,Food_price,USD,65338.9060619983,65338.9060619983,65338.9060619983
35-44,Male,NHB,oil,FL,mrh-eq,5972.93507329306,5972.93507329306,5972.93507329306
35-44,Male,NHB,sat_fat,CED,MJ,503448.410224512,503448.410224512,503448.410224512
35-44,Male,NHB,sat_fat,Food_price,USD,49739.0337292666,49739.0337292666,49739.0337292666
35-44,Male,NHB,sat_fat,FL,mrh-eq,13780.7896830877,13780.7896830877,13780.7896830877
35-44,Male,HIS,added_sugar,CED,MJ,432898.308776525,432898.308776525,432898.308776525
35-44,Male,HIS,added_sugar,Food_price,USD,728146.157040526,728146.157040526,728146.157040526
35-44,Male,HIS,added_sugar,FL,mrh-eq,18274.6079069126,18274.6079069126,18274.6079069126
35-44,Male,HIS,oil,CED,MJ,217945.437492592,217945.437492592,217945.437492592
35-44,Male,HIS,oil,Food_price,USD,167296.934906327,167296.934906327,167296.934906327
35-44,Male,HIS,oil,FL,mrh-eq,11128.5676948132,11128.5676948132,11128.5676948132
35-44,Male,HIS,sat_fat,CED,MJ,1034636.45288995,1034636.45288995,1034636.45288995
35-44,Male,HIS,sat_fat,Food_price,USD,97929.4661854763,97929.4661854763,97929.4661854763
35-44,Male,HIS,sat_fat,FL,mrh-eq,28890.050069876,28890.050069876,28890.050069876
35-44,Male,OTH,added_sugar,CED,MJ,212923.274486886,212923.274486886,212923.274486886
35-44,Male,OTH,added_sugar,Food_price,USD,355185.22934206,355185.22934206,355185.22934206
35-44,Male,OTH,added_sugar,FL,mrh-eq,11033.4558056602,11033.4558056602,11033.4558056602
35-44,Male,OTH,oil,CED,MJ,112516.905297746,112516.905297746,112516.905297746
35-44,Male,OTH,oil,Food_price,USD,57783.6362679683,57783.6362679683,57783.6362679683
35-44,Male,OTH,oil,FL,mrh-eq,6198.73515825012,6198.73515825012,6198.73515825012
35-44,Male,OTH,sat_fat,CED,MJ,478806.296768716,478806.296768716,478806.296768716
35-44,Male,OTH,sat_fat,Food_price,USD,66383.3495660288,66383.3495660288,66383.3495660288
35-44,Male,OTH,sat_fat,FL,mrh-eq,13040.0111660755,13040.0111660755,13040.0111660755
45-54,Female,NHW,added_sugar,CED,MJ,1233588.12476994,1233588.12476994,1233588.12476994
45-54,Female,NHW,added_sugar,Food_price,USD,1992670.26067684,1992670.26067684,1992670.26067684
45-54,Female,NHW,added_sugar,FL,mrh-eq,54575.5777509606,54575.5777509606,54575.5777509606
45-54,Female,NHW,oil,CED,MJ,647928.321780419,647928.321780419,647928.321780419
45-54,Female,NHW,oil,Food_price,USD,533456.962140609,533456.962140609,533456.962140609
45-54,Female,NHW,oil,FL,mrh-eq,36186.2026727754,36186.2026727754,36186.2026727754
45-54,Female,NHW,sat_fat,CED,MJ,2744007.42110559,2744007.42110559,2744007.42110559
45-54,Female,NHW,sat_fat,Food_price,USD,292158.131391441,292158.131391441,292158.131391441
45-54,Female,NHW,sat_fat,FL,mrh-eq,73806.0740532686,73806.0740532686,73806.0740532686
45-54,Female,NHB,added_sugar,CED,MJ,223935.456202157,223935.456202157,223935.456202157
45-54,Female,NHB,added_sugar,Food_price,USD,359703.010898098,359703.010898098,359703.010898098
45-54,Female,NHB,added_sugar,FL,mrh-eq,9491.54569845627,9491.54569845627,9491.54569845627
45-54,Female,NHB,oil,CED,MJ,116017.052091826,116017.052091826,116017.052091826
45-54,Female,NHB,oil,Food_price,USD,71542.0518495215,71542.0518495215,71542.0518495215
45-54,Female,NHB,oil,FL,mrh-eq,5601.17506982163,5601.17506982163,5601.17506982163
45-54,Female,NHB,sat_fat,CED,MJ,432572.269015386,432572.269015386,432572.269015386
45-54,Female,NHB,sat_fat,Food_price,USD,58041.5138896116,58041.5138896116,58041.5138896116
45-54,Female,NHB,sat_fat,FL,mrh-eq,11243.0715191653,11243.0715191653,11243.0715191653
45-54,Female,HIS,added_sugar,CED,MJ,283681.842595211,283681.842595211,283681.842595211
45-54,Female,HIS,added_sugar,Food_price,USD,458448.742931659,458448.742931659,458448.742931659
45-54,Female,HIS,added_sugar,FL,mrh-eq,13472.5548376511,13472.5548376511,13472.5548376511
45-54,Female,HIS,oil,CED,MJ,146636.560977881,146636.560977881,146636.560977881
45-54,Female,HIS,oil,Food_price,USD,100487.776073951,100487.776073951,100487.776073951
45-54,Female,HIS,oil,FL,mrh-eq,7218.9459464332,7218.9459464332,7218.9459464332
45-54,Female,HIS,sat_fat,CED,MJ,615410.289252274,615410.289252274,615410.289252274
45-54,Female,HIS,sat_fat,Food_price,USD,76650.3975448868,76650.3975448868,76650.3975448868
45-54,Female,HIS,sat_fat,FL,mrh-eq,16389.2578529763,16389.2578529763,16389.2578529763
45-54,Female,OTH,added_sugar,CED,MJ,176788.462620654,176788.462620654,176788.462620654
45-54,Female,OTH,added_sugar,Food_price,USD,279584.210630517,279584.210630517,279584.210630517
45-54,Female,OTH,added_sugar,FL,mrh-eq,8861.49074442224,8861.49074442224,8861.49074442224
45-54,Female,OTH,oil,CED,MJ,95040.5354755905,95040.5354755905,95040.5354755905
45-54,Female,OTH,oil,Food_price,USD,52770.7657193837,52770.7657193837,52770.7657193837
45-54,Female,OTH,oil,FL,mrh-eq,5242.46610773599,5242.46610773599,5242.46610773599
45-54,Female,OTH,sat_fat,CED,MJ,341675.348749949,341675.348749949,341675.348749949
45-54,Female,OTH,sat_fat,Food_price,USD,59490.7278333367,59490.7278333367,59490.7278333367
45-54,Female,OTH,sat_fat,FL,mrh-eq,8668.21325565098,8668.21325565098,8668.21325565098
45-54,Male,NHW,added_sugar,CED,MJ,1018624.76310124,1018624.76310124,1018624.76310124
45-54,Male,NHW,added_sugar,Food_price,USD,1934409.92502035,1934409.92502035,1934409.92502035
45-54,Male,NHW,added_sugar,FL,mrh-eq,46750.8128128272,46750.8128128272,46750.8128128272
45-54,Male,NHW,oil,CED,MJ,528492.806594024,528492.806594024,528492.806594024
45-54,Male,NHW,oil,Food_price,USD,404944.550157662,404944.550157662,404944.550157662
45-54,Male,NHW,oil,FL,mrh-eq,28083.4016682583,28083.4016682583,28083.4016682583
45-54,Male,NHW,sat_fat,CED,MJ,2436985.28382091,2436985.28382091,2436985.28382091
45-54,Male,NHW,sat_fat,Food_price,USD,251327.678981453,251327.678981453,251327.678981453
45-54,Male,NHW,sat_fat,FL,mrh-eq,67216.4499606787,67216.4499606787,67216.4499606787
45-54,Male,NHB,added_sugar,CED,MJ,227960.175135316,227960.175135316,227960.175135316
45-54,Male,NHB,added_sugar,Food_price,USD,318667.040924871,318667.040924871,318667.040924871
45-54,Male,NHB,added_sugar,FL,mrh-eq,9813.39382451761,9813.39382451761,9813.39382451761
45-54,Male,NHB,oil,CED,MJ,113883.543720296,113883.543720296,113883.543720296
45-54,Male,NHB,oil,Food_price,USD,61983.9788944752,61983.9788944752,61983.9788944752
45-54,Male,NHB,oil,FL,mrh-eq,5556.44631106868,5556.44631106868,5556.44631106868
45-54,Male,NHB,sat_fat,CED,MJ,514739.421631237,514739.421631237,514739.421631237
45-54,Male,NHB,sat_fat,Food_price,USD,58630.4545589242,58630.4545589242,58630.4545589242
45-54,Male,NHB,sat_fat,FL,mrh-eq,14252.5430939643,14252.5430939643,14252.5430939643
45-54,Male,HIS,added_sugar,CED,MJ,313603.010633289,313603.010633289,313603.010633289
