age_gp,sex_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,Female,added_sugar,CED,MJ,-7170558.28091192,-7041878.50724942,-7565761.03183268
20-34,Female,added_sugar,Food_price,USD,-14100003.8373613,-13428153.9786059,-14695365.5495785
20-34,Female,added_sugar,FL,mrh-eq,-317297.352818528,-311613.132671031,-334908.845678078
20-34,Female,oil,CED,MJ,-931238.776516892,-620768.968201285,-756549.270147997
20-34,Female,oil,Food_price,USD,-649217.405812865,-414756.332019629,-535727.906538378
20-34,Female,oil,FL,mrh-eq,-48859.4889797647,-32477.7393552357,-39590.5646230762
20-34,Female,sat_fat,CED,MJ,-20241490.221366,-20794414.487508,-20648298.3172073
20-34,Female,sat_fat,Food_price,USD,-2511606.72991459,-2557331.27680217,-2609748.32261753
20-34,Female,sat_fat,FL,mrh-eq,-533723.637749615,-548104.207617973,-544498.949024651
20-34,Male,added_sugar,CED,MJ,-5766287.8492533,-5727457.63367869,-5734039.32946903
20-34,Male,added_sugar,Food_price,USD,-10831036.6022755,-10754194.4783141,-10989596.3770389
20-34,Male,added_sugar,FL,mrh-eq,-229562.925797234,-228377.734388463,-228189.66289681
20-34,Male,oil,CED,MJ,663732.586745238,732036.093262856,801845.28871798
20-34,Male,oil,Food_price,USD,478811.397194855,473062.219198924,476602.500197729
20-34,Male,oil,FL,mrh-eq,34294.5961836633,37796.2815589244,41301.2871560895
20-34,Male,sat_fat,CED,MJ,-19996897.684341,-19113990.9513186,-19466281.9161883
20-34,Male,sat_fat,Food_price,USD,-2247621.81025039,-2149230.80201387,-2211830.45221773
20-34,Male,sat_fat,FL,mrh-eq,-544881.239402326,-520911.924592888,-530490.822783472
35-44,Female,added_sugar,CED,MJ,-4368857.37716732,-4776128.85573414,-4446493.35190467
35-44,Female,added_sugar,Food_price,USD,-7285027.62682022,-7729776.74349374,-7606252.90862343
35-44,Female,added_sugar,FL,mrh-eq,-204903.240179583,-224088.565431699,-208629.0308066
