sex_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
Female,NHW,added_sugar,CED,MJ,-17422193.4055801,-18274816.566885,-17552592.6064358
Female,NHW,added_sugar,Food_price,USD,-31355035.5449857,-32774382.3902136,-31572056.5928282
Female,NHW,added_sugar,FL,mrh-eq,-832812.367774128,-869315.864107032,-837877.191174802
Female,NHW,oil,CED,MJ,-2316491.4468185,-1577690.92629543,-1971334.71343631
Female,NHW,oil,Food_price,USD,-1937032.49308196,-1196363.88707303,-1309253.96319719
Female,NHW,oil,FL,mrh-eq,-117934.961061465,-79377.387112113,-98958.8082101561
Female,NHW,sat_fat,CED,MJ,-55430726.6863151,-58017602.779926,-57748258.8635467
Female,NHW,sat_fat,Food_price,USD,-6158528.34092859,-6418163.04589645,-6421591.30462683
Female,NHW,sat_fat,FL,mrh-eq,-1475758.35609726,-1544240.77447643,-1537454.49163857
Female,NHB,added_sugar,CED,MJ,-4497224.83142805,-4495053.13761563,-4334838.06032806
Female,NHB,added_sugar,Food_price,USD,-7515590.1138243,-7376649.5932517,-7310341.0026379
Female,NHB,added_sugar,FL,mrh-eq,-195076.881121831,-195309.001357143,-186845.921664293
Female,NHB,oil,CED,MJ,-591001.518212703,-676306.950989069,-585923.89555224
Female,NHB,oil,Food_price,USD,-319008.177655969,-393457.531881039,-359762.93135197
Female,NHB,oil,FL,mrh-eq,-29359.0031551767,-33632.9741918184,-29216.9854355589
Female,NHB,sat_fat,CED,MJ,-8238268.61944147,-8240048.67761052,-8118746.66482923
Female,NHB,sat_fat,Food_price,USD,-964775.278763286,-969587.425099426,-967896.447303156
Female,NHB,sat_fat,FL,mrh-eq,-216710.867998236,-216749.330134462,-213592.391980978
Female,HIS,added_sugar,CED,MJ,-3763274.69829331,-4019206.54622707,-4145915.89909216
Female,HIS,added_sugar,Food_price,USD,-5735047.23222134,-6061953.55221279,-6438096.00053959
Female,HIS,added_sugar,FL,mrh-eq,-178120.021465606,-189779.997543115,-195665.12430516
Female,HIS,oil,CED,MJ,-18736.1596579122,-113178.392873444,-117067.831931717
Female,HIS,oil,Food_price,USD,-12496.4513679349,-94265.2269886475,-77479.5895910111
Female,HIS,oil,FL,mrh-eq,-855.868402679108,-5650.8712111517,-5780.62113421589
Female,HIS,sat_fat,CED,MJ,-10513356.9401048,-10831718.0848779,-10684929.3247681
Female,HIS,sat_fat,Food_price,USD,-1296411.66732621,-1347819.96812855,-1336672.03078409
Female,HIS,sat_fat,FL,mrh-eq,-283561.365627162,-292038.404209542,-288192.586898838
Female,OTH,added_sugar,CED,MJ,-2067080.90625593,-2142918.53181042,-2185282.24322044
Female,OTH,added_sugar,Food_price,USD,-3625622.83212949,-3727101.02172453,-3687356.03902245
Female,OTH,added_sugar,FL,mrh-eq,-100289.035201156,-104434.506946179,-105878.605548824
Female,OTH,oil,CED,MJ,-401679.851789976,-289213.666104072,-364718.904970975
Female,OTH,oil,Food_price,USD,-335758.719033331,-217766.950806861,-319594.71247861
Female,OTH,oil,FL,mrh-eq,-21114.2130550038,-15464.1419723747,-19320.4926502198
Female,OTH,sat_fat,CED,MJ,-6656643.05261062,-6950824.2428956,-6712829.37077035
Female,OTH,sat_fat,Food_price,USD,-908587.972249604,-954916.39812851,-941942.492629837
Female,OTH,sat_fat,FL,mrh-eq,-174908.492670797,-182542.035266675,-176136.982636845
Male,NHW,added_sugar,CED,MJ,-13731097.0177624,-14759818.9536226,-14301739.1530987
Male,NHW,added_sugar,Food_price,USD,-23724961.3737531,-25276275.0857373,-24707475.8692079
Male,NHW,added_sugar,FL,mrh-eq,-619794.325035003,-667943.56814756,-647495.674736077
Male,NHW,oil,CED,MJ,498509.890000294,689558.150268208,777420.110151445
Male,NHW,oil,Food_price,USD,445343.172586234,330388.308959693,527136.242168855
Male,NHW,oil,FL,mrh-eq,24858.7351087799,34491.8025614204,38965.3648709756
Male,NHW,sat_fat,CED,MJ,-47866882.1599585,-47854522.2185731,-48469541.9749434
