age_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,added_sugar,CED,MJ,-19538156.3514276,-19284681.1738312,-20085955.9643499
20-34,added_sugar,Food_price,USD,-37651103.6002781,-36519556.917317,-38789355.4166017
20-34,added_sugar,FL,mrh-eq,-825849.866819349,-815457.928679413,-850358.583260348
20-34,oil,CED,MJ,-322253.928254684,131691.498579803,52553.7567586946
20-34,oil,Food_price,USD,-205450.050016927,68849.5375357917,-71943.2341442754
20-34,oil,FL,mrh-eq,-17542.0393213252,6287.93755227322,1959.97263557172
20-34,sat_fat,CED,MJ,-52181630.0210986,-51731182.9712262,-52008890.6116265
20-34,sat_fat,Food_price,USD,-6171259.2816984,-6100957.21544089,-6250641.95223949
20-34,sat_fat,FL,mrh-eq,-1399051.33724704,-1386018.38878583,-1394039.93095065
35-44,added_sugar,CED,MJ,-12789449.584793,-13285941.0859446,-13047188.0027236
35-44,added_sugar,Food_price,USD,-22139184.320914,-22692886.0639653,-22905710.2100559
35-44,added_sugar,FL,mrh-eq,-573900.220802889,-597110.152266673,-584882.429063939
35-44,oil,CED,MJ,12905.724267209,-321329.580945049,-649707.037540884
35-44,oil,Food_price,USD,144693.301364706,-108295.920046805,-240696.560781716
35-44,oil,FL,mrh-eq,1727.19106172055,-14624.3876310138,-30238.4044408255
35-44,sat_fat,CED,MJ,-31219311.4379598,-32964894.7559472,-32293570.572338
35-44,sat_fat,Food_price,USD,-3453778.29403256,-3739540.80325467,-3546606.99869228
35-44,sat_fat,FL,mrh-eq,-847048.768163556,-894454.617141999,-875526.539401383
45-54,added_sugar,CED,MJ,-12686683.6787211,-14019177.4527977,-12327980.9996389
45-54,added_sugar,Food_price,USD,-20326370.6644161,-23016808.5640514,-20106035.8989335
45-54,added_sugar,FL,mrh-eq,-572538.029439415,-631438.148592426,-554660.642857755
45-54,oil,CED,MJ,-336402.698662062,-75011.8940283519,-264095.05811645
45-54,oil,Food_price,USD,-289955.351990997,-165836.848804091,-226812.580118494
45-54,oil,FL,mrh-eq,-19260.4568446319,-4758.4135360438,-15196.7651476972
45-54,sat_fat,CED,MJ,-30023998.7026439,-30801829.5645457,-30822113.4474723
45-54,sat_fat,Food_price,USD,-3429843.04635472,-3457074.65570601,-3491926.3435399
45-54,sat_fat,FL,mrh-eq,-814977.999207063,-835665.506475476,-836211.585053175
55-64,added_sugar,CED,MJ,-14154337.5261112,-16035147.4115971,-15197537.4681863
55-64,added_sugar,Food_price,USD,-22821654.6525234,-25769092.2390089,-23998054.0116391
55-64,added_sugar,FL,mrh-eq,-661825.93903992,-751926.493197776,-713685.475498922
55-64,oil,CED,MJ,-832604.211853139,-656507.63887373,-339858.434808536
55-64,oil,Food_price,USD,-784469.109440613,-543078.789367379,-250180.590148289
55-64,oil,FL,mrh-eq,-43222.0018722305,-34230.5290441713,-17547.8440216621
55-64,sat_fat,CED,MJ,-38522702.2742896,-40299510.8733323,-39450148.2601921
55-64,sat_fat,Food_price,USD,-4163940.60955311,-4316825.66783873,-4289852.65662291
55-64,sat_fat,FL,mrh-eq,-1052295.71611888,-1100697.68048703,-1077841.67628143
65-74,added_sugar,CED,MJ,-8598461.13949152,-8776509.63118644,-8660095.26362553
65-74,added_sugar,Food_price,USD,-13527700.0814883,-14155680.3216336,-13624030.2660807
65-74,added_sugar,FL,mrh-eq,-421736.352646185,-430915.339896511,-425049.863155514
65-74,oil,CED,MJ,-905786.08963219,-386333.95062779,-589532.239748753
65-74,oil,Food_price,USD,-856455.465153844,-428501.243661201,-535975.029808289
65-74,oil,FL,mrh-eq,-43579.0623712271,-18762.9884574137,-28543.2407956293
65-74,sat_fat,CED,MJ,-25570637.7122011,-25432262.995336,-25679486.5313786
65-74,sat_fat,Food_price,USD,-2931398.81960972,-2929977.68175924,-2950467.90635577
65-74,sat_fat,FL,mrh-eq,-694671.311152744,-690677.256168112,-697463.768178495
75+,added_sugar,CED,MJ,-6967046.46771446,-6670640.61880947,-7086573.62782347
75+,added_sugar,Food_price,USD,-11042320.625802,-10529492.9824728,-11001687.6704665
75+,added_sugar,FL,mrh-eq,-366659.858863255,-350788.511109227,-373553.810626529
75+,oil,CED,MJ,-34566.8960641423,-62445.3921566661,76419.7265661343
75+,oil,Food_price,USD,-27553.8623023854,-55494.2210886262,70147.9269401235
75+,oil,FL,mrh-eq,-1678.65930718943,-2951.794812865,3543.506415496
75+,sat_fat,CED,MJ,-18895496.041387,-19109401.3900203,-18735164.5488705
75+,sat_fat,Food_price,USD,-2129460.30812535,-2188547.43121094,-2135555.51153524
75+,sat_fat,FL,mrh-eq,-502238.864198778,-507715.806228298,-497931.560177447
