age_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,NHW,added_sugar,CED,MJ,-10154102.5090763,-9928533.83720892,-10316517.8195099
20-34,NHW,added_sugar,Food_price,USD,-21413979.5114895,-20269375.2871331,-21665171.5191213
20-34,NHW,added_sugar,FL,mrh-eq,-445622.322428267,-435071.335690037,-453355.536675946
20-34,NHW,oil,CED,MJ,-151344.60062707,255853.802865227,117737.37662409
20-34,NHW,oil,Food_price,USD,-14027.9686023641,186039.69700648,80386.5433935407
20-34,NHW,oil,FL,mrh-eq,-9042.82975292834,12406.2339103751,5152.0373573538
20-34,NHW,sat_fat,CED,MJ,-31074730.2249414,-31072433.5743322,-31071470.1524592
20-34,NHW,sat_fat,Food_price,USD,-3616987.42832472,-3578380.46040688,-3664279.53204195
20-34,NHW,sat_fat,FL,mrh-eq,-828379.088967626,-827386.32224824,-827811.814254689
20-34,NHB,added_sugar,CED,MJ,-3466223.72593276,-3381464.38328845,-3615889.50878018
20-34,NHB,added_sugar,Food_price,USD,-6189621.37234392,-6038774.68003523,-6458053.30448432
20-34,NHB,added_sugar,FL,mrh-eq,-135768.522402542,-132413.903430839,-141606.057075588
20-34,NHB,oil,CED,MJ,-195635.96405221,-258580.240113438,-169868.245317281
20-34,NHB,oil,Food_price,USD,-173036.264790702,-169349.266036873,-168141.821547084
20-34,NHB,oil,FL,mrh-eq,-10131.1107462886,-13327.8072607508,-8938.98589924184
20-34,NHB,sat_fat,CED,MJ,-6579556.95507659,-6101590.92957828,-6172197.91102609
20-34,NHB,sat_fat,Food_price,USD,-676190.482994011,-631089.568960251,-642478.173592756
20-34,NHB,sat_fat,FL,mrh-eq,-174461.580090526,-161750.947025785,-163650.862569723
20-34,HIS,added_sugar,CED,MJ,-4113828.05197435,-4215179.08463074,-4334277.55097579
20-34,HIS,added_sugar,Food_price,USD,-6766770.67300646,-6837995.10888736,-7207127.03599047
20-34,HIS,added_sugar,FL,mrh-eq,-164724.164616277,-170271.954788169,-174788.712318509
20-34,HIS,oil,CED,MJ,187671.641731058,205042.69546126,195365.144622393
20-34,HIS,oil,Food_price,USD,94323.6438440217,65475.5064235627,113685.40187179
20-34,HIS,oil,FL,mrh-eq,9864.92804724876,10762.1934650224,10285.3765796313
20-34,HIS,sat_fat,CED,MJ,-9710530.86975659,-9643616.93985788,-9872806.30950118
20-34,HIS,sat_fat,Food_price,USD,-1237349.81114803,-1231060.79886356,-1272749.92552314
20-34,HIS,sat_fat,FL,mrh-eq,-266748.359289247,-264916.300120817,-271196.32900419
20-34,OTH,added_sugar,CED,MJ,-1804002.0644442,-1759503.86870304,-1819271.08508401
20-34,OTH,added_sugar,Food_price,USD,-3280732.04343819,-3373411.84126137,-3459003.55700561
20-34,OTH,added_sugar,FL,mrh-eq,-79734.8573722626,-77700.7347703679,-80608.2771903056
20-34,OTH,oil,CED,MJ,-162945.005306463,-70624.7596332472,-90680.5191705081
20-34,OTH,oil,Food_price,USD,-112709.460467883,-13316.3998573781,-97873.357862523
20-34,OTH,oil,FL,mrh-eq,-8233.02686935706,-3552.68256237349,-4538.4554021715
20-34,OTH,sat_fat,CED,MJ,-4816811.97132396,-4913541.52745786,-4892416.23863997
20-34,OTH,sat_fat,Food_price,USD,-640731.559231641,-660426.387210202,-671134.321081655
20-34,OTH,sat_fat,FL,mrh-eq,-129462.308899642,-131964.819390989,-131380.925122048
35-44,NHW,added_sugar,CED,MJ,-6626137.14652032,-7047121.12958903,-6772219.00328834
35-44,NHW,added_sugar,Food_price,USD,-12101889.6354222,-12572943.3639742,-12463968.4187637
35-44,NHW,added_sugar,FL,mrh-eq,-297251.948262137,-316706.937311378,-303007.927755078
35-44,NHW,oil,CED,MJ,-265775.621820273,-516796.043806098,-793859.764144465
35-44,NHW,oil,Food_price,USD,-134793.601293241,-335917.755832615,-392697.776866186
35-44,NHW,oil,FL,mrh-eq,-12744.3019542648,-24717.2314319706,-37967.9910772104
35-44,NHW,sat_fat,CED,MJ,-18064719.9884597,-19470075.1810038,-19443473.5298704
35-44,NHW,sat_fat,Food_price,USD,-2003630.28995497,-2242062.89096301,-2126254.86301927
35-44,NHW,sat_fat,FL,mrh-eq,-489937.447835295,-528017.982251587,-526688.9702987
35-44,NHB,added_sugar,CED,MJ,-2187237.58768367,-2361117.45810618,-2365175.83989405
35-44,NHB,added_sugar,Food_price,USD,-3654987.23209081,-3907970.75560402,-4023399.53787988
35-44,NHB,added_sugar,FL,mrh-eq,-88289.7291785796,-95260.691351713,-95384.7444072582
35-44,NHB,oil,CED,MJ,-68505.1044384051,-46416.3060261433,-3361.57455727158
35-44,NHB,oil,Food_price,USD,33914.1508120154,66953.8146009574,48768.188656289
35-44,NHB,oil,FL,mrh-eq,-3345.90977455199,-2231.19414341556,-87.2260188662795
35-44,NHB,sat_fat,CED,MJ,-3609410.09238544,-3493706.97590256,-3604556.43058915
35-44,NHB,sat_fat,Food_price,USD,-385702.584120212,-373382.575441729,-387182.918980508
35-44,NHB,sat_fat,FL,mrh-eq,-97081.2452649264,-93893.4871083551,-96919.9540723709
35-44,HIS,added_sugar,CED,MJ,-2702140.33052265,-2552848.64093198,-2610196.56801831
35-44,HIS,added_sugar,Food_price,USD,-4459034.7550198,-4205132.50704545,-4460160.27670676
35-44,HIS,added_sugar,FL,mrh-eq,-123359.682734007,-117626.782943851,-120241.05054346
35-44,HIS,oil,CED,MJ,311617.871972886,227233.462150655,59382.494886593
35-44,HIS,oil,Food_price,USD,238213.73187222,161021.778451182,79828.2108404899
35-44,HIS,oil,FL,mrh-eq,15903.563221194,11611.877028783,3042.69706456699
35-44,HIS,sat_fat,CED,MJ,-6085313.85453124,-6740403.04593161,-6260774.27607918
35-44,HIS,sat_fat,Food_price,USD,-610745.15616603,-704318.616531808,-639790.179362843
35-44,HIS,sat_fat,FL,mrh-eq,-166518.450087385,-184464.461315184,-171223.11358282
35-44,OTH,added_sugar,CED,MJ,-1273934.52006638,-1324853.85731743,-1299596.59152292
35-44,OTH,added_sugar,Food_price,USD,-1923272.69838118,-2006839.4373416,-1958181.97670557
35-44,OTH,added_sugar,FL,mrh-eq,-64998.8606281647,-67515.7406597314,-66248.706358143
35-44,OTH,oil,CED,MJ,35568.5785530014,14649.3067365383,88131.80627426
35-44,OTH,oil,Food_price,USD,7359.01997371124,-353.757266330518,23404.816587691
35-44,OTH,oil,FL,mrh-eq,1913.83956934342,712.160915589351,4774.11559068429
35-44,OTH,sat_fat,CED,MJ,-3459867.50258346,-3260709.55310921,-2984766.33579927
35-44,OTH,sat_fat,Food_price,USD,-453700.263791343,-419776.720318116,-393379.037329665
35-44,OTH,sat_fat,FL,mrh-eq,-93511.6249759498,-88078.6864668723,-80694.5014474914
45-54,NHW,added_sugar,CED,MJ,-8139598.82780442,-9277003.49775581,-8078371.70975569
45-54,NHW,added_sugar,Food_price,USD,-13692991.0153287,-16087254.7823319,-13766827.4899675
45-54,NHW,added_sugar,FL,mrh-eq,-365777.791053856,-416116.196645495,-362605.314489926
45-54,NHW,oil,CED,MJ,-349688.082068613,-63516.0186621424,-308227.286274647
45-54,NHW,oil,Food_price,USD,-273608.308487665,-130493.931228749,-290901.947416862
45-54,NHW,oil,FL,mrh-eq,-19573.0130026454,-3834.94587571203,-17213.8523658115
45-54,NHW,sat_fat,CED,MJ,-20270693.5990578,-20415374.4379,-21192777.9093867
45-54,NHW,sat_fat,Food_price,USD,-2147436.50607993,-2089822.09200462,-2224534.80737886
45-54,NHW,sat_fat,FL,mrh-eq,-551578.453148794,-555335.278442221,-576569.713625829
45-54,NHB,added_sugar,CED,MJ,-1671092.69441213,-1941730.78307546,-1728803.45188446
45-54,NHB,added_sugar,Food_price,USD,-2560545.66191433,-2885642.84132583,-2643214.8848826
45-54,NHB,added_sugar,FL,mrh-eq,-71291.3879600745,-82910.4286530815,-73795.0179627778
45-54,NHB,oil,CED,MJ,-90853.9946828603,-108332.942725126,-141097.621286961
45-54,NHB,oil,Food_price,USD,-68489.1382980166,-81116.7180818793,-56878.024568572
45-54,NHB,oil,FL,mrh-eq,-4383.35250278675,-5228.54028135756,-6830.235226406
45-54,NHB,sat_fat,CED,MJ,-2837076.36770866,-3097711.69589277,-2753911.15494435
45-54,NHB,sat_fat,Food_price,USD,-351390.420309377,-378009.7707431,-341777.794353922
45-54,NHB,sat_fat,FL,mrh-eq,-76335.3431793192,-83463.512763973,-73989.3309324287
45-54,HIS,added_sugar,CED,MJ,-1919931.90478638,-1788205.28222159,-1911277.20280899
45-54,HIS,added_sugar,Food_price,USD,-2741453.00115418,-2655399.9645989,-2804666.98815791
45-54,HIS,added_sugar,FL,mrh-eq,-88490.1102736159,-82574.4638593955,-88375.9681739861
45-54,HIS,oil,CED,MJ,178085.221316063,161199.607388182,198942.062934656
45-54,HIS,oil,Food_price,USD,97095.0403643095,87459.3964486306,124208.435804853
45-54,HIS,oil,FL,mrh-eq,8641.09292194198,7837.11226964374,9670.91941070358
45-54,HIS,sat_fat,CED,MJ,-3904080.51101982,-4184674.08385485,-3790057.48248746
45-54,HIS,sat_fat,Food_price,USD,-483274.886470663,-521831.730799631,-464692.002325437
45-54,HIS,sat_fat,FL,mrh-eq,-106588.618910564,-114273.042195285,-103455.252097311
45-54,OTH,added_sugar,CED,MJ,-956060.2517182,-1012237.88974482,-609528.635189763
45-54,OTH,added_sugar,Food_price,USD,-1331380.98601891,-1388510.97579481,-891326.535925427
45-54,OTH,added_sugar,FL,mrh-eq,-46978.7401518688,-49837.0594344542,-29884.3422310655
45-54,OTH,oil,CED,MJ,-73945.8432266512,-64362.5400292659,-13712.2134894985
45-54,OTH,oil,Food_price,USD,-44952.9455696241,-41685.595942093,-3241.04393791339
45-54,OTH,oil,FL,mrh-eq,-3945.18426114175,-3532.03964861795,-823.596966183311
45-54,OTH,sat_fat,CED,MJ,-3012148.22485763,-3104069.34689813,-3085366.90065387
45-54,OTH,sat_fat,Food_price,USD,-447741.233494749,-467411.062158652,-460921.739481687
45-54,OTH,sat_fat,FL,mrh-eq,-80475.5839683863,-82593.673073997,-82197.2883976069
55-64,NHW,added_sugar,CED,MJ,-9891751.51257831,-11392188.0762021,-10500673.3549313
55-64,NHW,added_sugar,Food_price,USD,-16122484.1529981,-18724206.418652,-17102830.731714
55-64,NHW,added_sugar,FL,mrh-eq,-464262.906239256,-534517.785879058,-493364.288247407
55-64,NHW,oil,CED,MJ,-618995.283413071,-499532.058390133,-108087.514409473
55-64,NHW,oil,Food_price,USD,-602771.403010437,-439938.492730615,-43911.3518688045
55-64,NHW,oil,FL,mrh-eq,-32162.4932492716,-26023.3858177242,-5555.47401450598
55-64,NHW,sat_fat,CED,MJ,-27851045.5739383,-29736315.2021911,-29488637.5398158
55-64,NHW,sat_fat,Food_price,USD,-2904632.18338767,-3088016.51371201,-3090065.067141
55-64,NHW,sat_fat,FL,mrh-eq,-763303.005741661,-814649.344097917,-808634.58639509
55-64,NHB,added_sugar,CED,MJ,-2058641.82626836,-2088927.59090653,-1908814.52266729
55-64,NHB,added_sugar,Food_price,USD,-3324524.41492305,-3341229.74628113,-3052409.20517305
55-64,NHB,added_sugar,FL,mrh-eq,-90036.0845020935,-91320.9513144489,-83430.2816526853
55-64,NHB,oil,CED,MJ,-104896.885031181,-167203.504274532,-107489.360423455
55-64,NHB,oil,Food_price,USD,-67920.8425149675,-129758.675994367,-89121.9192038709
55-64,NHB,oil,FL,mrh-eq,-5230.85391984235,-8326.01505102729,-5375.86432924453
55-64,NHB,sat_fat,CED,MJ,-3432479.88298412,-3466130.19570746,-3401101.93299775
55-64,NHB,sat_fat,Food_price,USD,-389392.521424601,-388518.35511387,-395383.462418781
55-64,NHB,sat_fat,FL,mrh-eq,-93339.9999873266,-94247.3578270732,-92480.6411455707
55-64,HIS,added_sugar,CED,MJ,-1460483.21217726,-1700736.39558901,-1750233.42036329
55-64,HIS,added_sugar,Food_price,USD,-1915727.24466163,-2164565.06277303,-2253707.26441535
55-64,HIS,added_sugar,FL,mrh-eq,-69769.5781310311,-81206.5355659153,-83578.8579227419
55-64,HIS,oil,CED,MJ,99320.4915709271,87508.3602474762,91801.7104544302
55-64,HIS,oil,Food_price,USD,99495.8362231291,90390.593287948,81532.5936994366
55-64,HIS,oil,FL,mrh-eq,4909.58930489986,4209.38158624516,4618.04542914497
55-64,HIS,sat_fat,CED,MJ,-3929883.64029467,-3958958.74479425,-3872977.27892549
55-64,HIS,sat_fat,Food_price,USD,-426101.98759722,-424421.800078506,-429584.860841206
55-64,HIS,sat_fat,FL,mrh-eq,-106822.885270012,-107667.884728933,-105345.534107984
55-64,OTH,added_sugar,CED,MJ,-743460.975087251,-853295.348899409,-1037816.17022443
55-64,OTH,added_sugar,Food_price,USD,-1458918.83994067,-1539091.01130274,-1589106.81033667
55-64,OTH,added_sugar,FL,mrh-eq,-37757.3701675401,-44881.2204383532,-53312.047676088
55-64,OTH,oil,CED,MJ,-208032.534979814,-77280.4364565415,-216083.270430038
55-64,OTH,oil,Food_price,USD,-213272.700138338,-63772.2139303449,-198679.91277505
55-64,OTH,oil,FL,mrh-eq,-10738.2440080165,-4090.50976166502,-11234.5511070566
55-64,OTH,sat_fat,CED,MJ,-3309293.17707257,-3138106.73063943,-2687431.50845306
55-64,OTH,sat_fat,Food_price,USD,-443813.917143621,-415868.998934338,-374819.266221921
55-64,OTH,sat_fat,FL,mrh-eq,-88829.8251198846,-84133.0938331059,-71380.914632788
65-74,NHW,added_sugar,CED,MJ,-6663095.26496667,-6885933.4213278,-6570612.03489738
65-74,NHW,added_sugar,Food_price,USD,-10760279.4176738,-11367753.4779952,-10708265.4101065
65-74,NHW,added_sugar,FL,mrh-eq,-324165.970428472,-335071.575570383,-319740.615102515
65-74,NHW,oil,CED,MJ,-855101.236731731,-264880.177882596,-454596.656036819
65-74,NHW,oil,Food_price,USD,-811525.840507575,-332276.444461415,-415379.311323934
65-74,NHW,oil,FL,mrh-eq,-40857.0557297269,-12593.3368633744,-21667.3904759758
65-74,NHW,sat_fat,CED,MJ,-20765151.3379928,-20396577.0728028,-20835323.1583933
65-74,NHW,sat_fat,Food_price,USD,-2383897.56409414,-2352881.58941878,-2401722.22840986
65-74,NHW,sat_fat,FL,mrh-eq,-566375.760425569,-556398.528942462,-568256.153736316
65-74,NHB,added_sugar,CED,MJ,-1037569.95419147,-971600.286324705,-1056130.89929979
65-74,NHB,added_sugar,Food_price,USD,-1513171.41636498,-1476495.84515491,-1519287.59519853
65-74,NHB,added_sugar,FL,mrh-eq,-49800.361204004,-46874.1525125641,-50715.6951282216
65-74,NHB,oil,CED,MJ,-32158.8584630518,-45637.6311582049,-61025.4141138378
65-74,NHB,oil,Food_price,USD,-31596.7773762171,-24155.4147875381,-67690.4259481736
65-74,NHB,oil,FL,mrh-eq,-1600.91491271084,-2225.44028223407,-3005.37736379765
65-74,NHB,sat_fat,CED,MJ,-1833121.24352884,-1945447.94319304,-1922643.44968739
65-74,NHB,sat_fat,Food_price,USD,-193670.344300952,-207586.764491404,-205883.133499378
