race_gp,outcome,outcome_unit,X1,X2,X3
NHW,CED,MJ,-183212146.988507,-188251238.065654,-187310071.205236
NHW,Food_price,USD,-99729162.2321154,-103811952.469697,-101129979.50598
NHW,FL,mrh-eq,-5927972.7620413,-6086561.78491421,-6040260.8317578
NHB,CED,MJ,-31337004.258242,-31623167.943105,-30785021.2729024
NHB,Food_price,USD,-20963291.6282068,-21325349.7628998,-21041383.6826999
NHB,FL,mrh-eq,-1025802.58710498,-1040962.22177293,-1007255.79128942
HIS,CED,MJ,-36622371.6019584,-37651385.8967201,-37615370.846594
HIS,Food_price,USD,-19573996.425149,-19887091.5197805,-20812931.303275
HIS,FL,mrh-eq,-1172731.85934077,-1207629.48517671,-1218758.1720542
OTH,CED,MJ,-22395096.1893302,-22255324.9771469,-21398461.2603834
OTH,Food_price,USD,-11540754.5568645,-11624404.2767144,-11361090.4188694
OTH,FL,mrh-eq,-729842.083866911,-726752.513094162,-700953.844758918
