age_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,added_sugar,CED,MJ,-6601310.22126237,-6515345.03290304,-6786155.60304821
20-34,added_sugar,Food_price,USD,-12720063.1606412,-12337208.460397,-13104393.4899843
20-34,added_sugar,FL,mrh-eq,-278989.588203587,-275467.061619919,-287260.074685461
20-34,oil,CED,MJ,-54747.7384830306,20424.3735182327,7257.73818871042
20-34,oil,Food_price,USD,-35044.0413989164,10543.6503564958,-12817.8278036266
20-34,oil,FL,mrh-eq,-2977.14652522389,969.395348584543,249.250102558406
20-34,sat_fat,CED,MJ,-11943242.1153916,-11822777.5323996,-11894310.3782309
20-34,sat_fat,Food_price,USD,-1412030.74153342,-1394395.13662485,-1429063.17740423
20-34,sat_fat,FL,mrh-eq,-320446.460095101,-317002.256574972,-319050.159142524
35-44,added_sugar,CED,MJ,-4316297.70056036,-4483821.70242607,-4403280.41947294
35-44,added_sugar,Food_price,USD,-7472595.6731524,-7659559.58406181,-7731151.45399077
35-44,added_sugar,FL,mrh-eq,-193638.571546781,-201469.281414258,-197343.506116588
35-44,oil,CED,MJ,228.41051829637,-54941.3719020497,-109619.289920185
35-44,oil,Food_price,USD,22722.3747200867,-18954.865676502,-41098.1383188525
35-44,oil,FL,mrh-eq,192.4053120713,-2506.7752931358,-5105.70526468535
35-44,sat_fat,CED,MJ,-7234182.49937032,-7638330.91115155,-7472662.390494
35-44,sat_fat,Food_price,USD,-797881.851971815,-863752.105746403,-818136.50416555
35-44,sat_fat,FL,mrh-eq,-196455.551732788,-207444.935868359,-202779.947621335
45-54,added_sugar,CED,MJ,-4276947.21330833,-4726215.05794967,-4155981.8809356
45-54,added_sugar,Food_price,USD,-6852427.8519169,-7759321.26771941,-6778002.69748451
45-54,added_sugar,FL,mrh-eq,-193009.138699667,-212867.620063745,-186980.481606487
45-54,oil,CED,MJ,-56112.315192857,-12636.3731768881,-44123.61840354
45-54,oil,Food_price,USD,-48234.7586294957,-27616.9945823588,-37909.4769136673
45-54,oil,FL,mrh-eq,-3210.30738861224,-798.276228912561,-2536.58297179385
45-54,sat_fat,CED,MJ,-6919401.40426337,-7093819.09314455,-7092539.97949518
45-54,sat_fat,Food_price,USD,-788244.762810367,-794336.778347646,-801290.413628798
45-54,sat_fat,FL,mrh-eq,-187998.145772883,-192649.683614787,-192606.014323349
55-64,added_sugar,CED,MJ,-4772743.4025543,-5407231.27007858,-5124372.3685911
55-64,added_sugar,Food_price,USD,-7694515.42820231,-8688797.46069505,-8091264.11810361
55-64,added_sugar,FL,mrh-eq,-223151.164023327,-253542.543990903,-240629.251670121
55-64,oil,CED,MJ,-138412.238464377,-108767.926534897,-56747.8367357223
55-64,oil,Food_price,USD,-130483.938090771,-89907.0100510898,-41647.8546681278
55-64,oil,FL,mrh-eq,-7184.79992740893,-5670.64557635873,-2930.12604431486
55-64,sat_fat,CED,MJ,-9057520.63594647,-9467827.73401802,-9276299.66789523
55-64,sat_fat,Food_price,USD,-980089.757174304,-1015119.91389014,-1009283.89356778
55-64,sat_fat,FL,mrh-eq,-247722.708236003,-258911.843638614,-253758.328594726
65-74,added_sugar,CED,MJ,-2891410.56611973,-2949490.46246296,-2910553.43621436
65-74,added_sugar,Food_price,USD,-4550124.43269926,-4758611.92559212,-4580127.83164623
65-74,added_sugar,FL,mrh-eq,-141811.684318266,-144811.689871875,-142849.188362742
65-74,oil,CED,MJ,-149606.439866457,-64379.004818932,-97743.137232568
65-74,oil,Food_price,USD,-141647.491325298,-71276.2503094176,-88939.8635287554
65-74,oil,FL,mrh-eq,-7198.7112305859,-3128.15989042581,-4733.42140509771
65-74,sat_fat,CED,MJ,-5970785.32455957,-5937802.52001887,-5993284.33119606
65-74,sat_fat,Food_price,USD,-684513.398407685,-684082.956452798,-688802.999229531
65-74,sat_fat,FL,mrh-eq,-162263.290582941,-161315.713084112,-162837.931331184
75+,added_sugar,CED,MJ,-2340649.80993285,-2240501.38670708,-2380464.14122236
75+,added_sugar,Food_price,USD,-3710695.59400064,-3537586.07555109,-3696490.4059835
75+,added_sugar,FL,mrh-eq,-123191.660864732,-117828.404977271,-125483.416141376
75+,oil,CED,MJ,-5722.6161872845,-10317.9454723709,12381.6447127952
75+,oil,Food_price,USD,-4543.61823584946,-9206.02658799628,11409.1217786266
75+,oil,FL,mrh-eq,-277.927994738866,-488.045083903497,573.894808128155
75+,sat_fat,CED,MJ,-4170073.20938717,-4214137.58887622,-4132011.95837423
75+,sat_fat,Food_price,USD,-470837.379919657,-483426.686013791,-471877.120496251
75+,sat_fat,FL,mrh-eq,-110877.944441469,-112002.574742261,-109855.119016274
