age_gp,sex_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,Female,added_sugar,CED,MJ,-10825688.6694048,-10631214.6939874,-11422166.6220864
20-34,Female,added_sugar,Food_price,USD,-21286419.7521205,-20271691.0682826,-22185204.7783746
20-34,Female,added_sugar,FL,mrh-eq,-479015.840637069,-470426.880443573,-505596.670196671
20-34,Female,oil,CED,MJ,-1116075.45142804,-743824.398774851,-906604.960818672
20-34,Female,oil,Food_price,USD,-778045.397652022,-496964.06140179,-641955.079040482
20-34,Female,oil,FL,mrh-eq,-58557.9045735855,-38916.255536736,-47443.5175565438
20-34,Female,sat_fat,CED,MJ,-26023292.1271741,-26727113.9990629,-26544657.7465471
20-34,Female,sat_fat,Food_price,USD,-3230931.50493791,-3289260.84598839,-3357094.92476425
20-34,Female,sat_fat,FL,mrh-eq,-686278.030812613,-704581.270153467,-700090.835719921
20-34,Male,added_sugar,CED,MJ,-8712467.68202273,-8653466.47984376,-8663789.34226352
20-34,Male,added_sugar,Food_price,USD,-16364683.8481576,-16247865.8490344,-16604150.6382271
20-34,Male,added_sugar,FL,mrh-eq,-346834.02618228,-345031.04823584,-344761.913063678
20-34,Male,oil,CED,MJ,793821.523173358,875515.897354653,959158.717577367
20-34,Male,oil,Food_price,USD,572595.347635095,565813.598937581,570011.844896207
20-34,Male,oil,FL,mrh-eq,41015.8652522602,45204.1930890093,49403.4901921155
20-34,Male,sat_fat,CED,MJ,-26158337.8939245,-25004068.9721633,-25464232.8650794
20-34,Male,sat_fat,Food_price,USD,-2940327.77676049,-2811696.3694525,-2893547.02747524
20-34,Male,sat_fat,FL,mrh-eq,-712773.306434429,-681437.118632365,-693949.095230728
35-44,Female,added_sugar,CED,MJ,-6591406.81137396,-7205885.67475151,-6708206.77319707
35-44,Female,added_sugar,Food_price,USD,-10991502.0987624,-11662562.6459302,-11475575.8344558
35-44,Female,added_sugar,FL,mrh-eq,-309112.012804997,-338055.834249577,-314715.442795501
35-44,Female,oil,CED,MJ,-665757.223300156,-838905.388082366,-1105118.83448096
35-44,Female,oil,Food_price,USD,-284994.650989782,-399357.849123844,-548911.359618355
35-44,Female,oil,FL,mrh-eq,-32230.3765841541,-41020.0557983201,-53596.1239197729
35-44,Female,sat_fat,CED,MJ,-16418183.9843273,-17531809.7193175,-17496750.5838127
35-44,Female,sat_fat,Food_price,USD,-1907764.66579901,-2103197.61103679,-2027792.53924395
35-44,Female,sat_fat,FL,mrh-eq,-436782.506444026,-466395.487954744,-465294.719210749
35-44,Male,added_sugar,CED,MJ,-6198042.77341906,-6080055.41119311,-6338981.22952655
35-44,Male,added_sugar,Food_price,USD,-11147682.2221516,-11030323.4180351,-11430134.3756001
35-44,Male,added_sugar,FL,mrh-eq,-264788.207997892,-259054.318017096,-270166.986268438
35-44,Male,oil,CED,MJ,678662.947567365,517575.807137317,455411.796940079
35-44,Male,oil,Food_price,USD,429687.952354488,291061.929077038,308214.798836639
35-44,Male,oil,FL,mrh-eq,33957.5676458746,26395.6681673063,23357.7194789474
35-44,Male,sat_fat,CED,MJ,-14801127.4536325,-15433085.0366297,-14796819.9885252
35-44,Male,sat_fat,Food_price,USD,-1546013.62823354,-1636343.19221787,-1518814.45944834
35-44,Male,sat_fat,FL,mrh-eq,-410266.26171953,-428059.129187255,-410231.820190634
45-54,Female,added_sugar,CED,MJ,-6987513.49017976,-8244275.72837,-7087587.53188425
45-54,Female,added_sugar,Food_price,USD,-11078618.8097823,-13421272.3771035,-11270085.5185627
45-54,Female,added_sugar,FL,mrh-eq,-312744.829348109,-368733.656135481,-316408.301981838
45-54,Female,oil,CED,MJ,-527233.493243446,-338493.214861513,-442914.472888776
45-54,Female,oil,Food_price,USD,-471877.971927239,-280325.381664784,-346566.228571643
45-54,Female,oil,FL,mrh-eq,-28523.858061,-18035.3727169824,-23924.8306269862
45-54,Female,sat_fat,CED,MJ,-15381375.102005,-16080392.6901743,-16146245.9721436
45-54,Female,sat_fat,Food_price,USD,-1806358.51267666,-1828331.28082666,-1874305.89359876
45-54,Female,sat_fat,FL,mrh-eq,-410205.99492417,-428642.220896284,-430561.462303364
45-54,Male,added_sugar,CED,MJ,-5699170.18854136,-5774901.72442767,-5240393.46775465
45-54,Male,added_sugar,Food_price,USD,-9247751.85463374,-9595536.18694796,-8835950.38037073
45-54,Male,added_sugar,FL,mrh-eq,-259793.200091306,-262704.492456945,-238252.340875917
45-54,Male,oil,CED,MJ,190830.794581384,263481.320833161,178819.414772326
45-54,Male,oil,Food_price,USD,181922.619936242,114488.532860693,119753.648453149
45-54,Male,oil,FL,mrh-eq,9263.40121636803,13276.9591809386,8728.06547928892
45-54,Male,sat_fat,CED,MJ,-14642623.6006389,-14721436.8743714,-14675867.4753287
45-54,Male,sat_fat,Food_price,USD,-1623484.53367806,-1628743.37487935,-1617620.44994114
45-54,Male,sat_fat,FL,mrh-eq,-404772.004282892,-407023.285579192,-405650.122749811
55-64,Female,added_sugar,CED,MJ,-8027562.15936589,-8713322.00911959,-8660953.48764818
55-64,Female,added_sugar,Food_price,USD,-13922735.899439,-15274873.5243826,-14698339.8476366
55-64,Female,added_sugar,FL,mrh-eq,-382260.46764894,-415316.717729455,-413032.174668051
55-64,Female,oil,CED,MJ,-802596.407162262,-608630.289055466,-461855.583234143
55-64,Female,oil,Food_price,USD,-736068.336919041,-467106.287895998,-271671.478416426
55-64,Female,oil,FL,mrh-eq,-41528.1146594728,-31296.0876927983,-23814.338709302
55-64,Female,sat_fat,CED,MJ,-21433722.6820675,-22680765.5319557,-21901284.1541138
55-64,Female,sat_fat,Food_price,USD,-2299353.31388417,-2411822.30728542,-2382952.21978274
55-64,Female,sat_fat,FL,mrh-eq,-573978.233203672,-607500.4540152,-586506.144233473
55-64,Male,added_sugar,CED,MJ,-6126775.3667453,-7321825.40247748,-6536583.98053813
55-64,Male,added_sugar,Food_price,USD,-8898918.7530845,-10494218.7146263,-9299714.16400248
55-64,Male,added_sugar,FL,mrh-eq,-279565.47139098,-336609.775468321,-300653.300830871
55-64,Male,oil,CED,MJ,-30007.8046908768,-47877.3498182642,121997.148425607
55-64,Male,oil,Food_price,USD,-48400.7725215727,-75972.5014713808,21490.8882681379
55-64,Male,oil,FL,mrh-eq,-1693.88721275775,-2934.44135137302,6266.49468763986
55-64,Male,sat_fat,CED,MJ,-17088979.5922221,-17618745.3413766,-17548864.1060783
55-64,Male,sat_fat,Food_price,USD,-1864587.29566893,-1905003.36055331,-1906900.43684017
55-64,Male,sat_fat,FL,mrh-eq,-478317.482915212,-493197.226471829,-491335.53204796
65-74,Female,added_sugar,CED,MJ,-5112726.12822572,-4882564.87152675,-4646319.06539123
65-74,Female,added_sugar,Food_price,USD,-8344269.60428039,-8130156.40706344,-7721057.10853044
65-74,Female,added_sugar,FL,mrh-eq,-252381.292513432,-241528.753977155,-230057.649400123
65-74,Female,oil,CED,MJ,-707166.737132806,-442936.041286012,-572914.120806602
65-74,Female,oil,Food_price,USD,-719454.828695417,-445026.642385142,-545851.749887165
65-74,Female,oil,FL,mrh-eq,-33995.8733706755,-21515.906042751,-27681.3410694637
65-74,Female,sat_fat,CED,MJ,-14208960.0261498,-14071178.8150776,-14377522.7215566
65-74,Female,sat_fat,Food_price,USD,-1608279.59011473,-1600285.19031401,-1619537.17905941
65-74,Female,sat_fat,FL,mrh-eq,-383034.041611022,-379056.652153637,-387477.510539766
65-74,Male,added_sugar,CED,MJ,-3485735.0112658,-3893944.75965969,-4013776.19823431
65-74,Male,added_sugar,Food_price,USD,-5183430.47720787,-6025523.91457017,-5902973.15755031
65-74,Male,added_sugar,FL,mrh-eq,-169355.060132753,-189386.585919356,-194992.213755391
65-74,Male,oil,CED,MJ,-198619.352499384,56602.0906582217,-16618.1189421514
65-74,Male,oil,Food_price,USD,-137000.636458427,16525.3987239401,9876.72007887605
65-74,Male,oil,FL,mrh-eq,-9583.18900055156,2752.91758533728,-861.899726165508
65-74,Male,sat_fat,CED,MJ,-11361677.6860513,-11361084.1802584,-11301963.809822
65-74,Male,sat_fat,Food_price,USD,-1323119.229495,-1329692.49144523,-1330930.72729636
65-74,Male,sat_fat,FL,mrh-eq,-311637.269541722,-311620.604014474,-309986.25763873
75+,Female,added_sugar,CED,MJ,-4320462.46599806,-3971055.38834323,-4047861.36220342
75+,Female,added_sugar,Food_price,USD,-7144542.85085328,-6584214.8590027,-6590526.53111664
75+,Female,added_sugar,FL,mrh-eq,-235160.519737282,-215851.56934112,-221008.996618954
75+,Female,oil,CED,MJ,-171517.200098301,-212098.140342117,-154928.279645307
75+,Female,oil,Food_price,USD,-132294.683165583,-191403.904779148,-122374.834765947
75+,Female,oil,FL,mrh-eq,-8121.68038748522,-10027.0552290934,-7344.08821226617
75+,Female,sat_fat,CED,MJ,-10513369.7823999,-10987042.0579932,-10623040.1691293
75+,Female,sat_fat,Food_price,USD,-1145795.35273366,-1229153.65334874,-1172763.11202311
75+,Female,sat_fat,FL,mrh-eq,-276599.205809148,-289087.11051605,-279585.804091173
75+,Male,added_sugar,CED,MJ,-2646584.0017164,-2699585.23046623,-3038712.26562005
75+,Male,added_sugar,Food_price,USD,-3897777.77494873,-3945278.12347014,-4411161.1393499
75+,Male,added_sugar,FL,mrh-eq,-131499.339125973,-134936.941768107,-152544.814007575
