age_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,NHW,added_sugar,CED,MJ,13877079.9766361,13727585.281651,13984735.0471885
20-34,NHW,added_sugar,Food_price,USD,28830302.6219148,28071873.2693558,28996657.7544298
20-34,NHW,added_sugar,FL,mrh-eq,605358.684615845,598366.171201641,610484.365569725
20-34,NHW,oil,CED,MJ,9590491.62839871,9250643.80469882,9365935.82307687
20-34,NHW,oil,Food_price,USD,6676055.28392714,6509184.69743219,6597420.95594286
20-34,NHW,oil,FL,mrh-eq,502179.512687149,484278.466656087,490333.743121726
20-34,NHW,sat_fat,CED,MJ,50876458.2082696,50888262.2071682,50880938.7993615
20-34,NHW,sat_fat,Food_price,USD,5931798.39908441,5903037.78298249,5969254.12580438
20-34,NHW,sat_fat,FL,mrh-eq,1356086.670974,1355679.9719918,1355834.13640919
20-34,NHB,added_sugar,CED,MJ,3996168.75031828,3940167.81713384,4095216.35425454
20-34,NHB,added_sugar,Food_price,USD,7187615.18895449,7088047.39947351,7365214.14323397
20-34,NHB,added_sugar,FL,mrh-eq,156504.722880342,154288.283565204,160367.955233943
20-34,NHB,oil,CED,MJ,2369998.47603888,2422553.83852328,2348550.15222416
20-34,NHB,oil,Food_price,USD,1361354.74265417,1358306.68428543,1357301.14740311
20-34,NHB,oil,FL,mrh-eq,119885.300535703,122554.420891104,118893.25036917
20-34,NHB,sat_fat,CED,MJ,10929106.6195689,10561860.231235,10615781.299724
20-34,NHB,sat_fat,Food_price,USD,1125463.51178446,1090931.45224989,1099633.92127078
20-34,NHB,sat_fat,FL,mrh-eq,289920.402132081,280155.036172326,281605.960494814
20-34,HIS,added_sugar,CED,MJ,5299168.5176728,5366633.64152231,5445358.67432718
20-34,HIS,added_sugar,Food_price,USD,8788451.78968422,8836309.08888436,9080339.71793062
20-34,HIS,added_sugar,FL,mrh-eq,211699.969771185,215387.10124464,218372.954665725
20-34,HIS,oil,CED,MJ,3225546.0541496,3211056.1119032,3219054.25492188
20-34,HIS,oil,Food_price,USD,1930291.35123727,1954403.11371714,1914017.94981813
20-34,HIS,oil,FL,mrh-eq,167670.519214785,166922.070114516,167315.913476019
20-34,HIS,sat_fat,CED,MJ,17115350.1760718,17064102.2349744,17239549.2814962
20-34,HIS,sat_fat,Food_price,USD,2176707.32323028,2171888.53959341,2203812.84722646
20-34,HIS,sat_fat,FL,mrh-eq,470194.655649921,468791.521782288,473598.937849203
20-34,OTH,added_sugar,CED,MJ,2677468.93464286,2647989.44972576,2687530.3346363
20-34,OTH,added_sugar,Food_price,USD,4950295.48104247,5011743.34116549,5068374.95298219
20-34,OTH,added_sugar,FL,mrh-eq,118211.225348687,116863.635048305,118787.55710579
20-34,OTH,oil,CED,MJ,2057554.42219386,1980563.51082251,1997248.1422165
20-34,OTH,oil,Food_price,USD,1607726.99972018,1524821.98630669,1595407.72209729
20-34,OTH,oil,FL,mrh-eq,106905.986270463,103002.926046606,103822.796412071
20-34,OTH,sat_fat,CED,MJ,8980829.59344697,9057537.4570993,9041667.54446414
20-34,OTH,sat_fat,Food_price,USD,1207945.28149704,1223390.27942145,1231563.85596483
20-34,OTH,sat_fat,FL,mrh-eq,241245.72835937,243232.182227875,242793.317018353
35-44,NHW,added_sugar,CED,MJ,8434875.60484655,8713678.06076904,8531515.33196001
35-44,NHW,added_sugar,Food_price,USD,15449650.4654339,15761587.1546179,15689311.5194133
35-44,NHW,added_sugar,FL,mrh-eq,378539.269692059,391423.703142457,382346.703018564
35-44,NHW,oil,CED,MJ,5598805.8828483,5808356.22455133,6038928.46949086
35-44,NHW,oil,Food_price,USD,3165554.01812986,3333522.77619768,3380488.72856662
35-44,NHW,oil,FL,mrh-eq,267302.594902233,277297.505682118,288324.797467819
35-44,NHW,sat_fat,CED,MJ,29588750.3413306,30670677.2699516,30660309.9772067
35-44,NHW,sat_fat,Food_price,USD,3282229.16707209,3466001.83990761,3377931.91953683
35-44,NHW,sat_fat,FL,mrh-eq,802918.363008456,832225.673567987,831477.876904741
35-44,NHB,added_sugar,CED,MJ,2453032.19148791,2568074.77366602,2570764.09784841
35-44,NHB,added_sugar,Food_price,USD,4070973.20858599,4238349.69872496,4314738.38461062
35-44,NHB,added_sugar,FL,mrh-eq,98795.3534532051,103407.429862289,103489.672799983
35-44,NHB,oil,CED,MJ,1364730.48914349,1346280.8850685,1310329.60749868
35-44,NHB,oil,Food_price,USD,303302.352524724,275700.77488431,290893.18028098
35-44,NHB,oil,FL,mrh-eq,68707.917292443,67776.8526231473,65986.6136763335
35-44,NHB,sat_fat,CED,MJ,6296873.18382673,6209248.36261826,6293627.42197839
35-44,NHB,sat_fat,Food_price,USD,674414.361877387,665028.933157446,675583.952872111
35-44,NHB,sat_fat,FL,mrh-eq,169305.218487833,166890.705216989,169194.364084906
35-44,HIS,added_sugar,CED,MJ,3506759.40410741,3408151.59459224,3446174.26247085
35-44,HIS,added_sugar,Food_price,USD,5882343.80129933,5714406.12744165,5883792.87633887
35-44,HIS,added_sugar,FL,mrh-eq,160935.140549806,157150.837850643,158884.438506883
35-44,HIS,oil,CED,MJ,2027955.36288457,2098492.16581735,2238894.65478378
35-44,HIS,oil,Food_price,USD,1397898.98384244,1462434.4162536,1530357.74935481
35-44,HIS,oil,FL,mrh-eq,103352.667708947,106940.080378353,114107.952794584
35-44,HIS,sat_fat,CED,MJ,11145839.5579235,11645201.729441,11281163.4468304
