age_gp,sex_gp,race_gp,outcome,outcome_unit,X1,X2,X3
20-34,Female,NHW,CED,MJ,37142900.9646291,37369517.8071731,37447495.4837629
20-34,Female,NHW,Food_price,USD,22236690.9420995,21423089.4253044,22215409.526948
20-34,Female,NHW,FL,mrh-eq,1251723.4275609,1247835.57704617,1258062.26167777
20-34,Female,NHB,CED,MJ,9393097.66281365,9158006.55265669,9262574.89649165
20-34,Female,NHB,Food_price,USD,5568090.41625555,5286349.04390598,5639920.20671254
20-34,Female,NHB,FL,mrh-eq,308182.880743114,301531.374920054,305603.787541042
20-34,Female,HIS,CED,MJ,12920969.6186839,13037104.073295,13237607.1690614
20-34,Female,HIS,Food_price,USD,6407533.27638778,6693558.87750146,6802568.76451011
20-34,Female,HIS,FL,mrh-eq,437190.710232533,442911.677197569,449441.282504353
20-34,Female,OTH,CED,MJ,7071511.4920992,7077625.98926501,7208123.52930306
20-34,Female,OTH,Food_price,USD,4146569.93896699,4095300.84133692,4280999.88118483
20-34,Female,OTH,FL,mrh-eq,242313.828839994,239446.81830908,245421.395431277
20-34,Male,NHW,CED,MJ,37201128.8486753,36496973.486345,36784114.185864
20-34,Male,NHW,Food_price,USD,19201465.3628268,19061006.324466,19347923.309229
20-34,Male,NHW,FL,mrh-eq,1211901.44071609,1190489.03280336,1198589.98342287
20-34,Male,NHB,CED,MJ,7902176.18311243,7766575.33423543,7796972.90971103
20-34,Male,NHB,Food_price,USD,4106343.02713756,4250936.49210284,4182229.00519531
20-34,Male,NHB,FL,mrh-eq,258127.544805011,255466.36570858,255263.378556886
20-34,Male,HIS,CED,MJ,12719095.1292103,12604687.9151049,12666355.0416839
20-34,Male,HIS,Food_price,USD,6487917.18776399,6269041.86469345,6395601.7504651
20-34,Male,HIS,FL,mrh-eq,412374.434403359,408189.015943874,409846.523486594
20-34,Male,OTH,CED,MJ,6644341.4581845,6608464.42838257,6518322.49201387
20-34,Male,OTH,Food_price,USD,3619397.8232927,3664654.76555672,3614346.64985947
20-34,Male,OTH,FL,mrh-eq,224049.111138526,223651.925013706,219982.275104937
35-44,Female,NHW,CED,MJ,22528242.6815722,23407567.1308561,23714672.8510351
35-44,Female,NHW,Food_price,USD,10669751.129231,11017791.214375,10918246.9409454
35-44,Female,NHW,FL,mrh-eq,748986.425110836,778090.347667334,785371.299974623
35-44,Female,NHB,CED,MJ,5670693.08046093,5739843.12881837,5697681.04955088
35-44,Female,NHB,Food_price,USD,2710088.22846141,2801330.78786298,2813036.35773228
35-44,Female,NHB,FL,mrh-eq,191481.992226524,194023.457015803,191805.529776047
35-44,Female,HIS,CED,MJ,8392549.71915876,8753692.47093706,8676868.27569424
35-44,Female,HIS,Food_price,USD,4171026.19021708,4286417.30784812,4407901.40303456
35-44,Female,HIS,FL,mrh-eq,290603.95960023,303384.455861423,301887.357501644
35-44,Female,OTH,CED,MJ,5345817.04081156,5453602.65159207,5131828.16192287
35-44,Female,OTH,Food_price,USD,2555655.01301305,2693198.97388959,2601978.51960908
35-44,Female,OTH,FL,mrh-eq,190401.019457128,195513.817461028,186143.294987733
35-44,Male,NHW,CED,MJ,21094189.1474532,21785144.4244159,21516080.9276225
35-44,Male,NHW,Food_price,USD,11227682.5214049,11543320.5563482,11529485.2265714
35-44,Male,NHW,FL,mrh-eq,699773.802491913,722856.534725229,716778.077416502
35-44,Male,NHB,CED,MJ,4443942.7839972,4383760.89253441,4477040.0777746
35-44,Male,NHB,Food_price,USD,2338601.69452669,2377748.61890374,2468179.16003143
35-44,Male,NHB,FL,mrh-eq,145326.497006957,144051.530686622,146865.120785175
35-44,Male,HIS,CED,MJ,8288004.60575677,8398153.0189135,8289364.08839084
35-44,Male,HIS,Food_price,USD,4236587.95768747,4089106.67443976,4155869.49434322
35-44,Male,HIS,FL,mrh-eq,278416.343096929,279115.488377377,279465.847808167
35-44,Male,OTH,CED,MJ,3872379.45153686,3663522.72096414,3691583.08239862
35-44,Male,OTH,Food_price,USD,1816060.38398415,1714481.05346269,1732869.52613546
35-44,Male,OTH,FL,mrh-eq,137519.014477663,130921.506200072,130290.659184601
45-54,Female,NHW,CED,MJ,27185537.1745426,28034112.7019703,27783593.6619039
45-54,Female,NHW,Food_price,USD,13734956.3819305,15050041.2200901,13946349.5956358
45-54,Female,NHW,FL,mrh-eq,930482.360824486,961528.375180206,947697.527473387
45-54,Female,NHB,CED,MJ,4263002.93964915,4347400.67108832,4270983.5849323
45-54,Female,NHB,Food_price,USD,2513217.64278603,2541108.82245785,2453286.02951483
45-54,Female,NHB,FL,mrh-eq,143215.562303225,146201.726928369,143272.730719997
45-54,Female,HIS,CED,MJ,5454879.90731096,5525975.38682985,5475520.17735972
45-54,Female,HIS,Food_price,USD,2806972.96501225,2796407.70037561,2884679.71477364
45-54,Female,HIS,FL,mrh-eq,185949.517071758,187387.543094486,187531.344333494
45-54,Female,OTH,CED,MJ,3498997.16392517,3717966.65233919,3465865.69291463
45-54,Female,OTH,Food_price,USD,1698861.25549479,1777433.30444176,1545498.1684091
45-54,Female,OTH,FL,mrh-eq,120128.456350333,127458.864288332,115765.135491813
45-54,Male,NHW,CED,MJ,21839207.144159,21621201.0895717,21878404.8375254
45-54,Male,NHW,Food_price,USD,11477531.1956136,11586199.5043492,11389012.0179731
45-54,Male,NHW,FL,mrh-eq,747782.195211754,739982.223580777,745803.519843862
45-54,Male,NHB,CED,MJ,4193995.42774676,4500656.1226578,4204317.08200832
45-54,Male,NHB,Food_price,USD,1886396.25980048,2104495.06552831,1984298.3855608
45-54,Male,NHB,FL,mrh-eq,142205.88975497,153011.397265588,144103.830640022
45-54,Male,HIS,CED,MJ,5733986.60892664,5803224.23545964,5603582.20024546
45-54,Male,HIS,Food_price,USD,2487155.49121112,2478118.13084762,2414683.66798157
45-54,Male,HIS,FL,mrh-eq,195863.514529121,197020.74586289,190967.208604747
45-54,Male,OTH,CED,MJ,4989001.44040114,4876795.1865826,4803260.44890255
45-54,Male,OTH,Food_price,USD,1897470.10712462,1869940.88939008,1735064.2642844
45-54,Male,OTH,FL,mrh-eq,172631.11965815,168655.3345697,164504.339123523
55-64,Female,NHW,CED,MJ,35404458.9002836,36714904.6123948,35865871.7927839
55-64,Female,NHW,Food_price,USD,17786009.8880106,18670307.2809381,18054885.5651547
55-64,Female,NHW,FL,mrh-eq,1205267.9465519,1246256.57425926,1217362.24502642
55-64,Female,NHB,CED,MJ,5812851.90409395,5900419.49107871,5748873.87342787
55-64,Female,NHB,Food_price,USD,3648025.64523773,3717057.66960196,3526043.40850703
55-64,Female,NHB,FL,mrh-eq,202659.702945853,206312.114896294,199861.690236917
