age_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,NHW,added_sugar,CED,MJ,20949742.7946615,20724174.1227941,21112158.1050951
20-34,NHW,added_sugar,Food_price,USD,43523200.4613754,42378596.237019,43774392.4690073
20-34,NHW,added_sugar,FL,mrh-eq,913867.210846166,903316.224107936,921600.425093846
20-34,NHW,oil,CED,MJ,11487043.2009242,11079844.7974319,11217961.223673
20-34,NHW,oil,Food_price,USD,7996222.94174489,7796155.27613605,7901808.42974899
20-34,NHW,oil,FL,mrh-eq,601500.647151726,580051.583488423,587305.780041444
20-34,NHW,sat_fat,CED,MJ,65746418.8218657,65744122.1712565,65743158.7493836
20-34,NHW,sat_fat,Food_price,USD,7663899.61870447,7625292.65078662,7711191.72242169
20-34,NHW,sat_fat,FL,mrh-eq,1752848.05796252,1751855.29124314,1752280.78324958
20-34,NHB,added_sugar,CED,MJ,6041169.68270218,5956410.34005787,6190835.4655496
20-34,NHB,added_sugar,Food_price,USD,10865858.0819509,10715011.3896423,11134290.0140914
20-34,NHB,added_sugar,FL,mrh-eq,236594.933034997,233240.314063294,242432.467708043
20-34,NHB,oil,CED,MJ,2838881.73952354,2901826.01558477,2813114.02078861
20-34,NHB,oil,Food_price,USD,1630288.98266745,1626601.98391362,1625394.53942383
20-34,NHB,oil,FL,mrh-eq,143601.387108604,146798.083623066,142409.262261557
20-34,NHB,sat_fat,CED,MJ,14206695.7885409,13728729.7630426,13799336.7444904
20-34,NHB,sat_fat,Food_price,USD,1462221.94911536,1417121.0350816,1428509.63971411
20-34,NHB,sat_fat,FL,mrh-eq,376900.439430513,364189.806365773,366089.72190971
20-34,HIS,added_sugar,CED,MJ,8010029.29752238,8111380.33017876,8230478.79652381
20-34,HIS,added_sugar,Food_price,USD,13285951.4003589,13357175.8362398,13726307.763343
20-34,HIS,added_sugar,FL,mrh-eq,319959.560232985,325507.350404876,330024.107935216
20-34,HIS,oil,CED,MJ,3861994.8948006,3844623.84107041,3854301.39190927
20-34,HIS,oil,Food_price,USD,2311632.57712982,2340480.71455027,2292270.81910204
20-34,HIS,oil,FL,mrh-eq,200752.220633718,199854.955215944,200331.772101335
20-34,HIS,sat_fat,CED,MJ,22393329.0768376,22326415.1469389,22555604.5165822
20-34,HIS,sat_fat,Food_price,USD,2846979.77811384,2840690.76582938,2882379.89248895
20-34,HIS,sat_fat,FL,mrh-eq,615196.504936489,613364.445768059,619644.474651431
20-34,OTH,added_sugar,CED,MJ,4038603.97446307,3994105.77872192,4053872.99510289
20-34,OTH,added_sugar,Food_price,USD,7467024.2024978,7559704.00032099,7645295.71606521
20-34,OTH,added_sugar,FL,mrh-eq,178309.258342814,176275.135740919,179182.678160857
20-34,OTH,oil,CED,MJ,2462308.88237837,2369988.63670515,2390044.39624241
20-34,OTH,oil,Food_price,USD,1924055.48105235,1824662.42044185,1909219.37844699
20-34,OTH,oil,FL,mrh-eq,127933.052802495,123252.708495511,124238.481335309
20-34,OTH,sat_fat,CED,MJ,11671140.0286703,11767869.5848042,11746744.2959863
20-34,OTH,sat_fat,Food_price,USD,1570625.75261323,1590320.58059179,1601028.51446324
20-34,OTH,sat_fat,FL,mrh-eq,313565.322126442,316067.832617789,315483.938348847
35-44,NHW,added_sugar,CED,MJ,12739140.36848,13160124.3515487,12885222.225248
35-44,NHW,added_sugar,Food_price,USD,23333926.8441558,23804980.5727078,23696005.6274973
35-44,NHW,added_sugar,FL,mrh-eq,571697.548593177,591152.537642418,577453.528086118
35-44,NHW,oil,CED,MJ,6714253.3570161,6965273.77900193,7242337.49934029
35-44,NHW,oil,Food_price,USD,3795879.30179239,3997003.45633176,4053783.47736534
35-44,NHW,oil,FL,mrh-eq,320557.981832151,332530.911309857,345781.670955097
35-44,NHW,sat_fat,CED,MJ,38473768.0486595,39879123.2412037,39852521.5900703
35-44,NHW,sat_fat,Food_price,USD,4264049.01729434,4502481.61830238,4386673.59035863
35-44,NHW,sat_fat,FL,mrh-eq,1044358.0236338,1082438.55805009,1081109.54609721
35-44,NHB,added_sugar,CED,MJ,3707721.83656881,3881601.70699131,3885660.08877918
35-44,NHB,added_sugar,Food_price,USD,6153189.91506764,6406173.43858084,6521602.22085671
35-44,NHB,added_sugar,FL,mrh-eq,149329.572030808,156300.534203941,156424.587259486
35-44,NHB,oil,CED,MJ,1634006.24285219,1611917.44443992,1568862.71297105
35-44,NHB,oil,Food_price,USD,363059.238292932,330019.57450399,348205.200448658
35-44,NHB,oil,FL,mrh-eq,82264.5723180891,81149.8566869527,79005.8885624034
35-44,NHB,sat_fat,CED,MJ,8203115.49161553,8087412.37513264,8198261.82981924
35-44,NHB,sat_fat,Food_price,USD,877930.604528364,865610.595849881,879410.93938866
35-44,NHB,sat_fat,FL,mrh-eq,220591.868483213,217404.110326641,220430.577290657
35-44,HIS,added_sugar,CED,MJ,5288258.1992156,5138966.50962495,5196314.43671126
35-44,HIS,added_sugar,Food_price,USD,8870351.63262898,8616449.38465464,8871477.15431595
35-44,HIS,added_sugar,FL,mrh-eq,242651.423873811,236918.524083655,239532.791683264
35-44,HIS,oil,CED,MJ,2425175.54583396,2509559.95565619,2677410.92292025
35-44,HIS,oil,Food_price,USD,1671662.1234165,1748854.07683754,1830047.64444823
35-44,HIS,oil,FL,mrh-eq,123596.523548785,127888.209741196,136457.389705412
35-44,HIS,sat_fat,CED,MJ,14607656.2224582,15262745.4138586,14783116.6440062
35-44,HIS,sat_fat,Food_price,USD,1476291.36709024,1569864.82745602,1505336.39028705
35-44,HIS,sat_fat,FL,mrh-eq,399479.629572763,417425.640800562,404184.293068198
35-44,OTH,added_sugar,CED,MJ,2666019.77644814,2716939.11369919,2691681.84790468
35-44,OTH,added_sugar,Food_price,USD,4082603.60078692,4166170.33974734,4117512.8791113
35-44,OTH,added_sugar,FL,mrh-eq,136220.981826446,138737.861858012,137470.827556424
35-44,OTH,oil,CED,MJ,1480746.293655,1501665.56547146,1428183.06593374
35-44,OTH,oil,Food_price,USD,1010240.01515002,1017952.79239006,994194.218536036
35-44,OTH,oil,FL,mrh-eq,83255.0689490923,84456.7476028463,80394.7929277514
35-44,OTH,sat_fat,CED,MJ,8040471.65825263,7841313.70877837,7565370.49146843
35-44,OTH,sat_fat,Food_price,USD,1054132.50529253,1020208.9618193,993811.278830849
35-44,OTH,sat_fat,FL,mrh-eq,217380.880789575,211947.942280497,204563.757261116
45-54,NHW,added_sugar,CED,MJ,14822412.9162674,15959817.5862188,14761185.7982187
45-54,NHW,added_sugar,Food_price,USD,25345391.5380857,27739655.3050889,25419228.0127245
45-54,NHW,added_sugar,FL,mrh-eq,666434.943242062,716773.3488337,663262.466678131
45-54,NHW,oil,CED,MJ,7417578.28574763,7131406.22234116,7376117.48995367
45-54,NHW,oil,Food_price,USD,5911903.60003983,5768789.2227809,5929197.23896902
45-54,NHW,oil,FL,mrh-eq,405721.982101679,389983.914974746,403362.821464845
45-54,NHW,sat_fat,CED,MJ,42847867.7359467,42992548.5747889,43769952.0462755
