age_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,NHW,added_sugar,CED,MJ,7072662.81802541,6996588.84114313,7127423.05790665
20-34,NHW,added_sugar,Food_price,USD,14692897.8394607,14306722.9676632,14777734.7145775
20-34,NHW,added_sugar,FL,mrh-eq,308508.526230322,304950.052906294,311116.05952412
20-34,NHW,oil,CED,MJ,1896551.57252544,1829200.99273302,1852025.40059612
20-34,NHW,oil,Food_price,USD,1320167.65781776,1286970.57870387,1304387.47380613
20-34,NHW,oil,FL,mrh-eq,99321.1344645767,95773.1168323365,96972.0369197172
20-34,NHW,sat_fat,CED,MJ,14869960.6135961,14855859.9640882,14862219.950022
20-34,NHW,sat_fat,Food_price,USD,1732101.21962006,1722254.86780413,1741937.5966173
20-34,NHW,sat_fat,FL,mrh-eq,396761.386988523,396175.319251335,396446.6468404
20-34,NHB,added_sugar,CED,MJ,2045000.9323839,2016242.52292403,2095619.11129506
20-34,NHB,added_sugar,Food_price,USD,3678242.89299647,3626963.99016876,3769075.87085739
20-34,NHB,added_sugar,FL,mrh-eq,80090.2101546554,78952.03049809,82064.5124741003
20-34,NHB,oil,CED,MJ,468883.263484661,479272.177061487,464563.868564455
20-34,NHB,oil,Food_price,USD,268934.240013282,268295.299628195,268093.392020725
20-34,NHB,oil,FL,mrh-eq,23716.0865729003,24243.6627319623,23516.0118923865
20-34,NHB,sat_fat,CED,MJ,3277589.16897196,3166869.53180758,3183555.4447664
20-34,NHB,sat_fat,Food_price,USD,336758.437330908,326189.582831717,328875.718443327
20-34,NHB,sat_fat,FL,mrh-eq,86980.0372984328,84034.7701934471,84483.7614148959
20-34,HIS,added_sugar,CED,MJ,2710860.77984958,2744746.68865645,2785120.12219663
20-34,HIS,added_sugar,Food_price,USD,4497499.61067472,4520866.74735548,4645968.04541232
20-34,HIS,added_sugar,FL,mrh-eq,108259.590461799,110120.249160237,111651.153269491
20-34,HIS,oil,CED,MJ,636448.840651008,633567.729167199,635247.136987385
20-34,HIS,oil,Food_price,USD,381341.22589255,386077.600833134,378252.869283918
20-34,HIS,oil,FL,mrh-eq,33081.7014189323,32932.8851014284,33015.8586253163
20-34,HIS,sat_fat,CED,MJ,5277978.90076586,5262312.91196458,5316055.235086
20-34,HIS,sat_fat,Food_price,USD,670272.454883554,668802.226235957,678567.045262488
20-34,HIS,sat_fat,FL,mrh-eq,145001.849286567,144572.923985771,146045.536802228
20-34,OTH,added_sugar,CED,MJ,1361135.03982021,1346116.32899616,1366342.66046659
20-34,OTH,added_sugar,Food_price,USD,2516728.72145533,2547960.65915549,2576920.76308302
20-34,OTH,added_sugar,FL,mrh-eq,60098.0329941271,59411.5006926143,60395.1210550662
