age_gp,outcome,outcome_unit,X1,X2,X3
20-34,CED,MJ,-1818845170.33213,-1750962235.15584,-1796441962.50402
20-34,Food_price,USD,-1818845170.33213,-1750962235.15584,-1796441962.50402
20-34,FL,mrh-eq,-1818845170.33213,-1750962235.15584,-1796441962.50402
35-44,CED,MJ,-1107943645.25045,-1196798806.49416,-1210116682.61693
35-44,Food_price,USD,-1107943645.25045,-1196798806.49416,-1210116682.61693
35-44,FL,mrh-eq,-1107943645.25045,-1196798806.49416,-1210116682.61693
45-54,CED,MJ,-1113420778.15259,-1153559712.50357,-1106057335.16227
45-54,Food_price,USD,-1113420778.15259,-1153559712.50357,-1106057335.16227
45-54,FL,mrh-eq,-1113420778.15259,-1153559712.50357,-1106057335.16227
55-64,CED,MJ,-1394806885.11392,-1484123260.27505,-1400492426.05477
55-64,Food_price,USD,-1394806885.11392,-1484123260.27505,-1400492426.05477
55-64,FL,mrh-eq,-1394806885.11392,-1484123260.27505,-1400492426.05477
65-74,CED,MJ,-926893574.917863,-873405242.659728,-895134688.614485
65-74,Food_price,USD,-926893574.917863,-873405242.659728,-895134688.614485
65-74,FL,mrh-eq,-926893574.917863,-873405242.659728,-895134688.614485
75+,CED,MJ,-644333835.709057,-639262583.976733,-633679042.726425
75+,Food_price,USD,-644333835.709057,-639262583.976733,-633679042.726425
75+,FL,mrh-eq,-644333835.709057,-639262583.976733,-633679042.726425
