age_gp,sex_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,Female,added_sugar,CED,MJ,-428657281.909388,-420851176.785953,-452201292.808306
20-34,Female,added_sugar,Food_price,USD,-428657281.909388,-420851176.785953,-452201292.808306
20-34,Female,added_sugar,FL,mrh-eq,-428657281.909388,-420851176.785953,-452201292.808306
20-34,Female,oil,CED,MJ,-119497587.201142,-79780076.5808967,-97133599.064514
20-34,Female,oil,Food_price,USD,-119497587.201142,-79780076.5808967,-97133599.064514
20-34,Female,oil,FL,mrh-eq,-119497587.201142,-79780076.5808967,-97133599.064514
20-34,Female,sat_fat,CED,MJ,-509912793.333906,-523386626.56466,-519779720.014086
20-34,Female,sat_fat,Food_price,USD,-509912793.333906,-523386626.56466,-519779720.014086
20-34,Female,sat_fat,FL,mrh-eq,-509912793.333906,-523386626.56466,-519779720.014086
20-34,Male,added_sugar,CED,MJ,-331861748.769724,-329537678.714983,-329971706.63457
20-34,Male,added_sugar,Food_price,USD,-331861748.769724,-329537678.714983,-329971706.63457
20-34,Male,added_sugar,FL,mrh-eq,-331861748.769724,-329537678.714983,-329971706.63457
20-34,Male,oil,CED,MJ,85312220.4236604,93984923.2149937,103024018.877718
20-34,Male,oil,Food_price,USD,85312220.4236604,93984923.2149937,103024018.877718
20-34,Male,oil,FL,mrh-eq,85312220.4236604,93984923.2149937,103024018.877718
20-34,Male,sat_fat,CED,MJ,-514227979.54163,-491391599.724338,-500379662.860261
20-34,Male,sat_fat,Food_price,USD,-514227979.54163,-491391599.724338,-500379662.860261
20-34,Male,sat_fat,FL,mrh-eq,-514227979.54163,-491391599.724338,-500379662.860261
35-44,Female,added_sugar,CED,MJ,-262362851.949852,-286837851.764028,-267014635.524488
35-44,Female,added_sugar,Food_price,USD,-262362851.949852,-286837851.764028,-267014635.524488
35-44,Female,added_sugar,FL,mrh-eq,-262362851.949852,-286837851.764028,-267014635.524488
35-44,Female,oil,CED,MJ,-71858072.2195374,-90518200.8920122,-119357684.262906
35-44,Female,oil,Food_price,USD,-71858072.2195374,-90518200.8920122,-119357684.262906
35-44,Female,oil,FL,mrh-eq,-71858072.2195374,-90518200.8920122,-119357684.262906
35-44,Female,sat_fat,CED,MJ,-318268139.166697,-339777145.811396,-339095614.024741
35-44,Female,sat_fat,Food_price,USD,-318268139.166697,-339777145.811396,-339095614.024741
35-44,Female,sat_fat,FL,mrh-eq,-318268139.166697,-339777145.811396,-339095614.024741
35-44,Male,added_sugar,CED,MJ,-242238718.939434,-237470186.963348,-247604262.017838
35-44,Male,added_sugar,Food_price,USD,-242238718.939434,-237470186.963348,-247604262.017838
35-44,Male,added_sugar,FL,mrh-eq,-242238718.939434,-237470186.963348,-247604262.017838
35-44,Male,oil,CED,MJ,73254209.9203949,55935900.7969896,49131196.0635041
35-44,Male,oil,Food_price,USD,73254209.9203949,55935900.7969896,49131196.0635041
35-44,Male,oil,FL,mrh-eq,73254209.9203949,55935900.7969896,49131196.0635041
35-44,Male,sat_fat,CED,MJ,-286470072.895328,-298131321.860368,-286175682.850465
35-44,Male,sat_fat,Food_price,USD,-286470072.895328,-298131321.860368,-286175682.850465
35-44,Male,sat_fat,FL,mrh-eq,-286470072.895328,-298131321.860368,-286175682.850465
45-54,Female,added_sugar,CED,MJ,-277324907.36251,-327305346.528805,-281102726.550568
45-54,Female,added_sugar,Food_price,USD,-277324907.36251,-327305346.528805,-281102726.550568
45-54,Female,added_sugar,FL,mrh-eq,-277324907.36251,-327305346.528805,-281102726.550568
45-54,Female,oil,CED,MJ,-56706452.4431478,-36369921.9466012,-47617839.0776083
45-54,Female,oil,Food_price,USD,-56706452.4431478,-36369921.9466012,-47617839.0776083
45-54,Female,oil,FL,mrh-eq,-56706452.4431478,-36369921.9466012,-47617839.0776083
45-54,Female,sat_fat,CED,MJ,-295126780.435006,-308592512.956928,-309630000.119758
45-54,Female,sat_fat,Food_price,USD,-295126780.435006,-308592512.956928,-309630000.119758
45-54,Female,sat_fat,FL,mrh-eq,-295126780.435006,-308592512.956928,-309630000.119758
45-54,Male,added_sugar,CED,MJ,-224170207.218153,-227061653.964348,-205877364.052997
45-54,Male,added_sugar,Food_price,USD,-224170207.218153,-227061653.964348,-205877364.052997
45-54,Male,added_sugar,FL,mrh-eq,-224170207.218153,-227061653.964348,-205877364.052997
45-54,Male,oil,CED,MJ,20742641.2720175,28577777.2801465,19322174.7849089
45-54,Male,oil,Food_price,USD,20742641.2720175,28577777.2801465,19322174.7849089
