age_gp,outcome,outcome_unit,X1,X2,X3
20-34,CED,MJ,-18599300.0751369,-18317698.1917844,-18673208.2430904
20-34,Food_price,USD,-14167137.9435736,-13721059.9466654,-14546274.4951921
20-34,FL,mrh-eq,-602413.194823912,-591499.922846307,-606060.983725427
35-44,CED,MJ,-11550251.7894124,-12177093.9854797,-11985562.0998871
35-44,Food_price,USD,-8247755.15040413,-8542266.55548471,-8590386.09647518
35-44,FL,mrh-eq,-389901.717967497,-411420.992575752,-405229.159002609
45-54,CED,MJ,-11252460.9327646,-11832670.5242711,-11292645.4788343
45-54,Food_price,USD,-7688907.37335676,-8581275.04064941,-7617202.58802698
45-54,FL,mrh-eq,-384217.591861162,-406315.579907445,-382123.07890163
55-64,CED,MJ,-13968676.2769652,-14983826.9306315,-14457419.8732221
55-64,Food_price,USD,-8805089.12346738,-9793824.38463628,-9142195.86633952
55-64,FL,mrh-eq,-478058.672186739,-518125.033205876,-497317.706309162
65-74,CED,MJ,-9011802.33054576,-8951671.98730077,-9001580.90464299
65-74,Food_price,USD,-5376285.32243225,-5513971.13235433,-5357870.69440452
65-74,FL,mrh-eq,-311273.686131792,-309255.562846413,-310420.541099024
75+,CED,MJ,-6516445.63550731,-6464956.92105567,-6500094.4548838
75+,Food_price,USD,-4186076.59215614,-4030218.78815288,-4156958.40470113
75+,FL,mrh-eq,-234347.53330094,-230319.024803436,-234764.640349522
