age_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,NHW,added_sugar,CED,MJ,-3427744.10898408,-3351670.1321018,-3482504.34886533
20-34,NHW,added_sugar,Food_price,USD,-7228469.40857132,-6842294.5367739,-7313306.28368812
20-34,NHW,added_sugar,FL,mrh-eq,-150422.958999316,-146864.485675289,-153030.492293114
20-34,NHW,oil,CED,MJ,-26051.7270254635,41298.8527669527,18474.4449038597
20-34,NHW,oil,Food_price,USD,-3099.01314099515,30098.0659728987,12681.1708706377
20-34,NHW,oil,FL,mrh-eq,-1548.72982377877,1999.28780846131,800.36772108064
20-34,NHW,sat_fat,CED,MJ,-7026813.81015353,-7012713.16064561,-7019073.14657944
20-34,NHW,sat_fat,Food_price,USD,-817097.669885554,-807251.318069623,-826934.046882796
20-34,NHW,sat_fat,FL,mrh-eq,-187468.304980561,-186882.237243373,-187153.564832438
20-34,NHB,added_sugar,CED,MJ,-1173388.38549428,-1144629.97603441,-1224006.56440544
20-34,NHB,added_sugar,Food_price,USD,-2095331.01092921,-2044052.1081015,-2186163.98879012
20-34,NHB,added_sugar,FL,mrh-eq,-45960.6109820695,-44822.4313255042,-47934.9133015144
20-34,NHB,oil,CED,MJ,-32178.0932320022,-42567.0068088277,-27858.6983117964
20-34,NHB,oil,Food_price,USD,-28501.7572134004,-27862.8168283137,-27660.9092208432
20-34,NHB,oil,FL,mrh-eq,-1666.43167858521,-2194.00783764721,-1466.35699807144
20-34,NHB,sat_fat,CED,MJ,-1516579.20018698,-1405859.56302259,-1422545.47598141
20-34,NHB,sat_fat,Food_price,USD,-155630.23837202,-145061.383872829,-147747.519484439
20-34,NHB,sat_fat,FL,mrh-eq,-40225.2705227047,-37280.003417719,-37728.9946391678
20-34,HIS,added_sugar,CED,MJ,-1392146.44193405,-1426032.35074092,-1466405.7842811
20-34,HIS,added_sugar,Food_price,USD,-2290459.29329274,-2313826.42997351,-2438927.72803035
20-34,HIS,added_sugar,FL,mrh-eq,-55730.7094433821,-57591.3681418197,-59122.272251074
20-34,HIS,oil,CED,MJ,30575.0260065248,33456.137490334,31776.7296701465
20-34,HIS,oil,Food_price,USD,15363.8331401383,10627.4581995533,18452.1897487696
20-34,HIS,oil,FL,mrh-eq,1607.271056034,1756.08737353781,1673.11384964993
20-34,HIS,sat_fat,CED,MJ,-2288337.92649363,-2272671.93769235,-2326414.26081376
20-34,HIS,sat_fat,Food_price,USD,-291262.451290329,-289792.222642734,-299557.041669264
20-34,HIS,sat_fat,FL,mrh-eq,-62862.2082288442,-62433.2829280473,-63905.8957445051
20-34,OTH,added_sugar,CED,MJ,-608031.284849954,-593012.574025905,-613238.905496339
20-34,OTH,added_sugar,Food_price,USD,-1105803.44784798,-1137035.38554815,-1165995.48947567
20-34,OTH,added_sugar,FL,mrh-eq,-26875.308778819,-26188.7764773063,-27172.3968397582
20-34,OTH,oil,CED,MJ,-27092.9442320897,-11763.6099302263,-15134.7380734994
20-34,OTH,oil,Food_price,USD,-18807.1041846592,-2319.05698764257,-16290.2792021907
20-34,OTH,oil,FL,mrh-eq,-1369.25607889392,-591.971995767371,-757.874470100723
20-34,OTH,sat_fat,CED,MJ,-1111511.17855742,-1131532.871039,-1126277.49485627
20-34,OTH,sat_fat,Food_price,USD,-148040.381985514,-152290.212039665,-154824.569367734
20-34,OTH,sat_fat,FL,mrh-eq,-29890.6763629911,-30406.7329858332,-30261.7039264132
35-44,NHW,added_sugar,CED,MJ,-2238832.20041484,-2381013.72756105,-2288274.3300694
