age_gp,sex_gp,outcome,outcome_unit,X1,X2,X3
20-34,Female,CED,MJ,-9621768.9692121,-9645091.12886639,-9902820.7102642
20-34,Female,Food_price,USD,-8034568.68162159,-7657674.38824512,-8343413.00344491
20-34,Female,FL,mrh-eq,-323971.29647536,-321729.326489537,-334132.664147331
20-34,Male,CED,MJ,-8977531.10592485,-8672607.06291796,-8770387.53282618
20-34,Male,Food_price,USD,-6132569.26195199,-6063385.55842028,-6202861.49174721
20-34,Male,FL,mrh-eq,-278441.898348552,-269770.596356769,-271928.319578096
35-44,Female,CED,MJ,-5991174.13651268,-6475024.03946261,-6342154.49280253
35-44,Female,Food_price,USD,-4179092.9003549,-4467731.86784143,-4412468.55772304
35-44,Female,FL,mrh-eq,-206896.001381072,-224703.801939668,-218643.305628589
35-44,Male,CED,MJ,-5559077.65289969,-5702069.94601706,-5643407.60708459
35-44,Male,Food_price,USD,-4068662.25004923,-4074534.68764329,-4177917.53875214
35-44,Male,FL,mrh-eq,-183005.716586425,-186717.190636084,-186585.85337402
45-54,Female,CED,MJ,-5853881.87834604,-6397883.19952383,-6040961.83815181
45-54,Female,Food_price,USD,-4212044.69954918,-4974135.6426162,-4270341.78278628
45-54,Female,FL,mrh-eq,-201163.020346096,-222298.974819973,-206092.091456114
45-54,Male,CED,MJ,-5398579.05441851,-5434787.32474727,-5251683.64068251
45-54,Male,Food_price,USD,-3476862.67380759,-3607139.39803321,-3346860.8052407
45-54,Male,FL,mrh-eq,-183054.571515066,-184016.605087472,-176030.987445516
55-64,Female,CED,MJ,-7638160.91331156,-8115099.36580429,-7898950.20619899
55-64,Female,Food_price,USD,-5327090.52009786,-5763209.67085891,-5530153.94624193
55-64,Female,FL,mrh-eq,-264226.777663987,-281139.530844034,-274437.108491341
55-64,Male,CED,MJ,-6330515.36365359,-6868727.5648272,-6558469.66702306
55-64,Male,Food_price,USD,-3477998.60336952,-4030614.71377737,-3612041.92009759
55-64,Male,FL,mrh-eq,-213831.894522752,-236985.502361841,-222880.597817821
65-74,Female,CED,MJ,-5064534.1657606,-4910138.09557288,-4921649.84104556
65-74,Female,Food_price,USD,-3299343.19667746,-3179561.98917099,-3062444.88470254
65-74,Female,FL,mrh-eq,-177660.868986365,-170981.883758274,-170044.825605198
65-74,Male,CED,MJ,-3947268.16478516,-4041533.89172788,-4079931.06359743
65-74,Male,Food_price,USD,-2076942.12575478,-2334409.14318334,-2295425.80970197
65-74,Male,FL,mrh-eq,-133612.817145427,-138273.679088139,-140375.715493825
75+,Female,CED,MJ,-3748411.76138536,-3739694.31874179,-3677956.97424306
75+,Female,Food_price,USD,-2673273.00286432,-2512265.34767808,-2491700.93555945
75+,Female,FL,mrh-eq,-140091.38464748,-136598.534202905,-135869.753246891
75+,Male,CED,MJ,-2768033.87412194,-2725262.60231388,-2822137.48064074
75+,Male,Food_price,USD,-1512803.58929182,-1517953.4404748,-1665257.46914168
75+,Male,FL,mrh-eq,-94256.1486534598,-93720.4906005307,-98894.8871026314
