age_gp,Foodgroup,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_upper_bound (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_upper_bound (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_upper_bound (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_upper_bound (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,inedible_impact_lower_bound (2.5th percentile),inedible_impact_median,inedible_upper_bound (97.5th percentile),inedible_consumed_impact_mean,inedible_impact_SD,wasted_impact_lower_bound (2.5th percentile),wasted_impact_median,wasted_unconsumed_upper_bound (97.5th percentile),wasted_unconsumed_impact_mean,wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_upper_bound (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_upper_bound (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_unconsumed_wasted_upper_bound (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
20-34,added_sugar,CED,MJ,-20058565.983703792,-19538156.35142757,-19297354.932710975,-19636264.49653621,409547.5901317369,0,0,0,0,0,-20058565.983703792,-19538156.35142757,-19297354.932710975,-19636264.49653621,409547.5901317369,-781090301.004688,-760519030.6791117,-750895364.259845,-764360295.2076415,16236515.525632244,-13281652.64974488,-12936846.130165214,-12777711.64038997,-13001994.210798346,271166.51080429385,-6776913.3339589145,-6601310.221262366,-6519643.292321005,-6634270.285737869,138381.23287953407,38798744.3306325,39039545.74934912,39559955.38162532,39137653.894457735,409547.59013173584,19501389.397921536,19501389.397921536,19501389.397921536,19501389.397921536,0,25690751.689494766,25849886.179270014,26194692.69884967,25915034.259903144,271166.5108042885,12913040.049104797,12913040.049104797,12913040.049104797,12913040.049104797,0,13107992.64113773,13189659.570079094,13365262.682775632,13222619.634554595,138381.23287952924,6588349.348816728,6588349.348816728,6588349.348816728,6588349.348816727,0,0,0,0,0,0,-6776913.3339589145,-6601310.221262366,-6519643.292321005,-6634270.285737869,138381.23287953407,0,0,0,0,0,0,0,0,0,0,13107992.64113773,13189659.570079094,13365262.682775632,13222619.634554595,138381.23287952924,6588349.348816728,6588349.348816728,6588349.348816728,6588349.348816727,0
20-34,added_sugar,FL,mrh-eq,-849133.1474382983,-825849.8668193487,-815977.5255864094,-830555.4595863698,17919.84584228416,0,0,0,0,0,-849133.1474382983,-825849.8668193487,-815977.5255864094,-830555.4595863698,17919.84584228416,-781090301.004688,-760519030.6791117,-750895364.259845,-764360295.2076415,16236515.525632244,-562286.597076932,-546860.2786157615,-540334.3376373074,-549983.2180833812,11866.142477225121,-286846.55036136723,-278989.58820358687,-275643.1879491023,-280572.2415029889,6053.708193379692,1638858.6212240225,1648730.9624569614,1672014.243075912,1653436.555223983,17919.84584228453,822881.0956376132,822881.0956376132,822881.0956376132,822881.0956376133,0,1085248.661637603,1091774.6026160587,1107200.9210772275,1094897.5420836771,11866.142477224743,544914.3240002965,544914.3240002965,544914.3240002965,544914.3240002965,0,553609.9595864187,556956.3598409035,564813.3219986837,558539.0131403055,6053.7081933796935,277966.77163731685,277966.77163731685,277966.77163731685,277966.77163731685,0,0,0,0,0,0,-286846.55036136723,-278989.58820358687,-275643.1879491023,-280572.2415029889,6053.708193379692,0,0,0,0,0,0,0,0,0,0,553609.9595864187,556956.3598409035,564813.3219986837,558539.0131403055,6053.7081933796935,277966.77163731685,277966.77163731685,277966.77163731685,277966.77163731685,0
20-34,added_sugar,Food_price,USD,-38732442.82578547,-37651103.60027806,-36576134.25146506,-37653338.644732244,1134900.9002580328,0,0,0,0,0,-38732442.82578547,-37651103.60027806,-36576134.25146506,-37653338.644732244,1134900.9002580328,-781090301.004688,-760519030.6791117,-750895364.259845,-764360295.2076415,16236515.525632244,-25647265.85226836,-24931040.43963683,-24219783.056055814,-24932783.60772473,751308.2515221457,-13085176.973517116,-12720063.160641247,-12356351.195409253,-12720555.03700752,383592.75131636224,74067064.7973701,75142034.14618307,76223373.37169062,75144269.1906373,1134900.9002580813,37490930.54590507,37490930.54590507,37490930.54590507,37490930.54590507,0,49045407.698014975,49756665.081595965,50472890.49422753,49758408.24968388,751308.2515221532,24825624.641959142,24825624.641959142,24825624.641959142,24825624.641959142,0,25021657.099355184,25385369.064587176,25750482.877463046,25385860.94095345,383592.75131636503,12665305.903945925,12665305.903945925,12665305.903945925,12665305.903945925,0,0,0,0,0,0,-13085176.973517116,-12720063.160641247,-12356351.195409253,-12720555.03700752,383592.75131636224,0,0,0,0,0,0,0,0,0,0,25021657.099355184,25385369.064587176,25750482.877463046,25385860.94095345,383592.75131636503,12665305.903945925,12665305.903945925,12665305.903945925,12665305.903945925,0
20-34,oil,CED,MJ,-303513.5440040149,52553.75675869463,127734.61148874719,-46002.89097206224,242490.56114605657,0,0,0,0,0,-303513.5440040149,52553.75675869463,127734.61148874719,-46002.89097206224,242490.56114605657,-32181577.447946988,5890419.813204398,13789125.293052347,-4696700.110059967,25874089.736775436,-251866.07935457237,45296.01856998354,107968.56973699188,-36981.015380033154,202347.32205825357,-51647.46464944354,7257.738188710417,19766.041751756624,-9021.875592029146,40143.25565173001,20200240.177883234,20275421.0326133,20631488.333375998,20373977.68034405,242490.56114605593,20327974.789371975,20327974.789371975,20327974.789371975,20327974.789371975,0,16868115.821272396,16930788.372439407,17227950.470363967,17013065.406389423,202347.32205825814,16976084.391009398,16976084.391009398,16976084.391009398,16976084.391009398,0,3332124.356610829,3344632.6601738725,3403537.863012029,3360912.2739546136,40143.25565173046,3351890.398362584,3351890.398362584,3351890.398362584,3351890.398362584,0,0,0,0,0,0,-51647.46464944354,7257.738188710417,19766.041751756624,-9021.875592029146,40143.25565173001,0,0,0,0,0,0,0,0,0,0,3332124.356610829,3344632.6601738725,3403537.863012029,3360912.2739546136,40143.25565173046,3351890.398362584,3351890.398362584,3351890.398362584,3351890.398362584,0
20-34,oil,FL,mrh-eq,-16566.938723480387,1959.9726355717212,6071.539306438143,-3098.0430444934336,12694.667833933192,0,0,0,0,0,-16566.938723480387,1959.9726355717212,6071.539306438143,-3098.0430444934336,12694.667833933192,-32181577.447946988,5890419.813204398,13789125.293052347,-4696700.110059967,25874089.736775436,-13751.112029645625,1710.7225330133679,5138.151220154861,-2511.8760197997904,10592.945801399304,-2815.826693834777,249.25010255840556,933.3880862832365,-586.1670246936478,2101.722989075964,1050173.729068779,1054285.295739645,1072812.207098697,1059343.3114197103,12694.667833933074,1056245.2683752156,1056245.2683752156,1056245.2683752156,1056245.2683752156,0,876938.2746918459,880365.7033789856,895827.5379416451,884588.3019317995,10592.945801398859,882076.4259120001,882076.4259120001,882076.4259120001,882076.4259120001,0,173235.45437693337,173919.5923606582,176984.6691570515,174755.0094879103,2101.7229890760423,174168.8424632166,174168.8424632166,174168.8424632166,174168.8424632166,0,0,0,0,0,0,-2815.826693834777,249.25010255840556,933.3880862832365,-586.1670246936478,2101.722989075964,0,0,0,0,0,0,0,0,0,0,173235.45437693337,173919.5923606582,176984.6691570515,174755.0094879103,2101.7229890760423,174168.8424632166,174168.8424632166,174168.8424632166,174168.8424632166,0
20-34,oil,Food_price,USD,-198774.70922329454,-71943.2341442754,61809.89895178839,-69514.58220847028,137165.92031392816,0,0,0,0,0,-198774.70922329454,-71943.2341442754,61809.89895178839,-69514.58220847028,137165.92031392816,-32181577.447946988,5890419.813204398,13789125.293052347,-4696700.110059967,25874089.736775436,-164841.97850414208,-59125.406340649,52434.32250329791,-57075.175926454685,114369.73115017285,-33932.73071915195,-12817.827803626591,9375.576448489714,-12439.406282015736,22796.201701876453,13594940.033625796,13728693.166721858,13855524.641800877,13726264.514786055,137165.92031392717,13656749.932577584,13656749.932577584,13656749.932577584,13656749.932577586,0,11352588.046417443,11464147.77526138,11569864.347424882,11462097.54484719,114369.73115017255,11405022.368920747,11405022.368920747,11405022.368920747,11405022.368920749,0,2242351.9872083566,2264545.391460474,2285660.2943760008,2264166.969938863,22796.201701877784,2251727.563656847,2251727.563656847,2251727.563656847,2251727.563656847,0,0,0,0,0,0,-33932.73071915195,-12817.827803626591,9375.576448489714,-12439.406282015736,22796.201701876453,0,0,0,0,0,0,0,0,0,0,2242351.9872083566,2264545.391460474,2285660.2943760008,2264166.969938863,22796.201701877784,2251727.563656847,2251727.563656847,2251727.563656847,2251727.563656847,0
20-34,sat_fat,CED,MJ,-52172993.05062496,-52008890.611626476,-51745068.35324621,-51973901.20131707,227252.7894438914,0,0,0,0,0,-52172993.05062496,-52008890.611626476,-51745068.35324621,-51973901.20131707,227252.7894438914,-1023941703.3754758,-1020159382.8743465,-1015047284.1182654,-1019692794.0129598,4698680.508445707,-40232197.522091426,-40114580.233395614,-39918714.178555116,-40087124.52597643,166695.73784149854,-11940795.528533516,-11894310.378230883,-11826354.174691116,-11886776.675340662,60584.62220966427,113581022.04806224,113844844.30644251,114008946.74544089,113809854.89613307,227252.78944385226,61835953.694815926,61835953.694815926,61835953.694815926,61835953.694815926,0,87582070.87020531,87777936.9250459,87895554.21374169,87750481.21762668,166695.73784153973,47663356.69165025,47663356.69165025,47663356.69165025,47663356.69165025,0,25998951.177856773,26066907.381396547,26113392.53169918,26059373.678506326,60584.622209669185,14172597.003165657,14172597.003165657,14172597.003165657,14172597.003165657,0,0,0,0,0,0,-11940795.528533516,-11894310.378230883,-11826354.174691116,-11886776.675340662,60584.62220966427,0,0,0,0,0,0,0,0,0,0,25998951.177856773,26066907.381396547,26113392.53169918,26059373.678506326,60584.622209669185,14172597.003165657,14172597.003165657,14172597.003165657,14172597.003165657,0
20-34,sat_fat,FL,mrh-eq,-1398800.766932222,-1394039.9309506488,-1386419.4658940725,-1393036.5523278408,6574.154918593799,0,0,0,0,0,-1398800.766932222,-1394039.9309506488,-1386419.4658940725,-1393036.5523278408,6574.154918593799,-1023941703.3754758,-1020159382.8743465,-1015047284.1182654,-1019692794.0129598,4698680.508445707,-1078424.1218847497,-1074989.7718081228,-1069314.8141907242,-1074203.5937236415,4842.475025403811,-320376.6450474724,-319050.1591425243,-317104.65170334995,-318832.9586041993,1732.3442289001052,3045878.453103,3053498.9181595733,3058259.754141148,3052495.5395367667,6574.1549185928225,1659458.9872089266,1659458.9872089266,1659458.9872089266,1659458.9872089264,0,2348157.3941541547,2353832.3517715563,2357266.7018481824,2353046.173687074,4842.4750254047785,1278842.579963432,1278842.579963432,1278842.579963432,1278842.579963432,0,697721.0589488443,699666.5663880183,700993.052292967,699449.3658496938,1732.3442289001844,380616.407245494,380616.407245494,380616.407245494,380616.407245494,0,0,0,0,0,0,-320376.6450474724,-319050.1591425243,-317104.65170334995,-318832.9586041993,1732.3442289001052,0,0,0,0,0,0,0,0,0,0,697721.0589488443,699666.5663880183,700993.052292967,699449.3658496938,1732.3442289001844,380616.407245494,380616.407245494,380616.407245494,380616.407245494,0
20-34,sat_fat,Food_price,USD,-6246672.818712439,-6171259.281698402,-6104472.318753762,-6174286.149792928,74888.26046493063,0,0,0,0,0,-6246672.818712439,-6171259.281698402,-6104472.318753762,-6174286.149792928,74888.26046493063,-1023941703.3754758,-1020159382.8743465,-1015047284.1182654,-1019692794.0129598,4698680.508445707,-4818461.263101746,-4759228.54016498,-4709195.4018834885,-4762456.464605427,57576.25129286593,-1428211.555610692,-1412030.7415334175,-1395276.9168702785,-1411829.6851875,17334.8948831803,13476940.13560227,13543727.098546898,13619140.63556093,13546753.966641426,74888.26046492324,7372467.8168484885,7372467.8168484885,7372467.8168484885,7372467.816848489,0,10391881.377314681,10441914.515596183,10501147.238532946,10445142.440036627,57576.25129286897,5682685.975431204,5682685.975431204,5682685.975431204,5682685.975431204,0,3085058.758287569,3101812.582950708,3117993.3970279833,3101611.5266047907,17334.894883180878,1689781.8414172917,1689781.8414172917,1689781.8414172917,1689781.8414172914,0,0,0,0,0,0,-1428211.555610692,-1412030.7415334175,-1395276.9168702785,-1411829.6851875,17334.8948831803,0,0,0,0,0,0,0,0,0,0,3085058.758287569,3101812.582950708,3117993.3970279833,3101611.5266047907,17334.894883180878,1689781.8414172917,1689781.8414172917,1689781.8414172917,1689781.8414172914,0
35-44,added_sugar,CED,MJ,-13274003.431783572,-13047188.002723617,-12802336.505689552,-13040859.557820419,248306.2415448143,0,0,0,0,0,-13274003.431783572,-13047188.002723617,-12802336.505689552,-13040859.557820419,248306.2415448143,-523823581.6681235,-514618897.5423258,-505102437.22193813,-514509502.38632935,9853689.36685817,-8794208.79350516,-8643907.583250681,-8481689.669183573,-8639726.283667302,164523.60422217907,-4479794.63827841,-4403280.419472939,-4320646.836505986,-4401133.274153121,83782.63826738764,24414027.10160906,24658878.598643105,24885694.027703065,24652550.153739918,248306.24154480666,11611690.595919495,11611690.595919495,11611690.595919495,11611690.595919495,0,16176412.27666692,16338630.190734033,16488931.400988521,16334448.891150655,164523.60422218556,7694722.607483363,7694722.607483363,7694722.607483363,7694722.607483362,0,8237614.82494212,8320248.4079090655,8396762.626714556,8318101.262589256,83782.63826739257,3916967.9884361336,3916967.9884361336,3916967.9884361336,3916967.988436134,0,0,0,0,0,0,-4479794.63827841,-4403280.419472939,-4320646.836505986,-4401133.274153121,83782.63826738764,0,0,0,0,0,0,0,0,0,0,8237614.82494212,8320248.4079090655,8396762.626714556,8318101.262589256,83782.63826739257,3916967.9884361336,3916967.9884361336,3916967.9884361336,3916967.988436134,0
