race_gp,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_upper_bound (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_upper_bound (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_upper_bound (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_upper_bound (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,inedible_impact_lower_bound (2.5th percentile),inedible_impact_median,inedible_upper_bound (97.5th percentile),inedible_consumed_impact_mean,inedible_impact_SD,wasted_impact_lower_bound (2.5th percentile),wasted_impact_median,wasted_unconsumed_upper_bound (97.5th percentile),wasted_unconsumed_impact_mean,wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_upper_bound (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_upper_bound (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_unconsumed_wasted_upper_bound (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
HIS,CED,MJ,-37649585.14421382,-37615370.84659403,-36672021.564190194,-37296376.115090854,583982.7341206822,0,0,0,0,0,-37649585.14421382,-37615370.84659403,-36672021.564190194,-37296376.115090854,583982.7341206822,-917948641.0565717,-897636860.0180978,-865857076.0502477,-893612999.3411237,27637189.949286256,-27597046.50137749,-27533716.47337365,-26845622.887570318,-27314501.189935233,438692.1136445273,-10080121.966358045,-10051006.235974029,-9824866.269757561,-9981874.925155625,147081.47547881803,95289303.18113294,96232652.46353672,96266866.76115651,95913657.73203357,583982.7341206608,58617281.61694273,58617281.61694273,58617281.61694273,58617281.61694273,0,71351817.29406853,72039910.87987182,72103240.90787569,71820695.59643342,438692.11364451126,44506194.40649822,44506194.40649822,44506194.40649822,44506194.40649822,0,23935953.480202094,24162093.446418554,24191209.176802576,24092962.135600153,147081.47547881608,14111087.210444534,14111087.210444534,14111087.210444534,14111087.210444534,0,0,0,0,0,0,-10080121.966358045,-10051006.235974029,-9824866.269757561,-9981874.925155625,147081.47547881803,0,0,0,0,0,0,0,0,0,0,23935953.480202094,24162093.446418554,24191209.176802576,24092962.135600153,147081.47547881608,14111087.210444534,14111087.210444534,14111087.210444534,14111087.210444534,0
HIS,FL,mrh-eq,-1218201.7377103206,-1207629.485176705,-1174476.7406325706,-1199706.5055238914,24014.278469955792,0,0,0,0,0,-1218201.7377103206,-1207629.485176705,-1174476.7406325706,-1199706.5055238914,24014.278469955792,-917948641.0565717,-897636860.0180978,-865857076.0502477,-893612999.3411237,27637189.949286256,-876443.0365995032,-870049.7953334756,-844736.5268236453,-863411.1892830186,17650.227680021533,-341758.7011108175,-337579.6898432291,-329740.2138089256,-336295.3162408729,6422.570379910954,3238148.2655258877,3271301.010070022,3281873.2626036373,3263378.030417208,24014.278469955516,2063671.5248933171,2063671.5248933171,2063671.5248933171,2063671.5248933171,0,2413692.242357426,2439005.510867257,2445398.752133285,2432366.9048168,17650.227680022082,1568955.7155337823,1568955.7155337823,1568955.7155337823,1568955.7155337825,0,824456.0231684609,832295.4992027647,836474.510470353,831011.1256004084,6422.570379911009,494715.8093595351,494715.8093595351,494715.8093595351,494715.8093595351,0,0,0,0,0,0,-341758.7011108175,-337579.6898432291,-329740.2138089256,-336295.3162408729,6422.570379910954,0,0,0,0,0,0,0,0,0,0,824456.0231684609,832295.4992027647,836474.510470353,831011.1256004084,6422.570379911009,494715.8093595351,494715.8093595351,494715.8093595351,494715.8093595351,0
HIS,Food_price,USD,-20766639.314100303,-19887091.5197805,-19589651.17988059,-20091339.749401513,644226.6003020763,0,0,0,0,0,-20766639.314100303,-19887091.5197805,-19589651.17988059,-20091339.749401513,644226.6003020763,-917948641.0565717,-897636860.0180978,-865857076.0502477,-893612999.3411237,27637189.949286256,-14011140.28734784,-13433667.173133824,-13198736.567687165,-13553857.527087284,440067.85985860194,-6755499.026752465,-6453424.346646665,-6390914.612193422,-6537482.222314228,205230.93521340378,48725538.37737854,49022978.71727849,49902526.511598274,49227226.94689947,644226.6003020824,29135887.197497983,29135887.197497983,29135887.197497983,29135887.197497983,0,34296932.30466549,34531862.910112165,35109336.02432616,34652053.264065616,440067.8598585953,21098195.736978337,21098195.736978337,21098195.736978337,21098195.736978337,0,14428606.072713068,14491115.807166312,14793190.487272108,14575173.682833875,205230.935213402,8037691.460519639,8037691.460519639,8037691.460519639,8037691.460519639,0,0,0,0,0,0,-6755499.026752465,-6453424.346646665,-6390914.612193422,-6537482.222314228,205230.93521340378,0,0,0,0,0,0,0,0,0,0,14428606.072713068,14491115.807166312,14793190.487272108,14575173.682833875,205230.935213402,8037691.460519639,8037691.460519639,8037691.460519639,8037691.460519639,0
NHB,CED,MJ,-31608859.75886184,-31337004.258241974,-30812620.422169376,-31248397.824749786,426040.825784429,0,0,0,0,0,-31608859.75886184,-31337004.258241974,-30812620.422169376,-31248397.824749786,426040.825784429,-926679660.7413137,-903605502.4931122,-889014990.6188902,-906582220.51907,19990427.954300947,-23059945.321536735,-22871025.2957737,-22466952.375390757,-22795533.052047417,318875.6607770624,-8548914.437325116,-8465978.962468276,-8345668.046778612,-8452864.772702372,107572.99456012569,71848618.09015541,72373001.92622805,72644857.42684795,72284395.49273586,426040.82578446687,41035997.667986065,41035997.667986065,41035997.667986065,41035997.667986065,0,53628844.197004564,54032917.11738751,54221837.143150546,53957424.87366123,318875.66077706654,31161891.821613815,31161891.821613815,31161891.821613815,31161891.821613815,0,18219773.893150862,18340084.808840517,18423020.283697374,18326970.619074624,107572.99456012947,9874105.846372254,9874105.846372254,9874105.846372254,9874105.846372254,0,0,0,0,0,0,-8548914.437325116,-8465978.962468276,-8345668.046778612,-8452864.772702372,107572.99456012569,0,0,0,0,0,0,0,0,0,0,18219773.893150862,18340084.808840517,18423020.283697374,18326970.619074624,107572.99456012947,9874105.846372254,9874105.846372254,9874105.846372254,9874105.846372254,0
NHB,FL,mrh-eq,-1040204.2400395322,-1025802.5871049815,-1008183.1310802011,-1024673.5333891115,16881.55608067137,0,0,0,0,0,-1040204.2400395322,-1025802.5871049815,-1008183.1310802011,-1024673.5333891115,16881.55608067137,-926679660.7413137,-903605502.4931122,-889014990.6188902,-906582220.51907,19990427.954300947,-748432.9261121954,-738095.1866530183,-724745.6288664826,-737038.4082925416,12500.545517393788,-291771.3139273368,-287707.40045196284,-283437.5022137183,-287635.1250965697,4386.66327166475,2420633.561108125,2438253.017132903,2452654.670067455,2437123.963417034,16881.556080670896,1412450.4300279228,1412450.4300279228,1412450.4300279228,1412450.4300279228,0,1799530.9704048384,1812880.5281913741,1823218.2676505512,1811823.7498308972,12500.545517393784,1074785.3415383557,1074785.3415383557,1074785.3415383557,1074785.3415383557,0,621102.5907032853,625372.4889415299,629436.4024169036,625300.2135861366,4386.663271664664,337665.0884895673,337665.0884895673,337665.0884895673,337665.0884895673,0,0,0,0,0,0,-291771.3139273368,-287707.40045196284,-283437.5022137183,-287635.1250965697,4386.66327166475,0,0,0,0,0,0,0,0,0,0,621102.5907032853,625372.4889415299,629436.4024169036,625300.2135861366,4386.663271664664,337665.0884895673,337665.0884895673,337665.0884895673,337665.0884895673,0
NHB,Food_price,USD,-21311151.458889842,-21041383.682699867,-20967196.23093145,-21110008.3579355,190534.85970485592,0,0,0,0,0,-21311151.458889842,-21041383.682699867,-20967196.23093145,-21110008.3579355,190534.85970485592,-926679660.7413137,-903605502.4931122,-889014990.6188902,-906582220.51907,19990427.954300947,-14401767.83150541,-14214386.538749179,-14169741.80617409,-14264469.54232151,129592.71197770869,-6909383.627384438,-6826997.1439506905,-6797454.424757365,-6845538.815613996,61059.363377578404,41174350.76814241,41248538.219910815,41518305.99610081,41317162.89514646,190534.85970486357,20207154.537210945,20207154.537210945,20207154.537210945,20207154.537210945,0,28554242.102654018,28598886.83522911,28786268.127985332,28648969.83880144,129592.71197770549,14384500.296479922,14384500.296479922,14384500.296479922,14384500.29647992,0,12620108.665488392,12649651.384681724,12732037.868115468,12668193.056345025,61059.36337757897,5822654.240731025,5822654.240731025,5822654.240731025,5822654.240731026,0,0,0,0,0,0,-6909383.627384438,-6826997.1439506905,-6797454.424757365,-6845538.815613996,61059.363377578404,0,0,0,0,0,0,0,0,0,0,12620108.665488392,12649651.384681724,12732037.868115468,12668193.056345025,61059.36337757897,5822654.240731025,5822654.240731025,5822654.240731025,5822654.240731026,0
NHW,CED,MJ,-188204179.72263303,-187310071.20523575,-183417043.19934374,-186257818.75313234,2679279.0332779624,0,0,0,0,0,-188204179.72263303,-187310071.20523575,-183417043.19934374,-186257818.75313234,2679279.0332779624,-4697587823.218943,-4677299021.166681,-4647709676.796057,-4674035672.984799,26403343.053331383,-139768450.99034774,-139266047.20130944,-136418739.1451782,-138443273.7742593,1901554.1187078366,-48435728.73228528,-48044024.00392632,-46998304.054165564,-47814544.97887305,782206.6134438115,417045812.83766377,420938840.84355575,421832949.3609531,419886588.3914524,2679279.0332779675,233628769.63831997,233628769.63831997,233628769.63831997,233628769.63831997,0,314648069.6579404,317495377.7140716,317997781.5031098,316672604.2870214,1901554.1187077921,178229330.51276228,178229330.51276228,178229330.51276228,178229330.51276228,0,102397743.17972328,103443463.12948398,103835167.85784298,103213984.10443075,782206.6134437978,55399439.12555771,55399439.12555771,55399439.12555771,55399439.12555771,0,0,0,0,0,0,-48435728.73228528,-48044024.00392632,-46998304.054165564,-47814544.97887305,782206.6134438115,0,0,0,0,0,0,0,0,0,0,102397743.17972328,103443463.12948398,103835167.85784298,103213984.10443075,782206.6134437978,55399439.12555771,55399439.12555771,55399439.12555771,55399439.12555771,0
NHW,FL,mrh-eq,-6084246.737256386,-6040260.831757799,-5933587.165527124,-6018265.126237768,81550.46192351622,0,0,0,0,0,-6084246.737256386,-6040260.831757799,-5933587.165527124,-6018265.126237768,81550.46192351622,-4697587823.218943,-4677299021.166681,-4647709676.796057,-4674035672.984799,26403343.053331383,-4442629.317593644,-4417355.121713561,-4342592.424216575,-4399990.735181314,54756.45052114111,-1641617.4196627454,-1622905.7100442378,-1590994.741310548,-1618274.3910564545,26943.71399946454,14182956.499063134,14289630.165293807,14333616.070792396,14267634.459773777,81550.46192351598,8249369.333536009,8249369.333536009,8249369.333536009,8249369.333536009,0,10629649.19771349,10704411.89521047,10729686.091090556,10687047.508678226,54756.45052113844,6287056.773496915,6287056.773496915,6287056.773496915,6287056.773496915,0,3553307.3013496436,3585218.270083333,3603929.979701842,3580586.95109555,26943.71399946492,1962312.560039095,1962312.560039095,1962312.560039095,1962312.5600390949,0,0,0,0,0,0,-1641617.4196627454,-1622905.7100442378,-1590994.741310548,-1618274.3910564545,26943.71399946454,0,0,0,0,0,0,0,0,0,0,3553307.3013496436,3585218.270083333,3603929.979701842,3580586.95109555,26943.71399946492,1962312.560039095,1962312.560039095,1962312.560039095,1962312.5600390949,0
NHW,Food_price,USD,-103677853.82151122,-101129979.50597958,-99799203.0958086,-101557031.40259737,2074626.236898292,0,0,0,0,0,-103677853.82151122,-101129979.50597958,-99799203.0958086,-101557031.40259737,2074626.236898292,-4697587823.218943,-4677299021.166681,-4647709676.796057,-4674035672.984799,26403343.053331383,-70544097.74411075,-68845719.65157785,-68053961.93432754,-69163832.0639577,1339239.7878843793,-33133756.077400476,-32284259.85440178,-31745241.16148104,-32393199.33863966,736861.9866914027,228049384.14228332,229380160.5524544,231928034.86798593,229807212.44907212,2074626.2368982732,128250181.04647475,128250181.04647475,128250181.04647475,128250181.04647475,0,160807963.5631814,161599721.28043163,163298099.37296456,161917833.69281152,1339239.7878843474,92754001.6288538,92754001.6288538,92754001.6288538,92754001.6288538,0,67241420.57910204,67780439.27202271,68629935.49502143,67889378.75626062,736861.9866913835,35496179.41762095,35496179.41762095,35496179.41762095,35496179.41762095,0,0,0,0,0,0,-33133756.077400476,-32284259.85440178,-31745241.16148104,-32393199.33863966,736861.9866914027,0,0,0,0,0,0,0,0,0,0,67241420.57910204,67780439.27202271,68629935.49502143,67889378.75626062,736861.9866913835,35496179.41762095,35496179.41762095,35496179.41762095,35496179.41762095,0
OTH,CED,MJ,-22388107.628721084,-22255324.97714693,-21441304.446221594,-22016294.142286867,539603.6512197057,0,0,0,0,0,-22388107.628721084,-22255324.97714693,-21441304.446221594,-22016294.142286867,539603.6512197057,-591382770.6476,-573925236.0182729,-558186708.9376122,-574528396.5616646,17479418.119971097,-16711851.863097992,-16588036.905535426,-15984718.097752966,-16419789.94054599,409501.0229102759,-5676255.76562308,-5667288.0716114845,-5456586.348468654,-5596504.201740876,130861.40385278309,59532854.04463641,60346874.57556173,60479657.22713588,60107843.740701675,539603.6512196903,38091549.59841481,38091549.59841481,38091549.59841481,38091549.59841481,0,45072265.92624338,45675584.73402585,45799399.691588424,45507337.76903641,409501.02291028254,29087547.82849042,29087547.82849042,29087547.82849042,29087547.82849042,0,14460588.118393041,14671289.84153587,14680257.535547465,14600505.971665263,130861.40385278228,9004001.769924391,9004001.769924391,9004001.769924391,9004001.769924391,0,0,0,0,0,0,-5676255.76562308,-5667288.0716114845,-5456586.348468654,-5596504.201740876,130861.40385278309,0,0,0,0,0,0,0,0,0,0,14460588.118393041,14671289.84153587,14680257.535547465,14600505.971665263,130861.40385278228,9004001.769924391,9004001.769924391,9004001.769924391,9004001.769924391,0
