sex_gp,race_gp,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_upper_bound (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_upper_bound (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_upper_bound (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_upper_bound (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,inedible_impact_lower_bound (2.5th percentile),inedible_impact_median,inedible_upper_bound (97.5th percentile),inedible_consumed_impact_mean,inedible_impact_SD,wasted_impact_lower_bound (2.5th percentile),wasted_impact_median,wasted_unconsumed_upper_bound (97.5th percentile),wasted_unconsumed_impact_mean,wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_upper_bound (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_upper_bound (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_unconsumed_wasted_upper_bound (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
Female,HIS,CED,MJ,-20241763.597497143,-20236103.988928173,-19370982.28340178,-19934538.340872932,527494.7660958209,0,0,0,0,0,-20241763.597497143,-20236103.988928173,-19370982.28340178,-19934538.340872932,527494.7660958209,-530691437.9547572,-526769414.84456956,-492907574.76364845,-516264215.90747005,21868518.36314679,-14963293.525569119,-14947913.055791968,-14327995.060942814,-14735794.625942143,381506.7126655137,-5293041.04329586,-5272000.9649497345,-5042177.724049644,-5198743.7149308,146484.7011243889,48919486.16102873,49784607.86655514,49790267.475124106,49483042.2184999,527494.7660958295,29548503.87762695,29548503.87762695,29548503.87762695,29548503.87762695,0,36905114.88217141,37525032.877020545,37540413.34679769,37312914.44717073,381506.7126654986,22577119.821228597,22577119.821228597,22577119.821228597,22577119.821228597,0,12013561.780448003,12243385.021348102,12264425.099694224,12170127.771329163,146484.70112439306,6971384.056398367,6971384.056398367,6971384.056398367,6971384.056398367,0,0,0,0,0,0,-5293041.04329586,-5272000.9649497345,-5042177.724049644,-5198743.7149308,146484.7011243889,0,0,0,0,0,0,0,0,0,0,12013561.780448003,12243385.021348102,12264425.099694224,12170127.771329163,146484.70112439306,6971384.056398367,6971384.056398367,6971384.056398367,6971384.056398367,0
Female,HIS,FL,mrh-eq,-675265.8746432546,-671411.2476354893,-638845.5033485243,-661337.1713971737,21060.653276914592,0,0,0,0,0,-675265.8746432546,-671411.2476354893,-638845.5033485243,-661337.1713971737,21060.653276914592,-530691437.9547572,-526769414.84456956,-492907574.76364845,-516264215.90747005,21868518.36314679,-489529.87936949317,-487469.272963809,-463783.85636886506,-479881.62026582315,15059.762501723664,-185735.9952737616,-183941.97467168022,-175061.64697965956,-181455.55113135066,6016.604315310285,1688808.4901618569,1721374.234448822,1725228.8614565867,1711300.158210506,21060.65327691457,1049962.9868133322,1049962.9868133322,1049962.9868133322,1049962.9868133322,0,1264612.3873225166,1288297.8039174594,1290358.4103231444,1280710.1512194744,15059.762501723328,800828.5309536516,800828.5309536516,800828.5309536516,800828.5309536516,0,424196.1028393405,433076.4305313616,434870.4511334427,430590.0069910318,6016.604315310411,249134.45585968104,249134.45585968104,249134.45585968104,249134.45585968104,0,0,0,0,0,0,-185735.9952737616,-183941.97467168022,-175061.64697965956,-181455.55113135066,6016.604315310285,0,0,0,0,0,0,0,0,0,0,424196.1028393405,433076.4305313616,434870.4511334427,430590.0069910318,6016.604315310411,249134.45585968104,249134.45585968104,249134.45585968104,249134.45585968104,0
Female,HIS,Food_price,USD,-11503757.517165042,-10998148.271274054,-10373397.3581716,-10956344.177515646,596026.9351949086,0,0,0,0,0,-11503757.517165042,-10998148.271274054,-10373397.3581716,-10956344.177515646,596026.9351949086,-530691437.9547572,-526769414.84456956,-492907574.76364845,-516264215.90747005,21868518.36314679,-7834837.177235455,-7504038.747329993,-7066959.520736213,-7466747.239720057,405434.44703180157,-3668920.3399295877,-3494109.523944053,-3306437.837435385,-3489596.937795585,190820.28688479413,25209434.614898387,25834185.528000843,26339794.77389182,25792381.434242427,596026.9351949071,14836037.256726783,14836037.256726783,14836037.256726783,14836037.25672678,0,17872709.786481425,18309789.013075214,18640587.44298068,18272497.50546528,405434.44703180855,10805750.265745226,10805750.265745226,10805750.265745226,10805750.265745226,0,7336724.828416947,7524396.514925609,7699207.330911151,7519883.928777146,190820.28688479474,4030286.9909815597,4030286.9909815597,4030286.9909815597,4030286.9909815597,0,0,0,0,0,0,-3668920.3399295877,-3494109.523944053,-3306437.837435385,-3489596.937795585,190820.28688479413,0,0,0,0,0,0,0,0,0,0,7336724.828416947,7524396.514925609,7699207.330911151,7519883.928777146,190820.28688479474,4030286.9909815597,4030286.9909815597,4030286.9909815597,4030286.9909815597,0
Female,NHB,CED,MJ,-18270632.343909353,-18174217.06056171,-17789887.28444749,-18073194.431520805,267722.20545247255,0,0,0,0,0,-18270632.343909353,-18174217.06056171,-17789887.28444749,-18073194.431520805,267722.20545247255,-575777834.8328506,-565281321.9663385,-552312083.7411472,-564413699.0334686,12373230.843787173,-13407163.076358574,-13326494.969082218,-13053857.938128162,-13259137.452002322,194885.10945468818,-4863469.267550781,-4847722.091479494,-4736029.346319333,-4814056.979518485,73136.026517171,40069938.80896937,40454268.5850836,40550683.86843126,40353245.9560427,267722.20545248734,22280051.524521902,22280051.524521902,22280051.524521902,22280051.524521902,0,30052441.480720732,30325078.51167479,30405746.618951175,30257720.994594906,194885.10945470195,16998583.542592585,16998583.542592585,16998583.542592585,16998583.542592585,0,10017497.328248639,10129190.073408794,10144937.249480093,10095524.961447792,73136.02651717259,5281467.981929307,5281467.981929307,5281467.981929307,5281467.981929307,0,0,0,0,0,0,-4863469.267550781,-4847722.091479494,-4736029.346319333,-4814056.979518485,73136.026517171,0,0,0,0,0,0,0,0,0,0,10017497.328248639,10129190.073408794,10144937.249480093,10095524.961447792,73136.02651717259,5281467.981929307,5281467.981929307,5281467.981929307,5281467.981929307,0
Female,NHB,FL,mrh-eq,-615762.5257416712,-610511.8408966034,-594781.4633933011,-606834.7557533632,11492.656493553673,0,0,0,0,0,-615762.5257416712,-610511.8408966034,-594781.4633933011,-606834.7557533632,11492.656493553673,-575777834.8328506,-565281321.9663385,-552312083.7411472,-564413699.0334686,12373230.843787173,-445464.0780130142,-441146.7522752435,-430229.87174054974,-438831.1190131653,8264.9860854658291,-170298.44772865693,-169365.08862136005,-164551.5916527514,-168003.63674019804,3246.342271467723,1363157.3586249354,1378887.7361282373,1384138.4209733056,1375210.6509849976,11492.656493553599,768375.8952316343,768375.8952316343,768375.8952316343,768375.8952316343,0,1016713.9390436058,1027630.8195782992,1031948.1453160704,1025315.1863162211,8264.986085465804,586484.0673030558,586484.0673030558,586484.0673030558,586484.0673030558,0,346443.4195813299,351256.91654993844,352190.2756572351,349895.4646687764,3246.342271467572,181891.82792857845,181891.82792857845,181891.82792857845,181891.82792857845,0,0,0,0,0,0,-170298.44772865693,-169365.08862136005,-164551.5916527514,-168003.63674019804,3246.342271467723,0,0,0,0,0,0,0,0,0,0,346443.4195813299,351256.91654993844,352190.2756572351,349895.4646687764,3246.342271467572,181891.82792857845,181891.82792857845,181891.82792857845,181891.82792857845,0
Female,NHB,Food_price,USD,-12973766.827900056,-12864459.782264074,-12732024.773186155,-12856344.707372166,127426.60906052354,0,0,0,0,0,-12973766.827900056,-12864459.782264074,-12732024.773186155,-12856344.707372166,127426.60906052354,-575777834.8328506,-565281321.9663385,-552312083.7411472,-564413699.0334686,12373230.843787173,-8796389.619242983,-8739694.550232165,-8643085.089739988,-8725689.500589581,81593.09155580269,-4177377.208657079,-4124765.2320319097,-4088939.6834461656,-4130655.206782585,46824.72747101235,24466940.41997395,24599375.429051895,24708682.474687863,24591260.354159977,127426.60906052976,11734915.6467878,11734915.6467878,11734915.6467878,11734915.6467878,0,17064716.18929519,17161325.649787355,17218020.71879818,17147320.60014478,81593.09155579704,8421631.099555194,8421631.099555194,8421631.099555194,8421631.099555194,0,7402224.230678785,7438049.779264527,7490661.755889694,7443939.754015203,46824.72747101069,3313284.547232613,3313284.547232613,3313284.547232613,3313284.547232613,0,0,0,0,0,0,-4177377.208657079,-4124765.2320319097,-4088939.6834461656,-4130655.206782585,46824.72747101235,0,0,0,0,0,0,0,0,0,0,7402224.230678785,7438049.779264527,7490661.755889694,7443939.754015203,46824.72747101069,3313284.547232613,3313284.547232613,3313284.547232613,3313284.547232613,0
Female,NHW,CED,MJ,-103891768.8789793,-102986088.5162568,-100364845.34696472,-102384136.65430255,1928086.7265860394,0,0,0,0,0,-103891768.8789793,-102986088.5162568,-100364845.34696472,-102384136.65430255,1928086.7265860394,-2725522978.371506,-2724108235.052246,-2706925697.05259,-2718575675.515265,10897829.743400343,-77840214.0686221,-77272186.18341874,-75274550.27094898,-76770569.33174632,1418505.5561748627,-26051554.810357273,-25713902.33283806,-25090295.076015737,-25613567.32255627,513333.8399589801,220755029.51969174,223376272.68898386,224281953.05170646,222774320.82702962,1928086.7265861125,120390184.17272705,120390184.17272705,120390184.17272705,120390184.17272705,0,167788780.23419204,169786416.14666173,170354444.03186506,169284799.29498935,1418505.5561748066,92514229.96324304,92514229.96324304,92514229.96324304,92514229.96324305,0,52966249.28549971,53589856.542322,53927509.019841224,53489521.532040216,513333.83995897125,27875954.209483966,27875954.209483966,27875954.209483966,27875954.209483966,0,0,0,0,0,0,-26051554.810357273,-25713902.33283806,-25090295.076015737,-25613567.32255627,513333.8399589801,0,0,0,0,0,0,0,0,0,0,52966249.28549971,53589856.542322,53927509.019841224,53489521.532040216,513333.83995897125,27875954.209483966,27875954.209483966,27875954.209483966,27875954.209483966,0
Female,NHW,FL,mrh-eq,-3387623.64341625,-3356849.86164085,-3295930.5633697314,-3346272.487431826,49121.19196910721,0,0,0,0,0,-3387623.64341625,-3356849.86164085,-3295930.5633697314,-3346272.487431826,49121.19196910721,-2725522978.371506,-2724108235.052246,-2706925697.05259,-2718575675.515265,10897829.743400343,-2492001.848961969,-2474290.4910235237,-2428894.925237382,-2464576.733883981,34262.93802998534,-895621.7944542824,-882559.3706173261,-867035.6381323504,-881695.7535478455,15063.923626271988,7554190.946463792,7615110.2447349075,7645884.026510308,7604532.870525884,49121.19196910594,4258260.3830940565,4258260.3830940565,4258260.3830940565,4258260.3830940565,0,5690167.452858662,5735563.0186448,5753274.376583249,5725849.261505261,34262.93802998461,3261272.527621281,3261272.527621281,3261272.527621281,3261272.527621281,0,1864023.4936051273,1879547.2260901034,1892609.6499270592,1878683.6090206224,15063.923626271997,996987.8554727772,996987.8554727772,996987.8554727772,996987.8554727772,0,0,0,0,0,0,-895621.7944542824,-882559.3706173261,-867035.6381323504,-881695.7535478455,15063.923626271988,0,0,0,0,0,0,0,0,0,0,1864023.4936051273,1879547.2260901034,1892609.6499270592,1878683.6090206224,15063.923626271997,996987.8554727772,996987.8554727772,996987.8554727772,996987.8554727772,0
Female,NHW,Food_price,USD,-59045938.888059765,-57540564.746359296,-57456871.636998124,-58039400.19630291,941334.6423325371,0,0,0,0,0,-59045938.888059765,-57540564.746359296,-57456871.636998124,-58039400.19630291,941334.6423325371,-2725522978.371506,-2724108235.052246,-2706925697.05259,-2718575675.515265,10897829.743400343,-40341993.6759737,-39450596.378996246,-39310286.586569436,-39714135.85427717,589018.5425278703,-18706925.037510592,-18149564.875853207,-18092948.19278753,-18325264.34202574,357177.65222165437,124465350.73228148,124549043.84164256,126054417.9833431,125047879.29158622,941334.6423325522,67008479.0952833,67008479.0952833,67008479.0952833,67008479.0952833,0,87891530.10302536,88031839.89545217,88923237.1924296,88295379.37073308,589018.5425278558,48581243.5164559,48581243.5164559,48581243.5164559,48581243.51645591,0,36520183.77161493,36576800.45468062,37134160.616338,36752499.920853145,357177.652221655,18427235.578827415,18427235.578827415,18427235.578827415,18427235.578827415,0,0,0,0,0,0,-18706925.037510592,-18149564.875853207,-18092948.19278753,-18325264.34202574,357177.65222165437,0,0,0,0,0,0,0,0,0,0,36520183.77161493,36576800.45468062,37134160.616338,36752499.920853145,357177.652221655,18427235.578827415,18427235.578827415,18427235.578827415,18427235.578827415,0
Female,OTH,CED,MJ,-12452704.638558632,-12309123.052204868,-12118111.38395436,-12292480.918206012,176690.50277764277,0,0,0,0,0,-12452704.638558632,-12309123.052204868,-12118111.38395436,-12292480.918206012,176690.50277764277,-346576316.92856604,-343257175.3111314,-340835489.6646882,-343572072.14305824,3033769.923441207,-9376950.14471768,-9262830.518961769,-9132275.146071794,-9257063.5901428,128873.12530452972,-3075754.493840938,-3046292.533243113,-2985836.2378825694,-3035417.3280632123,48253.454276351906,31299433.39976046,31490445.06801098,31634026.654364727,31473802.934012115,176690.50277764152,19181322.0158061,19181322.0158061,19181322.0158061,19181322.0158061,0,23907559.291377332,24038114.664267298,24152234.29002323,24032347.73544834,128873.12530453403,14775284.145305544,14775284.145305544,14775284.145305544,14775284.145305544,0,7391874.108383131,7452330.403743678,7481792.364341498,7441455.198563774,48253.454276351615,4406037.870500563,4406037.870500563,4406037.870500563,4406037.870500563,0,0,0,0,0,0,-3075754.493840938,-3046292.533243113,-2985836.2378825694,-3035417.3280632123,48253.454276351906,0,0,0,0,0,0,0,0,0,0,7391874.108383131,7452330.403743678,7481792.364341498,7441455.198563774,48253.454276351615,4406037.870500563,4406037.870500563,4406037.870500563,4406037.870500563,0
