sex_gp,race_gp,Foodgroup,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_upper_bound (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_upper_bound (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_upper_bound (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_upper_bound (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,inedible_impact_lower_bound (2.5th percentile),inedible_impact_median,inedible_upper_bound (97.5th percentile),inedible_consumed_impact_mean,inedible_impact_SD,wasted_impact_lower_bound (2.5th percentile),wasted_impact_median,wasted_unconsumed_upper_bound (97.5th percentile),wasted_unconsumed_impact_mean,wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_upper_bound (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_upper_bound (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_unconsumed_wasted_upper_bound (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
Female,HIS,added_sugar,CED,MJ,-6238989.238065014,-6057612.072647276,-5690931.821161299,-5992593.445956666,293895.73442372185,0,0,0,0,0,-6238989.238065014,-6057612.072647276,-5690931.821161299,-5992593.445956666,293895.73442372185,-248493926.58584288,-241324304.6618768,-226821951.42507726,-238751416.48193523,11621899.880969603,-4139580.431448901,-4019206.5462270738,-3776071.2906899955,-3976132.3812041786,194923.3436674805,-2099408.806616112,-2038405.5264201965,-1914860.5304713086,-2016461.0647524868,98972.40486416729,11168436.510526836,11535116.762012811,11716493.927430557,11470098.135322206,293895.73442372476,5477504.689365549,5477504.689365549,5477504.689365549,5477504.689365549,0,7410817.118030564,7653952.373567641,7774326.258789456,7610878.208544742,194923.34366747475,3634745.8273405684,3634745.8273405684,3634745.8273405684,3634745.827340568,0,3757619.39249629,3881164.38844518,3942167.6686410937,3859219.9267774685,98972.40486416742,1842758.862024981,1842758.862024981,1842758.862024981,1842758.8620249808,0,0,0,0,0,0,-2099408.806616112,-2038405.5264201965,-1914860.5304713086,-2016461.0647524868,98972.40486416729,0,0,0,0,0,0,0,0,0,0,3757619.39249629,3881164.38844518,3942167.6686410937,3859219.9267774685,98972.40486416742,1842758.862024981,1842758.862024981,1842758.862024981,1842758.8620249808,0
Female,HIS,added_sugar,FL,mrh-eq,-294431.2935602801,-286007.1272555239,-269303.20218623214,-283101.9487416518,13462.499927361992,0,0,0,0,0,-294431.2935602801,-286007.1272555239,-269303.20218623214,-283101.9487416518,13462.499927361992,-248493926.58584288,-241324304.6618768,-226821951.42507726,-238751416.48193523,11621899.880969603,-195370.86796705727,-189779.99754311529,-178703.02026948155,-187855.04777129358,8929.542660777957,-99060.42559322296,-96227.12971240852,-90600.18191675063,-95246.90097035818,4532.95779720532,530239.9290032476,546943.8540725391,555368.0203772954,544038.6755586672,13462.49992736188,260936.72681701556,260936.72681701556,260936.72681701556,260936.72681701556,0,351867.91266450234,362944.8899381359,368535.76036207814,361019.9401663144,8929.54266077798,173164.89239502078,173164.89239502078,173164.89239502078,173164.89239502078,0,178372.01633874554,183998.9641344036,186832.26001521788,183018.73539235315,4532.957797205338,87771.83442199492,87771.83442199492,87771.83442199492,87771.83442199492,0,0,0,0,0,0,-99060.42559322296,-96227.12971240852,-90600.18191675063,-95246.90097035818,4532.95779720532,0,0,0,0,0,0,0,0,0,0,178372.01633874554,183998.9641344036,186832.26001521788,183018.73539235315,4532.957797205338,87771.83442199492,87771.83442199492,87771.83442199492,87771.83442199492,0
Female,HIS,added_sugar,Food_price,USD,-9674752.406239158,-9136488.986699471,-8667851.178275077,-9160919.025687294,530370.1711137167,0,0,0,0,0,-9674752.406239158,-9136488.986699471,-8667851.178275077,-9160919.025687294,530370.1711137167,-248493926.58584288,-241324304.6618768,-226821951.42507726,-238751416.48193523,11621899.880969603,-6419288.878123252,-6061953.552212793,-5751392.548220917,-6078365.594991243,351811.61012617627,-3255463.5281159054,-3074535.4344866714,-2916458.630054154,-3082553.4306960455,178558.6966215851,17066349.1970272,17534987.00545161,18073250.42499128,17559417.04443942,530370.1711137173,8398498.018752128,8398498.018752128,8398498.018752128,8398498.018752128,0,11324530.46769673,11635091.471688619,11992426.797599072,11651503.514467062,351811.6101261793,5573137.919475823,5573137.919475823,5573137.919475823,5573137.919475823,0,5741818.72933046,5899895.533762974,6080823.627392211,5907913.529972349,178558.69662158564,2825360.0992763024,2825360.0992763024,2825360.0992763024,2825360.0992763024,0,0,0,0,0,0,-3255463.5281159054,-3074535.4344866714,-2916458.630054154,-3082553.4306960455,178558.6966215851,0,0,0,0,0,0,0,0,0,0,5741818.72933046,5899895.533762974,6080823.627392211,5907913.529972349,178558.69662158564,2825360.0992763024,2825360.0992763024,2825360.0992763024,2825360.0992763024,0
Female,HIS,oil,CED,MJ,-139835.7505170381,-135367.29459849844,-28099.131433634717,-99297.22188049,66590.2118911904,0,0,0,0,0,-139835.7505170381,-135367.29459849844,-28099.131433634717,-99297.22188049,66590.2118911904,-15082280.722101318,-14638577.059536373,-2988174.4813116267,-10706402.001410129,7218987.978304978,-116873.35997880333,-113178.39287344385,-23458.271318688745,-82994.12815435768,55683.002976802905,-22962.39053823476,-22188.901725054522,-4640.860114945861,-16303.093726132269,10907.235193449804,5894772.877446346,6002041.040611218,6006509.496529755,5965970.967893206,66590.2118911949,5866673.746012714,5866673.746012714,5866673.746012714,5866673.746012714,0,4923945.955070116,5013666.076624871,5017361.043730232,4983481.811905785,55683.002976803524,4900487.6837514285,4900487.6837514285,4900487.6837514285,4900487.6837514285,0,970826.922376235,988374.9639863442,989148.4527995238,982489.1559874216,10907.235193449927,966186.0622612892,966186.0622612892,966186.0622612892,966186.0622612893,0,0,0,0,0,0,-22962.39053823476,-22188.901725054522,-4640.860114945861,-16303.093726132269,10907.235193449804,0,0,0,0,0,0,0,0,0,0,970826.922376235,988374.9639863442,989148.4527995238,982489.1559874216,10907.235193449927,966186.0622612892,966186.0622612892,966186.0622612892,966186.0622612893,0
Female,HIS,oil,FL,mrh-eq,-6909.14866423385,-6759.137654997623,-1312.8731922786783,-4900.803109915968,3356.409479000548,0,0,0,0,0,-6909.14866423385,-6759.137654997623,-1312.8731922786783,-4900.803109915968,3356.409479000548,-15082280.722101318,-14638577.059536373,-2988174.4813116267,-10706402.001410129,7218987.978304978,-5774.133638062678,-5650.871211151699,-1095.6185431027363,-4095.7869160155647,2806.601635506726,-1135.0150261711747,-1108.2664438459212,-217.25464917595042,-805.0161939004065,549.8092701239954,299596.8941317086,305043.1585944275,305193.1696036639,303184.8240493459,3356.4094790005943,298284.0209394299,298284.0209394299,298284.0209394299,298284.0209394299,0,250248.0180074889,254803.27067553805,254926.53310244886,253248.1863804018,2806.601635506787,249152.39946438617,249152.39946438617,249152.39946438617,249152.39946438617,0,49348.87612421965,50239.887918889646,50266.63650121488,49936.63766894412,549.8092701240093,49131.62147504371,49131.62147504371,49131.62147504371,49131.62147504371,0,0,0,0,0,0,-1135.0150261711747,-1108.2664438459212,-217.25464917595042,-805.0161939004065,549.8092701239954,0,0,0,0,0,0,0,0,0,0,49348.87612421965,50239.887918889646,50266.63650121488,49936.63766894412,549.8092701240093,49131.62147504371,49131.62147504371,49131.62147504371,49131.62147504371,0
Female,HIS,oil,Food_price,USD,-111760.47510587733,-92700.39623499445,-18831.843593101017,-73469.3528065697,51667.62915281948,0,0,0,0,0,-111760.47510587733,-92700.39623499445,-18831.843593101017,-73469.3528065697,51667.62915281948,-15082280.722101318,-14638577.059536373,-2988174.4813116267,-10706402.001410129,7218987.978304978,-93425.94511876567,-77479.5895910111,-15745.608279088683,-61413.755982531155,43186.993687673305,-18334.52998711161,-15220.806643983478,-3086.2353140124505,-12055.596824038605,8480.63989181133,4211868.281712016,4285736.834353905,4304796.91322479,4266505.790925483,51667.62915281745,4193036.4381189165,4193036.4381189165,4193036.4381189165,4193036.4381189165,0,3518493.375996795,3580227.357308718,3596173.7128364723,3564161.5237002373,43186.99368767377,3502747.767717707,3502747.767717707,3502747.767717707,3502747.7677177065,0,693374.9057152212,705509.4770451927,708623.2003883207,702344.2672252477,8480.639891811625,690288.6704012092,690288.6704012092,690288.6704012092,690288.6704012092,0,0,0,0,0,0,-18334.52998711161,-15220.806643983478,-3086.2353140124505,-12055.596824038605,8480.63989181133,0,0,0,0,0,0,0,0,0,0,693374.9057152212,705509.4770451927,708623.2003883207,702344.2672252477,8480.639891811625,690288.6704012092,690288.6704012092,690288.6704012092,690288.6704012092,0
Female,HIS,sat_fat,CED,MJ,-14033641.147326222,-13853455.134558916,-13642467.856450679,-13842647.67303578,206093.31641759793,0,0,0,0,0,-14033641.147326222,-13853455.134558916,-13642467.856450679,-13842647.67303578,206093.31641759793,-270612254.04545414,-266920951.56911075,-262903169.77955726,-266806397.42412475,4058625.4308117162,-10824378.646872437,-10684929.324768096,-10521935.55933796,-10676668.116583606,159341.2699077535,-3209262.500453802,-3168525.8097908297,-3120532.2971127066,-3165979.55645218,46752.139527298954,31846793.29869936,32057780.576807622,32237966.58957492,32046973.115284476,206093.31641760768,18204325.442248695,18204325.442248695,18204325.442248695,18204325.442248695,0,24563821.869474564,24726815.634904686,24866264.957009017,24718554.4267202,159341.2699077423,14041886.310136596,14041886.310136596,14041886.310136596,14041886.310136596,0,7282971.429224797,7330964.941902926,7371701.632565895,7328418.6885642735,46752.139527300475,4162439.1321120975,4162439.1321120975,4162439.1321120975,4162439.1321120975,0,0,0,0,0,0,-3209262.500453802,-3168525.8097908297,-3120532.2971127066,-3165979.55645218,46752.139527298954,0,0,0,0,0,0,0,0,0,0,7282971.429224797,7330964.941902926,7371701.632565895,7328418.6885642735,46752.139527300475,4162439.1321120975,4162439.1321120975,4162439.1321120975,4162439.1321120975,0
Female,HIS,sat_fat,FL,mrh-eq,-378396.58534042956,-373677.0350342024,-367981.03058547527,-373334.41954560595,5489.895067616544,0,0,0,0,0,-378396.58534042956,-373677.0350342024,-367981.03058547527,-373334.41954560595,5489.895067616544,-270612254.04545414,-266920951.56911075,-262903169.77955726,-266806397.42412475,4058625.4308117162,-291846.1133440068,-288192.5868988381,-283792.9266907455,-287930.785578514,4244.578981510866,-86550.47199642271,-85484.44813536436,-84188.10389472984,-85403.63396709201,1245.3198301283105,858723.2696423626,864419.2740910894,869138.8243973169,864076.6586024932,5489.895067616478,490742.2390568869,490742.2390568869,490742.2390568869,490742.2390568869,0,662304.16578499,666703.8259930824,670357.3524382504,666442.024672758,4244.578981510438,378511.23909424443,378511.23909424443,378511.23909424443,378511.2390942445,0,196419.10385737222,197715.4480980068,198781.47195906535,197634.6339297345,1245.3198301284383,112230.99996264241,112230.99996264241,112230.99996264241,112230.9999626424,0,0,0,0,0,0,-86550.47199642271,-85484.44813536436,-84188.10389472984,-85403.63396709201,1245.3198301283105,0,0,0,0,0,0,0,0,0,0,196419.10385737222,197715.4480980068,198781.47195906535,197634.6339297345,1245.3198301284383,112230.99996264241,112230.99996264241,112230.99996264241,112230.9999626424,0
Female,HIS,sat_fat,Food_price,USD,-1748180.1687503532,-1734586.0739725372,-1684995.6955850718,-1721955.799021783,35007.670154446794,0,0,0,0,0,-1748180.1687503532,-1734586.0739725372,-1684995.6955850718,-1721955.799021783,35007.670154446794,-270612254.04545414,-266920951.56911075,-262903169.77955726,-266806397.42412475,4058625.4308117162,-1347262.5712613296,-1336672.0307840863,-1298424.6854991012,-1326967.888746282,27043.13456985933,-400917.5974890219,-397914.043188451,-386571.01008597086,-394987.91027550044,7964.722640688018,3929498.495440811,3979088.873828277,3992682.9686060976,3966458.5988775245,35007.67015444903,2244502.7998557417,2244502.7998557417,2244502.7998557417,2244502.7998557417,0,3028289.264050794,3066536.6093357834,3077127.14981302,3056832.4672979754,27043.134569859358,1729864.5785516917,1729864.5785516917,1729864.5785516917,1729864.5785516917,0,901209.2313900192,912552.2644924994,915555.8187930692,909626.1315795485,7964.722640687661,514638.22130404785,514638.22130404785,514638.22130404785,514638.22130404785,0,0,0,0,0,0,-400917.5974890219,-397914.043188451,-386571.01008597086,-394987.91027550044,7964.722640688018,0,0,0,0,0,0,0,0,0,0,901209.2313900192,912552.2644924994,915555.8187930692,909626.1315795485,7964.722640687661,514638.22130404785,514638.22130404785,514638.22130404785,514638.22130404785,0
Female,NHB,added_sugar,CED,MJ,-6789272.6651401725,-6786106.786801693,-6557909.392322773,-6707148.360085748,139655.97993484026,0,0,0,0,0,-6789272.6651401725,-6786106.786801693,-6557909.392322773,-6707148.360085748,139655.97993484026,-266121526.28209978,-266051064.44761303,-256931532.94112492,-262875952.28199852,5563812.595297254,-4497116.246737432,-4495053.137615633,-4342848.814192436,-4442372.009790582,93133.46218604903,-2292156.418402742,-2291053.6491860626,-2215060.578130339,-2264776.3502951697,46522.52809805216,10966611.462231303,11194808.85671024,11197974.735048711,11115850.429994287,139655.97993484748,4408702.069908543,4408702.069908543,4408702.069908543,4408702.069908543,0,7262846.878649596,7415051.202072796,7417114.311194593,7362370.074247743,93133.46218605009,2919998.064457166,2919998.064457166,2919998.064457166,2919998.0644571655,0,3703764.5835817144,3779757.654637439,3780860.4238541164,3753480.355746545,46522.52809805227,1488704.0054513759,1488704.0054513759,1488704.0054513759,1488704.0054513759,0,0,0,0,0,0,-2292156.418402742,-2291053.6491860626,-2215060.578130339,-2264776.3502951697,46522.52809805216,0,0,0,0,0,0,0,0,0,0,3703764.5835817144,3779757.654637439,3780860.4238541164,3753480.355746545,46522.52809805227,1488704.0054513759,1488704.0054513759,1488704.0054513759,1488704.0054513759,0
