Foodgroup,sex_gp,race_gp,age_gp,subgroup_id,population,Intake_unit,outcome,outcome_unit,mean_impact,sd_impact,median_impact,lowerci_95_impact,upperci_95_impact
added_sugar,Female,NHW,20-34,1,18192633,tsp eq/day,CED,MJ,-3851270.407834133,157480.92386047062,-3861321.79570824,-3996376.721994921,-3697620.4139803546
added_sugar,Female,NHW,20-34,1,18192633,tsp eq/day,Food_price,USD,-8287064.844726173,412580.73936954304,-8502106.22559243,-8545422.947380243,-7845921.5683357855
added_sugar,Female,NHW,20-34,1,18192633,tsp eq/day,FL,mrh-eq,-177206.55890169422,7246.090161108124,-177669.0483321257,-183883.26240063197,-170136.73938688976
oil,Female,NHW,20-34,1,18192633,g/day,CED,MJ,-393998.3031118737,119662.19948155162,-363227.897165435,-517900.17256890994,-296251.2787093103
oil,Female,NHW,20-34,1,18192633,g/day,Food_price,USD,-248662.0848786012,84183.64880389176,-218892.63714818872,-337445.9272493971,-185182.27307865594
oil,Female,NHW,20-34,1,18192633,g/day,FL,mrh-eq,-21004.413668119494,6379.302444949545,-19364.01488941851,-27609.736837722015,-15793.429460412806
sat_fat,Female,NHW,20-34,1,18192633,g/day,CED,MJ,-12104386.314183593,316168.2038918328,-12110466.31719535,-12402120.450905716,-11801484.174901476
sat_fat,Female,NHW,20-34,1,18192633,g/day,Food_price,USD,-1440743.449711763,29364.539041517284,-1446369.596036185,-1465861.949483594,-1410842.7255641734
sat_fat,Female,NHW,20-34,1,18192633,g/day,FL,mrh-eq,-315492.2402283963,8240.69988727501,-315650.71119263896,-323252.4692353692,-307597.31090181717
added_sugar,Female,NHB,20-34,2,4596338,tsp eq/day,CED,MJ,-1244387.478560654,61127.78997683671,-1278106.411790858,-1281073.629028996,-1179040.2348466387
added_sugar,Female,NHB,20-34,2,4596338,tsp eq/day,Food_price,USD,-2221721.153199664,188729.53881976908,-2300364.263640317,-2355509.394705915,-2021086.2678188577
added_sugar,Female,NHB,20-34,2,4596338,tsp eq/day,FL,mrh-eq,-48914.2605576977,2402.8051533447206,-50239.681067117795,-50356.31615033587,-46345.59753205244
oil,Female,NHB,20-34,2,4596338,g/day,CED,MJ,-206231.35975192912,19155.39072636593,-215773.9523840432,-218592.71413029186,-185758.8016362694
oil,Female,NHB,20-34,2,4596338,g/day,Food_price,USD,-147765.45581005447,11258.67764538171,-153687.126399025,-154770.484743517,-135727.006875967
oil,Female,NHB,20-34,2,4596338,g/day,FL,mrh-eq,-10624.07848579788,986.7964539817451,-11115.668383685,-11260.877851638566,-9569.427706753142
sat_fat,Female,NHB,20-34,2,4596338,g/day,CED,MJ,-2722851.8889419334,95440.05953484472,-2667815.50235081,-2824794.498342619,-2667690.2081437027
sat_fat,Female,NHB,20-34,2,4596338,g/day,Food_price,USD,-303838.9350684679,3739.0792938260583,-301886.5882037896,-307836.8962027993,-301500.4687691131
sat_fat,Female,NHB,20-34,2,4596338,g/day,FL,mrh-eq,-71341.57465469974,2500.629637625992,-69899.5636152226,-74012.57791734139,-69896.28077561365
added_sugar,Female,HIS,20-34,3,6549965,tsp eq/day,CED,MJ,-1520321.7123873834,108816.22211273134,-1575125.8709543692,-1590054.051462475,-1404005.8385303537
added_sugar,Female,HIS,20-34,3,6549965,tsp eq/day,Food_price,USD,-2313260.0294924667,183957.05155802998,-2388130.224787449,-2444983.8407656956,-2117896.552218503
added_sugar,Female,HIS,20-34,3,6549965,tsp eq/day,FL,mrh-eq,-65900.6978659921,4716.807579567466,-68276.2689481491,-68923.35403898082,-60858.80627316992
oil,Female,HIS,20-34,3,6549965,g/day,CED,MJ,-36978.313536296526,16352.254247237794,-35333.4651510339,-53152.96082762956,-22201.78737243671
oil,Female,HIS,20-34,3,6549965,g/day,Food_price,USD,-29659.521354402394,13343.287316868486,-25603.73167986384,-43612.29101478607,-19154.17291737649
oil,Female,HIS,20-34,3,6549965,g/day,FL,mrh-eq,-1908.7252088970201,844.0612055863404,-1823.8223759248658,-2743.6188013179258,-1145.9990245024458
sat_fat,Female,HIS,20-34,3,6549965,g/day,CED,MJ,-3824679.0664481865,77563.61014086529,-3807388.77119027,-3904326.7354401927,-3759728.1484254096
sat_fat,Female,HIS,20-34,3,6549965,g/day,Food_price,USD,-567660.2515546038,16145.85125809195,-561070.9895201584,-584809.2965917632,-556112.0792467232
sat_fat,Female,HIS,20-34,3,6549965,g/day,FL,mrh-eq,-104701.48490025348,2123.3219872523373,-104228.15901946311,-106881.85848648779,-102923.43831269095
