Foodgroup,sex_gp,race_gp,age_gp,subgroup_id,population,Intake_unit,outcome,outcome_unit,mean_impact,sd_impact,median_impact,lowerci_95_impact,upperci_95_impact
added_sugar,Female,NHW,20-34,1,18192633,tsp eq/day,CED,MJ,-233379298.7998227,9543029.622158755,-233988392.84039,-242172451.7764052,-224068415.88875797
added_sugar,Female,NHW,20-34,1,18192633,tsp eq/day,Food_price,USD,-233379298.7998227,9543029.622158755,-233988392.84039,-242172451.7764052,-224068415.88875797
added_sugar,Female,NHW,20-34,1,18192633,tsp eq/day,FL,mrh-eq,-233379298.7998227,9543029.622158755,-233988392.84039,-242172451.7764052,-224068415.88875797
oil,Female,NHW,20-34,1,18192633,g/day,CED,MJ,-50572922.97520723,15359627.565974738,-46623288.2748688,-66476747.05527104,-38026288.3904311
oil,Female,NHW,20-34,1,18192633,g/day,Food_price,USD,-50572922.97520723,15359627.565974738,-46623288.2748688,-66476747.05527104,-38026288.3904311
oil,Female,NHW,20-34,1,18192633,g/day,FL,mrh-eq,-50572922.97520723,15359627.565974738,-46623288.2748688,-66476747.05527104,-38026288.3904311
sat_fat,Female,NHW,20-34,1,18192633,g/day,CED,MJ,-300419581.2269447,7847000.000253227,-300570481.232219,-307809064.86943376,-292901832.5799723
sat_fat,Female,NHW,20-34,1,18192633,g/day,Food_price,USD,-300419581.2269447,7847000.000253227,-300570481.232219,-307809064.86943376,-292901832.5799723
sat_fat,Female,NHW,20-34,1,18192633,g/day,FL,mrh-eq,-300419581.2269447,7847000.000253227,-300570481.232219,-307809064.86943376,-292901832.5799723
added_sugar,Female,NHB,20-34,2,4596338,tsp eq/day,CED,MJ,-72899941.62997887,3581048.827681398,-74875297.6237167,-75049126.08727038,-69071704.5780102
added_sugar,Female,NHB,20-34,2,4596338,tsp eq/day,Food_price,USD,-72899941.62997887,3581048.827681398,-74875297.6237167,-75049126.08727038,-69071704.5780102
added_sugar,Female,NHB,20-34,2,4596338,tsp eq/day,FL,mrh-eq,-72899941.62997887,3581048.827681398,-74875297.6237167,-75049126.08727038,-69071704.5780102
oil,Female,NHB,20-34,2,4596338,g/day,CED,MJ,-26662191.698292483,2476464.7831270746,-27895885.906400196,-28260303.646363255,-24015439.673330154
oil,Female,NHB,20-34,2,4596338,g/day,Food_price,USD,-26662191.698292483,2476464.7831270746,-27895885.906400196,-28260303.646363255,-24015439.673330154
oil,Female,NHB,20-34,2,4596338,g/day,FL,mrh-eq,-26662191.698292483,2476464.7831270746,-27895885.906400196,-28260303.646363255,-24015439.673330154
sat_fat,Female,NHB,20-34,2,4596338,g/day,CED,MJ,-73240889.92700014,2567203.4984371373,-71760488.4594541,-75983002.88008042,-71757118.221334
sat_fat,Female,NHB,20-34,2,4596338,g/day,Food_price,USD,-73240889.92700014,2567203.4984371373,-71760488.4594541,-75983002.88008042,-71757118.221334
sat_fat,Female,NHB,20-34,2,4596338,g/day,FL,mrh-eq,-73240889.92700014,2567203.4984371373,-71760488.4594541,-75983002.88008042,-71757118.221334
added_sugar,Female,HIS,20-34,3,6549965,tsp eq/day,CED,MJ,-89794156.84841497,6426969.263432368,-93031033.0767902,-93912730.26698633,-82924238.63572466
added_sugar,Female,HIS,20-34,3,6549965,tsp eq/day,Food_price,USD,-89794156.84841497,6426969.263432368,-93031033.0767902,-93912730.26698633,-82924238.63572466
added_sugar,Female,HIS,20-34,3,6549965,tsp eq/day,FL,mrh-eq,-89794156.84841497,6426969.263432368,-93031033.0767902,-93912730.26698633,-82924238.63572466
oil,Female,HIS,20-34,3,6549965,g/day,CED,MJ,-4699303.6842970895,2078088.5141011095,-4490271.92114253,-6754821.428062202,-2821462.939213352
oil,Female,HIS,20-34,3,6549965,g/day,Food_price,USD,-4699303.6842970895,2078088.5141011095,-4490271.92114253,-6754821.428062202,-2821462.939213352
oil,Female,HIS,20-34,3,6549965,g/day,FL,mrh-eq,-4699303.6842970895,2078088.5141011095,-4490271.92114253,-6754821.428062202,-2821462.939213352
sat_fat,Female,HIS,20-34,3,6549965,g/day,CED,MJ,-95253534.85784493,1931719.7374979362,-94822920.4942766,-97237158.02801627,-93635933.89670667
sat_fat,Female,HIS,20-34,3,6549965,g/day,Food_price,USD,-95253534.85784493,1931719.7374979362,-94822920.4942766,-97237158.02801627,-93635933.89670667
sat_fat,Female,HIS,20-34,3,6549965,g/day,FL,mrh-eq,-95253534.85784493,1931719.7374979362,-94822920.4942766,-97237158.02801627,-93635933.89670667
