age_gp,sex_gp,outcome,outcome_unit,X1,X2,X3
20-34,Female,CED,MJ,0.348769066812895,0.348769066812895,0.348769066812895
20-34,Female,Food_price,USD,0.248102208374433,0.248102208374433,0.248102208374433
20-34,Female,FL,mrh-eq,0.0122481624421015,0.0122481624421015,0.0122481624421015
20-34,Male,CED,MJ,0.366802845823672,0.366802845823672,0.366802845823672
20-34,Male,Food_price,USD,0.244937709920283,0.244937709920283,0.244937709920283
20-34,Male,FL,mrh-eq,0.0124701332017026,0.0124701332017026,0.0124701332017026
35-44,Female,CED,MJ,0.350326376968423,0.350326376968423,0.350326376968423
35-44,Female,Food_price,USD,0.20945892674833,0.20945892674833,0.20945892674833
35-44,Female,FL,mrh-eq,0.0124569135753595,0.0124569135753595,0.0124569135753595
35-44,Male,CED,MJ,0.374545238646946,0.374545238646946,0.374545238646946
35-44,Male,Food_price,USD,0.230734735649612,0.230734735649612,0.230734735649612
35-44,Male,FL,mrh-eq,0.0129607582663561,0.0129607582663561,0.0129607582663561
45-54,Female,CED,MJ,0.350306548666015,0.350306548666015,0.350306548666015
45-54,Female,Food_price,USD,0.215179236252003,0.215179236252003,0.215179236252003
45-54,Female,FL,mrh-eq,0.0124469554209806,0.0124469554209806,0.0124469554209806
45-54,Male,CED,MJ,0.373827657447151,0.373827657447151,0.373827657447151
45-54,Male,Food_price,USD,0.216081948113996,0.216081948113996,0.216081948113996
45-54,Male,FL,mrh-eq,0.0132603756140969,0.0132603756140969,0.0132603756140969
55-64,Female,CED,MJ,0.353961948079114,0.353961948079114,0.353961948079114
55-64,Female,Food_price,USD,0.227902804575234,0.227902804575234,0.227902804575234
55-64,Female,FL,mrh-eq,0.012716190971557,0.012716190971557,0.012716190971557
55-64,Male,CED,MJ,0.380591796327536,0.380591796327536,0.380591796327536
55-64,Male,Food_price,USD,0.20273164493544,0.20273164493544,0.20273164493544
55-64,Male,FL,mrh-eq,0.013570910438636,0.013570910438636,0.013570910438636
65-74,Female,CED,MJ,0.358332447980475,0.358332447980475,0.358332447980475
65-74,Female,Food_price,USD,0.226555765052834,0.226555765052834,0.226555765052834
65-74,Female,FL,mrh-eq,0.0128295664414305,0.0128295664414305,0.0128295664414305
65-74,Male,CED,MJ,0.372922533792545,0.372922533792545,0.372922533792545
65-74,Male,Food_price,USD,0.206029210963815,0.206029210963815,0.206029210963815
65-74,Male,FL,mrh-eq,0.0133308376950985,0.0133308376950985,0.0133308376950985
75+,Female,CED,MJ,0.339767521805912,0.339767521805912,0.339767521805912
75+,Female,Food_price,USD,0.212573878831142,0.212573878831142,0.212573878831142
75+,Female,FL,mrh-eq,0.0125893215593184,0.0125893215593184,0.0125893215593184
75+,Male,CED,MJ,0.359636351053166,0.359636351053166,0.359636351053166
75+,Male,Food_price,USD,0.202804710639094,0.202804710639094,0.202804710639094
75+,Male,FL,mrh-eq,0.0128986390639241,0.0128986390639241,0.0128986390639241
