race_gp,outcome,outcome_unit,X1,X2,X3
HIS,CED,MJ,0.365361878345746,0.365361878345746,0.365361878345746
HIS,Food_price,USD,0.208110544976676,0.208110544976676,0.208110544976676
HIS,FL,mrh-eq,0.0128090978858915,0.0128090978858915,0.0128090978858915
NHB,CED,MJ,0.351610917183742,0.351610917183742,0.351610917183742
NHB,Food_price,USD,0.207341184091056,0.207341184091056,0.207341184091056
NHB,FL,mrh-eq,0.0120240488923224,0.0120240488923224,0.0120240488923224
NHW,CED,MJ,0.363065770499148,0.363065770499148,0.363065770499148
NHW,Food_price,USD,0.232627765433263,0.232627765433263,0.232627765433263
NHW,FL,mrh-eq,0.012860211814709,0.012860211814709,0.012860211814709
OTH,CED,MJ,0.35191857416897,0.35191857416897,0.35191857416897
OTH,Food_price,USD,0.219045234489029,0.219045234489029,0.219045234489029
OTH,FL,mrh-eq,0.0128638136278456,0.0128638136278456,0.0128638136278456
