race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
HIS,added_sugar,CED,MJ,0.0959748882036002,0.0959748882036002,0.0959748882036002
HIS,added_sugar,Food_price,USD,0.149119495217328,0.149119495217328,0.149119495217328
HIS,added_sugar,FL,mrh-eq,0.00429449785689682,0.00429449785689682,0.00429449785689682
HIS,oil,CED,MJ,0.0491250976144257,0.0491250976144257,0.0491250976144257
HIS,oil,Food_price,USD,0.0335983651800591,0.0335983651800591,0.0335983651800591
HIS,oil,FL,mrh-eq,0.00248975625193633,0.00248975625193633,0.00248975625193633
HIS,sat_fat,CED,MJ,0.22026189252772,0.22026189252772,0.22026189252772
HIS,sat_fat,Food_price,USD,0.0253926845792893,0.0253926845792893,0.0253926845792893
HIS,sat_fat,FL,mrh-eq,0.00602484377705837,0.00602484377705837,0.00602484377705837
NHB,added_sugar,CED,MJ,0.09781833710754,0.09781833710754,0.09781833710754
NHB,added_sugar,Food_price,USD,0.160145879782621,0.160145879782621,0.160145879782621
NHB,added_sugar,FL,mrh-eq,0.00411658840415699,0.00411658840415699,0.00411658840415699
NHB,oil,CED,MJ,0.0493067641905352,0.0493067641905352,0.0493067641905352
NHB,oil,Food_price,USD,0.0244803994814579,0.0244803994814579,0.0244803994814579
NHB,oil,FL,mrh-eq,0.00243445330825831,0.00243445330825831,0.00243445330825831
NHB,sat_fat,CED,MJ,0.204485815885667,0.204485815885667,0.204485815885667
NHB,sat_fat,Food_price,USD,0.0227149048269766,0.0227149048269766,0.0227149048269766
NHB,sat_fat,FL,mrh-eq,0.00547300717990706,0.00547300717990706,0.00547300717990706
NHW,added_sugar,CED,MJ,0.0959664434427833,0.0959664434427833,0.0959664434427833
NHW,added_sugar,Food_price,USD,0.170581503113178,0.170581503113178,0.170581503113178
NHW,added_sugar,FL,mrh-eq,0.00444545484782752,0.00444545484782752,0.00444545484782752
NHW,oil,CED,MJ,0.0494219847330489,0.0494219847330489,0.0494219847330489
NHW,oil,Food_price,USD,0.037879600109458,0.037879600109458,0.037879600109458
NHW,oil,FL,mrh-eq,0.00251679720389528,0.00251679720389528,0.00251679720389528
NHW,sat_fat,CED,MJ,0.217677342323316,0.217677342323316,0.217677342323316
NHW,sat_fat,Food_price,USD,0.0241666622106269,0.0241666622106269,0.0241666622106269
NHW,sat_fat,FL,mrh-eq,0.00589795976298621,0.00589795976298621,0.00589795976298621
OTH,added_sugar,CED,MJ,0.0946956031949559,0.0946956031949559,0.0946956031949559
OTH,added_sugar,Food_price,USD,0.156356803607854,0.156356803607854,0.156356803607854
OTH,added_sugar,FL,mrh-eq,0.00466212181795763,0.00466212181795763,0.00466212181795763
OTH,oil,CED,MJ,0.0497760272639519,0.0497760272639519,0.0497760272639519
OTH,oil,Food_price,USD,0.0345109851333346,0.0345109851333346,0.0345109851333346
OTH,oil,FL,mrh-eq,0.00262369325689846,0.00262369325689846,0.00262369325689846
OTH,sat_fat,CED,MJ,0.207446943710063,0.207446943710063,0.207446943710063
OTH,sat_fat,Food_price,USD,0.0281774457478406,0.0281774457478406,0.0281774457478406
OTH,sat_fat,FL,mrh-eq,0.00557799855298948,0.00557799855298948,0.00557799855298948
