sex_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
Female,HIS,added_sugar,CED,MJ,-0.192963885227188,-0.20608692505021,-0.212584013618992
Female,HIS,added_sugar,Food_price,USD,-0.294067556745923,-0.310829849873098,-0.33011675132117
Female,HIS,added_sugar,FL,mrh-eq,-0.00913319758303615,-0.00973106897589319,-0.0100328319392967
Female,HIS,oil,CED,MJ,-0.000960706419721971,-0.0058032814937834,-0.00600271452278315
Female,HIS,oil,Food_price,USD,-0.000640762102379322,-0.00483349898688011,-0.00397280661974261
Female,HIS,oil,FL,mrh-eq,-4.38851015311337e-05,-0.000289751387087638,-0.000296404382489156
Female,HIS,sat_fat,CED,MJ,-0.539077894808712,-0.55540202959182,-0.547875358878326
Female,HIS,sat_fat,Food_price,USD,-0.0664741886353854,-0.0691101762395449,-0.068538559901457
Female,HIS,sat_fat,FL,mrh-eq,-0.0145397578434971,-0.0149744224457965,-0.0147772261447973
Female,NHB,added_sugar,CED,MJ,-0.292449606430634,-0.292308383559967,-0.281889772515758
Female,NHB,added_sugar,Food_price,USD,-0.488730595704717,-0.479695445788536,-0.475383470747294
Female,NHB,added_sugar,FL,mrh-eq,-0.0126856359746816,-0.0127007304994176,-0.012150385693868
Female,NHB,oil,CED,MJ,-0.0384321815963844,-0.0439795004823564,-0.0381019893546538
Female,NHB,oil,Food_price,USD,-0.0207447524863944,-0.0255861124713305,-0.0233949894937331
Female,NHB,oil,FL,mrh-eq,-0.001909183827752,-0.00218711548436542,-0.00189994857095137
Female,NHB,sat_fat,CED,MJ,-0.535725587608759,-0.535841342842371,-0.527953205774101
Female,NHB,sat_fat,Food_price,USD,-0.0627382799713695,-0.0630512085784197,-0.0629412461439099
Female,NHB,sat_fat,FL,mrh-eq,-0.0140924704525391,-0.0140949716031428,-0.0138896793717959
Female,NHW,added_sugar,CED,MJ,-0.219895547689398,-0.23065699618576,-0.221541391184697
Female,NHW,added_sugar,Food_price,USD,-0.395749981272555,-0.413664376126686,-0.398489129040263
Female,NHW,added_sugar,FL,mrh-eq,-0.0105114050493517,-0.0109721367225594,-0.0105753311056015
Female,NHW,oil,CED,MJ,-0.0292377741170529,-0.0199129467941281,-0.0248813519858733
Female,NHW,oil,Food_price,USD,-0.0244484038859305,-0.0150999983790492,-0.0165248491162743
Female,NHW,oil,FL,mrh-eq,-0.00148852513863338,-0.00100186776755566,-0.0012490161728484
Female,NHW,sat_fat,CED,MJ,-0.69962315994062,-0.732273614574362,-0.728874069716246
Female,NHW,sat_fat,Food_price,USD,-0.0777303368733943,-0.0810073361764669,-0.0810506062064562
Female,NHW,sat_fat,FL,mrh-eq,-0.0186263970567147,-0.0194907531424277,-0.0194050995541184
Female,OTH,added_sugar,CED,MJ,-0.160222223964534,-0.166100500421811,-0.169384168727663
Female,OTH,added_sugar,Food_price,USD,-0.281026906911237,-0.288892618007307,-0.285811930889214
Female,OTH,added_sugar,FL,mrh-eq,-0.00777353813803608,-0.00809485923406071,-0.00820679326094837
Female,OTH,oil,CED,MJ,-0.0311347460956935,-0.0224173406294303,-0.0282698533470582
Female,OTH,oil,Food_price,USD,-0.0260251103457984,-0.0168794095376984,-0.0247722164360647
Female,OTH,oil,FL,mrh-eq,-0.00163659108005657,-0.00119864646372502,-0.00149755739658764
Female,OTH,sat_fat,CED,MJ,-0.515965364877348,-0.538767744993841,-0.520320442041809
Female,OTH,sat_fat,Food_price,USD,-0.0704258769652792,-0.0740168556273284,-0.073011230745297
Female,OTH,sat_fat,FL,mrh-eq,-0.0135573927470305,-0.014149078910711,-0.0136526146582207
Male,HIS,added_sugar,CED,MJ,-0.187555589119273,-0.175550728581062,-0.187031303486942
Male,HIS,added_sugar,Food_price,USD,-0.291478917828528,-0.275739273075964,-0.290488404770026
Male,HIS,added_sugar,FL,mrh-eq,-0.00777226748921606,-0.0073271356645301,-0.00783289811149335
Male,HIS,oil,CED,MJ,0.0350057535560162,0.0340046298117705,0.028356284809099
Male,HIS,oil,Food_price,USD,0.0241453128114401,0.0216181016789716,0.0204156738544205
Male,HIS,oil,FL,mrh-eq,0.00176863499476048,0.00172191926655249,0.00143505142656715
Male,HIS,sat_fat,CED,MJ,-0.501959079941809,-0.519356052497923,-0.499587283834847
Male,HIS,sat_fat,Food_price,USD,-0.053926870769948,-0.0560100718068937,-0.0536391141171065
Male,HIS,sat_fat,FL,mrh-eq,-0.0139164612912497,-0.014404498293717,-0.0138503999382998
Male,NHB,added_sugar,CED,MJ,-0.232602114399725,-0.247211734615392,-0.245266634637614
