age_gp,outcome,outcome_unit,X1,X2,X3
20-34,CED,MJ,-1.06933310030697,-1.05214666023181,-1.06933684848403
20-34,Food_price,USD,-0.653512830921218,-0.631602092817712,-0.669604735019303
20-34,FL,mrh-eq,-0.0332849927029095,-0.0325835801741546,-0.033284922913055
35-44,CED,MJ,-1.07674886603957,-1.1398011464451,-1.12556470060729
35-44,Food_price,USD,-0.622817648166325,-0.649554213031601,-0.653281362813039
35-44,FL,mrh-eq,-0.034733850522623,-0.0368622784096528,-0.0364819107971019
45-54,CED,MJ,-1.10076308325125,-1.14804243099651,-1.11015036227857
45-54,Food_price,USD,-0.614887980189571,-0.681208038711679,-0.609226676852296
45-54,FL,mrh-eq,-0.0359728798996668,-0.037637192524071,-0.0359547885109024
55-64,CED,MJ,-1.11907124901237,-1.19188188242135,-1.14997923949426
55-64,Food_price,USD,-0.580767844657513,-0.640557982052349,-0.596829852678137
55-64,FL,mrh-eq,-0.036752118193261,-0.0394606409342627,-0.0378339989450423
65-74,CED,MJ,-1.20068739934518,-1.18426357251562,-1.19569735330497
65-74,Food_price,USD,-0.592748001169911,-0.599546665747901,-0.585727639738129
65-74,FL,mrh-eq,-0.0397087958478007,-0.0390367804028153,-0.0394031080816861
75+,CED,MJ,-1.26252775275863,-1.259864837948,-1.25512768774154
75+,Food_price,USD,-0.643489828825017,-0.622731352944239,-0.637042928202839
75+,FL,mrh-eq,-0.042442115410219,-0.0419974381062188,-0.0423136294644895
