age_gp,sex_gp,outcome,outcome_unit,X1,X2,X3
20-34,Female,CED,MJ,-0.289659287509313,-0.290361391266975,-0.298120231367651
20-34,Female,Food_price,USD,-0.241877293791822,-0.230531050410269,-0.251174921545813
20-34,Female,FL,mrh-eq,-0.00975301893142478,-0.00968552537272589,-0.0100589226097818
20-34,Male,CED,MJ,-0.262858612448778,-0.253930555291264,-0.256793529347427
20-34,Male,Food_price,USD,-0.179559238271964,-0.177533566391817,-0.18161736736914
20-34,Male,FL,mrh-eq,-0.00815267028138737,-0.00789877793807039,-0.00796195523317685
35-44,Female,CED,MJ,-0.28472094458799,-0.307715135420656,-0.301400723258693
35-44,Female,Food_price,USD,-0.198604689330997,-0.212321793457018,-0.209695493252844
35-44,Female,FL,mrh-eq,-0.0098324007285466,-0.010678687897063,-0.0103906725272799
35-44,Male,CED,MJ,-0.280511629761898,-0.287727035570238,-0.284766927918025
35-44,Male,Food_price,USD,-0.205305115339898,-0.2056014391445,-0.210818148437785
35-44,Male,FL,mrh-eq,-0.00923448726941689,-0.00942176863145108,-0.00941514133970764
45-54,Female,CED,MJ,-0.290572666465339,-0.317575588242769,-0.29985886729629
45-54,Female,Food_price,USD,-0.209075803894595,-0.246904171808065,-0.211969531386094
45-54,Female,FL,mrh-eq,-0.00998525020335762,-0.0110343883269816,-0.0102299174797735
45-54,Male,CED,MJ,-0.28472665240928,-0.286636314099202,-0.276979236101076
45-54,Male,Food_price,USD,-0.183373339543815,-0.190244268949813,-0.176516906310017
45-54,Male,FL,mrh-eq,-0.00965448775137251,-0.00970522639867495,-0.00928405665091444
55-64,Female,CED,MJ,-0.303428543718336,-0.322375086181317,-0.313788487199005
55-64,Female,Food_price,USD,-0.211620485233827,-0.228945467033108,-0.219687248997598
55-64,Female,FL,mrh-eq,-0.0104964987341714,-0.0111683636144655,-0.0109021076037655
55-64,Male,CED,MJ,-0.279576022529148,-0.303345213161668,-0.28964322145269
55-64,Male,Food_price,USD,-0.153599661328488,-0.178004975154974,-0.159519447504605
55-64,Male,FL,mrh-eq,-0.00944350769666889,-0.0104660458653649,-0.00984312768508353
65-74,Female,CED,MJ,-0.32443317085374,-0.314542585662904,-0.315280026059893
65-74,Female,Food_price,USD,-0.211355346809479,-0.203682183654072,-0.196179682472267
65-74,Female,FL,mrh-eq,-0.0113809241235953,-0.0109530695006994,-0.0108930417196782
65-74,Male,CED,MJ,-0.290199144899607,-0.297129465366852,-0.299952386429706
65-74,Male,Food_price,USD,-0.15269467483287,-0.171623388357883,-0.16875737328889
65-74,Male,FL,mrh-eq,-0.00982307856080024,-0.0101657403952145,-0.0103202799760111
75+,Female,CED,MJ,-0.317073010254287,-0.31633561373633,-0.311113336432919
75+,Female,Food_price,USD,-0.226128497136195,-0.21250908039287,-0.210769564974171
75+,Female,FL,mrh-eq,-0.0118501381034113,-0.0115546826744645,-0.0114930360928589
75+,Male,CED,MJ,-0.318523939706497,-0.313602152393875,-0.324749764492028
75+,Male,Food_price,USD,-0.174081742195519,-0.174674347258282,-0.191624956130617
75+,Male,FL,mrh-eq,-0.0108462689316564,-0.0107846295438766,-0.0113800590922146
