age_gp,sex_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,Female,added_sugar,CED,MJ,0.403709063573069,0.399835213382401,0.415606475329651
20-34,Female,added_sugar,Food_price,USD,0.791548188952221,0.771322432958386,0.809471301627548
20-34,Female,added_sugar,FL,mrh-eq,0.0179048024304442,0.0177336813857341,0.0184349889782605
20-34,Female,oil,CED,MJ,0.280621001510858,0.27127443917314,0.275362047766273
20-34,Female,oil,Food_price,USD,0.199324155551366,0.192265804036075,0.195907602149925
20-34,Female,oil,FL,mrh-eq,0.0147262798308594,0.014233114183297,0.0144472427812558
20-34,Female,sat_fat,CED,MJ,1.31848169455348,1.33512724585384,1.33072848031309
20-34,Female,sat_fat,Food_price,USD,0.163905660541635,0.165282178697031,0.166860171703598
20-34,Female,sat_fat,FL,mrh-eq,0.0347854346564617,0.0352183556334021,0.0351098208474631
20-34,Male,added_sugar,CED,MJ,0.364228520673134,0.363091587092331,0.36328429658034
20-34,Male,added_sugar,Food_price,USD,0.68699866582033,0.684748758374309,0.691641234238388
20-34,Male,added_sugar,FL,mrh-eq,0.014552584472867,0.0145178825302593,0.0145123758702708
20-34,Male,oil,CED,MJ,0.231954573219055,0.229954673164489,0.227910687124565
20-34,Male,oil,Food_price,USD,0.145062030832163,0.145230364523564,0.145126706475483
20-34,Male,oil,FL,mrh-eq,0.0119305783184291,0.0118280503351659,0.0117254251370991
20-34,Male,sat_fat,CED,MJ,1.29137797954466,1.26552681444975,1.27584175662163
20-34,Male,sat_fat,Food_price,USD,0.146321095441809,0.143440245061305,0.145273138425663
20-34,Male,sat_fat,FL,mrh-eq,0.0351929464832252,0.034491134285883,0.034771600692232
35-44,Female,added_sugar,CED,MJ,0.39419269203766,0.413547616037381,0.397882217255516
35-44,Female,added_sugar,Food_price,USD,0.659897488453357,0.681033477112446,0.675163204918376
35-44,Female,added_sugar,FL,mrh-eq,0.0185687931804349,0.0194805450012875,0.0187458554060505
35-44,Female,oil,CED,MJ,0.277076758899458,0.283943358590926,0.294472033892983
35-44,Female,oil,Food_price,USD,0.141899508519294,0.146436518864847,0.152352327328342
35-44,Female,oil,FL,mrh-eq,0.0138132010288168,0.0141617852122421,0.0146591515086188
