race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
HIS,added_sugar,CED,MJ,0.378819087864668,0.379502685209103,0.388466823978737
HIS,added_sugar,Food_price,USD,0.585623064754831,0.586295434693621,0.603335935725239
HIS,added_sugar,FL,mrh-eq,0.0169003919871844,0.0169819298088679,0.017384681705088
HIS,oil,CED,MJ,0.233261847968136,0.236202731608986,0.239099621492437
HIS,oil,Food_price,USD,0.159465117818662,0.162833344438032,0.162993989491928
HIS,oil,FL,mrh-eq,0.0118213854284263,0.0119686632180439,0.0121140351828275
HIS,sat_fat,CED,MJ,1.23441053968809,1.25126577749112,1.23767871688942
HIS,sat_fat,Food_price,USD,0.142602029130225,0.144964362485245,0.143501991132929
HIS,sat_fat,FL,mrh-eq,0.0337386379257918,0.0341997242701503,0.0338258453767897
NHB,added_sugar,CED,MJ,0.457072936437688,0.463605093704978,0.457019955779458
NHB,added_sugar,Food_price,USD,0.74882462251333,0.756887602745238,0.751311157422346
NHB,added_sugar,FL,mrh-eq,0.0193000379051271,0.019569857039584,0.0192289342423192
NHB,oil,CED,MJ,0.266580904526343,0.271126547628775,0.265369789891167
NHB,oil,Food_price,USD,0.134752178750781,0.135749100887844,0.1348036965659
NHB,oil,FL,mrh-eq,0.0131659413371492,0.0133887234482618,0.0131096648332065
NHB,sat_fat,CED,MJ,1.2004255482333,1.19642914520372,1.1865435472245
NHB,sat_fat,Food_price,USD,0.133138759944088,0.132776021742801,0.132274151256559
NHB,sat_fat,FL,mrh-eq,0.0320895962376145,0.0319844903907652,0.0317165872972825
NHW,added_sugar,CED,MJ,0.392891909070077,0.405221492510967,0.397486253649982
NHW,added_sugar,Food_price,USD,0.696341750432877,0.715810271795544,0.704203026704671
NHW,added_sugar,FL,mrh-eq,0.0182636009342161,0.0188183811369898,0.0184783373299498
NHW,oil,CED,MJ,0.261680947060729,0.255587089986104,0.257591061803694
NHW,oil,Food_price,USD,0.201227329294081,0.197126651641459,0.196577080779812
NHW,oil,FL,mrh-eq,0.0133272637029555,0.0130114415100303,0.0131104523750898
NHW,sat_fat,CED,MJ,1.40652265715919,1.42339500650467,1.42566042772861
NHW,sat_fat,Food_price,USD,0.156028910333555,0.157839334332711,0.158279844118175
NHW,sat_fat,FL,mrh-eq,0.0380458179211312,0.0384969670646662,0.0385636452982581
OTH,added_sugar,CED,MJ,0.326904633567354,0.331732777209746,0.328373324173427
OTH,added_sugar,Food_price,USD,0.539394856925293,0.547659824320053,0.538693585802838
OTH,added_sugar,FL,mrh-eq,0.016011667734816,0.0163068513301472,0.0161466144640493
OTH,oil,CED,MJ,0.266418111997246,0.259132568300566,0.260316988715261
OTH,oil,Food_price,USD,0.187335350975166,0.17997219611296,0.184768618817116
OTH,oil,FL,mrh-eq,0.014023467143419,0.0136625318263283,0.0137108649584235
OTH,sat_fat,CED,MJ,1.19698706928782,1.19435050236122,1.17170392904532
OTH,sat_fat,Food_price,USD,0.162651798780538,0.162433966651162,0.160563558138946
OTH,sat_fat,FL,mrh-eq,0.0321211397532305,0.032030694332498,0.0314059036509463
