age_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,added_sugar,CED,MJ,0.579471074339836,0.575708696200927,0.587602163575892
20-34,added_sugar,Food_price,USD,1.11534687248494,1.09855111937216,1.13224215111111
20-34,added_sugar,FL,mrh-eq,0.0244724133893955,0.0243181639624917,0.0248362007228327
20-34,oil,CED,MJ,0.306515098746147,0.299777104255424,0.300951760143286
20-34,oil,Food_price,USD,0.205759154274013,0.201687675632569,0.203777488336552
20-34,oil,FL,mrh-eq,0.015938420205972,0.015584707527318,0.0156489482973333
20-34,sat_fat,CED,MJ,1.69238372171876,1.68569765427324,1.68981971926263
20-34,sat_fat,Food_price,USD,0.201032003362677,0.199988497013394,0.202210294772053
20-34,sat_fat,FL,mrh-eq,0.0453980247355089,0.0452045743123118,0.0453236395208558
35-44,added_sugar,CED,MJ,0.597190345349625,0.609341414063629,0.603498202018368
35-44,added_sugar,Food_price,USD,1.03867282685342,1.05222405162016,1.05743268221534
35-44,added_sugar,FL,mrh-eq,0.0269187985934632,0.0274868354509111,0.0271875757364798
35-44,oil,CED,MJ,0.299907249888723,0.308087281472064,0.316123948826834
35-44,oil,Food_price,USD,0.167421849024703,0.173613474472758,0.176853830611013
35-44,oil,FL,mrh-eq,0.0149210861251196,0.0153212725448609,0.0157034079705783
35-44,sat_fat,CED,MJ,1.69665135339001,1.7393725334982,1.72294263235088
35-44,sat_fat,Food_price,USD,0.187773409702712,0.194767124353194,0.190045287401194
35-44,sat_fat,FL,mrh-eq,0.0460551841355122,0.0472153887453528,0.0467521454215159
45-54,added_sugar,CED,MJ,0.60795546047572,0.642028846686164,0.598783023683241
45-54,added_sugar,Food_price,USD,0.980895522777918,1.04969308972567,0.975261311417283
45-54,added_sugar,FL,mrh-eq,0.0275062462453345,0.0290123894985234,0.0270491010719152
45-54,oil,CED,MJ,0.308708853997854,0.302024792870202,0.306859865124353
45-54,oil,Food_price,USD,0.220031603998434,0.21685775224976,0.218416971274239
45-54,oil,FL,mrh-eq,0.0163333271075018,0.0159624933129225,0.0162294138740416
45-54,sat_fat,CED,MJ,1.7058181943768,1.72570821703927,1.72622689907009
45-54,sat_fat,Food_price,USD,0.195858342849746,0.196554686172777,0.1974458835973
45-54,sat_fat,FL,mrh-eq,0.0462899287913909,0.0468189319571854,0.0468328958095059
55-64,added_sugar,CED,MJ,0.578640358010213,0.61797458096306,0.600457267535537
55-64,added_sugar,Food_price,USD,0.927276400539775,0.988917488276014,0.951878969374683
55-64,added_sugar,FL,mrh-eq,0.0271818790743074,0.0290661924824669,0.0282664408819899
55-64,oil,CED,MJ,0.31596276900419,0.312279982181207,0.305657754976502
55-64,oil,Food_price,USD,0.258979490766488,0.253931186447327,0.247805674688016
55-64,oil,FL,mrh-eq,0.016321645159618,0.0161336024448159,0.0157847099505817
55-64,sat_fat,CED,MJ,1.74586420705172,1.78302340433084,1.76526030203598
55-64,sat_fat,Food_price,USD,0.189634279778102,0.192831633755861,0.19226753504229
55-64,sat_fat,FL,mrh-eq,0.0477221823246867,0.0487344343723308,0.0482564364778217
65-74,added_sugar,CED,MJ,0.580075299345971,0.586170275304072,0.582185165603301
65-74,added_sugar,Food_price,USD,0.916128313781202,0.937625403868358,0.919425899475646
65-74,added_sugar,FL,mrh-eq,0.0285118791065493,0.0288260952286735,0.0286253075703291
65-74,oil,CED,MJ,0.327384028810134,0.309602084866231,0.316557991513514
65-74,oil,Food_price,USD,0.26816520270665,0.253515425747941,0.257194480461951
65-74,oil,FL,mrh-eq,0.0157803501553711,0.014930843526928,0.0152656422230479
65-74,sat_fat,CED,MJ,1.81870186476148,1.81396500591772,1.82242798976056
65-74,sat_fat,Food_price,USD,0.209185443270441,0.209136794719985,0.209838218388913
65-74,sat_fat,FL,mrh-eq,0.0493900219936917,0.0492532970550252,0.0494856136961205
75+,added_sugar,CED,MJ,0.617729834328311,0.603279549376899,0.623556984937482
75+,added_sugar,Food_price,USD,0.972327452513901,0.947326240140919,0.970346527423574
75+,added_sugar,FL,mrh-eq,0.0325232956954684,0.0317495407292423,0.0328593874689222
75+,oil,CED,MJ,0.297067522175867,0.298426645870768,0.291656737170351
75+,oil,Food_price,USD,0.238952956460123,0.240315096065659,0.234189829483943
75+,oil,FL,mrh-eq,0.0142061813260018,0.0142682488287408,0.0139515919410923
75+,sat_fat,CED,MJ,1.85438380906363,1.86481205550951,1.84656737844289
75+,sat_fat,Food_price,USD,0.210751055671831,0.2136316525585,0.211048207116161
75+,sat_fat,FL,mrh-eq,0.0492859144181241,0.0495529245776108,0.0490759260838501
