race_gp,outcome,outcome_unit,X1,X2,X3
HIS,CED,MJ,0.619437483326425,0.625600828249068,0.626394364624057
HIS,Food_price,USD,0.3734978391504,0.375201514360511,0.383434426379728
HIS,FL,mrh-eq,0.0213359925408395,0.0215496539984784,0.0216635511052512
NHB,CED,MJ,0.653079290539835,0.656188008362006,0.648569607699631
NHB,Food_price,USD,0.449339042855508,0.453534549152767,0.450446409489993
NHB,FL,mrh-eq,0.0222691348299651,0.022421464822293,0.0221090837929994
NHW,CED,MJ,0.670713164911429,0.680629277050992,0.677927091627902
NHW,Food_price,USD,0.440487459753106,0.450066166605227,0.444205894454891
NHW,FL,mrh-eq,0.0232759481976672,0.0236251700824634,0.023496086859026
OTH,CED,MJ,0.573791690879023,0.573422744040216,0.564754101400959
OTH,Food_price,USD,0.35861100042556,0.361196442984685,0.356945128083339
OTH,FL,mrh-eq,0.0204408554781476,0.0204762977197719,0.0202046593064364
