age_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,added_sugar,CED,MJ,0.195776514673659,0.194500517755707,0.198520208277522
20-34,added_sugar,Food_price,USD,0.376799647690953,0.371116865778198,0.382504332634668
20-34,added_sugar,FL,mrh-eq,0.00826700449512258,0.00821471899270065,0.00838976482941885
20-34,oil,CED,MJ,0.0505653491390304,0.0494495558154748,0.0496449905771604
20-34,oil,Food_price,USD,0.0339429666333551,0.0332663002374961,0.0336130589045802
20-34,oil,FL,mrh-eq,0.00262941011694113,0.00257083087848825,0.00258152012528622
20-34,sat_fat,CED,MJ,0.387642147490125,0.385854069786187,0.38691584482042
20-34,sat_fat,Food_price,USD,0.0460407680300234,0.0457789995404869,0.0462935835718859
20-34,sat_fat,FL,mrh-eq,0.0104060035822623,0.0103548806433104,0.0103852780333974
35-44,added_sugar,CED,MJ,0.201499878438199,0.205599839169035,0.203628682238438
35-44,added_sugar,Food_price,USD,0.350501945937779,0.355077676485492,0.356829806640496
35-44,added_sugar,FL,mrh-eq,0.00908043612362885,0.00927208390301368,0.00917111021257942
35-44,oil,CED,MJ,0.0496300218202663,0.0509802399318984,0.0523184202178368
35-44,oil,Food_price,USD,0.0276987398362022,0.0287187432213444,0.0292606748089064
35-44,oil,FL,mrh-eq,0.00246903403126264,0.0025350934279075,0.00259869930352458
35-44,sat_fat,CED,MJ,0.393622337297162,0.403513413198398,0.399458863274405
35-44,sat_fat,Food_price,USD,0.0434318037925855,0.0450439038546558,0.0439275135278245
35-44,sat_fat,FL,mrh-eq,0.0106942194529826,0.010963172217423,0.0108490018990829
45-54,added_sugar,CED,MJ,0.204952204799531,0.21644049621238,0.201858983226419
45-54,added_sugar,Food_price,USD,0.330671976302249,0.353862275731425,0.328768840182529
45-54,added_sugar,FL,mrh-eq,0.00927258587930971,0.00978038990679201,0.00911842623859499
45-54,oil,CED,MJ,0.0512427068855785,0.0501309774411391,0.0509361422292854
45-54,oil,Food_price,USD,0.0365391121499939,0.0360118923979461,0.0362750829151264
45-54,oil,FL,mrh-eq,0.00271144315404355,0.00264976476510472,0.00269421525196981
45-54,sat_fat,CED,MJ,0.393253955729645,0.397714015049097,0.397681306653583
45-54,sat_fat,Food_price,USD,0.0450199564146131,0.0451757362030369,0.0453535485914403
45-54,sat_fat,FL,mrh-eq,0.0106821899910669,0.0108011351212005,0.0108000184475907
55-64,added_sugar,CED,MJ,0.19511320533337,0.208382535441995,0.202466980030911
55-64,added_sugar,Food_price,USD,0.312640904454973,0.333434771738361,0.320938288228451
55-64,added_sugar,FL,mrh-eq,0.00916489445955543,0.00980048305610329,0.00953042156657123
55-64,oil,CED,MJ,0.0521328247050229,0.0515128598783192,0.0504249403464313
55-64,oil,Food_price,USD,0.0427448480102281,0.0418962444663127,0.0408869790471982
55-64,oil,FL,mrh-eq,0.00269307473034803,0.00266140853947524,0.00260409482206451
55-64,sat_fat,CED,MJ,0.411459661900677,0.420040598761562,0.416035086182785
55-64,sat_fat,Food_price,USD,0.0447420660123629,0.0454746674331481,0.0453526161156341
55-64,sat_fat,FL,mrh-eq,0.0112608292340497,0.0114948326545827,0.0113870548768863
65-74,added_sugar,CED,MJ,0.194970823039547,0.19695902057209,0.195626123917893
65-74,added_sugar,Food_price,USD,0.307996682101332,0.31513364936598,0.309023761822717
65-74,added_sugar,FL,mrh-eq,0.00958283435672129,0.00968553088365816,0.0096183503116576
65-74,oil,CED,MJ,0.0538250246957459,0.0509075095702862,0.0520496342970288
65-74,oil,Food_price,USD,0.0441889365317531,0.0417799803083644,0.0423846430992714
65-74,oil,FL,mrh-eq,0.00259469496043169,0.00245535138993406,0.00251030288233509
65-74,sat_fat,CED,MJ,0.424823105459245,0.423694034391062,0.425593293980501
65-74,sat_fat,Food_price,USD,0.0488541184175643,0.0488393834802367,0.0490009605145128
65-74,sat_fat,FL,mrh-eq,0.0115409962011883,0.0115085586218591,0.0115606673677999
75+,added_sugar,CED,MJ,0.207498691407091,0.202616286898567,0.209439707194765
75+,added_sugar,Food_price,USD,0.326699703883795,0.318260322951743,0.326007177014322
75+,added_sugar,FL,mrh-eq,0.0109250602830391,0.0106635925146821,0.0110367872172705
75+,oil,CED,MJ,0.048629868567412,0.0488538986189794,0.0477472553200441
75+,oil,Food_price,USD,0.0391514535873079,0.0393787538565072,0.0383737306111366
75+,oil,FL,mrh-eq,0.00232583705047681,0.00233608061288561,0.00228430925244242
75+,sat_fat,CED,MJ,0.409744332293392,0.411892545097479,0.407888782125351
75+,sat_fat,Food_price,USD,0.0466621939309563,0.0472759438318872,0.0467128830373381
75+,sat_fat,FL,mrh-eq,0.0108943075522727,0.0109491351758553,0.0108444430880449
