age_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,added_sugar,CED,MJ,-11.2885222229017,-11.1381581912238,-11.609936017617
20-34,added_sugar,Food_price,USD,-11.2885222229017,-11.1381581912238,-11.609936017617
20-34,added_sugar,FL,mrh-eq,-11.2885222229017,-11.1381581912238,-11.609936017617
20-34,oil,CED,MJ,-0.50741961344616,0.210845120810096,0.0874325720741031
20-34,oil,Food_price,USD,-0.50741961344616,0.210845120810096,0.0874325720741031
20-34,oil,FL,mrh-eq,-0.50741961344616,0.210845120810096,0.0874325720741031
20-34,sat_fat,CED,MJ,-15.2015076646559,-15.0625376837066,-15.1424111691135
20-34,sat_fat,Food_price,USD,-15.2015076646559,-15.0625376837066,-15.1424111691135
20-34,sat_fat,FL,mrh-eq,-15.2015076646559,-15.0625376837066,-15.1424111691135
35-44,added_sugar,CED,MJ,-12.3495535106809,-12.8318470529783,-12.5947162661549
35-44,added_sugar,Food_price,USD,-12.3495535106809,-12.8318470529783,-12.5947162661549
35-44,added_sugar,FL,mrh-eq,-12.3495535106809,-12.8318470529783,-12.5947162661549
35-44,oil,CED,MJ,0.0341688933203924,-0.846362734846919,-1.71871397934273
35-44,oil,Food_price,USD,0.0341688933203924,-0.846362734846919,-1.71871397934273
35-44,oil,FL,mrh-eq,0.0341688933203924,-0.846362734846919,-1.71871397934273
35-44,sat_fat,CED,MJ,-14.800284701159,-15.6120892421031,-15.3028087602752
35-44,sat_fat,Food_price,USD,-14.800284701159,-15.6120892421031,-15.3028087602752
35-44,sat_fat,FL,mrh-eq,-14.800284701159,-15.6120892421031,-15.3028087602752
45-54,added_sugar,CED,MJ,-12.823802297763,-14.1757967486333,-12.4526365726786
45-54,added_sugar,Food_price,USD,-12.823802297763,-14.1757967486333,-12.4526365726786
45-54,added_sugar,FL,mrh-eq,-12.823802297763,-14.1757967486333,-12.4526365726786
45-54,oil,CED,MJ,-0.919635687215601,-0.199254030144916,-0.723552421994899
45-54,oil,Food_price,USD,-0.919635687215601,-0.199254030144916,-0.723552421994899
45-54,oil,FL,mrh-eq,-0.919635687215601,-0.199254030144916,-0.723552421994899
45-54,sat_fat,CED,MJ,-14.728001752155,-15.1227873091951,-15.1069591033326
45-54,sat_fat,Food_price,USD,-14.728001752155,-15.1227873091951,-15.1069591033326
45-54,sat_fat,FL,mrh-eq,-14.728001752155,-15.1227873091951,-15.1069591033326
55-64,added_sugar,CED,MJ,-11.745251791924,-13.3117173068705,-12.6178140512463
55-64,added_sugar,Food_price,USD,-11.745251791924,-13.3117173068705,-12.6178140512463
55-64,added_sugar,FL,mrh-eq,-11.745251791924,-13.3117173068705,-12.6178140512463
55-64,oil,CED,MJ,-1.88470271007341,-1.48538144913104,-0.769458563481644
55-64,oil,Food_price,USD,-1.88470271007341,-1.48538144913104,-0.769458563481644
55-64,oil,FL,mrh-eq,-1.88470271007341,-1.48538144913104,-0.769458563481644
55-64,sat_fat,CED,MJ,-15.5402691440061,-16.2410384101505,-15.9018553058121
55-64,sat_fat,Food_price,USD,-15.5402691440061,-16.2410384101505,-15.9018553058121
55-64,sat_fat,FL,mrh-eq,-15.5402691440061,-16.2410384101505,-15.9018553058121
65-74,added_sugar,CED,MJ,-11.6011023165656,-11.7889011579783,-11.6262181574466
65-74,added_sugar,Food_price,USD,-11.6011023165656,-11.7889011579783,-11.6262181574466
65-74,added_sugar,FL,mrh-eq,-11.6011023165656,-11.7889011579783,-11.6262181574466
65-74,oil,CED,MJ,-3.37002235783396,-1.42727433299973,-2.18492492813679
65-74,oil,Food_price,USD,-3.37002235783396,-1.42727433299973,-2.18492492813679
65-74,oil,FL,mrh-eq,-3.37002235783396,-1.42727433299973,-2.18492492813679
65-74,sat_fat,CED,MJ,-16.7584002491922,-16.6823308373492,-16.8312080763413
65-74,sat_fat,Food_price,USD,-16.7584002491922,-16.6823308373492,-16.8312080763413
65-74,sat_fat,FL,mrh-eq,-16.7584002491922,-16.6823308373492,-16.8312080763413
75+,added_sugar,CED,MJ,-13.6926897091377,-13.0935971242172,-13.927577090686
75+,added_sugar,Food_price,USD,-13.6926897091377,-13.0935971242172,-13.927577090686
75+,added_sugar,FL,mrh-eq,-13.6926897091377,-13.0935971242172,-13.927577090686
75+,oil,CED,MJ,-0.179193727675922,-0.324927330389283,0.416734469497286
75+,oil,Food_price,USD,-0.179193727675922,-0.324927330389283,0.416734469497286
75+,oil,FL,mrh-eq,-0.179193727675922,-0.324927330389283,0.416734469497286
75+,sat_fat,CED,MJ,-17.5404775683046,-17.7466044771126,-17.3820792592762
75+,sat_fat,Food_price,USD,-17.5404775683046,-17.7466044771126,-17.3820792592762
75+,sat_fat,FL,mrh-eq,-17.5404775683046,-17.7466044771126,-17.3820792592762
