age_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,HIS,added_sugar,CED,MJ,-11.8805657227978,-12.1842112171295,-12.5263095301914
20-34,HIS,added_sugar,Food_price,USD,-11.8805657227978,-12.1842112171295,-12.5263095301914
20-34,HIS,added_sugar,FL,mrh-eq,-11.8805657227978,-12.1842112171295,-12.5263095301914
20-34,HIS,oil,CED,MJ,1.5228673600501,1.66004543362208,1.58912407856345
20-34,HIS,oil,Food_price,USD,1.5228673600501,1.66004543362208,1.58912407856345
20-34,HIS,oil,FL,mrh-eq,1.5228673600501,1.66004543362208,1.58912407856345
20-34,HIS,sat_fat,CED,MJ,-13.9098727679915,-13.8148351597314,-14.1410190383178
20-34,HIS,sat_fat,Food_price,USD,-13.9098727679915,-13.8148351597314,-14.1410190383178
20-34,HIS,sat_fat,FL,mrh-eq,-13.9098727679915,-13.8148351597314,-14.1410190383178
20-34,NHB,added_sugar,CED,MJ,-15.1521613728186,-14.771916632945,-15.7994697522776
20-34,NHB,added_sugar,Food_price,USD,-15.1521613728186,-14.771916632945,-15.7994697522776
20-34,NHB,added_sugar,FL,mrh-eq,-15.1521613728186,-14.771916632945,-15.7994697522776
20-34,NHB,oil,CED,MJ,-2.40871311310491,-3.17999682959831,-2.09982352788993
20-34,NHB,oil,Food_price,USD,-2.40871311310491,-3.17999682959831,-2.09982352788993
20-34,NHB,oil,FL,mrh-eq,-2.40871311310491,-3.17999682959831,-2.09982352788993
20-34,NHB,sat_fat,CED,MJ,-15.5807180501261,-14.4492116288624,-14.6161572522916
20-34,NHB,sat_fat,Food_price,USD,-15.5807180501261,-14.4492116288624,-14.6161572522916
20-34,NHB,sat_fat,FL,mrh-eq,-15.5807180501261,-14.4492116288624,-14.6161572522916
20-34,NHW,added_sugar,CED,MJ,-10.6253446809791,-10.3817192908352,-10.8023475468126
20-34,NHW,added_sugar,Food_price,USD,-10.6253446809791,-10.3817192908352,-10.8023475468126
20-34,NHW,added_sugar,FL,mrh-eq,-10.6253446809791,-10.3817192908352,-10.8023475468126
20-34,NHW,oil,CED,MJ,-0.434997578801584,0.727042713177281,0.3329546019541
20-34,NHW,oil,Food_price,USD,-0.434997578801584,0.727042713177281,0.3329546019541
20-34,NHW,oil,FL,mrh-eq,-0.434997578801584,0.727042713177281,0.3329546019541
