age_gp,race_gp,outcome,outcome_unit,X1,X2,X3
20-34,HIS,CED,MJ,-0.271648532430442,-0.272790140189228,-0.279919801066817
20-34,HIS,Food_price,USD,-0.191004020903236,-0.192986232392584,-0.202441427768859
20-34,HIS,FL,mrh-eq,-0.00870678590543689,-0.00880226842550901,-0.00903198388480813
20-34,NHB,CED,MJ,-0.309933577218944,-0.295235959418616,-0.304498651052556
20-34,NHB,Food_price,USD,-0.259531342947587,-0.252416835483678,-0.268880020964986
20-34,NHB,FL,mrh-eq,-0.0100025439133543,-0.00959768545758018,-0.00992033413409496
20-34,NHW,CED,MJ,-0.279572782317556,-0.275370759566547,-0.27963929447886
20-34,NHW,Food_price,USD,-0.214700103251796,-0.203250601823317,-0.216804594812842
20-34,NHW,FL,mrh-eq,-0.00905464345123131,-0.00884944259844905,-0.00905314151784497
20-34,OTH,CED,MJ,-0.227903956027597,-0.226556555987104,-0.228949862201684
20-34,OTH,Food_price,USD,-0.166057656472761,-0.168535989406902,-0.174468429045435
20-34,OTH,FL,mrh-eq,-0.00758558506306886,-0.00746191975883158,-0.00759298781382769
35-44,HIS,CED,MJ,-0.250812514827566,-0.263759167927712,-0.256265341779994
35-44,HIS,Food_price,USD,-0.175093253024085,-0.169534506626525,-0.178621388916187
35-44,HIS,FL,mrh-eq,-0.0085470701645514,-0.00887649568788769,-0.00877727443800505
35-44,NHB,CED,MJ,-0.304976437009812,-0.310176396022004,-0.314152323222203
35-44,NHB,Food_price,USD,-0.253230578077179,-0.268039520782133,-0.276721262091518
35-44,NHB,FL,mrh-eq,-0.0101643899765676,-0.0104332079792359,-0.0105119919767062
35-44,NHW,CED,MJ,-0.300112527075132,-0.323710604239588,-0.320802853884049
35-44,NHW,Food_price,USD,-0.212802379311047,-0.22429392001216,-0.221751902323267
35-44,NHW,FL,mrh-eq,-0.0100370451166057,-0.0108431530939577,-0.0107044835542158
35-44,OTH,CED,MJ,-0.242814224582779,-0.237536296040818,-0.221255275168474
35-44,OTH,Food_price,USD,-0.150088157103829,-0.154389476348092,-0.149165131912104
35-44,OTH,FL,mrh-eq,-0.00859079326366925,-0.00854461186755446,-0.00799932879410404
45-54,HIS,CED,MJ,-0.249366470912432,-0.253473983740395,-0.243909529698637
45-54,HIS,Food_price,USD,-0.165032190512023,-0.162081905192074,-0.167016956660954
45-54,HIS,FL,mrh-eq,-0.00867360223044856,-0.00866996649773511,-0.00851801486960839
45-54,NHB,CED,MJ,-0.270954326474058,-0.30509920126332,-0.272358904394574
45-54,NHB,Food_price,USD,-0.207916336525285,-0.233543109437641,-0.212999283567352
45-54,NHB,FL,mrh-eq,-0.00929506526061501,-0.0105510746042568,-0.00943567548732401
45-54,NHW,CED,MJ,-0.31603887036742,-0.331529993175682,-0.323761968721052
45-54,NHW,Food_price,USD,-0.218482806426521,-0.251122690320003,-0.220405898922122
45-54,NHW,FL,mrh-eq,-0.0107343742913807,-0.0113751080910026,-0.0109134413112033
45-54,OTH,CED,MJ,-0.212993815789677,-0.219727268459203,-0.188675748483992
45-54,OTH,Food_price,USD,-0.117619885927045,-0.122389092599426,-0.0852131629947762
45-54,OTH,FL,mrh-eq,-0.00730602285754268,-0.00756233016101912,-0.00603276212588193
55-64,HIS,CED,MJ,-0.2419836713717,-0.257906697931467,-0.257255265338321
55-64,HIS,Food_price,USD,-0.126714715826908,-0.141579316191251,-0.147242993110296
55-64,HIS,FL,mrh-eq,-0.0082804206141572,-0.00901493071951973,-0.00904914216393414
55-64,NHB,CED,MJ,-0.305560735256652,-0.311222961753151,-0.294157825115592
55-64,NHB,Food_price,USD,-0.242342517801953,-0.245418327061359,-0.225203287123245
55-64,NHB,FL,mrh-eq,-0.0106549564896555,-0.0108849075587251,-0.0101785234974406
55-64,NHW,CED,MJ,-0.309871740050525,-0.338495499976064,-0.325863386297695
55-64,NHW,Food_price,USD,-0.193290306855009,-0.221017387509939,-0.202061079252669
55-64,NHW,FL,mrh-eq,-0.0106029255675043,-0.0116758545710077,-0.0111101476488967
55-64,OTH,CED,MJ,-0.219413713661838,-0.213946004448104,-0.207781617158041
55-64,OTH,Food_price,USD,-0.130511933686745,-0.129522689153935,-0.135382631371969
55-64,OTH,FL,mrh-eq,-0.00731683972458978,-0.00734700518895212,-0.00750835230868404
65-74,HIS,CED,MJ,-0.214846360310613,-0.217284689564266,-0.222079848662389
65-74,HIS,Food_price,USD,-0.0990136548836296,-0.110530150679949,-0.116567461380788
65-74,HIS,FL,mrh-eq,-0.00745799286240117,-0.0076714251347502,-0.00807742310586051
65-74,NHB,CED,MJ,-0.314320882706235,-0.316574239484656,-0.326877011385883
65-74,NHB,Food_price,USD,-0.225729812829764,-0.221523717067078,-0.230058609418097
65-74,NHB,FL,mrh-eq,-0.0114243841831891,-0.011339854164467,-0.0118538520485577
65-74,NHW,CED,MJ,-0.331034011885616,-0.326148220704206,-0.327210284266873
65-74,NHW,Food_price,USD,-0.197136002636731,-0.202435545215813,-0.193431744983193
65-74,NHW,FL,mrh-eq,-0.0113519606501946,-0.0112007415858994,-0.0111542136765521
65-74,OTH,CED,MJ,-0.189968568770313,-0.206447933596155,-0.200529834720539
65-74,OTH,Food_price,USD,-0.110346286623384,-0.110464868535065,-0.111741724674946
65-74,OTH,FL,mrh-eq,-0.00669642043306475,-0.00713089753421193,-0.00702124284130158
75+,HIS,CED,MJ,-0.25538949299318,-0.239938841253835,-0.281358682912239
75+,HIS,Food_price,USD,-0.146595531662423,-0.139607668666244,-0.161076496970948
75+,HIS,FL,mrh-eq,-0.0092129175111256,-0.00855404000451641,-0.0099829128582633
75+,NHB,CED,MJ,-0.299173706415608,-0.297787630888667,-0.243529247630666
75+,NHB,Food_price,USD,-0.233445772448037,-0.222842328468351,-0.170372861744557
75+,NHB,FL,mrh-eq,-0.0112504368069337,-0.0110831539654542,-0.00870131397632453
75+,NHW,CED,MJ,-0.33478897341801,-0.333758974055145,-0.337312272820712
75+,NHW,Food_price,USD,-0.21350744126217,-0.205101030161769,-0.216603080907858
75+,NHW,FL,mrh-eq,-0.0119902318673722,-0.0118220713305747,-0.0121827555544096
75+,OTH,CED,MJ,-0.199082327246774,-0.189669553994528,-0.21172788740203
75+,OTH,Food_price,USD,-0.103868460788758,-0.109739711818903,-0.121874741320905
75+,OTH,FL,mrh-eq,-0.00701826862359253,-0.00688774017346133,-0.00795625043845504
