"","age_gp","Foodgroup","outcome","outcome_unit","impact_lower_bound (2.5th percentile)","impact_median","impact_upper_bound (97.5th percentile)","impact_mean","impact_SD","substitution_impact_lower_bound (2.5th percentile)","substitution_impact_median","substitution_impact_upper_bound  (97.5th percentile)","substitution_impact_mean","substitution_impact_SD","combined_impact_lower_bound (2.5th percentile)","combined_impact_median","combined_impact_upper_bound  (97.5th percentile)","combined_impact_mean","combined_impact_SD","delta_lower_bound (2.5th percentile)","delta_median","delta_upper_bound (97.5th percentile)","delta_mean","delta_SD","combined_consumed_impact_lower_bound (2.5th percentile)","combined_consumed_impact_median","combined_consumed_upper_bound (97.5th percentile)","combined_consumed_impact_mean","combined_consumed_impact_SD","combined_unconsumed_impact_lower_bound (2.5th percentile)","combined_unconsumed_impact_median","combined_unconsumed_upper_bound (97.5th percentile)","combined_unconsumed_impact_mean","combined_unconsumed_impact_SD","current_intake_impact_lower_bound (2.5th percentile)","current_intake_impact_median","current_intake_impact_upper_bound (97.5th percentile)","current_intake_impact_mean","current_intake_impact_SD","CF_intake_impact_lower_bound (2.5th percentile)","CF_intake_impact_median","CF_intake_impact_upper_bound  (97.5th percentile)","CF_intake_impact_mean","CF_intake_impact_SD","current_intake_consumed_impact_lower_bound (2.5th percentile)","current_intake_consumed_impact_median","current_intake_consumed_upper_bound (97.5th percentile)","current_intake_consumed_impact_mean","current_intake_consumed_impact_SD","CF_intake_consumed_impact_lower_bound (2.5th percentile)","CF_intake_consumed_impact_median","CF_intake_consumed_impact_upper_bound (97.5th percentile)","CF_intake_consumed_impact_mean","CF_intake_consumed_impact_SD","current_intake_unconsumed_impact_lower_bound (2.5th percentile)","current_intake_unconsumed_impact_median","current_intake_unconsumed_upper_bound (97.5th percentile)","current_intake_unconsumed_impact_mean","current_intake_unconsumed_impact_SD","CF_intake_unconsumed_impact_lower_bound (2.5th percentile)","CF_intake_unconsumed_impact_median","CF_intake_unconsumed_impact_upper_bound (97.5th percentile)","CF_intake_unconsumed_impact_mean","CF_intake_unconsumed_impact_SD","inedible_impact_lower_bound (2.5th percentile)","inedible_impact_median","inedible_upper_bound (97.5th percentile)","inedible_consumed_impact_mean","inedible_impact_SD","wasted_impact_lower_bound (2.5th percentile)","wasted_impact_median","wasted_unconsumed_upper_bound (97.5th percentile)","wasted_unconsumed_impact_mean","wasted_impact_SD","current_intake_inedible_impact_lower_bound (2.5th percentile)","current_intake_inedible_impact_median","current_intake_inedible_upper_bound (97.5th percentile)","current_intake_inedible_impact_mean","current_intake_inedible_impact_SD","CF_intake_inedible_impact_lower_bound (2.5th percentile)","CF_intake_inedible_impact_median","CF_intake_inedible_impact_upper_bound (97.5th percentile)","CF_intake_inedible_impact_mean","CF_intake_inedible_impact_SD","current_intake_wasted_impact_lower_bound (2.5th percentile)","current_intake_wasted_impact_median","current_intake_wasted_upper_bound (97.5th percentile)","current_intake_wasted_impact_mean","current_intake_wasted_impact_SD","CF_intake_wasted_impact_lower_bound (2.5th percentile)","CF_intake_wasted_impact_median","CF_intake_unconsumed_wasted_upper_bound (97.5th percentile)","CF_intake_wasted_impact_mean","CF_intake_wasted_impact_SD"
"1","20-34","added_sugar","CED","MJ",-0.297732941231447,-0.290008406457193,-0.28643414722523,-0.291464643489576,0.00607898932970771,0,0,0,0,0,-0.297732941231447,-0.290008406457193,-0.28643414722523,-0.291464643489576,0.00607898932970771,-11.5938653278813,-11.2885222229017,-11.1456763928077,-11.3455388105808,0.241001551492961,-0.19714198467805,-0.192023958827466,-0.189661896667557,-0.192990963631211,0.00402497381372242,-0.100590956553397,-0.0979844476297274,-0.0967722505576732,-0.0984736798583644,0.00205401779518686,0.575896815107873,0.579471074339836,0.587195609114089,0.580927311372219,0.00607898932970767,0.289462667882643,0.289462667882643,0.289462667882643,0.289462667882643,0,0.381332497506268,0.383694559666177,0.38881258551676,0.384661564469922,0.00402497381372233,0.191670600838711,0.191670600838711,0.191670600838711,0.191670600838711,0,0.194564317601605,0.195776514673659,0.198383023597329,0.196265746902296,0.00205401779518678,0.0977920670439318,0.0977920670439318,0.0977920670439318,0.0977920670439318,0,0,0,0,0,0,-0.100590956553397,-0.0979844476297274,-0.0967722505576732,-0.0984736798583644,0.00205401779518686,0,0,0,0,0,0,0,0,0,0,0.194564317601605,0.195776514673659,0.198383023597329,0.196265746902296,0.00205401779518678,0.0977920670439318,0.0977920670439318,0.0977920670439318,0.0977920670439318,0
"2","20-34","added_sugar","FL","mrh-eq",-0.0126038376666266,-0.0122582396998612,-0.0121117027443026,-0.0123280856687057,0.000265987529386297,0,0,0,0,0,-0.0126038376666266,-0.0122582396998612,-0.0121117027443026,-0.0123280856687057,0.000265987529386297,-11.5938653278813,-11.2885222229017,-11.1456763928077,-11.3455388105808,0.241001551492961,-0.00834612217537118,-0.00811714652618726,-0.00802028079792948,-0.00816350088440696,0.000176131309869604,-0.0042577154912554,-0.00414109317367394,-0.0040914219463731,-0.00416458478429872,8.9856291184333e-05,0.0243258764338368,0.0244724133893955,0.0248180113561608,0.0245422593582399,0.000265987529386302,0.0122141736895343,0.0122141736895343,0.0122141736895343,0.0122141736895343,0,0.0161085431660151,0.0162054088942729,0.0164343845434568,0.0162517632524926,0.0001761313098696,0.00808826236808562,0.00808826236808562,0.00808826236808562,0.00808826236808562,0,0.00821733326782175,0.00826700449512258,0.00838362681270404,0.00829049610574736,8.98562911843331e-05,0.00412591132144865,0.00412591132144865,0.00412591132144865,0.00412591132144865,0,0,0,0,0,0,-0.0042577154912554,-0.00414109317367394,-0.0040914219463731,-0.00416458478429872,8.9856291184333e-05,0,0,0,0,0,0,0,0,0,0,0.00821733326782175,0.00826700449512258,0.00838362681270404,0.00829049610574736,8.98562911843331e-05,0.00412591132144865,0.00412591132144865,0.00412591132144865,0.00412591132144865,0
"3","20-34","added_sugar","Food_price","USD",-0.574912689818846,-0.558862175123986,-0.542906209666846,-0.558895350295116,0.0168455403698629,0,0,0,0,0,-0.574912689818846,-0.558862175123986,-0.542906209666846,-0.558895350295116,0.0168455403698629,-11.5938653278813,-11.2885222229017,-11.1456763928077,-11.3455388105808,0.241001551492961,-0.380687029319267,-0.370055965320937,-0.359498642680913,-0.370081839481746,0.0111518049534985,-0.194225660499579,-0.188806209803049,-0.183407566985932,-0.18881351081337,0.00569373693898505,1.0993909070278,1.11534687248494,1.1313973871798,1.11538004765607,0.0168455403698636,0.556484697360958,0.556484697360958,0.556484697360958,0.556484697360958,0,0.727989902153968,0.738547224793991,0.749178288792322,0.738573098954801,0.0111518049534986,0.368491259473054,0.368491259473054,0.368491259473054,0.368491259473054,0,0.371401004873836,0.376799647690953,0.382219098387482,0.376806948701273,0.00569373693898512,0.187993437887903,0.187993437887903,0.187993437887903,0.187993437887903,0,0,0,0,0,0,-0.194225660499579,-0.188806209803049,-0.183407566985932,-0.18881351081337,0.00569373693898505,0,0,0,0,0,0,0,0,0,0,0.371401004873836,0.376799647690953,0.382219098387482,0.376806948701273,0.00569373693898512,0.187993437887903,0.187993437887903,0.187993437887903,0.187993437887903,0
"4","20-34","oil","CED","MJ",-0.00450510670769344,0.000780064965024931,0.00189598805849323,-0.00068282927330843,0.00359933148010355,0,0,0,0,0,-0.00450510670769344,0.000780064965024931,0.00189598805849323,-0.00068282927330843,0.00359933148010355,-0.477677004170147,0.0874325720741031,0.204674493373296,-0.0697139735206538,0.38405381747006,-0.00373849400119595,0.000672337037745967,0.00160259710761295,-0.000548915933859274,0.00300347808490676,-0.000766612706497507,0.000107727927278954,0.000293390950880299,-0.000133913339449157,0.000595853641058171,0.299835837049817,0.300951760143286,0.306236931816004,0.302414654381619,0.00359933148010353,0.30173182510831,0.30173182510831,0.30173182510831,0.30173182510831,0,0.250376509496258,0.251306769566125,0.255717600605067,0.25252802253773,0.00300347808490685,0.251979106603871,0.251979106603871,0.251979106603871,0.251979106603871,0,0.0494593275535591,0.0496449905771604,0.0505193312109369,0.0498866318438885,0.000595853641058177,0.0497527185044394,0.0497527185044394,0.0497527185044394,0.0497527185044394,0,0,0,0,0,0,-0.000766612706497507,0.000107727927278954,0.000293390950880299,-0.000133913339449157,0.000595853641058171,0,0,0,0,0,0,0,0,0,0,0.0494593275535591,0.0496449905771604,0.0505193312109369,0.0498866318438885,0.000595853641058177,0.0497527185044394,0.0497527185044394,0.0497527185044394,0.0497527185044394,0
"5","20-34","oil","FL","mrh-eq",-0.000245906083084419,2.90922301223334e-05,9.01209616368785e-05,-4.59848160854586e-05,0.000188429262352246,0,0,0,0,0,-0.000245906083084419,2.90922301223334e-05,9.01209616368785e-05,-4.59848160854586e-05,0.000188429262352246,-0.477677004170147,0.0874325720741031,0.204674493373296,-0.0697139735206538,0.38405381747006,-0.00020411025559433,2.53925655402676e-05,7.62665125967384e-05,-3.72842323818823e-05,0.000157233020162968,-4.17958274900889e-05,3.69966458206655e-06,1.38544490401395e-05,-8.70058370357643e-06,3.11962563874065e-05,0.0155879195658188,0.0156489482973333,0.0159239466105401,0.0157240253435411,0.000188429262352244,0.0156780405274557,0.0156780405274557,0.0156780405274557,0.0156780405274557,0,0.0130165542249907,0.0130674281720471,0.0132969309931817,0.0131301049699693,0.000157233020162961,0.0130928207375874,0.0130928207375874,0.0130928207375874,0.0130928207375874,0,0.00257136534082815,0.00258152012528622,0.00262701561735838,0.00259392037357187,3.11962563874078e-05,0.00258521978986829,0.00258521978986829,0.00258521978986829,0.00258521978986829,0,0,0,0,0,0,-4.17958274900889e-05,3.69966458206655e-06,1.38544490401395e-05,-8.70058370357643e-06,3.11962563874065e-05,0,0,0,0,0,0,0,0,0,0,0.00257136534082815,0.00258152012528622,0.00262701561735838,0.00259392037357187,3.11962563874078e-05,0.00258521978986829,0.00258521978986829,0.00258521978986829,0.00258521978986829,0
"6","20-34","oil","Food_price","USD",-0.00295044914315202,-0.00106786650256454,0.000917455566219715,-0.00103181758039023,0.00203597868985065,0,0,0,0,0,-0.00295044914315202,-0.00106786650256454,0.000917455566219715,-0.00103181758039023,0.00203597868985065,-0.477677004170147,0.0874325720741031,0.204674493373296,-0.0697139735206538,0.38405381747006,-0.00244677945264494,-0.000877609154393567,0.000778292180660788,-0.000847177211655678,0.00169761071010038,-0.000503669690507072,-0.000190257348170973,0.000139163385558916,-0.000184640368734555,0.000338368165855879,0.201792166267768,0.203777488336552,0.20566007097714,0.203741439414378,0.00203597868985063,0.202709621833988,0.202709621833988,0.202709621833988,0.202709621833988,0,0.168508528096918,0.170164429431972,0.171733599730223,0.170133997489234,0.00169761071010038,0.169286820277579,0.169286820277579,0.169286820277579,0.169286820277579,0,0.0332836381708503,0.0336130589045802,0.0339264712469163,0.0336074419251438,0.000338368165855897,0.0334228015564092,0.0334228015564092,0.0334228015564092,0.0334228015564092,0,0,0,0,0,0,-0.000503669690507072,-0.000190257348170973,0.000139163385558916,-0.000184640368734555,0.000338368165855879,0,0,0,0,0,0,0,0,0,0,0.0332836381708503,0.0336130589045802,0.0339264712469163,0.0336074419251438,0.000338368165855897,0.0334228015564092,0.0334228015564092,0.0334228015564092,0.0334228015564092,0
"7","20-34","sat_fat","CED","MJ",-0.774413220089133,-0.771977417755807,-0.768061456015885,-0.771458063578054,0.00337315446473842,0,0,0,0,0,-0.774413220089133,-0.771977417755807,-0.768061456015885,-0.771458063578054,0.00337315446473842,-15.1985528398788,-15.1424111691135,-15.066531357977,-15.1354855058254,0.0697433689338987,-0.597173821408194,-0.595428006611088,-0.592520731153688,-0.595020476554844,0.00247429513947392,-0.177239398680939,-0.176549411144719,-0.175540724862198,-0.17643758702321,0.000899268560800113,1.68590375752271,1.68981971926263,1.69225552159595,1.68930036508487,0.00337315446473783,0.917842301506819,0.917842301506819,0.917842301506819,0.917842301506819,0,1.29999659898481,1.30290387444221,1.30464968923931,1.30249634438596,0.00247429513947459,0.707475867831118,0.707475867831118,0.707475867831118,0.707475867831118,0,0.385907158537899,0.38691584482042,0.38760583235664,0.386804020698911,0.000899268560800172,0.210366433675701,0.210366433675701,0.210366433675701,0.210366433675701,0,0,0,0,0,0,-0.177239398680939,-0.176549411144719,-0.175540724862198,-0.17643758702321,0.000899268560800113,0,0,0,0,0,0,0,0,0,0,0.385907158537899,0.38691584482042,0.38760583235664,0.386804020698911,0.000899268560800172,0.210366433675701,0.210366433675701,0.210366433675701,0.210366433675701,0
"8","20-34","sat_fat","FL","mrh-eq",-0.0207626540637993,-0.0206919881098789,-0.0205788761617621,-0.0206770947785819,9.75813765358066e-05,0,0,0,0,0,-0.0207626540637993,-0.0206919881098789,-0.0205788761617621,-0.0206770947785819,9.75813765358066e-05,-15.1985528398788,-15.1424111691135,-15.066531357977,-15.1354855058254,0.0697433689338987,-0.0160072452818683,-0.0159562685993695,-0.0158720341718354,-0.0159445992151466,7.18777370887142e-05,-0.00475540878193098,-0.00473571951050933,-0.00470684198992667,-0.00473249556343529,2.57135003028023e-05,0.045210527572739,0.0453236395208558,0.0453943054747762,0.0453087461895588,9.75813765357923e-05,0.0246316514109769,0.0246316514109769,0.0246316514109769,0.0246316514109769,0,0.0348541270599242,0.0349383614874583,0.0349893381699571,0.0349266921032354,7.18777370887286e-05,0.0189820928880888,0.0189820928880888,0.0189820928880888,0.0189820928880888,0,0.0103564005128148,0.0103852780333974,0.0104049673048191,0.0103820540863234,2.57135003028039e-05,0.0056495585228881,0.0056495585228881,0.0056495585228881,0.0056495585228881,0,0,0,0,0,0,-0.00475540878193098,-0.00473571951050933,-0.00470684198992667,-0.00473249556343529,2.57135003028023e-05,0,0,0,0,0,0,0,0,0,0,0.0103564005128148,0.0103852780333974,0.0104049673048191,0.0103820540863234,2.57135003028039e-05,0.0056495585228881,0.0056495585228881,0.0056495585228881,0.0056495585228881,0
"9","20-34","sat_fat","Food_price","USD",-0.0927205001961146,-0.0916011233572071,-0.0906097923253887,-0.0916460517105717,0.001111580063602,0,0,0,0,0,-0.0927205001961146,-0.0916011233572071,-0.0906097923253887,-0.0916460517105717,0.001111580063602,-15.1985528398788,-15.1424111691135,-15.066531357977,-15.1354855058254,0.0697433689338987,-0.0715212964495369,-0.0706420943753986,-0.0698994434086401,-0.0706900070446547,0.000854614764407024,-0.0211992037465778,-0.0209590289818085,-0.0207103489167487,-0.0209560446659171,0.000257304995965331,0.200040672330858,0.201032003362677,0.202151380201584,0.201076931716041,0.0011115800636019,0.10943088000547,0.10943088000547,0.10943088000547,0.10943088000547,0,0.154248584365895,0.154991235332653,0.155870437406791,0.155039148001909,0.000854614764407076,0.0843491409572547,0.0843491409572547,0.0843491409572547,0.0843491409572547,0,0.0457920879649637,0.0460407680300234,0.0462809427947928,0.0460377837141321,0.00025730499596534,0.025081739048215,0.025081739048215,0.025081739048215,0.025081739048215,0,0,0,0,0,0,-0.0211992037465778,-0.0209590289818085,-0.0207103489167487,-0.0209560446659171,0.000257304995965331,0,0,0,0,0,0,0,0,0,0,0.0457920879649637,0.0460407680300234,0.0462809427947928,0.0460377837141321,0.00025730499596534,0.025081739048215,0.025081739048215,0.025081739048215,0.025081739048215,0
"10","35-44","added_sugar","CED","MJ",-0.324866241285921,-0.319315189842923,-0.313322726007617,-0.319160308301763,0.00607701480514529,0,0,0,0,0,-0.324866241285921,-0.319315189842923,-0.313322726007617,-0.319160308301763,0.00607701480514529,-12.8199905136371,-12.5947162661549,-12.3618116484546,-12.5920389432714,0.241157917719488,-0.21522832734764,-0.21154987498871,-0.207579774763631,-0.211447542404096,0.00402652938739599,-0.109637913938281,-0.107765314854214,-0.105742951243987,-0.107712765897666,0.00205048544087102,0.597505738183062,0.603498202018368,0.609049253461366,0.603343320477207,0.00607701480514506,0.284183012175445,0.284183012175445,0.284183012175445,0.284183012175445,0,0.395899419554851,0.39986951977993,0.403547972138861,0.399767187195316,0.00402652938739613,0.18831964479122,0.18831964479122,0.18831964479122,0.18831964479122,0,0.201606318628211,0.203628682238438,0.205501281322505,0.203576133281891,0.00205048544087114,0.0958633673842242,0.0958633673842242,0.0958633673842242,0.0958633673842242,0,0,0,0,0,0,-0.109637913938281,-0.107765314854214,-0.105742951243987,-0.107712765897666,0.00205048544087102,0,0,0,0,0,0,0,0,0,0,0.201606318628211,0.203628682238438,0.205501281322505,0.203576133281891,0.00205048544087114,0.0958633673842242,0.0958633673842242,0.0958633673842242,0.0958633673842242,0
