"","sex_gp","Foodgroup","outcome","outcome_unit","impact_lower_bound (2.5th percentile)","impact_median","impact_upper_bound (97.5th percentile)","impact_mean","impact_SD","substitution_impact_lower_bound (2.5th percentile)","substitution_impact_median","substitution_impact_upper_bound  (97.5th percentile)","substitution_impact_mean","substitution_impact_SD","combined_impact_lower_bound (2.5th percentile)","combined_impact_median","combined_impact_upper_bound  (97.5th percentile)","combined_impact_mean","combined_impact_SD","delta_lower_bound (2.5th percentile)","delta_median","delta_upper_bound (97.5th percentile)","delta_mean","delta_SD","combined_consumed_impact_lower_bound (2.5th percentile)","combined_consumed_impact_median","combined_consumed_upper_bound (97.5th percentile)","combined_consumed_impact_mean","combined_consumed_impact_SD","combined_unconsumed_impact_lower_bound (2.5th percentile)","combined_unconsumed_impact_median","combined_unconsumed_upper_bound (97.5th percentile)","combined_unconsumed_impact_mean","combined_unconsumed_impact_SD","current_intake_impact_lower_bound (2.5th percentile)","current_intake_impact_median","current_intake_impact_upper_bound (97.5th percentile)","current_intake_impact_mean","current_intake_impact_SD","CF_intake_impact_lower_bound (2.5th percentile)","CF_intake_impact_median","CF_intake_impact_upper_bound  (97.5th percentile)","CF_intake_impact_mean","CF_intake_impact_SD","current_intake_consumed_impact_lower_bound (2.5th percentile)","current_intake_consumed_impact_median","current_intake_consumed_upper_bound (97.5th percentile)","current_intake_consumed_impact_mean","current_intake_consumed_impact_SD","CF_intake_consumed_impact_lower_bound (2.5th percentile)","CF_intake_consumed_impact_median","CF_intake_consumed_impact_upper_bound (97.5th percentile)","CF_intake_consumed_impact_mean","CF_intake_consumed_impact_SD","current_intake_unconsumed_impact_lower_bound (2.5th percentile)","current_intake_unconsumed_impact_median","current_intake_unconsumed_upper_bound (97.5th percentile)","current_intake_unconsumed_impact_mean","current_intake_unconsumed_impact_SD","CF_intake_unconsumed_impact_lower_bound (2.5th percentile)","CF_intake_unconsumed_impact_median","CF_intake_unconsumed_impact_upper_bound (97.5th percentile)","CF_intake_unconsumed_impact_mean","CF_intake_unconsumed_impact_SD","inedible_impact_lower_bound (2.5th percentile)","inedible_impact_median","inedible_upper_bound (97.5th percentile)","inedible_consumed_impact_mean","inedible_impact_SD","wasted_impact_lower_bound (2.5th percentile)","wasted_impact_median","wasted_unconsumed_upper_bound (97.5th percentile)","wasted_unconsumed_impact_mean","wasted_impact_SD","current_intake_inedible_impact_lower_bound (2.5th percentile)","current_intake_inedible_impact_median","current_intake_inedible_upper_bound (97.5th percentile)","current_intake_inedible_impact_mean","current_intake_inedible_impact_SD","CF_intake_inedible_impact_lower_bound (2.5th percentile)","CF_intake_inedible_impact_median","CF_intake_inedible_impact_upper_bound (97.5th percentile)","CF_intake_inedible_impact_mean","CF_intake_inedible_impact_SD","current_intake_wasted_impact_lower_bound (2.5th percentile)","current_intake_wasted_impact_median","current_intake_wasted_upper_bound (97.5th percentile)","current_intake_wasted_impact_mean","current_intake_wasted_impact_SD","CF_intake_wasted_impact_lower_bound (2.5th percentile)","CF_intake_wasted_impact_median","CF_intake_unconsumed_wasted_upper_bound (97.5th percentile)","CF_intake_wasted_impact_mean","CF_intake_wasted_impact_SD"
"1","Female","added_sugar","CED","MJ",-0.343234498166927,-0.335192184198364,-0.32989856115252,-0.336156637153704,0.00706843574834402,0,0,0,0,0,-0.343234498166927,-0.335192184198364,-0.32989856115252,-0.336156637153704,0.00706843574834402,-13.7116116307349,-13.389866489658,-13.1859313914424,-13.4312033468023,0.278980194716442,-0.227510422375658,-0.222174682404687,-0.218667803349832,-0.222816387989289,0.0046870725137978,-0.115724075791269,-0.113017501793677,-0.111230757802688,-0.113340249164415,0.00238136437689155,0.610690715883157,0.615984338929,0.624026652897564,0.616948791884341,0.00706843574834407,0.280792154730637,0.280792154730637,0.280792154730637,0.280792154730637,0,0.404796717703002,0.408303596757857,0.413639336728827,0.408945302342459,0.00468707251379784,0.186128914353169,0.186128914353169,0.186128914353169,0.186128914353169,0,0.205893998180155,0.207680742171144,0.210387316168737,0.208003489541882,0.00238136437689166,0.0946632403774673,0.0946632403774673,0.0946632403774673,0.0946632403774673,0,0,0,0,0,0,-0.115724075791269,-0.113017501793677,-0.111230757802688,-0.113340249164415,0.00238136437689155,0,0,0,0,0,0,0,0,0,0,0.205893998180155,0.207680742171144,0.210387316168737,0.208003489541882,0.00238136437689166,0.0946632403774673,0.0946632403774673,0.0946632403774673,0.0946632403774673,0
"2","Female","added_sugar","FL","mrh-eq",-0.0161203256957687,-0.0157531176032629,-0.0155276484777755,-0.0158028505741465,0.000314894754282712,0,0,0,0,0,-0.0161203256957687,-0.0157531176032629,-0.0155276484777755,-0.0158028505741465,0.000314894754282712,-13.7116116307349,-13.389866489658,-13.1859313914424,-13.4312033468023,0.278980194716442,-0.0106857731448825,-0.0104421414857842,-0.0102927834764426,-0.0104752199593831,0.000208811029702878,-0.00543455255088612,-0.00531097611747867,-0.0052348650013329,-0.00532763061476347,0.000106083778753983,0.0287871046769902,0.0290125738024775,0.0293797818949833,0.0290623067733611,0.000314894754282685,0.0132594561992146,0.0132594561992146,0.0132594561992146,0.0132594561992146,0,0.0190825220014973,0.0192318800108388,0.0194755116699372,0.0192649584844377,0.000208811029702876,0.00878973852505464,0.00878973852505464,0.00878973852505464,0.00878973852505464,0,0.00970458267549288,0.00978069379163865,0.0099042702250461,0.00979734828892345,0.000106083778753983,0.00446971767415998,0.00446971767415998,0.00446971767415998,0.00446971767415998,0,0,0,0,0,0,-0.00543455255088612,-0.00531097611747867,-0.0052348650013329,-0.00532763061476347,0.000106083778753983,0,0,0,0,0,0,0,0,0,0,0.00970458267549288,0.00978069379163865,0.0099042702250461,0.00979734828892345,0.000106083778753983,0.00446971767415998,0.00446971767415998,0.00446971767415998,0.00446971767415998,0
"3","Female","added_sugar","Food_price","USD",-0.592661826345347,-0.582160513943802,-0.573389103873055,-0.582767497217766,0.010157149579777,0,0,0,0,0,-0.592661826345347,-0.582160513943802,-0.573389103873055,-0.582767497217766,0.010157149579777,-13.7116116307349,-13.389866489658,-13.1859313914424,-13.4312033468023,0.278980194716442,-0.392827978036988,-0.385855156239798,-0.380046791527564,-0.386263737673116,0.00673624000920149,-0.199833848308359,-0.196305357704004,-0.193342312345492,-0.196503759544651,0.00342091559506425,1.06296296410406,1.0717343741748,1.08223568657635,1.07234135744877,0.0101571495797774,0.489573860231002,0.489573860231002,0.489573860231002,0.489573860231002,0,0.704557497991112,0.710365862703347,0.717338684500536,0.710774444136664,0.00673624000920131,0.324510706463548,0.324510706463548,0.324510706463548,0.324510706463548,0,0.358405466112946,0.361368511471458,0.364897002075813,0.361566913312105,0.00342091559506438,0.165063153767454,0.165063153767454,0.165063153767454,0.165063153767454,0,0,0,0,0,0,-0.199833848308359,-0.196305357704004,-0.193342312345492,-0.196503759544651,0.00342091559506425,0,0,0,0,0,0,0,0,0,0,0.358405466112946,0.361368511471458,0.364897002075813,0.361566913312105,0.00342091559506438,0.165063153767454,0.165063153767454,0.165063153767454,0.165063153767454,0
"4","Female","oil","CED","MJ",-0.0312811171320544,-0.0286930755854326,-0.0252565516854397,-0.0283953624789866,0.00318128891289882,0,0,0,0,0,-0.0312811171320544,-0.0286930755854326,-0.0252565516854397,-0.0283953624789866,0.00318128891289882,-3.37312870356985,-3.0950548822063,-2.72502028241664,-3.06278794240766,0.342252378823748,-0.0260880220521189,-0.0239274182705736,-0.0210652832091566,-0.0236812669443028,0.00265212788643149,-0.00519309507993554,-0.00476565731485905,-0.00419126847628306,-0.00471409553468379,0.000529164592679738,0.325593628705259,0.329030152605252,0.331618194151874,0.328732439498806,0.00318128891289879,0.300337077019819,0.300337077019819,0.300337077019819,0.300337077019819,0,0.271618872590518,0.274481007651935,0.276641611433481,0.274234856325664,0.00265212788643154,0.250553589381362,0.250553589381362,0.250553589381362,0.250553589381362,0,0.0539747561147406,0.0545491449533166,0.0549765827183931,0.0544975831731413,0.000529164592679733,0.0497834876384575,0.0497834876384575,0.0497834876384575,0.0497834876384575,0,0,0,0,0,0,-0.00519309507993554,-0.00476565731485905,-0.00419126847628306,-0.00471409553468379,0.000529164592679738,0,0,0,0,0,0,0,0,0,0,0.0539747561147406,0.0545491449533166,0.0549765827183931,0.0544975831731413,0.000529164592679733,0.0497834876384575,0.0497834876384575,0.0497834876384575,0.0497834876384575,0
"5","Female","oil","FL","mrh-eq",-0.00159041443393766,-0.00144715212577794,-0.00127516834837452,-0.00143707441727138,0.000166148374040008,0,0,0,0,0,-0.00159041443393766,-0.00144715212577794,-0.00127516834837452,-0.00143707441727138,0.000166148374040008,-3.37312870356985,-3.0950548822063,-2.72502028241664,-3.06278794240766,0.342252378823748,-0.00132637871866009,-0.00120680024740653,-0.00106355315737251,-0.00119849546888707,0.000138516087219481,-0.000264035715277568,-0.000240351878371418,-0.000211615191002009,-0.00023857894838431,2.7632440076435e-05,0.0166796440045307,0.0168516277819341,0.0169948900900938,0.0168415500734276,0.00016614837404,0.0154044756561562,0.0154044756561562,0.0154044756561562,0.0154044756561562,0,0.0139144294072979,0.014057676497332,0.0141772549685855,0.0140493717188125,0.000138516087219481,0.0128508762499254,0.0128508762499254,0.0128508762499254,0.0128508762499254,0,0.00276521459723274,0.00279395128460215,0.0028176351215083,0.00279217835461504,2.76324400764357e-05,0.00255359940623073,0.00255359940623073,0.00255359940623073,0.00255359940623073,0,0,0,0,0,0,-0.000264035715277568,-0.000240351878371418,-0.000211615191002009,-0.00023857894838431,2.7632440076435e-05,0,0,0,0,0,0,0,0,0,0,0.00276521459723274,0.00279395128460215,0.0028176351215083,0.00279217835461504,2.76324400764357e-05,0.00255359940623073,0.00255359940623073,0.00255359940623073,0.00255359940623073,0
"6","Female","oil","Food_price","USD",-0.0243322671899628,-0.019504851633285,-0.018030260681145,-0.0206812813190877,0.0034697916912195,0,0,0,0,0,-0.0243322671899628,-0.019504851633285,-0.018030260681145,-0.0206812813190877,0.0034697916912195,-3.37312870356985,-3.0950548822063,-2.72502028241664,-3.06278794240766,0.342252378823748,-0.0202926170852962,-0.016267025535991,-0.0150385829708014,-0.0172484813198912,0.00289296063318025,-0.00403965010466656,-0.00323782609729404,-0.00299167771034363,-0.00343279999919653,0.000576831365385383,0.243967986744329,0.24544257769647,0.250269993253147,0.246619007382272,0.0034697916912195,0.225937726063185,0.225937726063185,0.225937726063185,0.225937726063185,0,0.203526315671441,0.20475475823663,0.208780349785935,0.20573621402053,0.00289296063318024,0.188487732700639,0.188487732700639,0.188487732700639,0.188487732700639,0,0.0404416710728889,0.0406878194598394,0.0414896434672119,0.0408827933617418,0.000576831365385386,0.0374499933625453,0.0374499933625453,0.0374499933625453,0.0374499933625453,0,0,0,0,0,0,-0.00403965010466656,-0.00323782609729404,-0.00299167771034363,-0.00343279999919653,0.000576831365385383,0,0,0,0,0,0,0,0,0,0,0.0404416710728889,0.0406878194598394,0.0414896434672119,0.0408827933617418,0.000576831365385386,0.0374499933625453,0.0374499933625453,0.0374499933625453,0.0374499933625453,0
"7","Female","sat_fat","CED","MJ",-0.850547290311233,-0.843151384558438,-0.819885149840545,-0.837582848079456,0.0168431137751588,0,0,0,0,0,-0.850547290311233,-0.843151384558438,-0.819885149840545,-0.837582848079456,0.0168431137751588,-16.3736280187149,-16.2278024623347,-15.7857346028573,-16.1238577945813,0.322246200586279,-0.661371232774083,-0.655571277829031,-0.637427333910581,-0.651240053627839,0.0131484349929498,-0.18917605753715,-0.187580106729407,-0.182457815929964,-0.186342794451617,0.00369471415765835,1.74571248156668,1.76897871628457,1.77637462203737,1.76341017980559,0.0168431137751594,0.925827331726136,0.925827331726136,0.925827331726136,0.925827331726136,0,1.35706370268356,1.37520764660201,1.38100760154706,1.37087642240081,0.0131484349929492,0.719636368772975,0.719636368772975,0.719636368772975,0.719636368772976,0,0.388648778883124,0.393771069682567,0.395367020490311,0.392533757404778,0.0036947141576583,0.206190962953161,0.206190962953161,0.206190962953161,0.206190962953161,0,0,0,0,0,0,-0.18917605753715,-0.187580106729407,-0.182457815929964,-0.186342794451617,0.00369471415765835,0,0,0,0,0,0,0,0,0,0,0.388648778883124,0.393771069682567,0.395367020490311,0.392533757404778,0.0036947141576583,0.206190962953161,0.206190962953161,0.206190962953161,0.206190962953161,0
"8","Female","sat_fat","FL","mrh-eq",-0.0226277711149591,-0.0224351942246203,-0.0218170860331172,-0.0222858849961416,0.000445839264191946,0,0,0,0,0,-0.0226277711149591,-0.0224351942246203,-0.0218170860331172,-0.0222858849961416,0.000445839264191946,-16.3736280187149,-16.2278024623347,-15.7857346028573,-16.1238577945813,0.322246200586279,-0.0175934432604032,-0.0174423981837229,-0.0169604281044249,-0.0173262841477167,0.000348010560178255,-0.00503432785455588,-0.00499279604089743,-0.00485665792869236,-0.00495960084842493,9.78297083554422e-05,0.0464462947888,0.0470644029803031,0.0472569798706418,0.0469150937518244,0.000445839264191939,0.0246292087556827,0.0246292087556827,0.0246292087556827,0.0246292087556827,0,0.036102702352689,0.036584672431987,0.0367357175086673,0.0364685583959808,0.000348010560178253,0.0191422742482641,0.0191422742482641,0.0191422742482641,0.0191422742482641,0,0.010343592436111,0.0104797305483161,0.0105212623619745,0.0104465353558436,9.78297083554431e-05,0.00548693450741864,0.00548693450741864,0.00548693450741864,0.00548693450741864,0,0,0,0,0,0,-0.00503432785455588,-0.00499279604089743,-0.00485665792869236,-0.00495960084842493,9.78297083554422e-05,0,0,0,0,0,0,0,0,0,0,0.010343592436111,0.0104797305483161,0.0105212623619745,0.0104465353558436,9.78297083554431e-05,0.00548693450741864,0.00548693450741864,0.00548693450741864,0.00548693450741864,0
"9","Female","sat_fat","Food_price","USD",-0.0981070186021416,-0.0979005422410002,-0.0946396846881196,-0.0968288295421443,0.00204737198119993,0,0,0,0,0,-0.0981070186021416,-0.0979005422410002,-0.0946396846881196,-0.0968288295421443,0.00204737198119993,-16.3736280187149,-16.2278024623347,-15.7857346028573,-16.1238577945813,0.322246200586279,-0.0762876249527195,-0.0761201958824331,-0.0735786123760374,-0.0752871592381842,0.00159792272553566,-0.0218193936494221,-0.0217803463585671,-0.0210610723120821,-0.0215416703039601,0.000449464870190713,0.202443919817234,0.205704777370114,0.205911253731256,0.204633064671258,0.00204737198119993,0.107804235129114,0.107804235129114,0.107804235129114,0.107804235129114,0,0.157376541823146,0.159918125329542,0.160085554399828,0.159085088685293,0.00159792272553557,0.0837979294471089,0.0837979294471089,0.0837979294471089,0.0837979294471089,0,0.0450673779940873,0.0457866520405722,0.0458256993314272,0.0455479759859652,0.000449464870190692,0.0240063056820051,0.0240063056820051,0.0240063056820051,0.0240063056820051,0,0,0,0,0,0,-0.0218193936494221,-0.0217803463585671,-0.0210610723120821,-0.0215416703039601,0.000449464870190713,0,0,0,0,0,0,0,0,0,0,0.0450673779940873,0.0457866520405722,0.0458256993314272,0.0455479759859652,0.000449464870190692,0.0240063056820051,0.0240063056820051,0.0240063056820051,0.0240063056820051,0
"10","Male","added_sugar","CED","MJ",-0.291805050035919,-0.287037259766414,-0.279271829577162,-0.285985456285801,0.00665902625633325,0,0,0,0,0,-0.291805050035919,-0.287037259766414,-0.279271829577162,-0.285985456285801,0.00665902625633325,-11.3153403185271,-11.1291450335403,-10.8295955731945,-11.0893716386775,0.257965089209319,-0.193420608740374,-0.190264316587759,-0.1850987676472,-0.189559314206024,0.00442226623255323,-0.0983844412955449,-0.096772943178655,-0.0941730619299622,-0.0964261420797768,0.00223677089046181,0.568602505602527,0.576367935791779,0.581135726061284,0.575316132311166,0.0066590262563332,0.289330676025365,0.289330676025365,0.289330676025365,0.289330676025365,0,0.376890567622682,0.382056116563241,0.385212408715856,0.381351114181506,0.00442226623255332,0.191791799975482,0.191791799975482,0.191791799975482,0.191791799975482,0,0.191711937979845,0.194311819228537,0.195923317345427,0.193965018129659,0.00223677089046185,0.0975388760498824,0.0975388760498824,0.0975388760498824,0.0975388760498824,0,0,0,0,0,0,-0.0983844412955449,-0.096772943178655,-0.0941730619299622,-0.0964261420797768,0.00223677089046181,0,0,0,0,0,0,0,0,0,0,0.191711937979845,0.194311819228537,0.195923317345427,0.193965018129659,0.00223677089046185,0.0975388760498824,0.0975388760498824,0.0975388760498824,0.0975388760498824,0
