"","sex_gp","race_gp","outcome","outcome_unit","impact_lower_bound (2.5th percentile)","impact_median","impact_upper_bound (97.5th percentile)","impact_mean","impact_SD","substitution_impact_lower_bound (2.5th percentile)","substitution_impact_median","substitution_impact_upper_bound  (97.5th percentile)","substitution_impact_mean","substitution_impact_SD","combined_impact_lower_bound (2.5th percentile)","combined_impact_median","combined_impact_upper_bound  (97.5th percentile)","combined_impact_mean","combined_impact_SD","delta_lower_bound (2.5th percentile)","delta_median","delta_upper_bound (97.5th percentile)","delta_mean","delta_SD","combined_consumed_impact_lower_bound (2.5th percentile)","combined_consumed_impact_median","combined_consumed_upper_bound (97.5th percentile)","combined_consumed_impact_mean","combined_consumed_impact_SD","combined_unconsumed_impact_lower_bound (2.5th percentile)","combined_unconsumed_impact_median","combined_unconsumed_upper_bound (97.5th percentile)","combined_unconsumed_impact_mean","combined_unconsumed_impact_SD","current_intake_impact_lower_bound (2.5th percentile)","current_intake_impact_median","current_intake_impact_upper_bound (97.5th percentile)","current_intake_impact_mean","current_intake_impact_SD","CF_intake_impact_lower_bound (2.5th percentile)","CF_intake_impact_median","CF_intake_impact_upper_bound  (97.5th percentile)","CF_intake_impact_mean","CF_intake_impact_SD","current_intake_consumed_impact_lower_bound (2.5th percentile)","current_intake_consumed_impact_median","current_intake_consumed_upper_bound (97.5th percentile)","current_intake_consumed_impact_mean","current_intake_consumed_impact_SD","CF_intake_consumed_impact_lower_bound (2.5th percentile)","CF_intake_consumed_impact_median","CF_intake_consumed_impact_upper_bound (97.5th percentile)","CF_intake_consumed_impact_mean","CF_intake_consumed_impact_SD","current_intake_unconsumed_impact_lower_bound (2.5th percentile)","current_intake_unconsumed_impact_median","current_intake_unconsumed_upper_bound (97.5th percentile)","current_intake_unconsumed_impact_mean","current_intake_unconsumed_impact_SD","CF_intake_unconsumed_impact_lower_bound (2.5th percentile)","CF_intake_unconsumed_impact_median","CF_intake_unconsumed_impact_upper_bound (97.5th percentile)","CF_intake_unconsumed_impact_mean","CF_intake_unconsumed_impact_SD","inedible_impact_lower_bound (2.5th percentile)","inedible_impact_median","inedible_upper_bound (97.5th percentile)","inedible_consumed_impact_mean","inedible_impact_SD","wasted_impact_lower_bound (2.5th percentile)","wasted_impact_median","wasted_unconsumed_upper_bound (97.5th percentile)","wasted_unconsumed_impact_mean","wasted_impact_SD","current_intake_inedible_impact_lower_bound (2.5th percentile)","current_intake_inedible_impact_median","current_intake_inedible_upper_bound (97.5th percentile)","current_intake_inedible_impact_mean","current_intake_inedible_impact_SD","CF_intake_inedible_impact_lower_bound (2.5th percentile)","CF_intake_inedible_impact_median","CF_intake_inedible_impact_upper_bound (97.5th percentile)","CF_intake_inedible_impact_mean","CF_intake_inedible_impact_SD","current_intake_wasted_impact_lower_bound (2.5th percentile)","current_intake_wasted_impact_median","current_intake_wasted_upper_bound (97.5th percentile)","current_intake_wasted_impact_mean","current_intake_wasted_impact_SD","CF_intake_wasted_impact_lower_bound (2.5th percentile)","CF_intake_wasted_impact_median","CF_intake_unconsumed_wasted_upper_bound (97.5th percentile)","CF_intake_wasted_impact_mean","CF_intake_wasted_impact_SD"
"1","Female","HIS","CED","MJ",-1.0379070519074,-1.0376168525077,-0.993257283016684,-1.02215391563356,0.0270475709756235,0,0,0,0,0,-1.0379070519074,-1.0376168525077,-0.993257283016684,-1.02215391563356,0.0270475709756235,-27.2114820028936,-27.0103782095309,-25.2740945877375,-26.4717186206079,1.12131975628265,-0.767250728680028,-0.766462087020102,-0.734675466483846,-0.755585603203846,0.0195619569173562,-0.271403457431514,-0.270324616371892,-0.258540309077052,-0.26656831242971,0.00751107992943609,2.50837232722628,2.55273189671731,2.553022096117,2.53726895984316,0.0270475709756241,1.5151150442096,1.5151150442096,1.5151150442096,1.5151150442096,0,1.89232913442358,1.92411575495983,1.92490439661976,1.91323927114358,0.0195619569173554,1.15765366793973,1.15765366793973,1.15765366793973,1.15765366793973,0,0.616001685346922,0.627785992641762,0.628864833701383,0.62402968869958,0.00751107992943631,0.35746137626987,0.35746137626987,0.35746137626987,0.35746137626987,0,0,0,0,0,0,-0.271403457431514,-0.270324616371892,-0.258540309077052,-0.26656831242971,0.00751107992943609,0,0,0,0,0,0,0,0,0,0,0.616001685346922,0.627785992641762,0.628864833701383,0.62402968869958,0.00751107992943631,0.35746137626987,0.35746137626987,0.35746137626987,0.35746137626987,0
"2","Female","HIS","FL","mrh-eq",-0.034624612120819,-0.0344269640979794,-0.0327571384682485,-0.0339104105517018,0.00107989604999582,0,0,0,0,0,-0.034624612120819,-0.0344269640979794,-0.0327571384682485,-0.0339104105517018,0.00107989604999582,-27.2114820028936,-27.0103782095309,-25.2740945877375,-26.4717186206079,1.12131975628265,-0.0251009014836929,-0.0249952428087773,-0.0237807606421001,-0.024606181934475,0.000772197226061979,-0.00952371063712617,-0.00943172128920207,-0.00897637782614846,-0.0093042286172268,0.00030850454395037,0.0865945416671507,0.0882643672968816,0.0884620153197212,0.087747813750604,0.00107989604999582,0.0538374031989022,0.0538374031989022,0.0538374031989022,0.0538374031989022,0,0.0648436638640413,0.0660581460307185,0.0661638047056341,0.0656690851564162,0.000772197226061957,0.0410629032219413,0.0410629032219413,0.0410629032219413,0.0410629032219413,0,0.0217508778031094,0.022206221266163,0.0222982106140871,0.0220787285941877,0.000308504543950375,0.0127744999769609,0.0127744999769609,0.0127744999769609,0.0127744999769609,0,0,0,0,0,0,-0.00952371063712617,-0.00943172128920207,-0.00897637782614846,-0.0093042286172268,0.00030850454395037,0,0,0,0,0,0,0,0,0,0,0.0217508778031094,0.022206221266163,0.0222982106140871,0.0220787285941877,0.000308504543950375,0.0127744999769609,0.0127744999769609,0.0127744999769609,0.0127744999769609,0
"3","Female","HIS","Food_price","USD",-0.5898612041875,-0.563935824746514,-0.53190139379037,-0.56179229789909,0.0305615939137854,0,0,0,0,0,-0.5898612041875,-0.563935824746514,-0.53190139379037,-0.56179229789909,0.0305615939137854,-27.2114820028936,-27.0103782095309,-25.2740945877375,-26.4717186206079,1.12131975628265,-0.401735388205227,-0.384773525099523,-0.36236205836448,-0.382861383475193,0.0207888640549342,-0.188125815982273,-0.179162299646991,-0.16953933542589,-0.178930914423897,0.00978441035786082,1.29262699049784,1.32466142145399,1.35058680089497,1.32251789460656,0.0305615939137853,0.760725596707475,0.760725596707475,0.760725596707475,0.760725596707475,0,0.916432574401629,0.938844041136672,0.955805904242377,0.936931899512343,0.0207888640549346,0.55407051603715,0.55407051603715,0.55407051603715,0.55407051603715,0,0.376194416096215,0.385817380317316,0.394780896652598,0.385585995094222,0.00978441035786087,0.206655080670325,0.206655080670325,0.206655080670325,0.206655080670325,0,0,0,0,0,0,-0.188125815982273,-0.179162299646991,-0.16953933542589,-0.178930914423897,0.00978441035786082,0,0,0,0,0,0,0,0,0,0,0.376194416096215,0.385817380317316,0.394780896652598,0.385585995094222,0.00978441035786087,0.206655080670325,0.206655080670325,0.206655080670325,0.206655080670325,0
"4","Female","NHB","CED","MJ",-1.18811921540476,-1.18184943510117,-1.15685689059267,-1.17528004415208,0.017409681870954,0,0,0,0,0,-1.18811921540476,-1.18184943510117,-1.15685689059267,-1.17528004415208,0.017409681870954,-37.4422021357736,-36.7596253975031,-35.9162500367346,-36.7032048282056,0.804617653370002,-0.871853134322248,-0.866607375635777,-0.848878088044076,-0.862227190054995,0.0126731652731528,-0.316266081082512,-0.315242059465389,-0.307978802548595,-0.313052854097083,0.00475595572215482,2.60570424509143,2.63069678959993,2.63696656990352,2.62412739865084,0.017409681870955,1.44884735449876,1.44884735449876,1.44884735449876,1.44884735449876,0,1.95427736276321,1.97200665035491,1.97725240904138,1.96762646477413,0.0126731652731537,1.10539927471913,1.10539927471913,1.10539927471913,1.10539927471913,0,0.651426882328222,0.658690139245015,0.659714160862138,0.65650093387671,0.0047559557221549,0.343448079779627,0.343448079779627,0.343448079779627,0.343448079779627,0,0,0,0,0,0,-0.316266081082512,-0.315242059465389,-0.307978802548595,-0.313052854097083,0.00475595572215482,0,0,0,0,0,0,0,0,0,0,0.651426882328222,0.658690139245015,0.659714160862138,0.65650093387671,0.0047559557221549,0.343448079779627,0.343448079779627,0.343448079779627,0.343448079779627,0
"5","Female","NHB","FL","mrh-eq",-0.0400423628032629,-0.0397009165171665,-0.0386779872925262,-0.0394617996966248,0.000747354867582857,0,0,0,0,0,-0.0400423628032629,-0.0397009165171665,-0.0386779872925262,-0.0394617996966248,0.000747354867582857,-37.4422021357736,-36.7596253975031,-35.9162500367346,-36.7032048282056,0.804617653370002,-0.0289680412203282,-0.0286872902549727,-0.0279773774675332,-0.0285367071595046,0.000537462995169316,-0.0110743215829347,-0.0110136262621938,-0.010700609824993,-0.0109250925371202,0.000211106083243874,0.088644630405613,0.0896675596302533,0.0900090059163497,0.0894284428097115,0.000747354867582851,0.0499666431130868,0.0499666431130868,0.0499666431130868,0.0499666431130868,0,0.0661157941777674,0.0668257069652069,0.0671064579305624,0.0666751238697389,0.000537462995169313,0.0381384167102342,0.0381384167102342,0.0381384167102342,0.0381384167102342,0,0.0225288362278455,0.0228418526650463,0.0229025479857872,0.0227533189399727,0.000211106083243863,0.0118282264028525,0.0118282264028525,0.0118282264028525,0.0118282264028525,0,0,0,0,0,0,-0.0110743215829347,-0.0110136262621938,-0.010700609824993,-0.0109250925371202,0.000211106083243874,0,0,0,0,0,0,0,0,0,0,0.0225288362278455,0.0228418526650463,0.0229025479857872,0.0227533189399727,0.000211106083243863,0.0118282264028525,0.0118282264028525,0.0118282264028525,0.0118282264028525,0
"6","Female","NHB","Food_price","USD",-0.843669850843854,-0.836561733354832,-0.827949629727766,-0.836034018920431,0.00828641285801737,0,0,0,0,0,-0.843669850843854,-0.836561733354832,-0.827949629727766,-0.836034018920431,0.00828641285801737,-37.4422021357736,-36.7596253975031,-35.9162500367346,-36.7032048282056,0.804617653370002,-0.572019585096271,-0.568332766838286,-0.562050359407604,-0.567422033795235,0.00530590940132655,-0.271650265747584,-0.268228966516546,-0.265899270320162,-0.268611985125196,0.0030449607554468,1.59105834477727,1.59967044840434,1.60677856589336,1.59914273396993,0.00828641285801775,0.763108715049503,0.763108715049503,0.763108715049503,0.763108715049503,0,1.10969980832049,1.11598221575117,1.11966903400915,1.11507148270812,0.00530590940132619,0.547649448912882,0.547649448912882,0.547649448912882,0.547649448912882,0,0.481358536456783,0.483688232653167,0.487109531884205,0.484071251261818,0.00304496075544668,0.215459266136621,0.215459266136621,0.215459266136621,0.215459266136621,0,0,0,0,0,0,-0.271650265747584,-0.268228966516546,-0.265899270320162,-0.268611985125196,0.0030449607554468,0,0,0,0,0,0,0,0,0,0,0.481358536456783,0.483688232653167,0.487109531884205,0.484071251261818,0.00304496075544668,0.215459266136621,0.215459266136621,0.215459266136621,0.215459266136621,0
"7","Female","NHW","CED","MJ",-1.31127791353449,-1.29984679950906,-1.2667625781989,-1.29224921800565,0.0243354942093285,0,0,0,0,0,-1.31127791353449,-1.29984679950906,-1.2667625781989,-1.29224921800565,0.0243354942093285,-34.4003969027851,-34.3825406116864,-34.1656698930478,-34.3127109879882,0.137547792305146,-0.982466220320878,-0.975296812886816,-0.950083498304058,-0.968965617396045,0.0179037764599502,-0.328811693213615,-0.32454998662224,-0.316679079894841,-0.3232836006096,0.00647908235533235,2.78627650327163,2.81936072458179,2.83079183860723,2.81176314307838,0.0243354942093294,1.51951392507273,1.51951392507273,1.51951392507273,1.51951392507273,0,2.11775893349435,2.14297224807711,2.15014165551117,2.13664105258634,0.0179037764599495,1.16767543519029,1.16767543519029,1.16767543519029,1.16767543519029,0,0.668517569777278,0.676388476504677,0.680650183096052,0.675122090492037,0.00647908235533226,0.351838489882437,0.351838489882437,0.351838489882437,0.351838489882437,0,0,0,0,0,0,-0.328811693213615,-0.32454998662224,-0.316679079894841,-0.3232836006096,0.00647908235533235,0,0,0,0,0,0,0,0,0,0,0.668517569777278,0.676388476504677,0.680650183096052,0.675122090492037,0.00647908235533226,0.351838489882437,0.351838489882437,0.351838489882437,0.351838489882437,0
"8","Female","NHW","FL","mrh-eq",-0.0427571511286277,-0.0423687374863013,-0.0415998398999681,-0.0422352343480533,0.000619986884529894,0,0,0,0,0,-0.0427571511286277,-0.0423687374863013,-0.0415998398999681,-0.0422352343480533,0.000619986884529894,-34.4003969027851,-34.3825406116864,-34.1656698930478,-34.3127109879882,0.137547792305146,-0.031452992092544,-0.0312294468325683,-0.0306564832240932,-0.0311068439032703,0.000432452295078895,-0.0113041590360837,-0.011139290653733,-0.010943356675875,-0.011128390444783,0.000190130465150811,0.0953457992832811,0.0961146968696144,0.0965031105119407,0.0959811937313663,0.000619986884529883,0.053745959383313,0.053745959383313,0.053745959383313,0.053745959383313,0,0.0718188840728851,0.0723918476813602,0.072615392941336,0.0722692447520622,0.000432452295078884,0.0411624008487919,0.0411624008487919,0.0411624008487919,0.0411624008487919,0,0.023526915210396,0.0237228491882541,0.0238877175706047,0.0237119489793041,0.000190130465150811,0.0125835585345211,0.0125835585345211,0.0125835585345211,0.0125835585345211,0,0,0,0,0,0,-0.0113041590360837,-0.011139290653733,-0.010943356675875,-0.011128390444783,0.000190130465150811,0,0,0,0,0,0,0,0,0,0,0.023526915210396,0.0237228491882541,0.0238877175706047,0.0237119489793041,0.000190130465150811,0.0125835585345211,0.0125835585345211,0.0125835585345211,0.0125835585345211,0
"9","Female","NHW","Food_price","USD",-0.745252837479466,-0.726252642517753,-0.725196303531474,-0.732548732333695,0.0118811272447715,0,0,0,0,0,-0.745252837479466,-0.726252642517753,-0.725196303531474,-0.732548732333695,0.0118811272447715,-34.4003969027851,-34.3825406116864,-34.1656698930478,-34.3127109879882,0.137547792305146,-0.509179561249686,-0.49792872203188,-0.496157791246437,-0.501255005692358,0.0074343426222609,-0.236110886324473,-0.22907612237973,-0.228361530580566,-0.231293726641336,0.00450814507848007,1.57094895174691,1.57200529073319,1.5910054856949,1.57830138054913,0.0118811272447717,0.845752648215436,0.845752648215436,0.845752648215436,0.845752648215436,0,1.10932967504963,1.11110060583507,1.12235144505288,1.11442688949555,0.00743434262226068,0.61317188380319,0.61317188380319,0.61317188380319,0.61317188380319,0,0.460942294992812,0.461656886791976,0.468691650736718,0.463874491053582,0.00450814507848007,0.232580764412246,0.232580764412246,0.232580764412246,0.232580764412246,0,0,0,0,0,0,-0.236110886324473,-0.22907612237973,-0.228361530580566,-0.231293726641336,0.00450814507848007,0,0,0,0,0,0,0,0,0,0,0.460942294992812,0.461656886791976,0.468691650736718,0.463874491053582,0.00450814507848007,0.232580764412246,0.232580764412246,0.232580764412246,0.232580764412246,0
"10","Female","OTH","CED","MJ",-0.965225901668845,-0.954096699606007,-0.939291128040013,-0.952806745394373,0.0136955187495407,0,0,0,0,0,-0.965225901668845,-0.954096699606007,-0.939291128040013,-0.952806745394373,0.0136955187495407,-26.8635969224404,-26.6063257870972,-26.4186176723148,-26.6307338644869,0.235151591144484,-0.726820029948654,-0.717974464116531,-0.707854941396523,-0.717527461699729,0.00998912944484202,-0.23840587172019,-0.236122235489478,-0.23143618664349,-0.235279283694644,0.00374019020480992,2.42606122138818,2.44086679295417,2.45199599501701,2.43957683874254,0.0136955187495406,1.48677009334816,1.48677009334816,1.48677009334816,1.48677009334816,0,1.85310710753291,1.86322663025292,1.87207219608504,1.86277962783612,0.00998912944484243,1.14525216613639,1.14525216613639,1.14525216613639,1.14525216613639,0,0.572954113855264,0.577640162701252,0.579923798931963,0.576797210906418,0.00374019020480987,0.341517927211774,0.341517927211774,0.341517927211774,0.341517927211774,0,0,0,0,0,0,-0.23840587172019,-0.236122235489478,-0.23143618664349,-0.235279283694644,0.00374019020480992,0,0,0,0,0,0,0,0,0,0,0.572954113855264,0.577640162701252,0.579923798931963,0.576797210906418,0.00374019020480987,0.341517927211774,0.341517927211774,0.341517927211774,0.341517927211774,0
