Foodgroup,sex_gp,race_gp,age_gp,subgroup_id,population,Intake_unit,outcome,outcome_unit,X1,X2,X3
added_sugar,Female,NHW,20-34,1,18192633,tsp eq/day,CED,MJ,-3861321.79570824,-3689004.55178415,-4003484.87601001
added_sugar,Female,NHW,20-34,1,18192633,tsp eq/day,Food_price,USD,-8502106.22559243,-7811385.53374333,-8547702.77484276
added_sugar,Female,NHW,20-34,1,18192633,tsp eq/day,FL,mrh-eq,-177669.048332126,-169740.302073983,-184210.326298974
oil,Female,NHW,20-34,1,18192633,g/day,CED,MJ,-526040.818642777,-292726.193527409,-363227.897165435
oil,Female,NHW,20-34,1,18192633,g/day,Food_price,USD,-343685.574096829,-183408.043390786,-218892.637148189
oil,Female,NHW,20-34,1,18192633,g/day,FL,mrh-eq,-28043.7222034222,-15605.5039115178,-19364.0148894185
sat_fat,Female,NHW,20-34,1,18192633,g/day,CED,MJ,-11785221.956886,-12417470.6684694,-12110466.3171954
sat_fat,Female,NHW,20-34,1,18192633,g/day,Food_price,USD,-1408972.89027617,-1446369.59603619,-1466887.86282293
sat_fat,Female,NHW,20-34,1,18192633,g/day,FL,mrh-eq,-307173.447728616,-323652.561763934,-315650.711192639
added_sugar,Female,NHB,20-34,2,4596338,tsp eq/day,CED,MJ,-1278106.41179086,-1173826.22553379,-1281229.79835732
added_sugar,Female,NHB,20-34,2,4596338,tsp eq/day,Food_price,USD,-2300364.26364032,-2006387.42593352,-2358411.77002516
added_sugar,Female,NHB,20-34,2,4596338,tsp eq/day,FL,mrh-eq,-50239.6810671178,-46140.645767049,-50362.4548389263
oil,Female,NHB,20-34,2,4596338,g/day,CED,MJ,-184179.056860071,-218741.070011673,-215773.952384043
oil,Female,NHB,20-34,2,4596338,g/day,Food_price,USD,-134781.737427385,-153687.126399025,-154827.503603753
oil,Female,NHB,20-34,2,4596338,g/day,FL,mrh-eq,-9488.04661849357,-11268.5204552151,-11115.668383685
sat_fat,Female,NHB,20-34,2,4596338,g/day,CED,MJ,-2833056.55076324,-2667683.61371175,-2667815.50235081
sat_fat,Female,NHB,20-34,2,4596338,g/day,Food_price,USD,-308150.07030801,-301480.146693604,-301886.58820379
sat_fat,Female,NHB,20-34,2,4596338,g/day,FL,mrh-eq,-74229.052354295,-69896.1079945816,-69899.5636152226
added_sugar,Female,HIS,20-34,3,6549965,tsp eq/day,CED,MJ,-1394999.52103435,-1575125.87095437,-1590839.74517343
added_sugar,Female,HIS,20-34,3,6549965,tsp eq/day,Food_price,USD,-2103673.72734645,-2388130.22478745,-2447976.1363435
added_sugar,Female,HIS,20-34,3,6549965,tsp eq/day,FL,mrh-eq,-60468.4135008026,-68276.2689481491,-68957.4111490246
oil,Female,HIS,20-34,3,6549965,g/day,CED,MJ,-35333.4651510339,-21510.6464367211,-54090.8290211346
oil,Female,HIS,20-34,3,6549965,g/day,Food_price,USD,-18814.7224561929,-25603.7316798638,-44560.1099271504
oil,Female,HIS,20-34,3,6549965,g/day,FL,mrh-eq,-1823.82237592487,-1110.32411126969,-2792.02913949651
sat_fat,Female,HIS,20-34,3,6549965,g/day,CED,MJ,-3807388.77119027,-3757219.69459568,-3909428.73355861
