Foodgroup,sex_gp,race_gp,age_gp,subgroup_id,population,Intake_unit,outcome,outcome_unit,X1,X2,X3
added_sugar,Female,NHW,20-34,1,18192633,tsp eq/day,CED,MJ,-1965664.94449598,-1877944.21474737,-2038035.23584579
added_sugar,Female,NHW,20-34,1,18192633,tsp eq/day,Food_price,USD,-4328127.26994248,-3976505.33262691,-4351338.89103838
added_sugar,Female,NHW,20-34,1,18192633,tsp eq/day,FL,mrh-eq,-90445.1476736778,-86408.8980684885,-93775.0853147024
oil,Female,NHW,20-34,1,18192633,g/day,CED,MJ,-104707.759596309,-58266.7785714642,-72300.0535076312
oil,Female,NHW,20-34,1,18192633,g/day,Food_price,USD,-68410.1788186284,-36507.1390561287,-43570.3025614039
oil,Female,NHW,20-34,1,18192633,g/day,FL,mrh-eq,-5582.06743392596,-3106.25581520905,-3854.38267146612
sat_fat,Female,NHW,20-34,1,18192633,g/day,CED,MJ,-3275294.62362857,-3451006.27449276,-3365685.03872502
sat_fat,Female,NHW,20-34,1,18192633,g/day,Food_price,USD,-391575.258339839,-401968.378619223,-407670.720852459
sat_fat,Female,NHW,20-34,1,18192633,g/day,FL,mrh-eq,-85368.2302758112,-89948.0297738174,-87724.1923059173
added_sugar,Female,NHB,20-34,2,4596338,tsp eq/day,CED,MJ,-654855.627713903,-601426.221367515,-656455.938338827
added_sugar,Female,NHB,20-34,2,4596338,tsp eq/day,Food_price,USD,-1178623.68104864,-1028000.55232175,-1208365.12971066
added_sugar,Female,NHB,20-34,2,4596338,tsp eq/day,FL,mrh-eq,-25741.0005754179,-23640.8027282864,-25803.9054279894
oil,Female,NHB,20-34,2,4596338,g/day,CED,MJ,-36297.8969914541,-43109.3576134252,-42524.5998681888
oil,Female,NHB,20-34,2,4596338,g/day,Food_price,USD,-26562.7031915216,-30288.5658013911,-30513.3106503132
oil,Female,NHB,20-34,2,4596338,g/day,FL,mrh-eq,-1869.89848183362,-2220.79318736138,-2190.66919366788
sat_fat,Female,NHB,20-34,2,4596338,g/day,CED,MJ,-826431.499872058,-778190.526931053,-778229.000192648
sat_fat,Female,NHB,20-34,2,4596338,g/day,Food_price,USD,-89890.5193832863,-87944.8346156451,-88063.3977508508
sat_fat,Female,NHB,20-34,2,4596338,g/day,FL,mrh-eq,-21653.3718872343,-20389.4078110158,-20390.4158508125
added_sugar,Female,HIS,20-34,3,6549965,tsp eq/day,CED,MJ,-710636.442171508,-802395.863245423,-810400.777583661
added_sugar,Female,HIS,20-34,3,6549965,tsp eq/day,Food_price,USD,-1071647.11567979,-1216554.08535686,-1247040.60884696
added_sugar,Female,HIS,20-34,3,6549965,tsp eq/day,FL,mrh-eq,-30803.6365504299,-34781.090687459,-35128.0760899229
oil,Female,HIS,20-34,3,6549965,g/day,CED,MJ,-7031.34788028964,-4280.61152734313,-10764.0570873851
oil,Female,HIS,20-34,3,6549965,g/day,Food_price,USD,-3744.12354675944,-5095.13413714656,-8867.44713948817
oil,Female,HIS,20-34,3,6549965,g/day,FL,mrh-eq,-362.940049671546,-220.954130958817,-555.612875436621
sat_fat,Female,HIS,20-34,3,6549965,g/day,CED,MJ,-1163430.40947159,-1148100.15747134,-1194610.93826312
sat_fat,Female,HIS,20-34,3,6549965,g/day,Food_price,USD,-171447.438207367,-169852.382588531,-179082.97061034
sat_fat,Female,HIS,20-34,3,6549965,g/day,FL,mrh-eq,-31849.1798484175,-31429.5106107023,-32702.7541242534
added_sugar,Female,OTH,20-34,4,3878604,tsp eq/day,CED,MJ,-323973.37411154,-307569.887377657,-351513.638485444
added_sugar,Female,OTH,20-34,4,3878604,tsp eq/day,Food_price,USD,-608017.848088205,-622477.119371217,-683094.599200084
added_sugar,Female,OTH,20-34,4,3878604,tsp eq/day,FL,mrh-eq,-14728.7030190151,-13982.9562883084,-15980.757685979
oil,Female,OTH,20-34,4,3878604,g/day,CED,MJ,-36799.6704430981,-17398.6828613311,-24466.980207471
oil,Female,OTH,20-34,4,3878604,g/day,Food_price,USD,-30110.9862822463,-10316.8903874943,-23276.1121508996
oil,Female,OTH,20-34,4,3878604,g/day,FL,mrh-eq,-1883.50962838959,-890.513047971065,-1252.28819289691
sat_fat,Female,OTH,20-34,4,3878604,g/day,CED,MJ,-516645.372835791,-555402.552659704,-557834.452159014
sat_fat,Female,OTH,20-34,4,3878604,g/day,Food_price,USD,-66411.5590928226,-72163.9733628211,-72529.5129330741
sat_fat,Female,OTH,20-34,4,3878604,g/day,FL,mrh-eq,-13683.6110515354,-14710.1143399591,-14774.524414286
added_sugar,Male,NHW,20-34,5,19295314,tsp eq/day,CED,MJ,-1462079.1644881,-1473725.91735443,-1444469.11301955
added_sugar,Male,NHW,20-34,5,19295314,tsp eq/day,Food_price,USD,-2900342.13862884,-2865789.20414699,-2961967.39264974
added_sugar,Male,NHW,20-34,5,19295314,tsp eq/day,FL,mrh-eq,-59977.8113256385,-60455.5876068002,-59255.4069784119
oil,Male,NHW,20-34,5,19295314,g/day,CED,MJ,78656.0325708452,99565.6313384169,90774.4984114909
oil,Male,NHW,20-34,5,19295314,g/day,Food_price,USD,65311.1656776333,66605.2050290274,56251.4734320416
oil,Male,NHW,20-34,5,19295314,g/day,FL,mrh-eq,4033.33761014719,5105.54362367036,4654.75039254676
sat_fat,Male,NHW,20-34,5,19295314,g/day,CED,MJ,-3751519.18652496,-3561706.88615285,-3653388.10785442
sat_fat,Male,NHW,20-34,5,19295314,g/day,Food_price,USD,-425522.411545716,-405282.939450399,-419263.326030336
sat_fat,Male,NHW,20-34,5,19295314,g/day,FL,mrh-eq,-102100.07470475,-96934.2074695554,-99429.3725265209
added_sugar,Male,NHB,20-34,6,4186659,tsp eq/day,CED,MJ,-518532.757780373,-543203.754666892,-567550.626066611
added_sugar,Male,NHB,20-34,6,4186659,tsp eq/day,Food_price,USD,-916707.329880568,-1016051.55577974,-977798.859079465
added_sugar,Male,NHB,20-34,6,4186659,tsp eq/day,FL,mrh-eq,-20219.6104066516,-21181.6285972178,-22131.007873525
oil,Male,NHB,20-34,6,4186659,g/day,CED,MJ,4119.80375945193,542.35080459755,14665.9015563924
oil,Male,NHB,20-34,6,4186659,g/day,Food_price,USD,-1939.05402187878,2425.74897307739,2852.40142946998
oil,Male,NHB,20-34,6,4186659,g/day,FL,mrh-eq,203.466803248414,26.785349714169,724.312195596438
sat_fat,Male,NHB,20-34,6,4186659,g/day,CED,MJ,-690147.700314921,-627669.03609154,-644316.475788764
sat_fat,Male,NHB,20-34,6,4186659,g/day,Food_price,USD,-65739.7189887333,-57116.5492571842,-59684.1217335884
sat_fat,Male,NHB,20-34,6,4186659,g/day,FL,mrh-eq,-18571.8986354704,-16890.5956067032,-17338.5787883553
added_sugar,Male,HIS,20-34,7,6886181,tsp eq/day,CED,MJ,-681509.999762546,-623636.4874955,-656005.006697438
added_sugar,Male,HIS,20-34,7,6886181,tsp eq/day,Food_price,USD,-1218812.17761294,-1097272.34461665,-1191887.11918339
added_sugar,Male,HIS,20-34,7,6886181,tsp eq/day,FL,mrh-eq,-24927.0728929522,-22810.2774543607,-23994.1961611511
