sex_gp,race_gp,age_gp,subgroup_id,population,Foodgroup,Intake_unit,outcome,outcome_unit,subgroup,Age,Age_label,Sex,Sex_label,Race,Race_label,population.se,agecat,female,race,age,mean_impact,sd_impact,median_impact,lowerci_95_impact,upperci_95_impact
Female,HIS,20-34,3,6549965,added_sugar,tsp eq/day,CED,MJ,3,1,20-34,1,Female,3,HIS,0,1,1,3,25,0.4222497170673696,0.01661325245443678,0.4306168088864842,0.4044914734955302,0.43289593259296155
Female,HIS,20-34,3,6549965,added_sugar,tsp eq/day,Food_price,USD,3,1,20-34,1,Female,3,HIS,0,1,1,3,25,0.6416965326264059,0.02808519611296138,0.6531271578732558,0.6118698881673947,0.6618071456255946
Female,HIS,20-34,3,6549965,added_sugar,tsp eq/day,FL,mrh-eq,3,1,20-34,1,Female,3,HIS,0,1,1,3,25,0.01830306756900877,7.201271425980911e-4,0.01866575211498069,0.01753330901414287,0.018764544259798538
Female,HIS,20-34,3,6549965,oil,g/day,CED,MJ,3,1,20-34,1,Female,3,HIS,0,1,1,3,25,0.2603851472185335,0.0024965407062843927,0.26013402398577384,0.25812917697077487,0.26285457221413777
Female,HIS,20-34,3,6549965,oil,g/day,Food_price,USD,3,1,20-34,1,Female,3,HIS,0,1,1,3,25,0.1772388962241438,0.0020371539873676506,0.1766196883849358,0.17563501766341463,0.17936910144819976
Female,HIS,20-34,3,6549965,oil,g/day,FL,mrh-eq,3,1,20-34,1,Female,3,HIS,0,1,1,3,25,0.013440409985991839,1.2886499478795488e-4,0.013427447652151547,0.013323962618044912,0.013567875337703011
Female,HIS,20-34,3,6549965,sat_fat,g/day,CED,MJ,3,1,20-34,1,Female,3,HIS,0,1,1,3,25,1.3120669323924092,0.011841835817575386,1.3094271785528213,1.3021507087144542,1.324226946834014
Female,HIS,20-34,3,6549965,sat_fat,g/day,Food_price,USD,3,1,20-34,1,Female,3,HIS,0,1,1,3,25,0.19397893625925616,0.002465028631160063,0.1929729366799534,0.19221584709650744,0.1965971250644122
Female,HIS,20-34,3,6549965,sat_fat,g/day,FL,mrh-eq,3,1,20-34,1,Female,3,HIS,0,1,1,3,25,0.03591813946302693,3.2417302798603957e-4,0.035845875583633655,0.03564668051819855,0.03625102270533961
Female,HIS,35-44,11,4706043,added_sugar,tsp eq/day,CED,MJ,11,2,35-44,1,Female,3,HIS,0,2,1,3,35,0.36180391173017784,0.007225762316089305,0.36408807792801107,0.3542309090402106,0.3674353731519868
