Foodgroup,sex_gp,race_gp,age_gp,subgroup_id,population,Intake_unit,outcome,outcome_unit,X1,X2,X3
added_sugar,Female,NHW,20-34,1,18192633,tsp eq/day,CED,MJ,-233988392.84039,-223546311.838672,-242603191.720406
added_sugar,Female,NHW,20-34,1,18192633,tsp eq/day,Food_price,USD,-233988392.84039,-223546311.838672,-242603191.720406
added_sugar,Female,NHW,20-34,1,18192633,tsp eq/day,FL,mrh-eq,-233988392.84039,-223546311.838672,-242603191.720406
oil,Female,NHW,20-34,1,18192633,g/day,CED,MJ,-67521665.9384501,-37573814.7123028,-46623288.2748688
oil,Female,NHW,20-34,1,18192633,g/day,Food_price,USD,-67521665.9384501,-37573814.7123028,-46623288.2748688
oil,Female,NHW,20-34,1,18192633,g/day,FL,mrh-eq,-67521665.9384501,-37573814.7123028,-46623288.2748688
sat_fat,Female,NHW,20-34,1,18192633,g/day,CED,MJ,-292498219.493012,-308190042.955603,-300570481.232219
sat_fat,Female,NHW,20-34,1,18192633,g/day,Food_price,USD,-292498219.493012,-308190042.955603,-300570481.232219
sat_fat,Female,NHW,20-34,1,18192633,g/day,FL,mrh-eq,-292498219.493012,-308190042.955603,-300570481.232219
added_sugar,Female,NHB,20-34,2,4596338,tsp eq/day,CED,MJ,-74875297.6237167,-68766252.3124467,-75058274.9537732
added_sugar,Female,NHB,20-34,2,4596338,tsp eq/day,Food_price,USD,-74875297.6237167,-68766252.3124467,-75058274.9537732
added_sugar,Female,NHB,20-34,2,4596338,tsp eq/day,FL,mrh-eq,-74875297.6237167,-68766252.3124467,-75058274.9537732
oil,Female,NHB,20-34,2,4596338,g/day,CED,MJ,-23811205.6610633,-28279483.5274139,-27895885.9064002
oil,Female,NHB,20-34,2,4596338,g/day,Food_price,USD,-23811205.6610633,-28279483.5274139,-27895885.9064002
oil,Female,NHB,20-34,2,4596338,g/day,FL,mrh-eq,-23811205.6610633,-28279483.5274139,-27895885.9064002
sat_fat,Female,NHB,20-34,2,4596338,g/day,CED,MJ,-76205240.481166,-71756940.8403803,-71760488.4594541
sat_fat,Female,NHB,20-34,2,4596338,g/day,Food_price,USD,-76205240.481166,-71756940.8403803,-71760488.4594541
sat_fat,Female,NHB,20-34,2,4596338,g/day,FL,mrh-eq,-76205240.481166,-71756940.8403803,-71760488.4594541
added_sugar,Female,HIS,20-34,3,6549965,tsp eq/day,CED,MJ,-82392302.0861949,-93031033.0767902,-93959135.3822598
added_sugar,Female,HIS,20-34,3,6549965,tsp eq/day,Food_price,USD,-82392302.0861949,-93031033.0767902,-93959135.3822598
added_sugar,Female,HIS,20-34,3,6549965,tsp eq/day,FL,mrh-eq,-82392302.0861949,-93031033.0767902,-93959135.3822598
oil,Female,HIS,20-34,3,6549965,g/day,CED,MJ,-4490271.92114253,-2733630.88753287,-6874008.24421587
oil,Female,HIS,20-34,3,6549965,g/day,Food_price,USD,-4490271.92114253,-2733630.88753287,-6874008.24421587
