age_gp,sex_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,Female,NHW,added_sugar,CED,MJ,-3041350.21554183,-3473059.62165035,-3151410.47779887
20-34,Female,NHW,added_sugar,Food_price,USD,-4126249.40329128,-4711956.59026617,-4275569.954783
20-34,Female,NHW,added_sugar,FL,mrh-eq,-139940.110415198,-159804.137139047,-145004.257639635
20-34,Female,NHW,oil,CED,MJ,-193575.659242509,-185731.511716611,-275474.496767013
20-34,Female,NHW,oil,Food_price,USD,-215528.639397562,-206794.904742564,-306715.439891858
20-34,Female,NHW,oil,FL,mrh-eq,-10319.6972948741,-9901.51854078713,-14685.8000133783
20-34,Female,NHW,sat_fat,CED,MJ,-10210904.8452542,-9406655.50355736,-10576390.0477691
20-34,Female,NHW,sat_fat,Food_price,USD,-1696373.00115031,-1562760.27141446,-1757092.32419389
20-34,Female,NHW,sat_fat,FL,mrh-eq,-266139.989320517,-245177.80090979,-275666.101782464
20-34,Female,NHB,added_sugar,CED,MJ,-1031128.6501612,-924338.937863501,-1015448.1936821
20-34,Female,NHB,added_sugar,Food_price,USD,-998223.482208646,-894841.621509494,-983043.417270344
20-34,Female,NHB,added_sugar,FL,mrh-eq,-40531.5035159555,-36333.8240132228,-39915.137675655
20-34,Female,NHB,oil,CED,MJ,-110365.074956663,-81720.7953578693,-75123.5775398435
20-34,Female,NHB,oil,Food_price,USD,-151152.14351865,-111921.940824498,-102886.622225334
20-34,Female,NHB,oil,FL,mrh-eq,-5685.49429068869,-4209.87450622533,-3870.01659144981
20-34,Female,NHB,sat_fat,CED,MJ,-1735226.34497454,-1693167.81825135,-1747500.99020355
20-34,Female,NHB,sat_fat,Food_price,USD,-308232.569949525,-300761.609277608,-310412.945699992
20-34,Female,NHB,sat_fat,FL,mrh-eq,-45464.7497851629,-44362.7722827233,-45786.3583612743
20-34,Female,HIS,added_sugar,CED,MJ,-1168991.33464874,-1291833.63969543,-1265175.07939934
