race_gp,outcome,outcome_unit,X1,X2,X3
NHW,CED,MJ,-127561024.667523,-128749449.143722,-124064429.24292
NHW,Food_price,USD,-56912831.8891387,-58967809.4331163,-54545930.0717166
NHW,FL,mrh-eq,-4139820.02233912,-4212564.96340939,-4019514.16722089
NHB,CED,MJ,-18328317.1694839,-17557709.3168895,-18205106.5724667
NHB,Food_price,USD,-8725667.0823797,-8205470.39801892,-8882472.33757822
NHB,FL,mrh-eq,-601439.968737892,-573315.801310489,-599487.076101963
HIS,CED,MJ,-23362447.5762232,-24085968.0235272,-22678843.5772788
HIS,Food_price,USD,-8958043.72460045,-9445768.23338565,-8577387.91243971
HIS,FL,mrh-eq,-746559.710791534,-775818.112240788,-719947.340544882
OTH,CED,MJ,-14168095.7614086,-14691381.9881193,-14732577.4636837
OTH,Food_price,USD,-5816649.50904598,-6620536.72946102,-6411488.91986862
OTH,FL,mrh-eq,-452499.308652438,-485185.492830218,-476395.370702766
