race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
NHW,added_sugar,CED,MJ,-34429024.7450889,-35555951.2497988,-32430642.7452926
NHW,added_sugar,Food_price,USD,-42692158.5655796,-44333833.2153881,-40374219.8146344
NHW,added_sugar,FL,mrh-eq,-1610223.4079914,-1666382.82590983,-1524681.90316886
NHW,oil,CED,MJ,-558046.639273313,-1064492.00393285,-815997.012631892
NHW,oil,Food_price,USD,-610259.50517377,-1085034.87836091,-796664.475789388
NHW,oil,FL,mrh-eq,-28164.1061865722,-54324.0141505157,-40446.9476706672
NHW,sat_fat,CED,MJ,-92573953.2831603,-92129005.8899899,-90817789.4849951
NHW,sat_fat,Food_price,USD,-13610413.8183853,-13548941.3393673,-13375045.7812928
NHW,sat_fat,FL,mrh-eq,-2501432.50816115,-2491858.12334905,-2454385.31638137
NHB,added_sugar,CED,MJ,-6558915.46293108,-6185301.18665798,-6666012.46834782
NHB,added_sugar,Food_price,USD,-6563891.5484633,-6222155.93626552,-6716668.36042496
NHB,added_sugar,FL,mrh-eq,-278974.015746888,-264559.151538047,-284040.661607306
NHB,oil,CED,MJ,-357782.10979631,-217229.544272412,-342170.529478633
NHB,oil,Food_price,USD,-375761.451844206,-238634.922050627,-405771.958251986
NHB,oil,FL,mrh-eq,-17797.3231182468,-10760.2209049902,-16797.6469555421
NHB,sat_fat,CED,MJ,-11411619.5967565,-11155178.5859591,-11196923.5746403
NHB,sat_fat,Food_price,USD,-1786014.0820722,-1744679.53970277,-1760032.01890127
NHB,sat_fat,FL,mrh-eq,-304668.629872757,-297996.428867452,-298648.767539115
HIS,added_sugar,CED,MJ,-6533832.70027764,-6985161.41381808,-6318275.81095805
HIS,added_sugar,Food_price,USD,-6595838.38981829,-7027300.137371,-6361974.18961643
HIS,added_sugar,FL,mrh-eq,-296426.427926729,-318167.206066236,-285319.441244011
HIS,oil,CED,MJ,385118.63928708,396305.179710444,502071.915803378
HIS,oil,Food_price,USD,411451.186066916,410534.867956265,514678.620815806
HIS,oil,FL,mrh-eq,19911.0804614168,20141.4323158058,25549.8917706199
HIS,sat_fat,CED,MJ,-17213733.5152327,-17497111.7894195,-16862639.6821241
HIS,sat_fat,Food_price,USD,-2773656.52084908,-2829002.96397092,-2730092.34363908
HIS,sat_fat,FL,mrh-eq,-470044.363326221,-477792.338490357,-460177.791071491
OTH,added_sugar,CED,MJ,-3107247.75699271,-3764495.09943001,-3470784.31327672
OTH,added_sugar,Food_price,USD,-3656013.41378425,-4443585.59283034,-4173208.52220562
OTH,added_sugar,FL,mrh-eq,-152361.449861244,-187882.171548324,-169820.26507256
OTH,oil,CED,MJ,-152803.407674012,-180326.143010906,-199676.627251239
OTH,oil,Food_price,USD,-184964.400240368,-233616.18130767,-246139.197847813
OTH,oil,FL,mrh-eq,-8372.95726603391,-9159.22827901256,-10696.5046981653
OTH,sat_fat,CED,MJ,-10908044.5967419,-10746560.7456784,-11062116.5231557
OTH,sat_fat,Food_price,USD,-1975671.69502137,-1943334.95532301,-1992141.19981518
OTH,sat_fat,FL,mrh-eq,-291764.90152516,-288144.093002882,-295878.600932041
