age_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,NHW,added_sugar,CED,MJ,-5529619.53874357,-5422755.18108183,-5126830.51236378
20-34,NHW,added_sugar,Food_price,USD,-6836822.47808486,-6835839.33807077,-6427475.4206309
20-34,NHW,added_sugar,FL,mrh-eq,-242014.575067473,-239785.081568249,-226040.478522724
20-34,NHW,oil,CED,MJ,16444.1341535288,-53909.182194269,-187969.030352924
20-34,NHW,oil,Food_price,USD,15267.7426047607,-61931.8124172451,-210553.336657551
20-34,NHW,oil,FL,mrh-eq,449.73390948544,-3141.91038179699,-10198.6796076608
20-34,NHW,sat_fat,CED,MJ,-18659030.6732173,-18352516.4074999,-19195129.6746813
20-34,NHW,sat_fat,Food_price,USD,-3177639.09740492,-3131297.56935083,-3268273.27269892
20-34,NHW,sat_fat,FL,mrh-eq,-496061.318591165,-488645.319314485,-510230.798380389
20-34,NHB,added_sugar,CED,MJ,-1821059.69753742,-1623454.77199038,-1810361.8424888
20-34,NHB,added_sugar,Food_price,USD,-1733439.8623177,-1545533.11483787,-1722897.27833348
20-34,NHB,added_sugar,FL,mrh-eq,-71333.9895429434,-63595.0714138238,-70911.9147251951
20-34,NHB,oil,CED,MJ,-109760.996652953,-69099.7276371503,-68545.7465178556
20-34,NHB,oil,Food_price,USD,-150625.191894628,-100912.288447525,-97148.6264749692
20-34,NHB,oil,FL,mrh-eq,-5655.66037418581,-3586.55153924545,-3545.15396970926
20-34,NHB,sat_fat,CED,MJ,-3181386.97610414,-3042828.2551569,-3054972.4000148
20-34,NHB,sat_fat,Food_price,USD,-505484.357173412,-484851.071813346,-488747.9568861
20-34,NHB,sat_fat,FL,mrh-eq,-84380.9827012346,-80682.1816136198,-80970.4595047107
20-34,HIS,added_sugar,CED,MJ,-2085879.04180901,-2029912.26891495,-2206599.09296718
20-34,HIS,added_sugar,Food_price,USD,-2104071.63448554,-2022091.28887129,-2221122.36747892
20-34,HIS,added_sugar,FL,mrh-eq,-84208.0430973337,-82992.669313519,-89274.7222090828
20-34,HIS,oil,CED,MJ,91928.410208455,124950.983590429,87146.4639262324
20-34,HIS,oil,Food_price,USD,101887.30866545,138655.620820497,96885.0069789272
20-34,HIS,oil,FL,mrh-eq,4816.6526414383,6560.67450464175,4590.47583483719
20-34,HIS,sat_fat,CED,MJ,-5731364.97698445,-5910118.87540589,-5562074.16008629
20-34,HIS,sat_fat,Food_price,USD,-1114490.51005264,-1151439.41455903,-1094318.35176197
20-34,HIS,sat_fat,FL,mrh-eq,-157417.396835742,-162319.865699067,-152725.875659972
20-34,OTH,added_sugar,CED,MJ,-966407.156448515,-878754.897081644,-955240.193294497
20-34,OTH,added_sugar,Food_price,USD,-1135680.30279844,-1033820.25422359,-1143536.90116618
20-34,OTH,added_sugar,FL,mrh-eq,-43019.1418425921,-39095.0338636079,-42113.3073724894
20-34,OTH,oil,CED,MJ,-1022.62556985364,-79887.3662177595,-9674.48489955806
20-34,OTH,oil,Food_price,USD,11107.8355632199,-74623.0275230044,3341.20914550499
20-34,OTH,oil,FL,mrh-eq,-2.4041484945185,-4022.0172893505,-436.709465966244
20-34,OTH,sat_fat,CED,MJ,-2598001.83277376,-2673221.96517892,-2460266.17908583
20-34,OTH,sat_fat,Food_price,USD,-523423.060468247,-541485.015626894,-498255.983911467
20-34,OTH,sat_fat,FL,mrh-eq,-69679.5008841321,-71751.8778784018,-66034.1811794992
35-44,NHW,added_sugar,CED,MJ,-5441416.84411377,-4629863.06225366,-4524734.99410563
35-44,NHW,added_sugar,Food_price,USD,-5793616.63606628,-4917980.74041809,-4827148.82424994
35-44,NHW,added_sugar,FL,mrh-eq,-244352.913646866,-207214.381011617,-203762.412809944
35-44,NHW,oil,CED,MJ,-167324.138189167,-255459.882510229,-269078.326886671
35-44,NHW,oil,Food_price,USD,-92427.8956011006,-151323.061781453,-169336.704216754
35-44,NHW,oil,FL,mrh-eq,-8004.9547871197,-12218.3095881411,-12866.5953152536
35-44,NHW,sat_fat,CED,MJ,-12528823.9726816,-12885331.1058207,-11170578.2706426
35-44,NHW,sat_fat,Food_price,USD,-1903141.90641453,-1957513.75446185,-1701220.36000743
35-44,NHW,sat_fat,FL,mrh-eq,-339638.964119766,-349270.317282924,-302152.054702252
35-44,NHB,added_sugar,CED,MJ,-1245770.82621826,-1178087.22768208,-1264449.15153912
35-44,NHB,added_sugar,Food_price,USD,-1251033.35743006,-1195558.37520965,-1283404.41862882
35-44,NHB,added_sugar,FL,mrh-eq,-50266.766313451,-47671.8654649584,-51168.7578353996
35-44,NHB,oil,CED,MJ,-59915.626151084,-9573.82154427603,653.080791826105
35-44,NHB,oil,Food_price,USD,4211.95637350565,53758.4870691964,46722.0617255081
35-44,NHB,oil,FL,mrh-eq,-2991.60088574049,-438.464218417397,67.4596020395447
35-44,NHB,sat_fat,CED,MJ,-1837026.36318133,-1838513.32970308,-1924003.32409016
35-44,NHB,sat_fat,Food_price,USD,-289274.704558813,-289431.514221902,-303072.557318845
35-44,NHB,sat_fat,FL,mrh-eq,-49322.5083819079,-49369.6803365209,-51648.2327198746
35-44,HIS,added_sugar,CED,MJ,-1507234.33363418,-1705689.80706113,-1372054.65725657
35-44,HIS,added_sugar,Food_price,USD,-1660238.71814308,-1892250.65623885,-1516380.15462741
35-44,HIS,added_sugar,FL,mrh-eq,-70263.6324181675,-78499.29775459,-63579.8255136599
35-44,HIS,oil,CED,MJ,178141.153159395,143101.958793544,250124.526033254
35-44,HIS,oil,Food_price,USD,189349.686931603,154167.568433794,253341.613236945
35-44,HIS,oil,FL,mrh-eq,9091.8538787789,7304.85683428348,12757.7342757596
35-44,HIS,sat_fat,CED,MJ,-3998868.82237074,-4340552.89876964,-3824164.18793234
35-44,HIS,sat_fat,Food_price,USD,-555331.696576166,-604508.721307259,-532396.343261189
35-44,HIS,sat_fat,FL,mrh-eq,-109390.43218665,-118474.522866456,-104409.465558283
35-44,OTH,added_sugar,CED,MJ,-824612.570335155,-947153.255137406,-879624.050096684
35-44,OTH,added_sugar,Food_price,USD,-829864.455839237,-965060.801613808,-900951.390412595
35-44,OTH,added_sugar,FL,mrh-eq,-41829.8090712109,-48168.3802602755,-44782.5645721885
35-44,OTH,oil,CED,MJ,-5554.35380801136,49586.0845991433,7928.89220988615
35-44,OTH,oil,Food_price,USD,-17171.5177184701,44943.6568649404,449.138977026705
35-44,OTH,oil,FL,mrh-eq,-403.853937453178,2768.0565005095,390.552140834459
35-44,OTH,sat_fat,CED,MJ,-2454517.43805938,-2198791.39402244,-2465474.21193913
35-44,OTH,sat_fat,Food_price,USD,-414643.378579406,-371589.342572028,-412905.620468774
35-44,OTH,sat_fat,FL,mrh-eq,-66340.4958312355,-59430.2476577533,-66599.8898683921
45-54,NHW,added_sugar,CED,MJ,-6719036.84944314,-6410261.34075301,-5473761.22284128
45-54,NHW,added_sugar,Food_price,USD,-8550682.89954983,-8144997.1842618,-6938852.19133922
45-54,NHW,added_sugar,FL,mrh-eq,-301022.927867509,-287342.876366755,-245559.274199979
45-54,NHW,oil,CED,MJ,-22228.3961004414,-115773.930323265,125815.696783675
45-54,NHW,oil,Food_price,USD,-25738.9252787779,-133765.810927708,145631.737832439
45-54,NHW,oil,FL,mrh-eq,-1241.27545437065,-6505.76560169056,7033.31362789507
45-54,NHW,sat_fat,CED,MJ,-13506048.6159223,-13482398.3429612,-12778545.455129
45-54,NHW,sat_fat,Food_price,USD,-1898059.60069436,-1902259.65450512,-1802200.1433078
45-54,NHW,sat_fat,FL,mrh-eq,-366871.808010588,-366774.855700845,-347572.778090741
45-54,NHB,added_sugar,CED,MJ,-1064803.03537227,-880728.958705539,-1046376.26588576
45-54,NHB,added_sugar,Food_price,USD,-1004488.13355746,-843971.718074455,-978875.561204463
45-54,NHB,added_sugar,FL,mrh-eq,-45416.1290869096,-37542.1275833746,-44644.5075148924
45-54,NHB,oil,CED,MJ,-94246.6265180148,-71102.8079793403,-130083.012851267
45-54,NHB,oil,Food_price,USD,-105046.348381476,-79514.9195673797,-145158.034808541
45-54,NHB,oil,FL,mrh-eq,-4562.19396168954,-3456.42734316573,-6306.21669105629
45-54,NHB,sat_fat,CED,MJ,-1806770.11151979,-1860631.38991882,-1930732.62074977
45-54,NHB,sat_fat,Food_price,USD,-295257.391834445,-302159.676464733,-314859.853788184
45-54,NHB,sat_fat,FL,mrh-eq,-48417.8613239272,-49955.2624429744,-51772.239789813
45-54,HIS,added_sugar,CED,MJ,-1168709.28605259,-1327281.28360066,-1083316.4040455
45-54,HIS,added_sugar,Food_price,USD,-1174492.94262496,-1308503.26681446,-1069468.54362342
45-54,HIS,added_sugar,FL,mrh-eq,-54095.6616533726,-61232.7325395865,-49989.4928561638
45-54,HIS,oil,CED,MJ,47498.434786463,85618.991946346,70707.8330413344
45-54,HIS,oil,Food_price,USD,37410.3742610213,66244.2549572884,56716.3181961504
45-54,HIS,oil,FL,mrh-eq,2305.01536868576,4142.97603640441,3441.63689611531
45-54,HIS,sat_fat,CED,MJ,-2659459.1806871,-2808562.27274399,-2747611.33901771
45-54,HIS,sat_fat,Food_price,USD,-438066.998854145,-462919.268367635,-452434.175145078
45-54,HIS,sat_fat,FL,mrh-eq,-72544.8226845989,-76674.8058844453,-74916.5003551501
45-54,OTH,added_sugar,CED,MJ,-437507.814265616,-713018.585095151,-586200.751226853
45-54,OTH,added_sugar,Food_price,USD,-583561.312849065,-958822.024258644,-786087.481532304
45-54,OTH,added_sugar,FL,mrh-eq,-21660.155273835,-35051.2327509141,-28887.3641603374
45-54,OTH,oil,CED,MJ,-56433.8933008738,-36020.8286941997,1785.96797202837
45-54,OTH,oil,Food_price,USD,-36486.4908483713,-28148.8919457613,8208.847767691
45-54,OTH,oil,FL,mrh-eq,-3140.25411116494,-1861.30392075954,-108.273575694965
45-54,OTH,sat_fat,CED,MJ,-1882169.63942174,-1885907.55480276,-2034141.62146481
