age_gp,sex_gp,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound  (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound  (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_impact_upper_bound  (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_impact_upper_bound  (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound  (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_impact_upper_bound  (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound  (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_impact_upper_bound  (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound  (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,combined_inedible_impact_lower_bound (2.5th percentile),combined_inedible_impact_median,combined_inedible_impact_upper_bound  (97.5th percentile),combined_inedible_impact_mean,combined_inedible_impact_SD,combined_wasted_impact_lower_bound (2.5th percentile),combined_wasted_impact_median,combined_wasted_impact_upper_bound  (97.5th percentile),combined_wasted_impact_mean,combined_wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_impact_upper_bound  (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound  (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_impact_upper_bound  (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_wasted_impact_upper_bound  (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
20-34,Female,CED,MJ,-23114885.62327725,-22654043.90388631,-22376692.488133647,-22718426.46656641,392503.1545119338,0,0,0,0,0,-23114885.62327725,-22654043.90388631,-22376692.488133647,-22718426.46656641,392503.1545119338,-607164284.2496028,-597864379.6789733,-590011983.8730203,-598372277.4911405,9038235.72947228,-17328444.798797116,-16968535.57675344,-16709864.803050915,-17004057.839329284,327018.60601927707,-5786440.824480137,-5685508.327132874,-5666827.685082733,-5714368.627237127,67734.25685801692,49569624.08459407,49846975.50034675,50307817.21973768,49911358.06302684,392503.1545119326,27192931.596460424,27192931.596460424,27192931.596460424,27192931.59646042,0,37594906.49069499,37853577.26439751,38213486.48644118,37889099.52697336,327018.6060192716,20885041.687644072,20885041.687644072,20885041.687644072,20885041.687644072,0,11974717.593899084,11993398.235949222,12094330.733296487,12022258.536053479,67734.2568580177,6307889.908816349,6307889.908816349,6307889.908816349,6307889.908816349,0,-17328444.798797116,-16968535.57675344,-16709864.803050915,-17004057.839329284,327018.60601927707,-5786440.824480137,-5685508.327132874,-5666827.685082733,-5714368.627237127,67734.25685801692,0,0,0,0,0,0,0,0,0,0,11974717.593899084,11993398.235949222,12094330.733296487,12022258.536053479,67734.2568580177,6307889.908816349,6307889.908816349,6307889.908816349,6307889.908816349,0
20-34,Female,FL,mrh-eq,-725959.969063069,-713170.7332847461,-710949.4835392447,-716878.7985594203,8527.974474641667,0,0,0,0,0,-725959.969063069,-713170.7332847461,-710949.4835392447,-716878.7985594203,8527.974474641667,-607164284.2496028,-597864379.6789733,-590011983.8730203,-598372277.4911405,9038235.72947228,-535821.0576474641,-524040.8688722032,-523860.7370179566,-528111.0642830854,7214.617415737326,-190148.39203951258,-189319.47689069723,-186918.09529094913,-188767.73427633487,1766.0254761797569,1659652.7710170895,1661874.020762591,1674663.2565409136,1665582.0860372651,8527.974474641574,948703.2874778447,948703.2874778447,948703.2874778447,948703.2874778447,0,1252337.5651799366,1252517.6970341834,1264297.8858094441,1256587.8924450653,7214.61741573721,728476.8281619799,728476.8281619799,728476.8281619799,728476.8281619799,0,407144.55460681405,409545.9362065621,410374.85135537747,408994.19359219976,1766.0254761797523,220226.45931586486,220226.45931586486,220226.45931586486,220226.45931586486,0,-535821.0576474641,-524040.8688722032,-523860.7370179566,-528111.0642830854,7214.617415737326,-190148.39203951258,-189319.47689069723,-186918.09529094913,-188767.73427633487,1766.0254761797569,0,0,0,0,0,0,0,0,0,0,407144.55460681405,409545.9362065621,410374.85135537747,408994.19359219976,1766.0254761797523,220226.45931586486,220226.45931586486,220226.45931586486,220226.45931586486,0
20-34,Female,Food_price,USD,-10740459.306735365,-10478235.034909543,-10285298.489343964,-10502546.517807873,240481.76063884184,0,0,0,0,0,-10740459.306735365,-10478235.034909543,-10285298.489343964,-10502546.517807873,240481.76063884184,-607164284.2496028,-597864379.6789733,-590011983.8730203,-598372277.4911405,9038235.72947228,-7522444.088899245,-7372567.766750489,-7222625.617952761,-7372544.669680675,157799.19650276005,-3218015.2178361192,-3105667.268159052,-3062672.8713911995,-3130001.8481271975,84431.53514685744,25379099.609075636,25572036.154641215,25834260.42646704,25596347.637539547,240481.76063884192,15093801.119731674,15093801.119731674,15093801.119731674,15093801.119731674,0,18628776.589245845,18778718.73804357,18928595.060192324,18778695.640973754,157799.19650275726,11406150.97129308,11406150.97129308,11406150.97129308,11406150.971293082,0,6750323.019829789,6793317.416597641,6905665.366274712,6817651.996565788,84431.53514685879,3687650.1484385915,3687650.1484385915,3687650.1484385915,3687650.1484385915,0,-7522444.088899245,-7372567.766750489,-7222625.617952761,-7372544.669680675,157799.19650276005,-3218015.2178361192,-3105667.268159052,-3062672.8713911995,-3130001.8481271975,84431.53514685744,0,0,0,0,0,0,0,0,0,0,6750323.019829789,6793317.416597641,6905665.366274712,6817651.996565788,84431.53514685879,3687650.1484385915,3687650.1484385915,3687650.1484385915,3687650.1484385915,0
20-34,Male,CED,MJ,-17907531.8576915,-17649412.869569838,-17423278.225580826,-17660635.446458485,255055.57464882123,0,0,0,0,0,-17907531.8576915,-17649412.869569838,-17423278.225580826,-17660635.446458485,255055.57464882123,-406015302.8675485,-397538724.3145106,-386621041.0756929,-396682196.35458785,10234422.947094841,-13205265.905614812,-13089539.10912829,-12874451.996327208,-13054675.84024599,176710.9999059805,-4702265.952076691,-4559873.760441547,-4548826.229253614,-4605959.6062125,90081.86768336987,42687197.35785481,42913332.00184382,43171450.989965476,42924554.57873247,255055.57464881768,25263919.13227398,25263919.13227398,25263919.13227398,25263919.132273983,0,32062269.6455357,32277356.758336782,32393083.55482331,32242493.48945448,176710.99990598383,19187817.6492085,19187817.6492085,19187817.6492085,19187817.6492085,0,10624927.7123191,10635975.243507031,10778367.435142173,10682061.089277983,90081.86768336738,6076101.483065484,6076101.483065484,6076101.483065484,6076101.483065483,0,-13205265.905614812,-13089539.10912829,-12874451.996327208,-13054675.84024599,176710.9999059805,-4702265.952076691,-4559873.760441547,-4548826.229253614,-4605959.6062125,90081.86768336987,0,0,0,0,0,0,0,0,0,0,10624927.7123191,10635975.243507031,10778367.435142173,10682061.089277983,90081.86768336738,6076101.483065484,6076101.483065484,6076101.483065484,6076101.483065483,0
20-34,Male,FL,mrh-eq,-536853.2842339936,-521258.71802694944,-519954.79938283627,-526272.9803297323,9897.437941150132,0,0,0,0,0,-536853.2842339936,-521258.71802694944,-519954.79938283627,-526272.9803297323,9897.437941150132,-406015302.8675485,-397538724.3145106,-386621041.0756929,-396682196.35458785,10234422.947094841,-390744.88489354175,-381078.624393178,-380472.3687562925,-384257.5734680826,6067.163725259375,-146140.3075318669,-140818.25746207195,-138908.08318107322,-142015.40686164956,3945.0999748453605,1384413.7015826842,1385717.6202267976,1401312.186433842,1390731.8825295803,9897.437941150256,864458.9021998479,864458.9021998479,864458.9021998479,864458.902199848,0,1040286.3776244016,1040892.633261287,1050558.8937616507,1044071.5823361917,6067.163725259323,659814.0088681091,659814.0088681091,659814.0088681091,659814.0088681091,0,343552.9765128122,345463.15079381096,350785.200863606,346660.3001933886,3945.0999748453933,204644.89333173903,204644.89333173903,204644.89333173903,204644.89333173903,0,-390744.88489354175,-381078.624393178,-380472.3687562925,-384257.5734680826,6067.163725259375,-146140.3075318669,-140818.25746207195,-138908.08318107322,-142015.40686164956,3945.0999748453605,0,0,0,0,0,0,0,0,0,0,343552.9765128122,345463.15079381096,350785.200863606,346660.3001933886,3945.0999748453933,204644.89333173903,204644.89333173903,204644.89333173903,204644.89333173903,0
20-34,Male,Food_price,USD,-6864049.60210444,-6593868.244966492,-6116056.003433285,-6521015.303073418,398704.4873673872,0,0,0,0,0,-6864049.60210444,-6593868.244966492,-6116056.003433285,-6521015.303073418,398704.4873673872,-406015302.8675485,-397538724.3145106,-386621041.0756929,-396682196.35458785,10234422.947094841,-4721103.057236941,-4554242.494802087,-4236994.074310371,-4501474.8253084505,258859.8179447735,-2142946.544867499,-2039625.750164406,-1879061.9291229143,-2019540.4777649678,139971.64841019956,19351005.8615437,19828818.10307691,20098999.460214857,19755965.161183834,398704.4873673887,13234949.858110417,13234949.858110417,13234949.858110417,13234949.858110419,0,14234057.62632388,14551306.046815593,14718166.609250449,14498538.377321959,258859.81794477088,9997063.552013509,9997063.552013509,9997063.552013509,9997063.552013509,0,5116948.235219824,5277512.056261314,5380832.850964407,5257426.7838618765,139971.6484101988,3237886.30609691,3237886.30609691,3237886.30609691,3237886.30609691,0,-4721103.057236941,-4554242.494802087,-4236994.074310371,-4501474.8253084505,258859.8179447735,-2142946.544867499,-2039625.750164406,-1879061.9291229143,-2019540.4777649678,139971.64841019956,0,0,0,0,0,0,0,0,0,0,5116948.235219824,5277512.056261314,5380832.850964407,5257426.7838618765,139971.6484101988,3237886.30609691,3237886.30609691,3237886.30609691,3237886.30609691,0
35-44,Female,CED,MJ,-16564616.452713115,-16446279.715256551,-16147405.117848564,-16382933.097729735,226334.11037516835,0,0,0,0,0,-16564616.452713115,-16446279.715256551,-16147405.117848564,-16382933.097729735,226334.11037516835,-450193174.02067685,-438423336.58415467,-430751519.31294835,-439861238.3965462,10307943.590794543,-12316700.148996675,-12288931.467837038,-12040630.749418993,-12211551.805641105,160008.45995838425,-4247916.30371644,-4157348.2474195133,-4106774.3684295737,-4171381.2920886315,75272.77076877504,35317338.92636292,35616213.5237709,35734550.261227466,35552866.906244084,226334.11037516576,19169933.80851435,19169933.80851435,19169933.80851435,19169933.80851435,0,26736414.454512253,26984715.172930304,27012483.854089938,26907335.510734368,160008.45995838623,14695783.705093265,14695783.705093265,14695783.705093265,14695783.705093265,0,8580924.471850662,8631498.3508406,8722066.407137526,8645531.395509718,75272.77076877408,4474150.103421087,4474150.103421087,4474150.103421087,4474150.103421087,0,-12316700.148996675,-12288931.467837038,-12040630.749418993,-12211551.805641105,160008.45995838425,-4247916.30371644,-4157348.2474195133,-4106774.3684295737,-4171381.2920886315,75272.77076877504,0,0,0,0,0,0,0,0,0,0,8580924.471850662,8631498.3508406,8722066.407137526,8645531.395509718,75272.77076877408,4474150.103421087,4474150.103421087,4474150.103421087,4474150.103421087,0
35-44,Female,FL,mrh-eq,-551261.5001332497,-536516.5716049725,-529230.981488573,-539133.8833284383,11814.482343997402,0,0,0,0,0,-551261.5001332497,-536516.5716049725,-529230.981488573,-539133.8833284383,11814.482343997402,-450193174.02067685,-438423336.58415467,-430751519.31294835,-439861238.3965462,10307943.590794543,-402146.20975546306,-393694.7940864314,-387382.45108592283,-394445.3458999483,7797.538156127231,-149115.29037778664,-142821.7775185411,-141848.53040265018,-144688.5374284901,4152.2572173399785,1201655.31041054,1208940.9005269397,1223685.8290552169,1211558.2122504055,11814.48234399739,672424.3289219672,672424.3289219672,672424.3289219672,672424.3289219672,0,901011.1528030658,907323.4958035746,915774.9114726062,908074.0476170914,7797.538156127343,513628.7017171432,513628.7017171432,513628.7017171432,513628.7017171432,0,300644.1576074742,301617.4047233652,307910.9175826108,303484.1646333142,4152.2572173400085,158795.62720482415,158795.62720482415,158795.62720482415,158795.62720482415,0,-402146.20975546306,-393694.7940864314,-387382.45108592283,-394445.3458999483,7797.538156127231,-149115.29037778664,-142821.7775185411,-141848.53040265018,-144688.5374284901,4152.2572173399785,0,0,0,0,0,0,0,0,0,0,300644.1576074742,301617.4047233652,307910.9175826108,303484.1646333142,4152.2572173400085,158795.62720482415,158795.62720482415,158795.62720482415,158795.62720482415,0
35-44,Female,Food_price,USD,-7349597.62028035,-6863148.081465154,-6789215.145731311,-7007890.749212998,320470.49627208465,0,0,0,0,0,-7349597.62028035,-6863148.081465154,-6789215.145731311,-7007890.749212998,320470.49627208465,-450193174.02067685,-438423336.58415467,-430751519.31294835,-439861238.3965462,10307943.590794543,-5098423.715640295,-4773202.562683567,-4733399.738198414,-4873349.344603418,210787.36765489262,-2251173.9046400553,-2089945.5187815872,-2055815.4075328973,-2134541.4046095796,109834.42528346277,15046011.575517982,15119944.511251828,15606394.050067022,15264687.17899967,320470.49627208506,8256796.429786673,8256796.429786673,8256796.429786673,8256796.429786672,0,10851318.944851194,10891121.769336347,11216342.922293073,10991268.551256197,210787.36765489154,6117919.206652777,6117919.206652777,6117919.206652777,6117919.206652778,0,4194692.630666792,4228822.741915482,4390051.127773951,4273418.627743475,109834.42528346292,2138877.223133896,2138877.223133896,2138877.223133896,2138877.223133896,0,-5098423.715640295,-4773202.562683567,-4733399.738198414,-4873349.344603418,210787.36765489262,-2251173.9046400553,-2089945.5187815872,-2055815.4075328973,-2134541.4046095796,109834.42528346277,0,0,0,0,0,0,0,0,0,0,4194692.630666792,4228822.741915482,4390051.127773951,4273418.627743475,109834.42528346292,2138877.223133896,2138877.223133896,2138877.223133896,2138877.223133896,0
35-44,Male,CED,MJ,-13348649.596239194,-13322079.433530375,-11404694.781271998,-12658635.75298667,1173423.006171303,0,0,0,0,0,-13348649.596239194,-13322079.433530375,-11404694.781271998,-12658635.75298667,1173423.006171303,-314603776.80274224,-313652650.3840242,-266032453.6337368,-297277537.98698235,29233865.22779159,-9719808.240048116,-9702997.113316368,-8295100.443954546,-9214896.92291985,860784.9227630104,-3628841.356191081,-3619082.3202140117,-3109594.337317449,-3443738.830066821,312642.421132912,27892072.70814627,29809457.36040465,29836027.523113467,29146013.679860946,1173423.006171303,16487377.926874273,16487377.926874273,16487377.926874273,16487377.926874273,0,20745195.518685922,22153092.188047737,22169903.314779494,21664991.997651223,860784.9227630083,12450095.074731374,12450095.074731374,12450095.074731374,12450095.074731374,0,7146877.1894603465,7656365.172356909,7666124.2083339775,7481021.682209718,312642.42113291146,4037282.852142897,4037282.852142897,4037282.852142897,4037282.852142897,0,-9719808.240048116,-9702997.113316368,-8295100.443954546,-9214896.92291985,860784.9227630104,-3628841.356191081,-3619082.3202140117,-3109594.337317449,-3443738.830066821,312642.421132912,0,0,0,0,0,0,0,0,0,0,7146877.1894603465,7656365.172356909,7666124.2083339775,7481021.682209718,312642.42113291146,4037282.852142897,4037282.852142897,4037282.852142897,4037282.852142897,0
